energy_ev,total_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.40946894,0.15704111,0.01877791,0.02463216,0.13005980,0.22755535,0.28645318,3.39461028
-5.99399700,4.49480512,0.17114872,0.01964190,0.02584400,0.13565259,0.24488761,0.31023461,3.41437223
-5.98799400,4.61692304,0.18624562,0.02062827,0.02724269,0.14216372,0.26376548,0.33583631,3.46386581
-5.98199100,4.77200613,0.20216787,0.02171921,0.02880586,0.14948959,0.28396697,0.36296612,3.54022761
-5.97598799,4.95541721,0.21871567,0.02289321,0.03050564,0.15749753,0.30521769,0.39126722,3.63999947
-5.96998499,5.16177534,0.23565661,0.02412549,0.03230918,0.16602849,0.32719534,0.42032412,3.75918494
-5.96398199,5.38506412,0.25273038,0.02538855,0.03417943,0.17490077,0.34953620,0.44967118,3.89332885
-5.95797899,5.61876841,0.26965476,0.02665284,0.03607600,0.18391460,0.37184341,0.47880347,4.03761742
-5.95197599,5.85603505,0.28613288,0.02788756,0.03795619,0.19285752,0.39369691,0.50718976,4.18699550
-5.94597299,6.08985217,0.30186136,0.02906153,0.03977613,0.20151035,0.41466477,0.53428722,4.33629679
-5.93996998,6.31324077,0.31653930,0.03014409,0.04149203,0.20965363,0.43431552,0.55955731,4.48038238
-5.93396698,6.51945139,0.32987752,0.03110607,0.04306138,0.21707409,0.45223096,0.58248234,4.61428249
-5.92796398,6.70215859,0.34160789,0.03192064,0.04444423,0.22357121,0.46801905,0.60258191,4.73333584
-5.92196098,6.85564521,0.35149228,0.03256415,0.04560436,0.22896339,0.48132640,0.61942877,4.83332146
-5.91595798,6.97496938,0.35933070,0.03301693,0.04651034,0.23309348,0.49184964,0.63266318,4.91057741
-5.90995498,7.05610703,0.36496838,0.03326380,0.04713650,0.23583365,0.49934536,0.64200525,4.96210187
-5.90395198,7.09606413,0.36830129,0.03329458,0.04746363,0.23708917,0.50363815,0.64726471,4.98563227
-5.89794897,7.09295394,0.36927998,0.03310435,0.04747956,0.23680104,0.50462626,0.64834756,4.97969934
-5.89194597,7.04603590,0.36791150,0.03269354,0.04717940,0.23494745,0.50228477,0.64525931,4.94365393
-5.88594297,6.95571476,0.36425919,0.03206778,0.04656564,0.23154383,0.49666594,0.63810467,4.87766553
-5.87993997,6.82350016,0.35844051,0.03123768,0.04564789,0.22664166,0.48789693,0.62708362,4.78269286
-5.87393697,6.65192870,0.35062282,0.03021834,0.04444245,0.22032608,0.47617484,0.61248405,4.66042805
-5.86793397,6.44445217,0.34101743,0.02902874,0.04297167,0.21271235,0.46175936,0.59467138,4.51321708
-5.86193097,6.20529725,0.32987208,0.02769109,0.04126306,0.20394140,0.44496334,0.57407539,4.34396022
-5.85592796,5.93930300,0.31746219,0.02622996,0.03934835,0.19417474,0.42614179,0.55117516,4.15599695
-5.84992496,5.65174330,0.30408135,0.02467149,0.03726238,0.18358881,0.40567971,0.52648254,3.95298054
-5.84392196,5.34814211,0.29003135,0.02304255,0.03504193,0.17236913,0.38397932,0.50052493,3.73874772
-5.83791896,5.03408911,0.27561221,0.02136992,0.03272464,0.16070452,0.36144729,0.47382817,3.51718868
-5.83191596,4.71506320,0.26111269,0.01967950,0.03034785,0.14878153,0.33848239,0.44690019,3.29212283
-5.82591296,4.39627044,0.24680151,0.01799569,0.02794762,0.13677936,0.31546414,0.42021599,3.06718470
-5.81990995,4.08250221,0.23291979,0.01634079,0.02555782,0.12486543,0.29274279,0.39420465,2.84572420
-5.81390695,3.77801797,0.21967472,0.01473457,0.02320938,0.11319167,0.27063099,0.36923861,2.63072410
-5.80790395,3.48645565,0.20723501,0.01319394,0.02092971,0.10189173,0.24939741,0.34562576,2.42473690
-5.80190095,3.21077137,0.19572780,0.01173279,0.01874226,0.09107898,0.22926237,0.32360428,2.22984229
-5.79589795,2.95320862,0.18523751,0.01036188,0.01666632,0.08084553,0.21039552,0.30334042,2.04762515
-5.78989495,2.71529583,0.17580618,0.00908894,0.01471688,0.07126192,0.19291558,0.28492910,1.87917339
-5.78389195,2.49787005,0.16743550,0.00791881,0.01290478,0.06237769,0.17689184,0.26839705,1.72509404
-5.77788894,2.30112357,0.16009014,0.00685360,0.01123683,0.05422250,0.16234736,0.25370828,1.58554522
-5.77188594,2.12466937,0.15370232,0.00589309,0.00971620,0.04680786,0.14926347,0.24077146,1.46028133
-5.76588294,1.96762132,0.14817722,0.00503495,0.00834273,0.04012913,0.13758535,0.22944872,1.34870833
-5.75987994,1.82868413,0.14339910,0.00427518,0.00711344,0.03416792,0.12722826,0.21956551,1.24994595
-5.75387694,1.70624874,0.13923765,0.00360841,0.00602298,0.02889447,0.11808429,0.21092097,1.16289353
-5.74787394,1.59848869,0.13555450,0.00302828,0.00506414,0.02427016,0.11002905,0.20329833,1.08629664
-5.74187094,1.50345347,0.13220945,0.00252776,0.00422826,0.02024985,0.10292827,0.19647503,1.01881149
-5.73586793,1.41915538,0.12906629,0.00209945,0.00350576,0.01678412,0.09664393,0.19023204,0.95906503
-5.72986493,1.34364730,0.12599793,0.00173582,0.00288649,0.01382125,0.09103975,0.18436217,0.90570862
-5.72386193,1.27508909,0.12289075,0.00142947,0.00236007,0.01130895,0.08598594,0.17867706,0.85746394
-5.71785893,1.21180120,0.11964802,0.00117325,0.00191625,0.00919580,0.08136301,0.17301274,0.81316018
-5.71185593,1.15230506,0.11619225,0.00096045,0.00154510,0.00743239,0.07706470,0.16723360,0.77176198
-5.70585293,1.09534989,0.11246669,0.00078483,0.00123719,0.00597223,0.07299998,0.16123479,0.73238826
-5.69984992,1.03992673,0.10843565,0.00064076,0.00098380,0.00477232,0.06909409,0.15494313,0.69432209
-5.69384692,0.98527049,0.10408406,0.00052318,0.00077690,0.00379355,0.06528887,0.14831660,0.65701257
-5.68784392,0.93085168,0.09941614,0.00042764,0.00060929,0.00300089,0.06154223,0.14134252,0.62006947
-5.68184092,0.87635936,0.09445345,0.00035027,0.00047457,0.00236340,0.05782713,0.13403481,0.58325197
-5.67583792,0.82167721,0.08923229,0.00028774,0.00036711,0.00185410,0.05413000,0.12643032,0.54645268
-5.66983492,0.76685478,0.08380092,0.00023726,0.00028205,0.00144975,0.05044886,0.11858469,0.50967830
-5.66383192,0.71207570,0.07821640,0.00019649,0.00021524,0.00113062,0.04679118,0.11056779,0.47302830
-5.65782891,0.65762476,0.07254147,0.00016347,0.00016316,0.00088008,0.04317174,0.10245919,0.43667270
-5.65182591,0.60385547,0.06684152,0.00013665,0.00012286,0.00068434,0.03961037,0.09434362,0.40083019
-5.64582291,0.55115946,0.06118174,0.00011475,0.00009191,0.00053202,0.03612994,0.08630688,0.36574748
-5.63981991,0.49993881,0.05562463,0.00009674,0.00006831,0.00041387,0.03275449,0.07843206,0.33168056
-5.63381691,0.45058228,0.05022791,0.00008183,0.00005045,0.00032245,0.02950758,0.07079644,0.29887863
-5.62781391,0.40344574,0.04504277,0.00006940,0.00003703,0.00025180,0.02641099,0.06346897,0.26757077
-5.62181091,0.35883725,0.04011275,0.00005894,0.00002702,0.00019721,0.02348365,0.05650846,0.23795579
-5.61580790,0.31700663,0.03547292,0.00005008,0.00001960,0.00015498,0.02074094,0.04996231,0.21019505
-5.60980490,0.27813944,0.03114958,0.00004254,0.00001414,0.00012224,0.01819426,0.04386605,0.18440828
-5.60380190,0.24235480,0.02716032,0.00003608,0.00001015,0.00009679,0.01585080,0.03824328,0.16067188
