energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,12.06441679,1.41048360,9.86913950,0.01667689,0.21621012,0.03564789,1.37060096,0.45952397,0.23059687
-5.99399700,11.79870337,1.31433976,9.72516948,0.01588303,0.19846712,0.03528756,1.30817776,0.42798086,0.22163267
-5.98799400,11.53380559,1.22321493,9.57500597,0.01512638,0.18168242,0.03512021,1.24824832,0.39825434,0.21380361
-5.98199100,11.27118720,1.13763881,9.41934780,0.01440891,0.16593324,0.03516380,1.19127163,0.37059223,0.20716414
-5.97598799,11.01212348,1.05802809,9.25888472,0.01373258,0.15127709,0.03543252,1.13762033,0.34519164,0.20174384
-5.96998499,10.75770847,0.98468981,9.09430209,0.01309950,0.13775248,0.03593635,1.08758179,0.32219950,0.19754719
-5.96398199,10.50886723,0.91782840,8.92628558,0.01251203,0.12538004,0.03668059,1.04136152,0.30171461,0.19455407
-5.95797899,10.26637165,0.85755557,8.75552516,0.01197285,0.11416423,0.03766561,0.99908846,0.28379081,0.19272087
-5.95197599,10.03085831,0.80390218,8.58271783,0.01148501,0.10409530,0.03888668,0.96082182,0.26844112,0.19198222
-5.94597299,9.80284727,0.75683105,8.40856892,0.01105195,0.09515144,0.04033395,0.92655874,0.25564245,0.19225318
-5.93996998,9.58276098,0.71625008,8.23379214,0.01067747,0.08730098,0.04199262,0.89624259,0.24534066,0.19343200
-5.93396698,9.37094252,0.68202468,8.05910839,0.01036565,0.08050455,0.04384329,0.86977133,0.23745568,0.19540316
-5.92796398,9.16767289,0.65398889,7.88524388,0.01012084,0.07471702,0.04586242,0.84700569,0.23188661,0.19804085
-5.92196098,8.97318700,0.63195476,7.71292777,0.00994743,0.06988929,0.04802303,0.82777688,0.22851630,0.20121256
-5.91595798,8.78768810,0.61571945,7.54288981,0.00984977,0.06596964,0.05029548,0.81189365,0.22721564,0.20478288
-5.90995498,8.61136062,0.60506997,7.37585807,0.00983196,0.06290489,0.05264838,0.79914851,0.22784713,0.20861728
