energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.67248551,0.01640375,0.00011070,0.01387632,0.47368695,0.53790363,0.22621712
-5.99399700,0.71661347,0.01686615,0.00011663,0.01420625,0.50783188,0.56234954,0.24715026
-5.98799400,0.76199120,0.01725210,0.00012273,0.01445891,0.54338002,0.58592647,0.26944239
-5.98199100,0.80865223,0.01756264,0.00012904,0.01463437,0.58035434,0.60867209,0.29307102
-5.97598799,0.85665904,0.01780170,0.00013559,0.01473516,0.61878724,0.63068628,0.31799566
-5.96998499,0.90609427,0.01797600,0.00014246,0.01476633,0.65871348,0.65212759,0.34415327
-5.96398199,0.95705043,0.01809499,0.00014971,0.01473532,0.70016235,0.67320700,0.37145419
-5.95797899,1.00961820,0.01817057,0.00015742,0.01465181,0.74314938,0.69417906,0.39977872
-5.95197599,1.06387399,0.01821669,0.00016566,0.01452739,0.78766785,0.71533084,0.42897464
-5.94597299,1.11986711,0.01824893,0.00017453,0.01437524,0.83368057,0.73696877,0.45885584
-5.93996998,1.17760731,0.01828396,0.00018409,0.01420965,0.88111235,0.75940413,0.48920225
-5.93396698,1.23705310,0.01833883,0.00019441,0.01404552,0.92984345,0.78293755,0.51976129
-5.92796398,1.29810157,0.01843042,0.00020554,0.01389783,0.97970445,0.80784329,0.55025065
-5.92196098,1.36058012,0.01857467,0.00021753,0.01378107,1.03047285,0.83435377,0.58036276
-5.91595798,1.42424066,0.01878593,0.00023037,0.01370867,1.08187159,0.86264530,0.60977048
-5.90995498,1.48875656,0.01907634,0.00024406,0.01369248,1.13356968,0.89282527,0.63813409
-5.90395198,1.55372269,0.01945522,0.00025856,0.01374228,1.18518506,0.92492179,0.66510921
-5.89794897,1.61865858,0.01992860,0.00027379,0.01386535,1.23628954,0.95887596,0.69035548
-5.89194597,1.68301487,0.02049887,0.00028966,0.01406614,1.28641597,0.99453750,0.71354546
-5.88594297,1.74618286,0.02116450,0.00030602,0.01434603,1.33506718,1.03166376,0.73437363
-5.87993997,1.80750696,0.02191999,0.00032272,0.01470324,1.38172676,1.06992257,0.75256494
-5.87393697,1.86629983,0.02275588,0.00033958,0.01513277,1.42587114,1.10889877,0.76788268
-5.86793397,1.92185964,0.02365901,0.00035638,0.01562657,1.46698276,1.14810443,0.78013532
-5.86193097,1.97348911,0.02461290,0.00037291,0.01617373,1.50456389,1.18699243,0.78918206
-5.85592796,2.02051558,0.02559822,0.00038893,0.01676087,1.53815071,1.22497298,0.79493690
-5.84992496,2.06231157,0.02659343,0.00040420,0.01737255,1.56732713,1.26143256,0.79737116
-5.84392196,2.09831504,0.02757556,0.00041849,0.01799181,1.59173796,1.29575448,0.79651426
-5.83791896,2.12804850,0.02852093,0.00043158,0.01860076,1.61110083,1.32734031,0.79245289
-5.83191596,2.15113637,0.02940608,0.00044325,0.01918121,1.62521652,1.35563123,0.78532859
-5.82591296,2.16731959,0.03020852,0.00045334,0.01971529,1.63397698,1.38012838,0.77533383
-5.81990995,2.17646684,0.03090757,0.00046170,0.02018609,1.63737098,1.40041122,0.76270678
-5.81390695,2.17858176,0.03148510,0.00046820,0.02057824,1.63548664,1.41615313,0.74772494
-5.80790395,2.17380548,0.03192611,0.00047278,0.02087844,1.62851079,1.42713324,0.73069787
-5.80190095,2.16241438,0.03221928,0.00047540,0.02107587,1.61672499,1.43324410,0.71195923
-5.79589795,2.14481259,0.03235725,0.00047607,0.02116257,1.60049806,1.43449467,0.69185836
-5.78989495,2.12151967,0.03233683,0.00047485,0.02113361,1.58027541,1.43100835,0.67075167
-5.78389195,2.09315367,0.03215902,0.00047183,0.02098723,1.55656538,1.42301629,0.64899416
-5.77788894,2.06041015,0.03182879,0.00046711,0.02072479,1.52992315,1.41084619,0.62693108
-5.77188594,2.02403821,0.03135484,0.00046087,0.02035062,1.50093279,1.39490726,0.60489032
-5.76588294,1.98481451,0.03074909,0.00045328,0.01987182,1.47018828,1.37567207,0.58317544
-5.75987994,1.94351657,0.03002617,0.00044451,0.01929786,1.43827440,1.35365641,0.56205978
-5.75387694,1.90089664,0.02920276,0.00043477,0.01864021,1.40574841,1.32939818,0.54178170
-5.74787394,1.85765755,0.02829691,0.00042426,0.01791184,1.37312332,1.30343649,0.52254119
-5.74187094,1.81443187,0.02732741,0.00041315,0.01712679,1.34085388,1.27629222,0.50449792
-5.73586793,1.77176525,0.02631308,0.00040163,0.01629961,1.30932576,1.24845083,0.48777087
-5.72986493,1.73010507,0.02527218,0.00038986,0.01544493,1.27884863,1.22034863,0.47243937
-5.72386193,1.68979480,0.02422192,0.00037797,0.01457701,1.24965339,1.19236282,0.45854571
-5.71785893,1.65107425,0.02317802,0.00036607,0.01370939,1.22189373,1.16480590,0.44609905
-5.71185593,1.61408563,0.02215441,0.00035425,0.01285451,1.19565174,1.13792437,0.43508045
-5.70585293,1.57888486,0.02116301,0.00034257,0.01202355,1.17094720,1.11190169,0.42544880
-5.69984992,1.54545722,0.02021367,0.00033109,0.01122623,1.14774986,1.08686480,0.41714735
-5.69384692,1.51373626,0.01931416,0.00031984,0.01047071,1.12599393,1.06289376,0.41011049
-5.68784392,1.48362477,0.01847029,0.00030882,0.00976361,1.10559378,1.04003338,0.40427042
-5.68184092,1.45501616,0.01768609,0.00029806,0.00911005,1.08645972,1.01830612,0.39956339
-5.67583792,1.42781514,0.01696398,0.00028756,0.00851372,1.06851316,0.99772507,0.39593523
-5.66983492,1.40195624,0.01630505,0.00027734,0.00797706,1.05169984,0.97830619,0.39334578
-5.66383192,1.37741905,0.01570932,0.00026741,0.00750136,1.03600063,0.96007891,0.39177220
-5.65782891,1.35423943,0.01517594,0.00025781,0.00708700,1.02143925,0.94309449,0.39121080
-5.65182591,1.33251605,0.01470343,0.00024859,0.00673358,1.00808641,0.92743153,0.39167761
-5.64582291,1.31241207,0.01428987,0.00023981,0.00644009,0.99606050,0.91319859,0.39320746
-5.63981991,1.29415205,0.01393299,0.00023153,0.00620509,0.98552469,0.90053375,0.39585181
-5.63381691,1.27801447,0.01363033,0.00022385,0.00602678,0.97668097,0.88960137,0.39967560
-5.62781391,1.26432061,0.01337924,0.00021687,0.00590317,0.96976148,0.88058642,0.40475311
-5.62181091,1.25342046,0.01317694,0.00021068,0.00583209,0.96501799,0.87368695,0.41116332
-5.61580790,1.24567679,0.01302048,0.00020541,0.00581129,0.96271003,0.86910523,0.41898497
-5.60980490,1.24144833,0.01290670,0.00020114,0.00583844,0.96309256,0.86703831,0.42829151
-5.60380190,1.24107305,0.01283226,0.00019799,0.00591114,0.96640388,0.86766849,0.43914641
-5.59779890,1.24485239,0.01279353,0.00019602,0.00602689,0.97285441,0.87115450,0.45159878
-5.59179590,1.25303732,0.01278657,0.00019530,0.00618313,0.98261681,0.87762359,0.46567976
-5.58579290,1.26581659,0.01280719,0.00019588,0.00637712,0.99581795,0.88716515,0.48139947
-5.57978989,1.28330773,0.01285085,0.00019776,0.00660601,1.01253278,0.89982591,0.49874491
-5.57378689,1.30555093,0.01291281,0.00020092,0.00686675,1.03278038,0.91560682,0.51767850
-5.56778389,1.33250563,0.01298808,0.00020532,0.00715609,1.05652189,0.93446171,0.53813751
-5.56178089,1.36404983,0.01307162,0.00021088,0.00747059,1.08366038,0.95629730,0.56003404
-5.55577789,1.39998173,0.01315837,0.00021747,0.00780661,1.11404213,0.98097469,0.58325557
-5.54977489,1.44002328,0.01324341,0.00022496,0.00816032,1.14745930,1.00831171,0.60766595
-5.54377189,1.48382529,0.01332211,0.00023318,0.00852778,1.18365335,1.03808611,0.63310675
-5.53776888,1.53097363,0.01339030,0.00024193,0.00890493,1.22231912,1.07003913,0.65939867
-5.53176588,1.58099614,0.01344444,0.00025101,0.00928771,1.26310919,1.10387932,0.68634325
-5.52576288,1.63337005,0.01348175,0.00026019,0.00967212,1.30563836,1.13928641,0.71372448
-5.51975988,1.68752947,0.01350042,0.00026925,0.01005431,1.34948813,1.17591512,0.74131060
-5.51375688,1.74287310,0.01349971,0.00027797,0.01043068,1.39421110,1.21339885,0.76885587
-5.50775388,1.79877190,0.01348011,0.00028614,0.01079797,1.43933541,1.25135342,0.79610252
-5.50175088,1.85457691,0.01344345,0.00029354,0.01115341,1.48436934,1.28938079,0.82278287
-5.49574787,1.90962729,0.01339297,0.00030000,0.01149476,1.52880615,1.32707309,0.84862173
-5.48974487,1.96325869,0.01333334,0.00030537,0.01182045,1.57212943,1.36401693,0.87333917
-5.48374187,2.01481205,0.01327071,0.00030951,0.01212962,1.61381912,1.39979826,0.89665378
-5.47773887,2.06364308,0.01321264,0.00031234,0.01242219,1.65335830,1.43400796,0.91828642
-5.47173587,2.10913224,0.01316800,0.00031379,0.01269892,1.69024085,1.46624790,0.93796446
-5.46573287,2.15069532,0.01314688,0.00031384,0.01296137,1.72398002,1.49613788,0.95542664
-5.45972986,2.18779434,0.01316033,0.00031250,0.01321193,1.75411762,1.52332293,0.97042826
-5.45372686,2.21994858,0.01322015,0.00030980,0.01345369,1.78023385,1.54748098,0.98274675
-5.44772386,2.24674525,0.01333859,0.00030583,0.01369043,1.80195714,1.56833053,0.99218735
-5.44172086,2.26784943,0.01352797,0.00030067,0.01392641,1.81897381,1.58563792,0.99858862
-5.43571786,2.28301264,0.01380031,0.00029445,0.01416629,1.83103694,1.59922378,1.00182766
-5.42971486,2.29207953,0.01416689,0.00028731,0.01441486,1.83797385,1.60896827,1.00182460
-5.42371186,2.29499214,0.01463779,0.00027941,0.01467689,1.83969189,1.61481456,0.99854616
-5.41770885,2.29179129,0.01522143,0.00027089,0.01495687,1.83618180,1.61677041,0.99200798
-5.41170585,2.28261478,0.01592417,0.00026193,0.01525876,1.82751846,1.61490729,0.98227555
-5.40570285,2.26769225,0.01674984,0.00025269,0.01558579,1.81385875,1.60935728,0.96946351
-5.39969985,2.24733662,0.01769940,0.00024331,0.01594019,1.79543640,1.60030749,0.95373332
-5.39369685,2.22193266,0.01877069,0.00023395,0.01632304,1.77255410,1.58799245,0.93528927
-5.38769385,2.19192292,0.01995819,0.00022473,0.01673407,1.74557303,1.57268462,0.91437308
-5.38169085,2.15779183,0.02125304,0.00021576,0.01717157,1.71490047,1.55468388,0.89125708
-5.37568784,2.12004890,0.02264303,0.00020714,0.01763235,1.68097603,1.53430632,0.86623651
-5.36968484,2.07921186,0.02411288,0.00019894,0.01811174,1.64425744,1.51187340,0.83962128
-5.36368184,2.03579089,0.02564457,0.00019123,0.01860371,1.60520654,1.48770197,0.81172740
-5.35767884,1.99027488,0.02721792,0.00018403,0.01910101,1.56427653,1.46209609,0.78286889
-5.35167584,1.94312060,0.02881119,0.00017738,0.01959543,1.52190108,1.43534113,0.75335021
-5.34567284,1.89474549,0.03040190,0.00017127,0.02007814,1.47848603,1.40770071,0.72345993
-5.33966983,1.84552442,0.03196768,0.00016571,0.02054003,1.43440412,1.37941667,0.69346564
-5.33366683,1.79579075,0.03348725,0.00016068,0.02097212,1.38999294,1.35071208,0.66361054
-5.32766383,1.74584127,0.03494129,0.00015617,0.02136604,1.34555621,1.32179718,0.63411169
-5.32166083,1.69594479,0.03631343,0.00015215,0.02171444,1.30136795,1.29287753,0.60515990
-5.31565783,1.64635330,0.03759104,0.00014860,0.02201142,1.25767914,1.26416387,0.57692117
-5.30965483,1.59731496,0.03876592,0.00014553,0.02225293,1.21472621,1.23588264,0.54953938
-5.30365183,1.54908752,0.03983488,0.00014291,0.02243703,1.17274028,1.20828629,0.52313989
-5.29764882,1.50195101,0.04079996,0.00014076,0.02256415,1.13195658,1.18166212,0.49783378
-5.29164582,1.45621836,0.04166857,0.00013908,0.02263719,1.09262267,1.15633882,0.47372215
-5.28564282,1.41224290,0.04245324,0.00013791,0.02266150,1.05500490,1.13268972,0.45090015
-5.27963982,1.37042169,0.04317111,0.00013727,0.02264474,1.01939217,1.11113190,0.42946039
-5.27363682,1.33119406,0.04384322,0.00013722,0.02259665,0.98609649,1.09212096,0.40949532
-5.26763382,1.29503497,0.04449350,0.00013781,0.02252859,0.95544990,1.07614099,0.39109847
-5.26163082,1.26244332,0.04514752,0.00013910,0.02245313,0.92779784,1.06369000,0.37436430
-5.25562781,1.23392544,0.04583121,0.00014113,0.02238341,0.90348893,1.05526138,0.35938666
-5.24962481,1.20997462,0.04656934,0.00014397,0.02233252,0.88286190,1.05132196,0.34625603
-5.24362181,1.19104770,0.04738409,0.00014765,0.02231284,0.86623005,1.05228786,0.33505559
-5.23761881,1.17753999,0.04829361,0.00015222,0.02233538,0.85386436,1.05849943,0.32585650
-5.23161581,1.16976003,0.04931074,0.00015768,0.02240912,0.84597613,1.07019655,0.31871261
-5.22561281,1.16790560,0.05044192,0.00016403,0.02254051,0.84270031,1.08749584,0.31365505
