energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.10552810,0.50228883,1.10400509,0.00277126,0.22551596,0.54045250,0.72216153,0.00828239,1.21972337
-5.99399700,3.06855064,0.49087917,1.10609271,0.00261185,0.20785047,0.52273031,0.72108804,0.00804637,1.20511424
-5.98799400,3.03427101,0.48065353,1.10876186,0.00244964,0.19103944,0.50556856,0.72016311,0.00791234,1.19158418
-5.98199100,3.00297047,0.47161525,1.11198761,0.00228691,0.17519792,0.48911378,0.71946998,0.00787893,1.17917728
-5.97598799,2.97474002,0.46371694,1.11569787,0.00212577,0.16040919,0.47347282,0.71905716,0.00794271,1.16785781
-5.96998499,2.94949097,0.45686560,1.11978005,0.00196817,0.14672598,0.45871323,0.71893634,0.00809828,1.15751719
-5.96398199,2.92697121,0.45092895,1.12408919,0.00181580,0.13417243,0.44486471,0.71908160,0.00833840,1.14798355
-5.95797899,2.90678656,0.44574289,1.12845707,0.00167011,0.12274678,0.43192164,0.71942981,0.00865407,1.13903326
-5.95197599,2.88842617,0.44111972,1.13270209,0.00153229,0.11242445,0.41984640,0.71988257,0.00903477,1.13040394
-5.94597299,2.87129090,0.43685669,1.13663918,0.00140322,0.10316154,0.40857349,0.72030939,0.00946863,1.12180848
-5.93996998,2.85472370,0.43274477,1.14008957,0.00128349,0.09489847,0.39801429,0.72055234,0.00994265,1.11294923
-5.93396698,2.83804060,0.42857703,1.14288976,0.00117344,0.08756367,0.38806225,0.72043188,0.01044301,1.10353210
-5.92796398,2.82056143,0.42415666,1.14489950,0.00107312,0.08107716,0.37859832,0.71975378,0.01095531,1.09327975
-5.92196098,2.80163909,0.41930418,1.14600833,0.00098239,0.07535397,0.36949667,0.71831696,0.01146493,1.08194353
-5.91595798,2.78068635,0.41386368,1.14614052,0.00090087,0.07030724,0.36063024,0.71592182,0.01195738,1.06931374
-5.90995498,2.75719937,0.40770803,1.14525811,0.00082803,0.06585101,0.35187625,0.71237897,0.01241859,1.05522785
-5.90395198,2.73077722,0.40074276,1.14336222,0.00076322,0.06190259,0.34312123,0.70751776,0.01283534,1.03957643
-5.89794897,2.70113678,0.39290882,1.14049226,0.00070570,0.05838452,0.33426570,0.70119448,0.01319557,1.02230681
-5.89194597,2.66812265,0.38418393,1.13672352,0.00065465,0.05522613,0.32522813,0.69329973,0.01348869,1.00342421
-5.88594297,2.63171199,0.37458280,1.13216303,0.00060926,0.05236461,0.31594815,0.68376464,0.01370589,0.98299060
-5.87993997,2.59201405,0.36415609,1.12694404,0.00056873,0.04974580,0.30638894,0.67256577,0.01384034,0.96112142
-5.87393697,2.54926487,0.35298838,1.12121934,0.00053228,0.04732449,0.29653864,0.65972826,0.01388742,0.93798029
-5.86793397,2.50381726,0.34119517,1.11515390,0.00049922,0.04506446,0.28641079,0.64532727,0.01384479,0.91377213
-5.86193097,2.45612672,0.32891908,1.10891694,0.00046891,0.04293819,0.27604379,0.62948745,0.01371246,0.88873500
-5.85592796,2.40673399,0.31632542,1.10267405,0.00044083,0.04092632,0.26549941,0.61238066,0.01349271,0.86313102
-5.84992496,2.35624487,0.30359732,1.09657948,0.00041453,0.03901692,0.25486036,0.59422178,0.01319001,0.83723672
-5.84392196,2.30530827,0.29093048,1.09076915,0.00038966,0.03720458,0.24422709,0.57526300,0.01281084,0.81133330
-5.83791896,2.25459332,0.27852779,1.08535442,0.00036598,0.03548941,0.23371398,0.55578671,0.01236342,0.78569714
-5.83191596,2.20476650,0.26659392,1.08041715,0.00034333,0.03387589,0.22344494,0.53609741,0.01185741,0.76059079
-5.82591296,2.15646949,0.25532997,1.07600599,0.00032163,0.03237182,0.21354876,0.51651279,0.01130362,0.73625489
-5.81990995,2.11029866,0.24492833,1.07213413,0.00030086,0.03098711,0.20415430,0.49735460,0.01071357,0.71290114
-5.81390695,2.06678689,0.23556787,1.06877856,0.00028105,0.02973278,0.19538575,0.47893946,0.01009917,0.69070662
-5.80790395,2.02638816,0.22740948,1.06588087,0.00026229,0.02861986,0.18735812,0.46157008,0.00947235,0.66980943
-5.80190095,1.98946547,0.22059203,1.06334940,0.00024468,0.02765851,0.18017312,0.44552722,0.00884467,0.65030593
-5.79589795,1.95628228,0.21522889,1.06106271,0.00022834,0.02685721,0.17391570,0.43106252,0.00822703,0.63224939
-5.78989495,1.92699772,0.21140497,1.05887420,0.00021339,0.02622206,0.16865111,0.41839268,0.00762935,0.61565016
-5.78389195,1.90166537,0.20917439,1.05661759,0.00019995,0.02575626,0.16442286,0.40769487,0.00706040,0.60047725
-5.77788894,1.88023569,0.20855880,1.05411308,0.00018809,0.02545972,0.16125144,0.39910365,0.00652755,0.58666112
-5.77188594,1.86256163,0.20954632,1.05117386,0.00017791,0.02532881,0.15913390,0.39270933,0.00603672,0.57409759
-5.76588294,1.84840719,0.21209133,1.04761283,0.00016943,0.02535633,0.15804427,0.38855782,0.00559222,0.56265277
-5.75987994,1.83745843,0.21611488,1.04324912,0.00016266,0.02553149,0.15793475,0.38665176,0.00519685,0.55216861
-5.75387694,1.82933642,0.22150595,1.03791427,0.00015758,0.02584019,0.15873762,0.38695290,0.00485186,0.54246906
-5.74787394,1.82361161,0.22812346,1.03145781,0.00015414,0.02626529,0.16036781,0.38938548,0.00455704,0.53336654
-5.74187094,1.81981905,0.23579901,1.02375212,0.00015223,0.02678707,0.16272595,0.39384048,0.00431090,0.52466846
-5.73586793,1.81747393,0.24434045,1.01469632,0.00015175,0.02738375,0.16570178,0.40018040,0.00411076,0.51618376
-5.72986493,1.81608686,0.25353601,1.00421925,0.00015255,0.02803208,0.16917787,0.40824444,0.00395299,0.50772905
-5.72386193,1.81517842,0.26315910,0.99228132,0.00015446,0.02870801,0.17303340,0.41785375,0.00383313,0.49913436
-5.71785893,1.81429258,0.27297353,0.97887540,0.00015732,0.02938738,0.17714785,0.42881660,0.00374616,0.49024831
-5.71185593,1.81300854,0.28273917,0.96402665,0.00016092,0.03004658,0.18140467,0.44093323,0.00368667,0.48094245
-5.70585293,1.81095063,0.29221766,0.94779147,0.00016509,0.03066327,0.18569442,0.45400015,0.00364907,0.47111486
-5.69984992,1.80779625,0.30117824,0.93025566,0.00016964,0.03121701,0.18991774,0.46781382,0.00362774,0.46069282
-5.69384692,1.80328139,0.30940335,0.91153184,0.00017438,0.03168988,0.19398759,0.48217356,0.00361727,0.44963450
-5.68784392,1.79720398,0.31669383,0.89175649,0.00017914,0.03206693,0.19783109,0.49688361,0.00361252,0.43792969
-5.68184092,1.78942485,0.32287359,0.87108653,0.00018376,0.03233666,0.20139062,0.51175443,0.00360885,0.42559967
-5.67583792,1.77986660,0.32779360,0.84969572,0.00018812,0.03249133,0.20462436,0.52660313,0.00360211,0.41269609
-5.66983492,1.76851045,0.33133495,0.82777108,0.00019207,0.03252710,0.20750616,0.54125331,0.00358880,0.39929904
-5.66383192,1.75539144,0.33341100,0.80550930,0.00019554,0.03244412,0.21002484,0.55553428,0.00356608,0.38551442
-5.65782891,1.74059222,0.33396851,0.78311340,0.00019843,0.03224648,0.21218295,0.56928001,0.00353180,0.37147070
-5.65182591,1.72423590,0.33298775,0.76078952,0.00020069,0.03194200,0.21399512,0.58232784,0.00348448,0.35731505
-5.64582291,1.70647821,0.33048159,0.73874409,0.00020227,0.03154190,0.21548602,0.59451740,0.00342331,0.34320922
-5.63981991,1.68749946,0.32649369,0.71718117,0.00020316,0.03106037,0.21668816,0.60568965,0.00334807,0.32932510
-5.63381691,1.66749662,0.32109587,0.69630009,0.00020334,0.03051408,0.21763947,0.61568666,0.00325912,0.31584012
-5.62781391,1.64667586,0.31438478,0.67629327,0.00020283,0.02992155,0.21838102,0.62435181,0.00315725,0.30293263
-5.62181091,1.62524569,0.30647808,0.65734408,0.00020163,0.02930254,0.21895471,0.63153098,0.00304368,0.29077741
-5.61580790,1.60341106,0.29751030,0.63962483,0.00019977,0.02867733,0.21940120,0.63707448,0.00291990,0.27954126
-5.60980490,1.58136838,0.28762844,0.62329467,0.00019727,0.02806607,0.21975819,0.64083981,0.00278763,0.26937893
-5.60380190,1.55930150,0.27698771,0.60849745,0.00019418,0.02748809,0.22005886,0.64269517,0.00264869,0.26042928
-5.59779890,1.53737870,0.26574725,0.59535936,0.00019051,0.02696130,0.22033081,0.64252355,0.00250497,0.25281192
-5.59179590,1.51575048,0.25406629,0.58398656,0.00018631,0.02650164,0.22059526,0.64022714,0.00235833,0.24662423
-5.58579290,1.49454809,0.24210055,0.57446266,0.00018161,0.02612256,0.22086663,0.63573190,0.00221054,0.24193885
-5.57978989,1.47388252,0.22999915,0.56684616,0.00017645,0.02583470,0.22115247,0.62899185,0.00206325,0.23880174
-5.57378689,1.45384403,0.21790205,0.56116805,0.00017086,0.02564555,0.22145357,0.61999291,0.00191794,0.23723079
-5.56778389,1.43450185,0.20593796,0.55742964,0.00016488,0.02555934,0.22176442,0.60875595,0.00177587,0.23721508
-5.56178089,1.41590408,0.19422279,0.55560072,0.00015854,0.02557699,0.22207376,0.59533878,0.00163815,0.23871471
-5.55577789,1.39807771,0.18285861,0.55561847,0.00015188,0.02569613,0.22236533,0.57983693,0.00150563,0.24166134
-5.54977489,1.38102882,0.17193309,0.55738698,0.00014493,0.02591133,0.22261865,0.56238309,0.00137901,0.24595947
-5.54377189,1.36474296,0.16151933,0.56077781,0.00013776,0.02621439,0.22280991,0.54314515,0.00125877,0.25148827
-5.53776888,1.34918577,0.15167614,0.56563153,0.00013039,0.02659464,0.22291283,0.52232287,0.00114524,0.25810424
-5.53176588,1.33430408,0.14244865,0.57176046,0.00012287,0.02703942,0.22289954,0.50014340,0.00103861,0.26564430
-5.52576288,1.32002744,0.13386913,0.57895249,0.00011527,0.02753457,0.22274149,0.47685567,0.00093895,0.27392960
-5.51975988,1.30627037,0.12595821,0.58697604,0.00010763,0.02806495,0.22241024,0.45272412,0.00084621,0.28276971
-5.51375688,1.29293521,0.11872617,0.59558603,0.00010000,0.02861496,0.22187831,0.42802188,0.00076029,0.29196705
-5.50775388,1.27991578,0.11217453,0.60453059,0.00009245,0.02916908,0.22111991,0.40302386,0.00068104,0.30132171
-5.50175088,1.26710170,0.10629770,0.61355844,0.00008504,0.02971238,0.22011164,0.37799996,0.00060827,0.31063604
-5.49574787,1.25438335,0.10108483,0.62242655,0.00007780,0.03023095,0.21883314,0.35320882,0.00054177,0.31971936
-5.48974487,1.24165737,0.09652172,0.63090784,0.00007081,0.03071232,0.21726761,0.32889225,0.00048134,0.32839212
-5.48374187,1.22883247,0.09259285,0.63879865,0.00006411,0.03114579,0.21540231,0.30527069,0.00042679,0.33648976
-5.47773887,1.21583539,0.08928342,0.64592565,0.00005774,0.03152265,0.21322885,0.28253972,0.00037796,0.34386592
-5.47173587,1.20261688,0.08658154,0.65215204,0.00005176,0.03183636,0.21074342,0.26086779,0.00033471,0.35039494
-5.46573287,1.18915742,0.08448037,0.65738278,0.00004618,0.03208265,0.20794692,0.24039522,0.00029698,0.35597366
-5.45972986,1.17547254,0.08298028,0.66156877,0.00004106,0.03225950,0.20484489,0.22123429,0.00026474,0.36052236
-5.45372686,1.16161771,0.08209106,0.66470994,0.00003641,0.03236710,0.20144738,0.20347052,0.00023805,0.36398506
-5.44772386,1.14769254,0.08183402,0.66685726,0.00003227,0.03240774,0.19776868,0.18716480,0.00021704,0.36632901
-5.44172086,1.13384442,0.08224406,0.66811361,0.00002865,0.03238564,0.19382703,0.17235631,0.00020194,0.36754368
-5.43571786,1.12027143,0.08337155,0.66863386,0.00002559,0.03230678,0.18964420,0.15906604,0.00019310,0.36763923
-5.42971486,1.10722457,0.08528409,0.66862404,0.00002309,0.03217872,0.18524516,0.14730058,0.00019097,0.36664463
-5.42371186,1.09500933,0.08806797,0.66833991,0.00002120,0.03201039,0.18065763,0.13705607,0.00019616,0.36460567
-5.41770885,1.08398653,0.09182927,0.66808490,0.00001994,0.03181189,0.17591185,0.12832215,0.00020942,0.36158273
-5.41170585,1.07457233,0.09669456,0.66820772,0.00001935,0.03159434,0.17104025,0.12108550,0.00023169,0.35764879
-5.40570285,1.06723737,0.10281099,0.66909937,0.00001946,0.03136972,0.16607732,0.11533317,0.00026404,0.35288738
-5.39969985,1.06250489,0.11034581,0.67118994,0.00002033,0.03115067,0.16105947,0.11105516,0.00030776,0.34739079
-5.39369685,1.06094758,0.11948500,0.67494475,0.00002202,0.03095041,0.15602503,0.10824653,0.00036430,0.34125849
-5.38769385,1.06318296,0.13043114,0.68086007,0.00002460,0.03078251,0.15101425,0.10690864,0.00043531,0.33459564
-5.38169085,1.06986709,0.14340029,0.68945801,0.00002814,0.03066078,0.14606932,0.10704980,0.00052258,0.32751178
-5.37568784,1.08168641,0.15861781,0.70128073,0.00003274,0.03059903,0.14123434,0.10868504,0.00062805,0.32011960
-5.36968484,1.09934749,0.17631326,0.71688352,0.00003849,0.03061089,0.13655526,0.11183522,0.00075381,0.31253372
-5.36368184,1.12356469,0.19671419,0.73682699,0.00004549,0.03070945,0.13207965,0.11652549,0.00090198,0.30486941
-5.35767884,1.15504576,0.22003909,0.76166806,0.00005385,0.03090702,0.12785641,0.12278314,0.00107474,0.29724120
-5.35167584,1.19447557,0.24648952,0.79194993,0.00006367,0.03121472,0.12393516,0.13063507,0.00127423,0.28976140
-5.34567284,1.24249826,0.27624173,0.82819109,0.00007506,0.03164207,0.12036563,0.14010484,0.00150248,0.28253851
-5.33966983,1.29969838,0.30943786,0.87087359,0.00008812,0.03219662,0.11719673,0.15120964,0.00176135,0.27567547
-5.33366683,1.36658153,0.34617734,0.92043091,0.00010292,0.03288346,0.11447553,0.16395725,0.00205243,0.26926796
-5.32766383,1.44355541,0.38650850,0.97723565,0.00011954,0.03370485,0.11224614,0.17834319,0.00237696,0.26340267
-5.32166083,1.53091190,0.43042111,1.04158768,0.00013803,0.03465985,0.11054845,0.19434814,0.00273576,0.25815574
-5.31565783,1.62881121,0.47784007,1.11370305,0.00015841,0.03574398,0.10941699,0.21193601,0.00312908,0.25359145
-5.30965483,1.73726883,0.52862075,1.19370419,0.00018068,0.03694909,0.10887970,0.23105255,0.00355660,0.24976125
-5.30365183,1.85614607,0.58254629,1.28161191,0.00020480,0.03826319,0.10895693,0.25162475,0.00401731,0.24670320
-5.29764882,1.98514480,0.63932729,1.37733943,0.00023071,0.03967055,0.10966064,0.27356112,0.00450947,0.24444188
-5.29164582,2.12380698,0.69860399,1.48068902,0.00025831,0.04115185,0.11099374,0.29675283,0.00503056,0.24298888
-5.28564282,2.27151897,0.75995116,1.59135122,0.00028746,0.04268452,0.11294985,0.32107564,0.00557731,0.24234377
-5.27963982,2.42752089,0.82288576,1.70890693,0.00031801,0.04424325,0.11551324,0.34639272,0.00614566,0.24249546
-5.27363682,2.59092061,0.88687711,1.83283226,0.00034977,0.04580055,0.11865916,0.37255806,0.00673082,0.24342410
-5.26763382,2.76071190,0.95135948,1.96250602,0.00038253,0.04732748,0.12235451,0.39942043,0.00732734,0.24510313
-5.26163082,2.93579613,1.01574665,2.09721963,0.00041610,0.04879449,0.12655864,0.42682757,0.00792921,0.24750156
-5.25562781,3.11500643,1.07944785,2.23618910,0.00045024,0.05017223,0.13122456,0.45463051,0.00852999,0.25058615
-5.24962481,3.29713352,1.14188470,2.37856855,0.00048476,0.05143243,0.13630020,0.48268759,0.00912291,0.25432361
-5.24362181,3.48095181,1.20250824,2.52346497,0.00051947,0.05254876,0.14172983,0.51086806,0.00970108,0.25868229
-5.23761881,3.66524490,1.26081545,2.66995353,0.00055420,0.05349765,0.14745547,0.53905494,0.01025767,0.26363369
-5.23161581,3.84882928,1.31636454,2.81709299,0.00058883,0.05425890,0.15341834,0.56714693,0.01078605,0.26915326
