energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,1.64160766,0.02129701,0.05798282,0.00833932,1.03392465,0.70785649,0.11718587,0.61972902,0.26579629
-5.99399700,1.59373011,0.02127238,0.05286435,0.00874417,1.00973622,0.67824325,0.11420050,0.60577150,0.26000306
-5.98799400,1.56225419,0.02151003,0.04829467,0.00924261,0.99591479,0.65491376,0.11250030,0.59777750,0.25698374
-5.98199100,1.54742987,0.02199630,0.04427675,0.00983451,0.99263845,0.63798775,0.11210661,0.59584540,0.25678436
-5.97598799,1.54921397,0.02271294,0.04080303,0.01051839,0.99990174,0.62746402,0.11301980,0.59996269,0.25940255
-5.96998499,1.56728307,0.02363740,0.03785656,0.01129135,1.01752239,0.62322802,0.11522007,0.61001056,0.26478863
-5.96398199,1.60105041,0.02474329,0.03541237,0.01214912,1.04515064,0.62506114,0.11866857,0.62576995,0.27284739
-5.95797899,1.64968599,0.02600091,0.03343878,0.01308604,1.08228054,0.63265120,0.12330869,0.64692892,0.28344043
-5.95197599,1.71213896,0.02737777,0.03189883,0.01409523,1.12826279,0.64560358,0.12906741,0.67309089,0.29638895
-5.94597299,1.78716174,0.02883920,0.03075162,0.01516862,1.18231880,0.66345268,0.13585678,0.70378362,0.31147701
-5.93996998,1.87333533,0.03034901,0.02995363,0.01629721,1.24355555,0.68567335,0.14357543,0.73846864,0.32845508
-5.93396698,1.96909530,0.03187023,0.02945990,0.01747116,1.31098115,0.71169194,0.15211017,0.77655101,0.34704400
-5.92796398,2.07275825,0.03336582,0.02922515,0.01868004,1.38352082,0.74089705,0.16133758,0.81738942,0.36693916
-5.92196098,2.18254860,0.03479945,0.02920474,0.01991301,1.46003334,0.77264959,0.17112572,0.86030636,0.38781509
-5.91595798,2.29662547,0.03613630,0.02935547,0.02115905,1.53932785,0.80629250,0.18133579,0.90459856,0.40933021
-5.90995498,2.41310968,0.03734381,0.02963630,0.02240709,1.62018089,0.84115987,0.19182399,0.94954757,0.43113202
-5.90395198,2.53011074,0.03839243,0.03000888,0.02364625,1.70135387,0.87658580,0.20244330,0.99443046,0.45286239
-5.89794897,2.64575372,0.03925625,0.03043800,0.02486593,1.78161064,0.91191291,0.21304541,1.03853067,0.47416316
-5.89194597,2.75820593,0.03991369,0.03089188,0.02605593,1.85973531,0.94650072,0.22348267,1.08114892,0.49468187
-5.88594297,2.86570314,0.04034785,0.03134236,0.02720653,1.93454998,0.97973392,0.23361007,1.12161409,0.51407763
-5.87993997,2.96657509,0.04054699,0.03176500,0.02830852,2.00493234,1.01103055,0.24328725,1.15929390,0.53202690
-5.87393697,3.05926988,0.04050467,0.03213914,0.02935320,2.06983273,1.03985004,0.25238049,1.19360528,0.54822922
-5.86793397,3.14237699,0.04021984,0.03244775,0.03033234,2.12829050,1.06570110,0.26076463,1.22402421,0.56241267
-5.86193097,3.21464827,0.03969672,0.03267738,0.03123817,2.17944920,1.08814919,0.26832491,1.25009470,0.57433891
-5.85592796,3.27501656,0.03894457,0.03281794,0.03206328,2.22257035,1.10682355,0.27495869,1.27143676,0.58380773
-5.84992496,3.32261139,0.03797730,0.03286250,0.03280060,2.25704519,1.12142331,0.28057698,1.28775303,0.59066083
-5.84392196,3.35677133,0.03681291,0.03280703,0.03344334,2.28240442,1.13172268,0.28510575,1.29883382,0.59478484
-5.83791896,3.37705253,0.03547289,0.03265013,0.03398498,2.29832511,1.13757474,0.28848701,1.30456032,0.59611337
-5.83191596,3.38323306,0.03398146,0.03239270,0.03441927,2.30463495,1.13891372,0.29067962,1.30490587,0.59462796
-5.82591296,3.37531296,0.03236485,0.03203770,0.03474030,2.30131326,1.13575540,0.29165975,1.29993503,0.59035800
-5.81990995,3.35350963,0.03065050,0.03158980,0.03494261,2.28848884,1.12819568,0.29142102,1.28980047,0.58337942
-5.81390695,3.31824871,0.02886622,0.03105507,0.03502127,2.26643451,1.11640693,0.28997437,1.27473768,0.57381225
-5.80790395,3.27015047,0.02703953,0.03044073,0.03497211,2.23555840,1.10063242,0.28734752,1.25505756,0.56181713
-5.80190095,3.21001202,0.02519689,0.02975480,0.03479190,2.19639223,1.08117864,0.28358411,1.23113711,0.54759078
-5.79589795,3.13878570,0.02336316,0.02900588,0.03447857,2.14957669,1.05840588,0.27874254,1.20340841,0.53136055
-5.78989495,3.05755423,0.02156104,0.02820287,0.03403141,2.09584448,1.03271722,0.27289452,1.17234626,0.51337833
-5.78389195,2.96750321,0.01981071,0.02735476,0.03345128,2.03600131,1.00454635,0.26612334,1.13845490,0.49391393
-5.77788894,2.86989181,0.01812951,0.02647038,0.03274079,1.97090558,0.97434465,0.25852190,1.10225413,0.47324811
-5.77188594,2.76602244,0.01653176,0.02555823,0.03190441,1.90144715,0.94256791,0.25019064,1.06426548,0.45166556
-5.76588294,2.65721039,0.01502874,0.02462634,0.03094854,1.82852605,0.90966337,0.24123527,1.02499873,0.42944811
-5.75987994,2.54475428,0.01362866,0.02368211,0.02988149,1.75303172,0.87605740,0.23176451,0.98493935,0.40686822
-5.75387694,2.42990825,0.01233679,0.02273220,0.02871342,1.67582348,0.84214447,0.22188778,0.94453729,0.38418313
-5.74787394,2.31385688,0.01115568,0.02178250,0.02745617,1.59771277,0.80827769,0.21171303,0.90419749,0.36162980
-5.74187094,2.19769340,0.01008535,0.02083802,0.02612305,1.51944785,0.77476144,0.20134468,0.86427246,0.33942073
-5.73586793,2.08240205,0.00912365,0.01990292,0.02472850,1.44170143,0.74184622,0.19088175,0.82505710,0.31774087
-5.72986493,1.96884490,0.00826650,0.01898055,0.02328785,1.36506137,0.70972595,0.18041626,0.78678598,0.29674560
-5.72386193,1.85775350,0.00750827,0.01807344,0.02181683,1.29002498,0.67853775,0.17003195,0.74963298,0.27655976
-5.71785893,1.74972548,0.00684210,0.01718339,0.02033129,1.21699670,0.64836404,0.15980328,0.71371340,0.25727788
-5.71185593,1.64522593,0.00626024,0.01631159,0.01884671,1.14628925,0.61923694,0.14979483,0.67908810,0.23896530
-5.70585293,1.54459316,0.00575434,0.01545869,0.01737792,1.07812791,0.59114445,0.14006105,0.64576965,0.22166019
-5.69984992,1.44804852,0.00531575,0.01462496,0.01593869,1.01265761,0.56403818,0.13064631,0.61372990,0.20537630
-5.69384692,1.35570943,0.00493577,0.01381037,0.01454149,0.94995236,0.53784213,0.12158527,0.58290875,0.19010633
-5.68784392,1.26760487,0.00460591,0.01301473,0.01319725,0.89002637,0.51246199,0.11290359,0.55322347,0.17582554
-5.68184092,1.18369254,0.00431804,0.01223784,0.01191518,0.83284628,0.48779461,0.10461874,0.52457827,0.16249563
-5.67583792,1.10387668,0.00406456,0.01147953,0.01070268,0.77834389,0.46373699,0.09674111,0.49687355,0.15006866
-5.66983492,1.02802576,0.00383856,0.01073980,0.00956534,0.72642870,0.44019449,0.08927513,0.47001447,0.13849069
-5.66383192,0.95598913,0.00363388,0.01001884,0.00850693,0.67699970,0.41708783,0.08222043,0.44391844,0.12770522
-5.65782891,0.88761212,0.00344514,0.00931711,0.00752951,0.62995596,0.39435872,0.07557306,0.41852123,0.11765615
-5.65182591,0.82274876,0.00326785,0.00863531,0.00663358,0.58520549,0.37197374,0.06932654,0.39378161,0.10829023
-5.64582291,0.76127198,0.00309831,0.00797439,0.00581822,0.54267228,0.34992662,0.06347289,0.36968420,0.09955903
-5.63981991,0.70308085,0.00293367,0.00733556,0.00508133,0.50230117,0.32823873,0.05800343,0.34624073,0.09142024
