energy_ev,total_up,Ag_p_up,Ag_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.01886165,1.46208822,2.76011997,1.18921803,0.34819936,0.00226549,0.50497883,0.01279925,1.06464483
-5.99399700,5.11088255,1.47120551,2.79828067,1.22567145,0.36616985,0.00218363,0.50500065,0.01268471,1.10514199
-5.98799400,5.20532130,1.48319812,2.83621279,1.26354931,0.38520540,0.00212300,0.50449957,0.01255087,1.14761009
-5.98199100,5.30162895,1.49806481,2.87368677,1.30251437,0.40520949,0.00208349,0.50349373,0.01240346,1.19178053
-5.97598799,5.39924829,1.51576512,2.91050138,1.34221129,0.42606616,0.00206500,0.50202054,0.01224911,1.23734559
-5.96998499,5.49760828,1.53621492,2.94648118,1.38227040,0.44763976,0.00206743,0.50013499,0.01209518,1.28395853
-5.96398199,5.59611605,1.55928208,2.98147145,1.42231162,0.46977506,0.00209062,0.49790695,0.01194948,1.33123477
-5.95797899,5.69414722,1.58478248,3.01533092,1.46194866,0.49229785,0.00213438,0.49541770,0.01182004,1.37875417
-5.95197599,5.79103534,1.61247678,3.04792282,1.50079313,0.51501594,0.00219844,0.49275575,0.01171473,1.42606447
-5.94597299,5.88606144,1.64206815,3.07910473,1.53845861,0.53772078,0.00228244,0.49001223,0.01164104,1.47268597
-5.93996998,5.97844472,1.67320139,3.10871818,1.57456463,0.56018955,0.00238585,0.48727603,0.01160570,1.51811733
-5.93396698,6.06733540,1.70546357,3.13657854,1.60874036,0.58218777,0.00250799,0.48462891,0.01161439,1.56184249
-5.92796398,6.15181072,1.73838654,3.16246611,1.64062813,0.60347254,0.00264796,0.48214088,0.01167150,1.60333853
-5.92196098,6.23087511,1.77145123,3.18611929,1.66988671,0.62379614,0.00280461,0.47986609,0.01177985,1.64208433
-5.91595798,6.30346518,1.80409410,3.20723034,1.69619441,0.64291015,0.00297653,0.47783932,0.01194052,1.67756976
-5.90995498,6.36846016,1.83571544,3.22544450,1.71925208,0.66056995,0.00316199,0.47607350,0.01215273,1.70930542
-5.90395198,6.42469821,1.86568966,3.24036293,1.73878607,0.67653944,0.00335897,0.47455814,0.01241374,1.73683236
-5.89794897,6.47099864,1.89337725,3.25154969,1.75455124,0.69059602,0.00356516,0.47325907,0.01271890,1.75973180
-5.89194597,6.50618978,1.91813832,3.25854293,1.76633417,0.70253555,0.00377793,0.47211927,0.01306168,1.77763464
-5.88594297,6.52914215,1.93934731,3.26087003,1.77395658,0.71217734,0.00399441,0.47106102,0.01343385,1.79023029
-5.87993997,6.53880590,1.95640850,3.25806650,1.77727898,0.71936886,0.00421147,0.46998922,0.01382572,1.79727488
-5.87393697,6.53425149,1.96877213,3.24969775,1.77620464,0.72399020,0.00442584,0.46879574,0.01422638,1.79859849
-5.86793397,6.51471221,1.97595024,3.23538313,1.77068368,0.72595795,0.00463413,0.46736474,0.01462406,1.79411124
-5.86193097,6.47962672,1.97753227,3.21482112,1.76071735,0.72522854,0.00483292,0.46557868,0.01500652,1.78380810
-5.85592796,6.42867987,1.97319936,3.18781443,1.74636200,0.72180075,0.00501884,0.46332470,0.01536145,1.76777211
-5.84992496,6.36183971,1.96273729,3.15429385,1.72773285,0.71571735,0.00518867,0.46050130,0.01567687,1.74617602
-5.84392196,6.27938878,1.94604718,3.11433936,1.70500692,0.70706572,0.00533940,0.45702473,0.01594156,1.71928207
-5.83791896,6.18194753,1.92315371,3.06819742,1.67842503,0.69597740,0.00546837,0.45283507,0.01614545,1.68743982
-5.83191596,6.07048828,1.89421015,3.01629299,1.64829240,0.68262644,0.00557329,0.44790144,0.01627995,1.65108191
-5.82591296,5.94633804,1.85950012,2.95923548,1.61497751,0.66722657,0.00565234,0.44222621,0.01633825,1.61071771
-5.81990995,5.81116913,1.81943549,2.89781765,1.57890907,0.65002718,0.00570425,0.43584796,0.01631554,1.56692487
-5.81390695,5.66697693,1.77455047,2.83300701,1.54057069,0.63130820,0.00572828,0.42884295,0.01620917,1.52033877
-5.80790395,5.51604450,1.72549170,2.76592957,1.50049336,0.61137394,0.00572430,0.42132489,0.01601868,1.47164007
-5.80190095,5.36089473,1.67300453,2.69784600,1.45924561,0.59054602,0.00569276,0.41344320,0.01574582,1.42154047
-5.79589795,5.20423080,1.61791573,2.63012083,1.41742152,0.56915563,0.00563465,0.40537939,0.01539442,1.37076719
-5.78989495,5.04886676,1.56111303,2.56418547,1.37562695,0.54753533,0.00555152,0.39734204,0.01497021,1.32004623
-5.78389195,4.89765033,1.50352211,2.50149639,1.33446428,0.52601065,0.00544535,0.38956018,0.01448057,1.27008529
-5.77788894,4.75338042,1.44608168,2.44348974,1.29451627,0.50489171,0.00531854,0.38227555,0.01393424,1.22155645
-5.77188594,4.61872256,1.38971749,2.39153425,1.25632971,0.48446526,0.00517377,0.37573385,0.01334099,1.17507947
-5.76588294,4.49612512,1.33531621,2.34688421,1.22039939,0.46498736,0.00501394,0.37017544,0.01271120,1.13120626
-5.75987994,4.38773979,1.28370002,2.31063427,1.18715320,0.44667699,0.00484204,0.36582572,0.01205557,1.09040688
-5.75387694,4.29534928,1.23560279,2.28367811,1.15693901,0.42971075,0.00466108,0.36288565,0.01138470,1.05305791
