energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.55545563,0.00192143,0.73063682,0.28723160,0.03291692,0.94662238,0.53224811,0.75804229
-5.99399700,2.61498274,0.00192221,0.75949371,0.28451989,0.03215690,0.95540252,0.55166386,0.78442373
-5.98799400,2.66678967,0.00193377,0.78533392,0.28079031,0.03130521,0.96214415,0.57084943,0.80772293
-5.98199100,2.71030363,0.00195866,0.80769092,0.27609227,0.03038793,0.96698840,0.58961748,0.82754369
-5.97598799,2.74517943,0.00199950,0.82616060,0.27050771,0.02943208,0.97016685,0.60784219,0.84355364
-5.96998499,2.77130754,0.00205887,0.84041406,0.26414735,0.02846471,0.97199243,0.62546380,0.85549402
-5.96398199,2.78881398,0.00213924,0.85020816,0.25714579,0.02751199,0.97284690,0.64249038,0.86318739
-5.95797899,2.79805213,0.00224293,0.85539357,0.24965576,0.02659840,0.97316547,0.65899650,0.86654283
-5.95197599,2.79958643,0.00237200,0.85591985,0.24184186,0.02574597,0.97341914,0.67511890,0.86555842
-5.94597299,2.79416860,0.00252820,0.85183713,0.23387399,0.02497359,0.97409558,0.69104913,0.86032092
-5.93996998,2.78270734,0.00271292,0.84329443,0.22592085,0.02429651,0.97567922,0.70702360,0.85100246
-5.93396698,2.76623257,0.00292709,0.83053457,0.21814373,0.02372600,0.97863163,0.72331118,0.83785454
-5.92796398,2.74585578,0.00317121,0.81388583,0.21069097,0.02326910,0.98337269,0.74019908,0.82119953
-5.92196098,2.72272804,0.00344525,0.79375075,0.20369312,0.02292856,0.99026370,0.75797744,0.80141990
-5.91595798,2.69799758,0.00374866,0.77059252,0.19725922,0.02270295,0.99959286,0.77692353,0.77894586
-5.90995498,2.67276856,0.00408036,0.74491952,0.19147415,0.02258694,1.01156386,0.79728601,0.75424175
-5.90395198,2.64806290,0.00443875,0.71726885,0.18639714,0.02257160,1.02628793,0.81927027,0.72779192
-5.89794897,2.62478670,0.00482171,0.68818925,0.18206149,0.02264500,1.04377973,0.84302528,0.70008648
-5.89194597,2.60370244,0.00522665,0.65822448,0.17847543,0.02279267,1.06395701,0.86863279,0.67160773
-5.88594297,2.58540816,0.00565056,0.62789759,0.17562394,0.02299834,1.08664413,0.89609923,0.64281757
-5.87993997,2.57032411,0.00609000,0.59769683,0.17347152,0.02324458,1.11157893,0.92535072,0.61414648
-5.87393697,2.55868706,0.00654124,0.56806357,0.17196549,0.02351346,1.13842275,0.95623136,0.58598427
-5.86793397,2.55055223,0.00700026,0.53938280,0.17103989,0.02378726,1.16677279,0.98850492,0.55867300
-5.86193097,2.54580216,0.00746286,0.51197627,0.17061954,0.02404905,1.19617635,1.02185965,0.53250201
-5.85592796,2.54416166,0.00792468,0.48609839,0.17062413,0.02428326,1.22614600,1.05591596,0.50770517
