energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,2.51097148,0.00573695,0.17985245,1.20913953,1.18036109,0.01676844,0.84711784
-5.99399700,2.49477256,0.00614939,0.17984499,1.19705517,1.17268606,0.01649251,0.83965389
-5.98799400,2.47605685,0.00658856,0.17958433,1.18313025,1.16342708,0.01619093,0.83147754
-5.98199100,2.45515649,0.00705173,0.17913215,1.16749515,1.15278345,0.01586774,0.82262588
-5.97598799,2.43249433,0.00753531,0.17856170,1.15033535,1.14099777,0.01552782,0.81316048
-5.96998499,2.40856327,0.00803481,0.17795553,1.13188343,1.12834579,0.01517675,0.80316188
-5.96398199,2.38390359,0.00854488,0.17740284,1.11240998,1.11512558,0.01482066,0.79272379
-5.95797899,2.35907959,0.00905938,0.17699654,1.09221353,1.10164639,0.01446600,0.78194725
-5.95197599,2.33465640,0.00957148,0.17683012,1.07161016,1.08821767,0.01411945,0.77093506
-5.94597299,2.31117802,0.01007379,0.17699440,1.05092310,1.07513880,0.01378772,0.75978676
-5.93996998,2.28914743,0.01055851,0.17757437,1.03047279,1.06268966,0.01347747,0.74859449
-5.93396698,2.26900925,0.01101765,0.17864618,1.01056761,1.05112255,0.01319516,0.73743952
-5.92796398,2.25113575,0.01144320,0.18027432,0.99149569,1.04065550,0.01294700,0.72639002
-5.92196098,2.23581627,0.01182736,0.18250926,0.97351796,1.03146717,0.01273888,0.71549958
-5.91595798,2.22325048,0.01216277,0.18538549,0.95686262,1.02369342,0.01257632,0.70480686
-5.90995498,2.21354543,0.01244270,0.18892015,0.94172110,1.01742562,0.01246446,0.69433601
-5.90395198,2.20671630,0.01266126,0.19311228,0.92824569,1.01271054,0.01240803,0.68409796
-5.89794897,2.20269077,0.01281360,0.19794265,0.91654861,1.00955187,0.01241137,0.67409223
-5.89194597,2.20131656,0.01289601,0.20337438,0.90670278,1.00791314,0.01247839,0.66430936
-5.88594297,2.20237195,0.01290606,0.20935413,0.89874390,1.00772204,0.01261260,0.65473355
-5.87993997,2.20557852,0.01284271,0.21581393,0.89267387,1.00887572,0.01281711,0.64534561
-5.87393697,2.21061588,0.01270626,0.22267364,0.88846527,1.01124715,0.01309457,0.63612585
-5.86793397,2.21713749,0.01249842,0.22984378,0.88606670,1.01469198,0.01344722,0.62705691
-5.86193097,2.22478710,0.01222221,0.23722879,0.88540874,1.01905588,0.01387682,0.61812634
-5.85592796,2.23321512,0.01188189,0.24473046,0.88641017,1.02418197,0.01438465,0.60932884
-5.84992496,2.24209409,0.01148283,0.25225146,0.88898417,1.02991807,0.01497142,0.60066809
-5.84392196,2.25113284,0.01103133,0.25969880,0.89304427,1.03612345,0.01563728,0.59215800
-5.83791896,2.26008854,0.01053450,0.26698704,0.89850956,1.04267486,0.01638174,0.58382341
-5.83191596,2.26877629,0.01000000,0.27404118,0.90530917,1.04947159,0.01720359,0.57570024
-5.82591296,2.27707568,0.00943585,0.28079900,0.91338555,1.05643926,0.01810089,0.56783497
-5.81990995,2.28493434,0.00885025,0.28721288,0.92269651,1.06353232,0.01907086,0.56028351
-5.81390695,2.29236798,0.00825136,0.29325097,0.93321590,1.07073506,0.02010987,0.55310960
-5.80790395,2.29945743,0.00764712,0.29889762,0.94493295,1.07806117,0.02121333,0.54638266
-5.80190095,2.30634259,0.00704505,0.30415321,0.95785027,1.08555189,0.02237571,0.54017539
-5.79589795,2.31321382,0.00645215,0.30903328,0.97198072,1.09327296,0.02359047,0.53456097
-5.78989495,2.32030140,0.00587474,0.31356710,0.98734335,1.10131049,0.02485008,0.52961031
-5.78389195,2.32786361,0.00531842,0.31779578,1.00395871,1.10976616,0.02614600,0.52538928
-5.77788894,2.33617427,0.00478793,0.32177004,1.02184387,1.11875200,0.02746874,0.52195620
-5.77188594,2.34551059,0.00428719,0.32554770,1.04100748,1.12838526,0.02880790,0.51935969
-5.76588294,2.35614205,0.00381926,0.32919116,1.06144532,1.13878361,0.03015231,0.51763706
-5.75987994,2.36832108,0.00338640,0.33276495,1.08313657,1.15006115,0.03149013,0.51681336
-5.75387694,2.38227626,0.00299005,0.33633345,1.10604122,1.16232560,0.03280903,0.51690114
-5.74787394,2.39820836,0.00263096,0.33995894,1.13009874,1.17567677,0.03409643,0.51790106
-5.74187094,2.41628962,0.00230925,0.34370008,1.15522821,1.19020661,0.03533969,0.51980322
-5.73586793,2.43666637,0.00202449,0.34761087,1.18133000,1.20600088,0.03652644,0.52258933
-5.72986493,2.45946465,0.00177579,0.35174004,1.20828881,1.22314234,0.03764484,0.52623547
-5.72386193,2.48479866,0.00156193,0.35613105,1.23597801,1.24171520,0.03868393,0.53071543
-5.71785893,2.51278118,0.00138145,0.36082243,1.26426501,1.26181065,0.03963393,0.53600434
-5.71185593,2.54353543,0.00123274,0.36584858,1.29301724,1.28353297,0.04048659,0.54208246
-5.70585293,2.57720717,0.00111412,0.37124078,1.32210835,1.30700568,0.04123546,0.54893887
-5.69984992,2.61397623,0.00102394,0.37702849,1.35142426,1.33237728,0.04187616,0.55657471
-5.69384692,2.65406630,0.00096063,0.38324050,1.38086847,1.35982587,0.04240665,0.56500596
-5.68784392,2.69775205,0.00092275,0.38990614,1.41036632,1.38956218,0.04282732,0.57426529
-5.68184092,2.74536262,0.00090909,0.39705619,1.43986770,1.42183052,0.04314118,0.58440299
-5.67583792,2.79728081,0.00091860,0.40472339,1.46934796,1.45690719,0.04335380,0.59548664
-5.66983492,2.85393741,0.00095050,0.41294257,1.49880687,1.49509600,0.04347328,0.60759971
-5.66383192,2.91580043,0.00100422,0.42175018,1.52826535,1.53672096,0.04351010,0.62083871
-5.65782891,2.98335916,0.00107941,0.43118332,1.55776019,1.58211587,0.04347686,0.63530924
-5.65182591,3.05710343,0.00117591,0.44127806,1.58733682,1.63161121,0.04338795,0.65112087
-5.64582291,3.13749862,0.00129372,0.45206735,1.61704045,1.68551859,0.04325916,0.66838101
-5.63981991,3.22495719,0.00143294,0.46357829,1.64690594,1.74411316,0.04310719,0.68718807
-5.63381691,3.31980781,0.00159369,0.47582912,1.67694692,1.80761481,0.04294916,0.70762409
-5.62781391,3.42226336,0.00177608,0.48882583,1.70714471,1.87616863,0.04280199,0.72974713
-5.62181091,3.53238914,0.00198013,0.50255873,1.73743773,1.94982575,0.04268185,0.75358385
-5.61580790,3.65007279,0.00220566,0.51699908,1.76771184,2.02852509,0.04260361,0.77912237
-5.60980490,3.77499732,0.00245223,0.53209590,1.79779249,2.11207717,0.04258024,0.80630608
-5.60380190,3.90661886,0.00271910,0.54777330,1.82743902,2.20015070,0.04262232,0.83502833
-5.59779890,4.04415032,0.00300511,0.56392837,1.85634176,2.29226271,0.04273762,0.86512865
-5.59179590,4.18655228,0.00330864,0.58042997,1.88412225,2.38777312,0.04293070,0.89639044
-5.58579290,4.33253217,0.00362758,0.59711837,1.91033694,2.48588411,0.04320272,0.92854062
-5.57978989,4.48055229,0.00395929,0.61380606,1.93448433,2.58564485,0.04355122,0.96125115
-5.57378689,4.62884740,0.00430062,0.63027971,1.95601579,2.68596194,0.04397016,0.99414272
-5.56778389,4.77545177,0.00464789,0.64630332,1.97434955,2.78561549,0.04445002,1.02679046
-5.56178089,4.91823560,0.00499699,0.66162257,1.98888776,2.88328078,0.04497804,1.05873171
-5.55577789,5.05495007,0.00534338,0.67597035,1.99903589,2.97755526,0.04553858,1.08947571
-5.54977489,5.18328014,0.00568225,0.68907327,2.00422401,3.06699009,0.04611365,1.11851497
-5.54377189,5.30090359,0.00600860,0.70065894,2.00392887,3.15012567,0.04668343,1.14533800
-5.53776888,5.40555460,0.00631739,0.71046400,1.99769620,3.22553005,0.04722698,1.16944311
-5.53176588,5.49508990,0.00660371,0.71824234,1.98516206,3.29183902,0.04772298,1.19035273
-5.52576288,5.56755512,0.00686287,0.72377349,1.96607240,3.34779672,0.04815045,1.20762790
-5.51975988,5.62124904,0.00709067,0.72687057,1.94029990,3.39229511,0.04848954,1.22088225
