energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.21460031,0.00727642,0.43024817,2.57114658,1.20329201,0.95593836,0.00000000,1.18293624,0.09168023
-5.99399700,3.22541818,0.00777648,0.41993515,2.57942593,1.19946026,0.97076239,0.00000000,1.21866364,0.09279430
-5.98799400,3.23713666,0.00830138,0.40966826,2.58520579,1.19651340,0.98577896,0.00000000,1.25265517,0.09399361
-5.98199100,3.24831009,0.00884480,0.39937516,2.58739289,1.19390904,1.00046926,0.00000000,1.28415262,0.09522804
-5.97598799,3.25745059,0.00939988,0.38899046,2.58497876,1.19108296,1.01428931,0.00000000,1.31242861,0.09644350
-5.96998499,3.26308815,0.00995935,0.37846188,2.57708402,1.18747197,1.02668909,0.00000000,1.33681187,0.09758378
-5.96398199,3.26382894,0.01051556,0.36775521,2.56299644,1.18253606,1.03713208,0.00000000,1.35671073,0.09859259
-5.95797899,3.25840940,0.01106069,0.35685821,2.54220110,1.17577879,1.04511424,0.00000000,1.37163353,0.09941544
-5.95197599,3.24574370,0.01158686,0.34578296,2.51440122,1.16676526,1.05018182,0.00000000,1.38120522,0.10000166
-5.94597299,3.22496266,0.01208627,0.33456658,2.47952890,1.15513700,1.05194708,0.00000000,1.38517945,0.10030611
-5.93996998,3.19544286,0.01255140,0.32327050,2.43774532,1.14062321,1.05010139,0.00000000,1.38344551,0.10029074
-5.93396698,3.15682468,0.01297519,0.31197807,2.38943070,1.12304831,1.04442514,0.00000000,1.37603003,0.09992582
-5.92796398,3.10901923,0.01335116,0.30079087,2.33516473,1.10233550,1.03479422,0.00000000,1.36309333,0.09919089
-5.92196098,3.05220411,0.01367359,0.28982388,2.27569863,1.07850650,1.02118270,0.00000000,1.34492082,0.09807530
-5.91595798,2.98680882,0.01393767,0.27919977,2.21192053,1.05167780,1.00366197,0.00000000,1.32190971,0.09657833
