energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,0.41577678,0.00093713,0.02608656,0.05044471,0.30670064,0.24556505,0.13436089,0.00000000
-5.99399700,0.40981498,0.00079825,0.02273254,0.04405456,0.28473315,0.25895648,0.12274592,0.00000000
-5.98799400,0.41181707,0.00067732,0.01978222,0.03837479,0.26757599,0.27750566,0.11351828,0.00000000
-5.98199100,0.42186735,0.00057355,0.01722417,0.03339526,0.25531364,0.30131132,0.10668955,0.00000000
-5.97598799,0.43997128,0.00048607,0.01504266,0.02909731,0.24796645,0.33041968,0.10225073,0.00000000
-5.96998499,0.46605502,0.00041398,0.01321873,0.02545574,0.24549502,0.36481821,0.10017553,0.00000000
-5.96398199,0.49996448,0.00035644,0.01173113,0.02244068,0.24780429,0.40442937,0.10042325,0.00000000
-5.95797899,0.54146419,0.00031272,0.01055724,0.02001935,0.25474749,0.44910453,0.10294143,0.00000000
-5.95197599,0.59023624,0.00028217,0.00967390,0.01815776,0.26612965,0.49861874,0.10766801,0.00000000
-5.94597299,0.64587983,0.00026437,0.00905810,0.01682211,0.28171097,0.55266658,0.11453309,0.00000000
-5.93996998,0.70791180,0.00025905,0.00868761,0.01598004,0.30121000,0.61085984,0.12346054,0.00000000
-5.93396698,0.77576880,0.00026616,0.00854149,0.01560163,0.32430701,0.67272729,0.13436915,0.00000000
-5.92796398,0.84881163,0.00028587,0.00860047,0.01566016,0.35064762,0.73771721,0.14717388,0.00000000
-5.92196098,0.92633216,0.00031854,0.00884738,0.01613263,0.37984702,0.80520285,0.16178694,0.00000000
-5.91595798,1.00756319,0.00036476,0.00926733,0.01700012,0.41149506,0.87449131,0.17811894,0.00000000
-5.90995498,1.09169145,0.00042528,0.00984803,0.01824787,0.44516219,0.94483562,0.19608031,0.00000000
-5.90395198,1.17787368,0.00050099,0.01057993,0.01986523,0.48040643,1.01545031,0.21558264,0.00000000
-5.89794897,1.26525557,0.00059292,0.01145646,0.02184544,0.51678139,1.08552985,0.23654041,0.00000000
-5.89194597,1.35299308,0.00070215,0.01247412,0.02418532,0.55384509,1.15426973,0.25887268,0.00000000
-5.88594297,1.44027547,0.00082978,0.01363268,0.02688482,0.59116941,1.22088943,0.28250482,0.00000000
-5.87993997,1.52634919,0.00097686,0.01493525,0.02994646,0.62834985,1.28465642,0.30737027,0.00000000
-5.87393697,1.61054160,0.00114435,0.01638844,0.03337486,0.66501520,1.34491038,0.33341193,0.00000000
-5.86793397,1.69228338,0.00133304,0.01800233,0.03717609,0.70083654,1.40108638,0.36058331,0.00000000
-5.86193097,1.77112855,0.00154351,0.01979056,0.04135721,0.73553534,1.45273611,0.38884920,0.00000000
