energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.74045155,0.73461424,0.29035519,0.00300836,0.60775412,0.04784704,0.31386975
-5.99399700,1.82106769,0.76308752,0.30523981,0.00325387,0.64360063,0.05190008,0.31876576
-5.98799400,1.90902862,0.79480507,0.32123345,0.00350313,0.68108282,0.05598038,0.32625341
-5.98199100,2.00322046,0.82922973,0.33809700,0.00375229,0.71956616,0.06003913,0.33645982
-5.97598799,2.10244092,0.86578276,0.35558261,0.00399766,0.75840377,0.06402676,0.34947265
-5.96998499,2.20543964,0.90386239,0.37344186,0.00423567,0.79695594,0.06789445,0.36534015
-5.96398199,2.31096111,0.94286309,0.39143435,0.00446308,0.83461011,0.07159558,0.38407263
-5.95797899,2.41778863,0.98219488,0.40933624,0.00467699,0.87080037,0.07508725,0.40564501
-5.95197599,2.52478735,1.02130169,0.42694849,0.00487498,0.90502564,0.07833166,0.43000054
-5.94597299,2.63094490,1.05967835,0.44410444,0.00505522,0.93686594,0.08129741,0.45705549
-5.93996998,2.73540792,1.09688538,0.46067649,0.00521656,0.96599598,0.08396053,0.48670475
-5.93396698,2.83751323,1.13256119,0.47658157,0.00535863,0.99219562,0.08630536,0.51882816
-5.92796398,2.93681275,1.16643129,0.49178529,0.00548195,1.01535677,0.08832503,0.55329743
-5.92196098,3.03309125,1.19831429,0.50630461,0.00558796,1.03548654,0.09002180,0.58998348
-5.91595798,3.12637662,1.22812466,0.52020891,0.00567913,1.05270662,0.09140693,0.62876390
-5.90995498,3.21694242,1.25587231,0.53361953,0.00575896,1.06724906,0.09250036,0.66953027
-5.90395198,3.30530278,1.28165906,0.54670777,0.00583204,1.07944853,0.09333010,0.71219503
-5.89794897,3.39219986,1.30567241,0.55969132,0.00590403,1.08973176,0.09393134,0.75669742
-5.89194597,3.47858423,1.32817688,0.57282940,0.00598163,1.09860433,0.09434543,0.80300820
-5.88594297,3.56558868,1.34950319,0.58641657,0.00607254,1.10663560,0.09461865,0.85113255
-5.87993997,3.65449577,1.37003590,0.60077535,0.00618543,1.11444208,0.09480090,0.90111093
-5.87393697,3.74669993,1.39019958,0.61624784,0.00632974,1.12267004,0.09494435,0.95301726
-5.86793397,3.84366436,1.41044408,0.63318641,0.00651565,1.13197755,0.09510201,1.00695447
-5.86193097,3.94687352,1.43122919,0.65194358,0.00675386,1.14301660,0.09532638,1.06304686
-5.85592796,4.05778194,1.45300893,0.67286125,0.00705537,1.15641552,0.09566810,1.12142963
-5.84992496,4.17776001,1.47621582,0.69625948,0.00743130,1.17276199,0.09617467,1.18223551
