energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.60954070,0.02059381,0.25321169,0.03346546,1.05718524,0.85723563,0.39188836,0.77523030,0.25184972
-5.99399700,2.62004455,0.02129616,0.25414931,0.03389259,1.06250728,0.86848617,0.39212845,0.77140966,0.25182757
-5.98799400,2.62410124,0.02190280,0.25426177,0.03415801,1.06525263,0.87650664,0.39170432,0.76666110,0.25117975
-5.98199100,2.62114006,0.02240458,0.25355023,0.03425029,1.06512633,0.88118210,0.39051148,0.76088053,0.24985558
-5.97598799,2.61072724,0.02279396,0.25203363,0.03416132,1.06188837,0.88245007,0.38846310,0.75398754,0.24781692
-5.96998499,2.59258236,0.02306519,0.24974799,0.03388667,1.05536307,0.88030195,0.38549347,0.74592929,0.24503967
-5.96398199,2.56658796,0.02321446,0.24674491,0.03342578,1.04544566,0.87478282,0.38156014,0.73668267,0.24151465
-5.95797899,2.53279245,0.02323996,0.24308947,0.03278203,1.03210575,0.86598956,0.37664510,0.72625478,0.23724801
-5.95197599,2.49140609,0.02314190,0.23885756,0.03196269,1.01538791,0.85406758,0.37075471,0.71468173,0.23226098
-5.94597299,2.44279104,0.02292248,0.23413292,0.03097870,0.99540915,0.83920617,0.36391860,0.70202618,0.22658909
-5.93996998,2.38744597,0.02258580,0.22900392,0.02984437,0.97235386,0.82163287,0.35618764,0.68837362,0.22028098
-5.93396698,2.32598652,0.02213771,0.22356028,0.02857691,0.94646653,0.80160703,0.34763121,0.67382799,0.21339673
-5.92796398,2.25912289,0.02158569,0.21789005,0.02719593,0.91804263,0.77941304,0.33833387,0.65850681,0.20600600
-5.92196098,2.18763581,0.02093857,0.21207678,0.02572282,0.88741849,0.75535340,0.32839176,0.64253637,0.19818591
-5.91595798,2.11235241,0.02020635,0.20619724,0.02418012,0.85496041,0.72974202,0.31790893,0.62604724,0.19001889
-5.90995498,2.03412307,0.01939990,0.20031965,0.02259084,0.82105395,0.70289804,0.30699375,0.60917041,0.18159059
-5.90395198,1.95380062,0.01853077,0.19450259,0.02097788,0.78609358,0.67514039,0.29575572,0.59203444,0.17298781
-5.89794897,1.87222250,0.01761086,0.18879462,0.01936338,0.75047351,0.64678320,0.28430272,0.57476363,0.16429678
-5.89194597,1.79019681,0.01665222,0.18323453,0.01776822,0.71457964,0.61813231,0.27273890,0.55747745,0.15560156
-5.88594297,1.70849233,0.01566675,0.17785228,0.01621158,0.67878327,0.58948273,0.26116320,0.54029112,0.14698289
-5.87993997,1.62783280,0.01466608,0.17267052,0.01471057,0.64343640,0.56111717,0.24966861,0.52331723,0.13851722
-5.87393697,1.54889498,0.01366127,0.16770644,0.01327999,0.60886872,0.53330543,0.23834206,0.50666833,0.13027610
-5.86793397,1.47231016,0.01266272,0.16297406,0.01193219,0.57538620,0.50630449,0.22726491,0.49046000,0.12232594
-5.86193097,1.39866841,0.01168000,0.15848652,0.01067701,0.54327096,0.48035914,0.21651391,0.47481440,0.11472787
-5.85592796,1.32852459,0.01072177,0.15425844,0.00952183,0.51278224,0.45570289,0.20616256,0.45986352,0.10753790
-5.84992496,1.26240527,0.00979569,0.15030794,0.00847171,0.48415801,0.43255878,0.19628264,0.44575224,0.10080716
-5.84392196,1.20081553,0.00890836,0.14665841,0.00752954,0.45761693,0.41114007,0.18694571,0.43264042,0.09458220
-5.83791896,1.14424480,0.00806537,0.14333965,0.00669628,0.43336024,0.39165033,0.17822468,0.42070395,0.08890535
-5.83191596,1.09317075,0.00727125,0.14038849,0.00597121,0.41157329,0.37428292,0.17019489,0.41013449,0.08381491
-5.82591296,1.04806072,0.00652956,0.13784865,0.00535219,0.39242636,0.35921954,0.16293502,0.40113758,0.07934532
-5.81990995,1.00937012,0.00584289,0.13576989,0.00483596,0.37607462,0.34662795,0.15652738,0.39392920,0.07552713
-5.81390695,0.97753759,0.00521297,0.13420649,0.00441831,0.36265704,0.33665875,0.15105773,0.38873064,0.07238682
-5.80790395,0.95297696,0.00464076,0.13321503,0.00409439,0.35229429,0.32944122,0.14661451,0.38576194,0.06994645
-5.80190095,0.93606617,0.00412652,0.13285173,0.00385884,0.34508564,0.32507858,0.14328744,0.38523396,0.06822307
-5.79589795,0.92713377,0.00366989,0.13316928,0.00370594,0.34110503,0.32364263,0.14116573,0.38733959,0.06722808
-5.78989495,0.92644350,0.00327001,0.13421352,0.00362977,0.34039655,0.32516827,0.14033562,0.39224426,0.06696644
-5.78389195,0.93417803,0.00292561,0.13602006,0.00362429,0.34296969,0.32964805,0.14087767,0.40007634,0.06743580
-5.77788894,0.95042262,0.00263505,0.13861110,0.00368334,0.34879460,0.33702727,0.14286375,0.41091797,0.06862569
-5.77188594,0.97514992,0.00239644,0.14199258,0.00380077,0.35779791,0.34719987,0.14635384,0.42479662,0.07051678
-5.76588294,1.00820682,0.00220767,0.14615194,0.00397038,0.36985938,0.36000559,0.15139288,0.44167808,0.07308024
-5.75987994,1.04930443,0.00206647,0.15105659,0.00418597,0.38480981,0.37522861,0.15800772,0.46146120,0.07627738
-5.75387694,1.09801207,0.00197045,0.15665322,0.00444133,0.40243045,0.39259807,0.16620436,0.48397478,0.08005953
-5.74787394,1.15375596,0.00191712,0.16286813,0.00473030,0.42245435,0.41179058,0.17596567,0.50897700,0.08436825
-5.74187094,1.21582310,0.00190394,0.16960847,0.00504673,0.44456963,0.43243480,0.18724954,0.53615744,0.08913587
-5.73586793,1.28337070,0.00192827,0.17676455,0.00538459,0.46842479,0.45411827,0.19998787,0.56514181,0.09428645
-5.72986493,1.35544113,0.00198744,0.18421298,0.00573794,0.49363610,0.47639609,0.21408619,0.59549941,0.09973710
-5.72386193,1.43098198,0.00207873,0.19182065,0.00610109,0.51979677,0.49880148,0.22942419,0.62675300,0.10539960
-5.71785893,1.50887093,0.00219937,0.19944934,0.00646862,0.54648777,0.52085771,0.24585709,0.65839083,0.11118240
-5.71185593,1.58794432,0.00234655,0.20696068,0.00683548,0.57328974,0.54209110,0.26321794,0.68988039,0.11699278
-5.70585293,1.66702866,0.00251746,0.21422138,0.00719710,0.59979573,0.56204445,0.28132080,0.72068335,0.12273926
-5.69984992,1.74497359,0.00270926,0.22110828,0.00754949,0.62562402,0.58029048,0.29996464,0.75027113,0.12833402
-5.69384692,1.82068518,0.00291916,0.22751311,0.00788928,0.65043057,0.59644455,0.31893803,0.77814034,0.13369526
-5.68784392,1.89315791,0.00314442,0.23334663,0.00821387,0.67392050,0.61017628,0.33802438,0.80382765,0.13874953
-5.68184092,1.96150412,0.00338240,0.23854197,0.00852138,0.69585798,0.62121939,0.35700753,0.82692322,0.14343370
-5.67583792,2.02497941,0.00363061,0.24305690,0.00881076,0.71607397,0.62937936,0.37567753,0.84708232,0.14769667
-5.66983492,2.08300290,0.00388673,0.24687502,0.00908174,0.73447145,0.63453860,0.39383640,0.86403452,0.15150062
-5.66383192,2.13517130,0.00414869,0.25000570,0.00933480,0.75102783,0.63665880,0.41130360,0.87759014,0.15482180
-5.65782891,2.18126608,0.00441467,0.25248272,0.00957111,0.76579412,0.63578049,0.42792091,0.88764359,0.15765074
-5.65182591,2.22125326,0.00468316,0.25436180,0.00979240,0.77889108,0.63201964,0.44355659,0.89417369,0.15999196
-5.64582291,2.25527582,0.00495296,0.25571700,0.01000084,0.79050221,0.62556173,0.45810854,0.89724074,0.16186309
-5.63981991,2.28363899,0.00522315,0.25663627,0.01019892,0.80086399,0.61665337,0.47150629,0.89698077,0.16329352
-5.63381691,2.30678894,0.00549314,0.25721629,0.01038921,0.81025365,0.60559194,0.48371171,0.89359708,0.16432253
-5.62781391,2.32528602,0.00576258,0.25755694,0.01057424,0.81897508,0.59271385,0.49471840,0.88734970,0.16499714
-5.62181091,2.33977360,0.00603130,0.25775568,0.01075630,0.82734347,0.57838180,0.50454972,0.87854312,0.16536957
-5.61580790,2.35094418,0.00629928,0.25790210,0.01093729,0.83566943,0.56297177,0.51325557,0.86751304,0.16549467
-5.60980490,2.35950430,0.00656651,0.25807303,0.01111856,0.84424335,0.54686027,0.52090813,0.85461276,0.16542723
-5.60380190,2.36614013,0.00683293,0.25832835,0.01130082,0.85332076,0.53041235,0.52759663,0.84019982,0.16521946
-5.59779890,2.37148527,0.00709831,0.25870784,0.01148405,0.86310950,0.51397107,0.53342164,0.82462353,0.16491866
-5.59179590,2.37609265,0.00736217,0.25922924,0.01166749,0.87375925,0.49784852,0.53848906,0.80821407,0.16456525
-5.58579290,2.38041189,0.00762366,0.25988753,0.01184964,0.88535419,0.48231903,0.54290414,0.79127340,0.16419122
-5.57978989,2.38477315,0.00788149,0.26065566,0.01202833,0.89790893,0.46761460,0.54676608,0.77406861,0.16381910
-5.57378689,2.38937864,0.00813392,0.26148642,0.01220087,0.91136832,0.45392268,0.55016321,0.75682778,0.16346155
-5.56778389,2.39430196,0.00837866,0.26231570,0.01236415,0.92561087,0.44138621,0.55316943,0.73973841,0.16312142
-5.56178089,2.39949538,0.00861296,0.26306660,0.01251489,0.94045596,0.43010595,0.55584180,0.72294851,0.16279247
-5.55577789,2.40480466,0.00883358,0.26365446,0.01264980,0.95567431,0.42014459,0.55821960,0.70656994,0.16246057
-5.54977489,2.40999059,0.00903688,0.26399231,0.01276587,0.97100137,0.41153250,0.56032492,0.69068383,0.16210534
-5.54377189,2.41475587,0.00921894,0.26399657,0.01286054,0.98615288,0.40427472,0.56216467,0.67534752,0.16170219
-5.53776888,2.41877596,0.00937568,0.26359258,0.01293197,1.00084187,0.39835856,0.56373394,0.66060252,0.16122450
-5.53176588,2.42173188,0.00950299,0.26271973,0.01297922,1.01479625,0.39376151,0.56502041,0.64648291,0.16064600
-5.52576288,2.42334328,0.00959695,0.26133579,0.01300236,1.02777603,0.39045894,0.56600966,0.63302353,0.15994308
-5.51975988,2.42339952,0.00965393,0.25942029,0.01300265,1.03958927,0.38843107,0.56669082,0.62026744,0.15909689
-5.51375688,2.42178711,0.00967081,0.25697666,0.01298252,1.05010591,0.38766890,0.56706234,0.60827203,0.15809520
-5.50775388,2.41851163,0.00964512,0.25403307,0.01294560,1.05926868,0.38817870,0.56713740,0.59711338,0.15693384
-5.50175088,2.41371280,0.00957517,0.25064181,0.01289659,1.06710052,0.38998477,0.56694859,0.58688860,0.15561763
-5.49574787,2.40767172,0.00946017,0.24687738,0.01284117,1.07370796,0.39313039,0.56655150,0.57771572,0.15416081
-5.48974487,2.40080952,0.00930030,0.24283324,0.01278577,1.07928029,0.39767680,0.56602696,0.56973141,0.15258688
-5.48374187,2.39367744,0.00909675,0.23861744,0.01273730,1.08408444,0.40370028,0.56548175,0.56308630,0.15092784
-5.47773887,2.38693877,0.00885172,0.23434744,0.01270289,1.08845576,0.41128752,0.56504757,0.55793836,0.14922297
-5.47173587,2.38134322,0.00856840,0.23014428,0.01268957,1.09278513,0.42052937,0.56487844,0.55444459,0.14751709
-5.46573287,2.37769536,0.00825088,0.22612645,0.01270395,1.09750287,0.43151349,0.56514642,0.55275159,0.14585853
-5.45972986,2.37681845,0.00790407,0.22240385,0.01275190,1.10306043,0.44431607,0.56603600,0.55298550,0.14429677
-5.45372686,2.37951572,0.00753353,0.21907213,0.01283828,1.10991045,0.45899334,0.56773741,0.55524192,0.14288003
-5.44772386,2.38653109,0.00714539,0.21620767,0.01296671,1.11848649,0.47557305,0.57043909,0.55957656,0.14165287
-5.44172086,2.39851141,0.00674613,0.21386355,0.01313935,1.12918304,0.49404660,0.57431984,0.56599699,0.14065387
-5.43571786,2.41597222,0.00634245,0.21206667,0.01335681,1.14233713,0.51436229,0.57954099,0.57445624,0.13991367
-5.42971486,2.43926889,0.00594112,0.21081621,0.01361812,1.15821217,0.53641998,0.58623902,0.58484860,0.13945336
-5.42371186,2.46857458,0.00554879,0.21008348,0.01392072,1.17698486,0.56006763,0.59451897,0.59700789,0.13928328
-5.41770885,2.50386617,0.00517188,0.20981317,0.01426061,1.19873583,0.58509996,0.60444904,0.61070854,0.13940249
-5.41170585,2.54491893,0.00481643,0.20992600,0.01463251,1.22344431,0.61125945,0.61605654,0.62566930,0.13979860
-5.40570285,2.59130997,0.00448804,0.21032248,0.01503011,1.25098706,0.63823959,0.62932551,0.64155972,0.14044832
