energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,1.78863794,0.72185512,0.39688206,0.07174413,0.34162847,0.20427424,0.00000000
-5.99399700,1.74651123,0.72459662,0.38309453,0.06953704,0.34028433,0.20421776,0.00000000
-5.98799400,1.70416012,0.73063003,0.36906796,0.06735519,0.33939131,0.20507159,0.00000000
-5.98199100,1.66278802,0.74018330,0.35509942,0.06525193,0.33912096,0.20691494,0.00000000
-5.97598799,1.62349021,0.75337377,0.34146538,0.06327348,0.33961477,0.20979340,0.00000000
-5.96998499,1.58721431,0.77019474,0.32841318,0.06145740,0.34097646,0.21371538,0.00000000
-5.96398199,1.55472770,0.79050648,0.31615390,0.05983150,0.34326578,0.21864980,0.00000000
-5.95797899,1.52659310,0.81403230,0.30485705,0.05841313,0.34649411,0.22452545,0.00000000
-5.95197599,1.50315355,0.84036008,0.29464711,0.05720899,0.35062224,0.23123188,0.00000000
-5.94597299,1.48452722,0.86894966,0.28560212,0.05621531,0.35556029,0.23862197,0.00000000
-5.93996998,1.47061218,0.89914589,0.27775423,0.05541845,0.36117015,0.24651618,0.00000000
-5.93396698,1.46110075,0.93019718,0.27109213,0.05479594,0.36726997,0.25470824,0.00000000
-5.92796398,1.45550254,0.96127890,0.26556513,0.05431782,0.37364093,0.26297224,0.00000000
-5.92196098,1.45317503,0.99152070,0.26108872,0.05394828,0.38003566,0.27107067,0.00000000
-5.91595798,1.45335992,1.02003697,0.25755120,0.05364748,0.38618822,0.27876338,0.00000000
-5.90995498,1.45522359,1.04595883,0.25482103,0.05337348,0.39182494,0.28581675,0.00000000
-5.90395198,1.45789965,1.06846666,0.25275466,0.05308424,0.39667582,0.29201295,0.00000000
-5.89794897,1.46053150,1.08682153,0.25120425,0.05273957,0.40048585,0.29715884,0.00000000
-5.89194597,1.46231307,1.10039438,0.25002521,0.05230294,0.40302576,0.30109399,0.00000000
-5.88594297,1.46252591,1.10869145,0.24908296,0.05174311,0.40410180,0.30369765,0.00000000
-5.87993997,1.46057120,1.11137516,0.24825892,0.05103557,0.40356398,0.30489426,0.00000000
-5.87393697,1.45599544,1.10827934,0.24745536,0.05016363,0.40131259,0.30465730,0.00000000
-5.86793397,1.44850912,1.09941834,0.24659905,0.04911926,0.39730273,0.30301126,0.00000000
-5.86193097,1.43799788,1.08498977,0.24564369,0.04790364,0.39154661,0.30003177,0.00000000
-5.85592796,1.42452623,1.06537072,0.24457106,0.04652731,0.38411378,0.29584377,0.00000000
-5.84992496,1.40833428,1.04110800,0.24339096,0.04501017,0.37512926,0.29061794,0.00000000
-5.84392196,1.38982793,1.01290282,0.24214024,0.04338113,0.36476983,0.28456554,0.00000000
-5.83791896,1.36956372,0.98159080,0.24088075,0.04167756,0.35325864,0.27793177,0.00000000
-5.83191596,1.34822936,0.94811830,0.23969671,0.03994464,0.34085860,0.27098822,0.00000000
-5.82591296,1.32662097,0.91351614,0.23869152,0.03823449,0.32786480,0.26402452,0.00000000
-5.81990995,1.30561853,0.87887173,0.23798426,0.03660528,0.31459636,0.25733963,0.00000000
-5.81390695,1.28616036,0.84530095,0.23770596,0.03512021,0.30138797,0.25123313,0.00000000
