energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.18547845,0.85661931,0.40253930,0.00153806,0.07566008,0.01567279,1.37765578,0.77506944,0.16951497
-5.99399700,2.13153596,0.83811672,0.38874519,0.00148660,0.07415213,0.01561476,1.34433329,0.75157821,0.16689804
-5.98799400,2.07130258,0.81640950,0.37362768,0.00143034,0.07248807,0.01556006,1.30690972,0.72542745,0.16388143
-5.98199100,2.00542375,0.79175885,0.35740130,0.00136972,0.07067161,0.01550407,1.26579914,0.69689294,0.16048887
-5.97598799,1.93458132,0.76446210,0.34028703,0.00130528,0.06870727,0.01544123,1.22144145,0.66628138,0.15674421
-5.96998499,1.85948053,0.73484562,0.32250687,0.00123761,0.06660070,0.01536532,1.17429350,0.63392454,0.15267115
-5.96398199,1.78083777,0.70325738,0.30427874,0.00116737,0.06435900,0.01526974,1.12482080,0.60017277,0.14829326
-5.95797899,1.69936955,0.67005946,0.28581202,0.00109525,0.06199092,0.01514789,1.07348981,0.56538792,0.14363400
-5.95197599,1.61578270,0.63562064,0.26730365,0.00102198,0.05950709,0.01499344,1.02076124,0.52993600,0.13871710
-5.94597299,1.53076620,0.60030940,0.24893504,0.00094829,0.05692004,0.01480067,0.96708430,0.49417995,0.13356680
-5.93996998,1.44498451,0.56448748,0.23086981,0.00087489,0.05424430,0.01456474,0.91289207,0.45847248,0.12820839
-5.93396698,1.35907252,0.52850424,0.21325232,0.00080249,0.05149621,0.01428195,0.85859793,0.42314954,0.12266858
-5.92796398,1.27363195,0.49269177,0.19620698,0.00073172,0.04869386,0.01394991,0.80459306,0.38852449,0.11697596
-5.92196098,1.18922904,0.45736108,0.17983834,0.00066319,0.04585680,0.01356768,0.75124487,0.35488310,0.11116137
-5.91595798,1.10639350,0.42279912,0.16423180,0.00059742,0.04300577,0.01313583,0.69889622,0.32247969,0.10525812
-5.90995498,1.02561824,0.38926685,0.14945481,0.00053485,0.04016239,0.01265646,0.64786537,0.29153439,0.09930215
-5.90395198,0.94735993,0.35699813,0.13555852,0.00047585,0.03734879,0.01213315,0.59844635,0.26223150,0.09333198
-5.89794897,0.87204006,0.32619951,0.12257975,0.00042070,0.03458734,0.01157082,0.55090981,0.23471907,0.08738854
