energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.85884168,1.99060298,0.58628179,0.00712614,0.85938305,0.01646727,1.77457673,1.23466251,0.58516636
-5.99399700,3.75408689,1.90100685,0.56453831,0.00712461,0.81970857,0.01801942,1.73120043,1.16656693,0.57067867
-5.98799400,3.66258999,1.81738338,0.54410756,0.00717690,0.78253514,0.01979554,1.69527220,1.11096277,0.55802624
-5.98199100,3.58540928,1.74057272,0.52519477,0.00728741,0.74799990,0.02180436,1.66739601,1.06774796,0.54724275
-5.97598799,3.52341903,1.67127475,0.50798496,0.00746082,0.71619853,0.02405247,1.64806758,1.03671502,0.53833915
-5.96998499,3.47730054,1.61004302,0.49264081,0.00770174,0.68718855,0.02654393,1.63766967,1.01756146,0.53130646
-5.96398199,3.44753590,1.55728103,0.47930055,0.00801457,0.66099391,0.02927986,1.63646777,1.00990059,0.52611935
-5.95797899,3.43440413,1.51324104,0.46807552,0.00840316,0.63761062,0.03225814,1.64460633,1.01327193,0.52274000
-5.95197599,3.43797886,1.47802513,0.45904776,0.00887057,0.61701253,0.03547318,1.66210560,1.02715091,0.52112190
-5.94597299,3.45812742,1.45158870,0.45226768,0.00941882,0.59915685,0.03891580,1.68885906,1.05095734,0.52121326
-5.93996998,3.49451098,1.43374621,0.44775181,0.01004861,0.58398892,0.04257315,1.72463173,1.08406247,0.52295987
-5.93396698,3.54658555,1.42417901,0.44548099,0.01075907,0.57144576,0.04642883,1.76905965,1.12579461,0.52630708
-5.92796398,3.61360417,1.42244520,0.44539890,0.01154757,0.56145824,0.05046302,1.82165068,1.17544335,0.53120079
-5.92196098,3.69462035,1.42799121,0.44741130,0.01240953,0.55395174,0.05465277,1.88178699,1.23226254,0.53758768
-5.91595798,3.78849352,1.44016492,0.45138592,0.01333832,0.54884539,0.05897237,1.94872962,1.29547255,0.54541440
-5.90995498,3.89389676,1.45823006,0.45715323,0.01432512,0.54605003,0.06339380,2.02162528,1.36426197,0.55462613
-5.90395198,4.00932782,1.48138159,0.46450816,0.01535903,0.54546531,0.06788732,2.09951574,1.43778951,0.56516474
-5.89794897,4.13312382,1.50876182,0.47321282,0.01642705,0.54697614,0.07242204,2.18134999,1.51518639,0.57696656
-5.89194597,4.26348047,1.53947691,0.48300018,0.01751430,0.55044914,0.07696665,2.26599927,1.59555979,0.58996037
-5.88594297,4.39847618,1.57261355,0.49357890,0.01860428,0.55572943,0.08149010,2.35227503,1.67799787,0.60406570
-5.87993997,4.53610142,1.60725567,0.50463901,0.01967915,0.56263821,0.08596241,2.43894968,1.76157652,0.61919169
-5.87393697,4.67429323,1.64250073,0.51585854,0.02072015,0.57097150,0.09035538,2.52477996,1.84536822,0.63523678
-5.86793397,4.81097472,1.67747567,0.52691083,0.02170810,0.58050041,0.09464339,2.60853244,1.92845309,0.65208940
-5.86193097,4.94409884,1.71135217,0.53747247,0.02262388,0.59097298,0.09880411,2.68901079,2.00993181,0.66962961
-5.85592796,5.07169534,1.74336121,0.54723154,0.02344897,0.60211779,0.10281919,2.76508395,2.08894057,0.68773171
-5.84992496,5.19191974,1.77280674,0.55589598,0.02416604,0.61364918,0.10667484,2.83571457,2.16466714,0.70626776
-5.84392196,5.30310261,1.79907825,0.56320178,0.02475947,0.62527390,0.11036234,2.89998666,2.23636792,0.72511177
-5.83791896,5.40379711,1.82166232,0.56892084,0.02521584,0.63669900,0.11387840,2.95713166,2.30338500,0.74414427
-5.83191596,5.49282318,1.84015271,0.57286800,0.02552439,0.64764040,0.11722540,3.00655157,2.36516241,0.76325700
-5.82591296,5.56930587,1.85425908,0.57490725,0.02567738,0.65783187,0.12041143,3.04783854,2.42126094,0.78235740
-5.81990995,5.63270622,1.86381392,0.57495664,0.02567036,0.66703378,0.12345012,3.08078958,2.47137038,0.80137246
-5.81390695,5.68284273,1.86877756,0.57299187,0.02550232,0.67504126,0.12636034,3.10541592,2.51531852,0.82025166
-5.80790395,5.71990207,1.86924114,0.56904836,0.02517574,0.68169127,0.12916564,3.12194604,2.55307625,0.83896881
-5.80190095,5.74443799,1.86542712,0.56322159,0.02469650,0.68686813,0.13189351,3.13082225,2.58475797,0.85752239
-5.79589795,5.75735795,1.85768733,0.55566586,0.02407371,0.69050729,0.13457444,3.13269052,2.61061728,0.87593440
-5.78989495,5.75989753,1.84649836,0.54659136,0.02331941,0.69259696,0.13724087,3.12838360,2.63103752,0.89424766
-5.78389195,5.75358337,1.83245417,0.53625965,0.02244818,0.69317776,0.13992594,3.11889813,2.64651753,0.91252160
-5.77788894,5.74018566,1.81625607,0.52497774,0.02147666,0.69234006,0.14266224,3.10536618,2.65765286,0.93082679
-5.77188594,5.72166216,1.79870006,0.51309092,0.02042312,0.69021942,0.14548051,3.08902234,2.66511320,0.94923835
-5.76588294,5.70009578,1.78066174,0.50097454,0.01930681,0.68699026,0.14840830,3.07116747,2.66961685,0.96782874
-5.75987994,5.67762820,1.76307918,0.48902505,0.01814752,0.68285802,0.15146877,3.05313054,2.67190328,0.98666022
-5.75387694,5.65639218,1.74693400,0.47765055,0.01696496,0.67805032,0.15467968,3.03622977,2.67270502,1.00577746
-5.74787394,5.63844531,1.73323117,0.46726110,0.01577834,0.67280752,0.15805240,3.02173469,2.67272003,1.02520080
-5.74187094,5.62570755,1.72297800,0.45825903,0.01460587,0.66737315,0.16159129,3.01083031,2.67258593,1.04492043
-5.73586793,5.61990494,1.71716273,0.45102953,0.01346441,0.66198466,0.16529327,3.00458461,2.67285710,1.06489204
-5.72986493,5.62252134,1.71673331,0.44593173,0.01236915,0.65686490,0.16914761,3.00392044,2.67398571,1.08503408
-5.72386193,5.63475947,1.72257669,0.44329037,0.01133341,0.65221474,0.17313607,3.00959232,2.67630759,1.10522695
-5.71785893,5.65751226,1.73549909,0.44338830,0.01036842,0.64820714,0.17723315,3.02216896,2.68003327,1.12531409
-5.71185593,5.69134467,1.75620747,0.44645980,0.00948333,0.64498272,0.18140674,3.04202135,2.68524464,1.14510506
-5.70585293,5.73648586,1.78529256,0.45268492,0.00868517,0.64264715,0.18561877,3.06931653,2.69189720,1.16438041
-5.69984992,5.79283099,1.82321351,0.46218475,0.00797888,0.64127020,0.18982609,3.10401676,2.69982745,1.18289808
-5.69384692,5.85995162,1.87028437,0.47501779,0.00736745,0.64088634,0.19398148,3.14588348,2.70876496,1.20040107
-5.68784392,5.93711341,1.92666243,0.49117727,0.00685205,0.64149688,0.19803458,3.19448556,2.71834832,1.21662595
-5.68184092,6.02329965,1.99233858,0.51058963,0.00643222,0.64307315,0.20193296,3.24921106,2.72814392,1.23131176
-5.67583792,6.11723908,2.06712970,0.53311407,0.00610599,0.64556064,0.20562302,3.30928195,2.73766652,1.24420878
-5.66983492,6.21743680,2.15067329,0.55854313,0.00587014,0.64888353,0.20905099,3.37377092,2.74640054,1.25508690
-5.66383192,6.32220675,2.24242451,0.58660450,0.00572035,0.65294951,0.21216371,3.44162002,2.75382082,1.26374295
-5.65782891,6.42970511,2.34165583,0.61696396,0.00565136,0.65765435,0.21490941,3.51166035,2.75941198,1.27000683
-5.65182591,6.53796362,2.44745967,0.64922958,0.00565716,0.66288603,0.21723839,3.58263269,2.76268540,1.27374601
-5.64582291,6.64492264,2.55875430,0.68295710,0.00573107,0.66852822,0.21910372,3.65320892,2.76319323,1.27486833
-5.63981991,6.74846376,2.67429348,0.71765658,0.00586595,0.67446283,0.22046176,3.72201383,2.76053894,1.27332299
-5.63381691,6.84644189,2.79268003,0.75280030,0.00605421,0.68057171,0.22127283,3.78764772,2.75438417,1.26909973
-5.62781391,6.93671734,2.91238376,0.78783178,0.00628795,0.68673735,0.22150176,3.84870948,2.74445201,1.26222639
-5.62181091,7.01718796,3.03176384,0.82217592,0.00655905,0.69284279,0.22111856,3.90382030,2.73052693,1.25276502
-5.61580790,7.08582174,3.14909569,0.85525006,0.00685921,0.69877081,0.22009908,3.95164799,2.71245184,1.24080694
-5.60980490,7.14069014,3.26260220,0.88647562,0.00718003,0.70440272,0.21842567,3.99093181,2.69012295,1.22646695
-5.60380190,7.18000204,3.37048878,0.91529037,0.00751310,0.70961686,0.21608798,4.02050740,2.66348323,1.20987732
-5.59779890,7.20213827,3.47098182,0.94116069,0.00785006,0.71428733,0.21308362,4.03933172,2.63251514,1.19118177
-5.59179590,7.20568617,3.56236929,0.96359369,0.00818271,0.71828298,0.20941884,4.04650717,2.59723363,1.17052989
-5.58579290,7.18947359,3.64304270,0.98214872,0.00850311,0.72146719,0.20510917,4.04130458,2.55767990,1.14807246
-5.57978989,7.15260130,3.71153877,0.99644795,0.00880366,0.72369836,0.20017986,4.02318397,2.51391674,1.12395777
-5.57378689,7.09447269,3.76657950,1.00618562,0.00907724,0.72483149,0.19466615,3.99181259,2.46602580,1.09832926
-5.56778389,7.01481953,3.80710892,1.01113564,0.00931734,0.72472088,0.18861338,3.94707920,2.41410693,1.07132461
-5.56178089,6.91372235,3.83232504,1.01115726,0.00951816,0.72322378,0.18207672,3.88910386,2.35827977,1.04307616
-5.55577789,6.79162425,3.84170550,1.00619857,0.00967474,0.72020506,0.17512070,3.81824254,2.29868737,1.01371268
-5.54977489,6.64933687,3.83502548,0.99629771,0.00978307,0.71554258,0.16781839,3.73508608,2.23550130,0.98336223
-5.54377189,6.48803770,3.81236707,0.98158171,0.00984019,0.70913303,0.16025021,3.64045295,2.16892793,0.95215589
-5.53776888,6.30925794,3.77411918,0.96226303,0.00984425,0.70089796,0.15250256,3.53537596,2.09921508,0.92023192
-5.53176588,6.11486081,3.72096783,0.93863388,0.00979456,0.69078948,0.14466608,3.42108283,2.02665833,0.88774016
-5.52576288,5.90701034,3.65387693,0.91105856,0.00969164,0.67879551,0.13683377,3.29897120,1.95160627,0.85484610
-5.51975988,5.68813132,3.57406010,0.87996411,0.00953715,0.66494392,0.12909894,3.17057875,1.87446408,0.82173436
-5.51375688,5.46086137,3.48294460,0.84582956,0.00933390,0.64930553,0.12155314,3.03754924,1.79569479,0.78861123
-5.50775388,5.22799661,3.38212875,0.80917429,0.00908573,0.63199555,0.11428400,2.90159569,1.71581784,0.75570609
-5.50175088,4.99243252,3.27333459,0.77054575,0.00879744,0.61317339,0.10737333,2.76446192,1.63540476,0.72327134
-5.49574787,4.75710220,3.15835768,0.73050706,0.00847461,0.59304066,0.10089525,2.62788376,1.55507185,0.69158099
-5.48974487,4.52491387,3.03901619,0.68962495,0.00812347,0.57183753,0.09491466,2.49355141,1.47547015,0.66092775
-5.48374187,4.29869004,2.91710140,0.64845816,0.00775072,0.54983753,0.08948597,2.36307394,1.39727303,0.63161880
-5.47773887,4.08111025,2.79433149,0.60754696,0.00736334,0.52734089,0.08465223,2.23794756,1.32116189,0.60397040
-5.47173587,3.87465924,2.67231057,0.56740375,0.00696840,0.50466695,0.08044460,2.11952816,1.24781067,0.57830166
-5.46573287,3.68158238,2.55249431,0.52850508,0.00657288,0.48214572,0.07688219,2.00900925,1.17786992,0.55492767
-5.45972986,3.50384923,2.43616335,0.49128519,0.00618350,0.46010911,0.07397232,1.90740560,1.11195114,0.53415237
-5.45372686,3.34312639,2.32440506,0.45613101,0.00580656,0.43888228,0.07171104,1.81554283,1.05061206,0.51626153
-5.44772386,3.20075961,2.21810397,0.42337872,0.00544778,0.41877520,0.07008404,1.73405293,0.99434368,0.50151608
-5.44172086,3.07776536,2.11794049,0.39331167,0.00511223,0.40007503,0.06906772,1.66337522,0.94355935,0.49014604
-5.43571786,2.97483104,2.02439718,0.36615956,0.00480421,0.38303941,0.06863048,1.60376234,0.89858650,0.48234532
-5.42971486,2.89232295,1.93777173,0.34209864,0.00452719,0.36789087,0.06873405,1.55529035,0.85966103,0.47826745
-5.42371186,2.83030079,1.85819500,0.32125280,0.00428381,0.35481257,0.06933494,1.51787201,0.82692460,0.47802236
-5.41770885,2.78853718,1.78565274,0.30369526,0.00407584,0.34394522,0.07038579,1.49127242,0.80042456,0.48167410
-5.41170585,2.76654061,1.72000938,0.28945069,0.00390420,0.33538544,0.07183666,1.47512573,0.78011632,0.48923954
-5.40570285,2.76358033,1.66103219,0.27849755,0.00376904,0.32918509,0.07363622,1.46895231,0.76586789,0.50068783
-5.39969985,2.77871169,1.60841448,0.27077059,0.00366974,0.32535188,0.07573273,1.47217524,0.75746604,0.51594051
-5.39369685,2.81080092,1.56179651,0.26616328,0.00360502,0.32385067,0.07807483,1.48413576,0.75462370,0.53487216
