energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-5.77788894,3.37898673,0.00637533,0.57394415,1.00367005,0.96109160,1.24037252,0.00000000,1.69103830,0.85222683
-5.77188594,3.24349925,0.00625335,0.54716671,0.96365423,0.93577060,1.19083568,0.00000000,1.60342596,0.81310814
-5.76588294,3.10253581,0.00612385,0.51908221,0.92090968,0.91015969,1.13959190,0.00000000,1.51351001,0.77203652
-5.75987994,2.95771574,0.00598858,0.49005113,0.87597835,0.88442340,1.08720502,0.00000000,1.42234776,0.72955926
-5.75387694,2.81057536,0.00584895,0.46042888,0.82940753,0.85867421,1.03419907,0.00000000,1.33094067,0.68621291
-5.74787394,2.66253684,0.00570599,0.43055725,0.78173704,0.83297392,0.98104905,0.00000000,1.24021303,0.64251068
-5.74187094,2.51488494,0.00556034,0.40075711,0.73348776,0.80733768,0.92817465,0.00000000,1.15099581,0.59893179
-5.73586793,2.36875180,0.00541228,0.37132254,0.68515181,0.78174029,0.87593690,0.00000000,1.06401574,0.55591300
-5.72986493,2.22510967,0.00526177,0.34251653,0.63718454,0.75612430,0.82463756,0.00000000,0.97988953,0.51384245
-5.72386193,2.08477111,0.00510852,0.31456807,0.58999847,0.73040961,0.77452107,0.00000000,0.89912261,0.47305590
-5.71785893,1.94839540,0.00495204,0.28767078,0.54395915,0.70450368,0.72577849,0.00000000,0.82211210,0.43383512
-5.71185593,1.81650046,0.00479176,0.26198280,0.49938285,0.67831211,0.67855315,0.00000000,0.74915299,0.39640837
-5.70585293,1.68947853,0.00462705,0.23762787,0.45653595,0.65174866,0.63294730,0.00000000,0.68044701,0.36095265
-5.69984992,1.56761452,0.00445739,0.21469724,0.41563573,0.62474442,0.58902947,0.00000000,0.61611324,0.32759737
-5.69384692,1.45110561,0.00428235,0.19325246,0.37685245,0.59725554,0.54684174,0.00000000,0.55619979,0.29642923
-5.68784392,1.34008072,0.00410172,0.17332857,0.34031232,0.56926921,0.50640688,0.00000000,0.50069592,0.26749770
-5.68184092,1.23461898,0.00391554,0.15493764,0.30610124,0.54080757,0.46773459,0.00000000,0.44954383,0.24082110
-5.67583792,1.13476626,0.00372409,0.13807242,0.27426887,0.51192955,0.43082695,0.00000000,0.40264993,0.21639262
-5.66983492,1.04054909,0.00352795,0.12271002,0.24483311,0.48273059,0.39568261,0.00000000,0.35989495,0.19418628
-5.66383192,0.95198572,0.00332798,0.10881531,0.21778447,0.45334024,0.36229995,0.00000000,0.32114294,0.17416244
-5.65782891,0.86909411,0.00312529,0.09634416,0.19309047,0.42391824,0.33067894,0.00000000,0.28624875,0.15627275
-5.65182591,0.79189691,0.00292122,0.08524625,0.17069976,0.39464893,0.30082198,0.00000000,0.25506424,0.14046443
-5.64582291,0.72042380,0.00271727,0.07546760,0.15054595,0.36573476,0.27273392,0.00000000,0.22744303,0.12668367
-5.63981991,0.65471139,0.00251507,0.06695258,0.13255117,0.33738912,0.24642128,0.00000000,0.20324398,0.11487836
-5.63381691,0.59480126,0.00231632,0.05964559,0.11662913,0.30982893,0.22189104,0.00000000,0.18233359,0.10499986
-5.62781391,0.54073662,0.00212273,0.05349235,0.10268792,0.28326741,0.19914920,0.00000000,0.16458730,0.09700408
-5.62181091,0.49255805,0.00193595,0.04844073,0.09063237,0.25790737,0.17819928,0.00000000,0.14989004,0.09085179
-5.61580790,0.45029880,0.00175756,0.04444136,0.08036602,0.23393540,0.15904098,0.00000000,0.13813607,0.08650832
-5.60980490,0.41398012,0.00158898,0.04144786,0.07179283,0.21151694,0.14166913,0.00000000,0.12922823,0.08394263
-5.60380190,0.38360688,0.00143149,0.03941689,0.06481852,0.19079277,0.12607310,0.00000000,0.12307688,0.08312603
-5.59779890,0.35916386,0.00128618,0.03830791,0.05935163,0.17187655,0.11223660,0.00000000,0.11959851,0.08403048
-5.59179590,0.34061280,0.00115392,0.03808287,0.05530439,0.15485382,0.10013808,0.00000000,0.11871421,0.08662666
-5.58579290,0.32789042,0.00103542,0.03870574,0.05259334,0.13978209,0.08975152,0.00000000,0.12034811,0.09088206
-5.57978989,0.32090754,0.00093118,0.04014200,0.05113978,0.12669206,0.08104772,0.00000000,0.12442577,0.09675894
-5.57378689,0.31954909,0.00084153,0.04235809,0.05087011,0.11558980,0.07399590,0.00000000,0.13087277,0.10421255
-5.56778389,0.32367527,0.00076667,0.04532091,0.05171609,0.10645967,0.06856556,0.00000000,0.13961348,0.11318957
-5.56178089,0.33312359,0.00070666,0.04899733,0.05361498,0.09926774,0.06472847,0.00000000,0.15056995,0.12362686
-5.55577789,0.34771170,0.00066148,0.05335384,0.05650966,0.09396570,0.06246073,0.00000000,0.16366123,0.13545075
-5.54977489,0.36724102,0.00063106,0.05835621,0.06034875,0.09049475,0.06174467,0.00000000,0.17880281,0.14857675
-5.54377189,0.39150085,0.00061528,0.06396937,0.06508669,0.08878967,0.06257056,0.00000000,0.19590643,0.16290985
-5.53776888,0.42027276,0.00061404,0.07015725,0.07068380,0.08878253,0.06493801,0.00000000,0.21488006,0.17834532
-5.53176588,0.45333517,0.00062723,0.07688281,0.07710633,0.09040617,0.06885696,0.00000000,0.23562804,0.19477005
-5.52576288,0.49046776,0.00065481,0.08410805,0.08432643,0.09359729,0.07434816,0.00000000,0.25805133,0.21206433
-5.51975988,0.53145547,0.00069677,0.09179409,0.09232203,0.09829890,0.08144312,0.00000000,0.28204766,0.23010397
-5.51375688,0.57609181,0.00075317,0.09990116,0.10107664,0.10446228,0.09018348,0.00000000,0.30751154,0.24876267
-5.50775388,0.62418127,0.00082411,0.10838861,0.11057890,0.11204830,0.10061971,0.00000000,0.33433406,0.26791442
-5.50175088,0.67554060,0.00090974,0.11721470,0.12082200,0.12102806,0.11280929,0.00000000,0.36240221,0.28743592
-5.49574787,0.72999863,0.00101023,0.12633637,0.13180278,0.13138289,0.12681423,0.00000000,0.39159787,0.30720868
-5.48974487,0.78739479,0.00112578,0.13570878,0.14352056,0.14310374,0.14269811,0.00000000,0.42179621,0.32712085
-5.48374187,0.84757604,0.00125654,0.14528469,0.15597574,0.15619002,0.16052266,0.00000000,0.45286375,0.34706848
-5.47773887,0.91039238,0.00140263,0.15501374,0.16916804,0.17064781,0.18034394,0.00000000,0.48465592,0.36695630
-5.47173587,0.97569122,0.00156409,0.16484162,0.18309453,0.18648769,0.20220830,0.00000000,0.51701449,0.38669788
-5.46573287,1.04331065,0.00174081,0.17470919,0.19774744,0.20372219,0.22614824,0.00000000,0.54976490,0.40621517
-5.45972986,1.11307222,0.00193255,0.18455166,0.21311185,0.22236293,0.25217832,0.00000000,0.58271379,0.42543759
-5.45372686,1.18477358,0.00213884,0.19429793,0.22916338,0.24241758,0.28029116,0.00000000,0.61564705,0.44430062
-5.44772386,1.25818148,0.00235902,0.20387013,0.24586590,0.26388684,0.31045390,0.00000000,0.64832864,0.46274413
-5.44172086,1.33302572,0.00259212,0.21318356,0.26316950,0.28676137,0.34260511,0.00000000,0.68050047,0.48071059
-5.43571786,1.40899453,0.00283693,0.22214702,0.28100877,0.31101897,0.37665230,0.00000000,0.71188359,0.49814340
-5.42971486,1.48573180,0.00309191,0.23066367,0.29930157,0.33662206,0.41247024,0.00000000,0.74218086,0.51498534
-5.42371186,1.56283667,0.00335521,0.23863243,0.31794829,0.36351547,0.44990014,0.00000000,0.77108118,0.53117749
-5.41770885,1.63986561,0.00362468,0.24594997,0.33683187,0.39162486,0.48874975,0.00000000,0.79826533,0.54665872
-5.41170585,1.71633711,0.00389784,0.25251321,0.35581844,0.42085556,0.52879451,0.00000000,0.82341324,0.56136567
-5.40570285,1.79173904,0.00417197,0.25822224,0.37475880,0.45109221,0.56977965,0.00000000,0.84621235,0.57523349
-5.39969985,1.86553836,0.00444405,0.26298366,0.39349060,0.48219900,0.61142340,0.00000000,0.86636701,0.58819713
-5.39369685,1.93719291,0.00471089,0.26671406,0.41184130,0.51402073,0.65342107,0.00000000,0.88360807,0.60019324
-5.38769385,2.00616479,0.00496914,0.26934356,0.42963171,0.54638455,0.69545015,0.00000000,0.89770252,0.61116248
-5.38169085,2.07193479,0.00521535,0.27081918,0.44668015,0.57910250,0.73717611,0.00000000,0.90846241,0.62105212
-5.37568784,2.13401714,0.00544603,0.27110780,0.46280695,0.61197480,0.77825897,0.00000000,0.91575264,0.62981875
-5.36968484,2.19197412,0.00565777,0.27019869,0.47783930,0.64479379,0.81836035,0.00000000,0.91949706,0.63743090
-5.36368184,2.24542969,0.00584727,0.26810520,0.49161608,0.67734850,0.85715091,0.00000000,0.91968259,0.64387141
-5.35767884,2.29408165,0.00601147,0.26486570,0.50399270,0.70942967,0.89431789,0.00000000,0.91636091,0.64913936
-5.35167584,2.33771189,0.00614759,0.26054352,0.51484561,0.74083527,0.92957274,0.00000000,0.90964772,0.65325142
-5.34567284,2.37619408,0.00625321,0.25522597,0.52407629,0.77137614,0.96265825,0.00000000,0.89971947,0.65624256
-5.33966983,2.40949879,0.00632639,0.24902237,0.53161474,0.80088168,0.99335538,0.00000000,0.88680767,0.65816598
-5.33366683,2.43769553,0.00636565,0.24206118,0.53742208,0.82920541,1.02148912,0.00000000,0.87119122,0.65909242
-5.32766383,2.46095192,0.00637012,0.23448632,0.54149227,0.85623011,1.04693342,0.00000000,0.85318693,0.65910862
-5.32166083,2.47952969,0.00633948,0.22645294,0.54385285,0.88187225,1.06961486,0.00000000,0.83313892,0.65831526
-5.31565783,2.49377787,0.00627405,0.21812262,0.54456458,0.90608557,1.08951478,0.00000000,0.81140731,0.65682427
-5.30965483,2.50412319,0.00617477,0.20965843,0.54371998,0.92886352,1.10666976,0.00000000,0.78835687,0.65475572
-5.30365183,2.51105794,0.00604316,0.20121992,0.54144076,0.95024030,1.12117030,0.00000000,0.76434605,0.65223443
-5.29764882,2.51512564,0.00588134,0.19295826,0.53787429,0.97029030,1.13315763,0.00000000,0.73971704,0.64938628
-5.29164582,2.51690477,0.00569192,0.18501190,0.53318899,0.98912599,1.14281854,0.00000000,0.71478717,0.64633456
-5.28564282,2.51699102,0.00547798,0.17750258,0.52756906,1.00689390,1.15037847,0.00000000,0.68984189,0.64319624
-5.27963982,2.51597849,0.00524298,0.17053227,0.52120841,1.02376903,1.15609288,0.00000000,0.66512977,0.64007840
-5.27363682,2.51444024,0.00499063,0.16418072,0.51430429,1.03994750,1.16023722,0.00000000,0.64085931,0.63707489
-5.26763382,2.51290886,0.00472484,0.15850407,0.50705063,1.05563789,1.16309576,0.00000000,0.61719767,0.63426323
-5.26163082,2.51185753,0.00444962,0.15353416,0.49963142,1.07105145,1.16494981,0.00000000,0.59427117,0.63170195
-5.25562781,2.51168231,0.00416892,0.14927893,0.49221443,1.08639151,1.16606569,0.00000000,0.57216732,0.62942830
-5.24962481,2.51268623,0.00388658,0.14572351,0.48494546,1.10184277,1.16668304,0.00000000,0.55093809,0.62745651
-5.24362181,2.51506596,0.00360623,0.14283217,0.47794340,1.11756066,1.16700399,0.00000000,0.53060412,0.62577663
-5.23761881,2.51890165,0.00333120,0.14055086,0.47129631,1.13366168,1.16718370,0.00000000,0.51115960,0.62435404
-5.23161581,2.52415063,0.00306445,0.13881034,0.46505874,1.15021490,1.16732287,0.00000000,0.49257739,0.62312971
-5.22561281,2.53064546,0.00280853,0.13752970,0.45925038,1.16723543,1.16746248,0.00000000,0.47481434,0.62202127
-5.21960980,2.53809678,0.00256553,0.13662013,0.45385612,1.18468012,1.16758128,0.00000000,0.45781630,0.62092489
-5.21360680,2.54610115,0.00233708,0.13598886,0.44882767,1.20244583,1.16759617,0.00000000,0.44152296,0.61971815
-5.20760380,2.55415391,0.00212434,0.13554304,0.44408650,1.22037065,1.16736546,0.00000000,0.42587214,0.61826374
-5.20160080,2.56166699,0.00192798,0.13519355,0.43952810,1.23823788,1.16669515,0.00000000,0.41080364,0.61641400
-5.19559780,2.56799096,0.00174828,0.13485848,0.43502750,1.25578297,1.16534783,0.00000000,0.39626254,0.61401630
-5.18959480,2.57244088,0.00158512,0.13446631,0.43044553,1.27270292,1.16305385,0.00000000,0.38220202,0.61091902
-5.18359180,2.57432485,0.00143802,0.13395862,0.42563583,1.28866785,1.15952445,0.00000000,0.36858571,0.60697803
-5.17758879,2.57297416,0.00130624,0.13329232,0.42045217,1.30333423,1.15446593,0.00000000,0.35538955,0.60206337
-5.17158579,2.56777378,0.00118882,0.13244129,0.41475573,1.31635903,1.14759443,0.00000000,0.34260331,0.59606603
-5.16558279,2.55819186,0.00108463,0.13139736,0.40842209,1.32741412,1.13865056,0.00000000,0.33023175,0.58890436
-5.15957979,2.54380666,0.00099246,0.13017082,0.40134758,1.33620021,1.12741300,0.00000000,0.31829539,0.58052994
-5.15357679,2.52432996,0.00091105,0.12879020,0.39345464,1.34245946,1.11371059,0.00000000,0.30683104,0.57093265
-5.14757379,2.49962541,0.00083916,0.12730146,0.38469607,1.34598634,1.09743222,0.00000000,0.29589190,0.56014459
-5.14157079,2.46972123,0.00077560,0.12576677,0.37505791,1.34663596,1.07853403,0.00000000,0.28554742,0.54824272
-5.13556778,2.43481638,0.00071930,0.12426263,0.36456090,1.34432955,1.05704370,0.00000000,0.27588273,0.53535000
-5.12956478,2.39528005,0.00066930,0.12287774,0.35326037,1.33905696,1.03306144,0.00000000,0.26699777,0.52163501
-5.12356178,2.35164445,0.00062479,0.12171047,0.34124476,1.33087595,1.00675805,0.00000000,0.25900606,0.50730994
-5.11755878,2.30459135,0.00058512,0.12086614,0.32863278,1.31990863,0.97836982,0.00000000,0.25203317,0.49262702
-5.11155578,2.25493308,0.00054981,0.12045425,0.31556932,1.30633522,0.94819093,0.00000000,0.24621486,0.47787361
-5.10555278,2.20358893,0.00051855,0.12058565,0.30222055,1.29038568,0.91656366,0.00000000,0.24169510,0.46336597
-5.09954977,2.15155840,0.00049119,0.12136996,0.28876822,1.27232987,0.88386699,0.00000000,0.23862392,0.44944202
-5.09354677,2.09989237,0.00046769,0.12291314,0.27540361,1.25246677,0.85050431,0.00000000,0.23715520,0.43645347
-5.08754377,2.04966381,0.00044817,0.12531551,0.26232138,1.23111366,0.81689073,0.00000000,0.23744462,0.42475731
-5.08154077,2.00193930,0.00043285,0.12867017,0.24971362,1.20859574,0.78344079,0.00000000,0.23964778,0.41470731
-5.07553777,1.95775255,0.00042203,0.13306192,0.23776424,1.18523686,0.75055705,0.00000000,0.24391853,0.40664549
-5.06953477,1.91808100,0.00041604,0.13856682,0.22664408,1.16135187,0.71862002,0.00000000,0.25040782,0.40089400
-5.06353177,1.88382622,0.00041529,0.14525221,0.21650684,1.13724084,0.68797988,0.00000000,0.25926280,0.39774748
-5.05752876,1.85579850,0.00042017,0.15317736,0.20748585,1.11318531,0.65895014,0.00000000,0.27062645,0.39746624
-5.05152576,1.83470591,0.00043104,0.16239456,0.19969193,1.08944656,0.63180336,0.00000000,0.28463755,0.40027016
-5.04552276,1.82114756,0.00044825,0.17295064,0.19321208,1.06626577,0.60676895,0.00000000,0.30143096,0.40633356
-5.03951976,1.81561066,0.00047205,0.18488867,0.18810926,1.04386550,0.58403275,0.00000000,0.32113815,0.41578099
-5.03351676,1.81847078,0.00050265,0.19824990,0.18442282,1.02245238,0.56373826,0.00000000,0.34388764,0.42868402
-5.02751376,1.82999449,0.00054010,0.21307545,0.18216973,1.00222012,0.54598916,0.00000000,0.36980535,0.44505893
-5.02151076,1.85034352,0.00058437,0.22940791,0.18134627,0.98335258,0.53085265,0.00000000,0.39901449,0.46486532
-5.01550775,1.87957952,0.00063527,0.24729227,0.18193010,0.96602621,0.51836330,0.00000000,0.43163488,0.48800571
-5.00950475,1.91766873,0.00069249,0.26677634,0.18388249,0.95041142,0.50852700,0.00000000,0.46778133,0.51432587
-5.00350175,1.96448564,0.00075554,0.28791026,0.18715059,0.93667253,0.50132465,0.00000000,0.50756100,0.54361615
-4.99749875,2.01981541,0.00082378,0.31074502,0.19166951,0.92496612,0.49671529,0.00000000,0.55106952,0.57561356
-4.99149575,2.08335449,0.00089644,0.33532995,0.19736424,0.91543754,0.49463855,0.00000000,0.59838581,0.61000473
-4.98549275,2.15470956,0.00097259,0.36170916,0.20415113,0.90821587,0.49501609,0.00000000,0.64956550,0.64642968
-4.97948974,2.23339476,0.00105116,0.38991684,0.21193906,0.90340739,0.49775232,0.00000000,0.70463317,0.68448643
-4.97348674,2.31882779,0.00113096,0.41997175,0.22063022,0.90108804,0.50273408,0.00000000,0.76357341,0.72373637
-4.96748374,2.41032521,0.00121075,0.45187095,0.23012042,0.90129521,0.50982970,0.00000000,0.82632115,0.76371042
-4.96148074,2.50709789,0.00128917,0.48558305,0.24029916,0.90401964,0.51888751,0.00000000,0.89275151,0.80391582
-4.95547774,2.60824719,0.00136486,0.52104141,0.25104945,0.90919780,0.52973400,0.00000000,0.96266976,0.84384359
-4.94947474,2.71276288,0.00143645,0.55813760,0.26224747,0.91670544,0.54217204,0.00000000,1.03580188,0.88297643
-4.94347174,2.81952354,0.00150260,0.59671555,0.27376221,0.92635291,0.55597932,0.00000000,1.11178639,0.92079700
-4.93746873,2.92730027,0.00156203,0.63656685,0.28545521,0.93788269,0.57090739,0.00000000,1.19016806,0.95679635
-4.93146573,3.03476430,0.00161359,0.67742762,0.29718059,0.95096944,0.58668144,0.00000000,1.27039413,0.99048242
-4.92546273,3.14049899,0.00165623,0.71897723,0.30878532,0.96522297,0.60300121,0.00000000,1.35181365,1.02138836
-4.91945973,3.24301651,0.00168911,0.76083936,0.32011000,0.98019401,0.61954302,0.00000000,1.43368036,1.04908043
-4.91345673,3.34077907,0.00171155,0.80258535,0.33099011,0.99538293,0.63596316,0.00000000,1.51515954,1.07316553
