energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-4.92546273,1.51508096,0.41593494,0.39732458,0.01950080,0.11585993,0.56392702,0.00000000
-4.91945973,1.46955041,0.40911955,0.37725903,0.01760391,0.10597483,0.56281549,0.00000000
-4.91345673,1.43009802,0.40307981,0.35933204,0.01598929,0.09679217,0.56264377,0.00000000
-4.90745373,1.39690388,0.39797267,0.34363331,0.01467870,0.08842496,0.56335157,0.00000000
-4.90145073,1.36999511,0.39392427,0.33020695,0.01369455,0.08097412,0.56482687,0.00000000
-4.89544772,1.34927408,0.39103358,0.31905976,0.01306066,0.07452986,0.56691396,0.00000000
-4.88944472,1.33455205,0.38937774,0.31017067,0.01280300,0.06917331,0.56942403,0.00000000
-4.88344172,1.32558609,0.38901880,0.30350074,0.01295026,0.06497838,0.57214784,0.00000000
-4.87743872,1.32211715,0.39001115,0.29900312,0.01353430,0.06201353,0.57486966,0.00000000
-4.87143572,1.32390693,0.39240903,0.29663257,0.01459033,0.06034347,0.57738159,0.00000000
-4.86543272,1.33077128,0.39627344,0.29635369,0.01615689,0.06003040,0.57949755,0.00000000
-4.85942971,1.34260808,0.40167787,0.29814762,0.01827541,0.06113488,0.58106584,0.00000000
-4.85342671,1.35941763,0.40871218,0.30201670,0.02098957,0.06371598,0.58197983,0.00000000
-4.84742371,1.38131415,0.41748417,0.30798672,0.02434419,0.06783082,0.58218577,0.00000000
-4.84142071,1.40852739,0.42811854,0.31610663,0.02838389,0.07353336,0.58168747,0.00000000
-4.83541771,1.44139382,0.44075299,0.32644558,0.03315123,0.08087234,0.58054744,0.00000000
-4.82941471,1.48033754,0.45553158,0.33908749,0.03868475,0.08988872,0.57888435,0.00000000
-4.82341171,1.52584163,0.47259540,0.35412316,0.04501661,0.10061228,0.57686696,0.00000000
-4.81740870,1.57841127,0.49207116,0.37164057,0.05217006,0.11305792,0.57470489,0.00000000
-4.81140570,1.63853032,0.51405806,0.39171356,0.06015690,0.12722160,0.57263654,0.00000000
-4.80540270,1.70661382,0.53861390,0.41438974,0.06897493,0.14307620,0.57091505,0.00000000
-4.79939970,1.78295887,0.56574101,0.43967816,0.07860548,0.16056754,0.56979300,0.00000000
-4.79339670,1.86769674,0.59537321,0.46753750,0.08901135,0.17961090,0.56950661,0.00000000
-4.78739370,1.96074913,0.62736445,0.49786560,0.10013510,0.20008811,0.57026053,0.00000000
-4.78139070,2.06179124,0.66148019,0.53049083,0.11189796,0.22184568,0.57221391,0.00000000
-4.77538769,2.17022421,0.69739215,0.56516622,0.12419937,0.24469401,0.57546865,0.00000000
-4.76938469,2.28515893,0.73467716,0.60156656,0.13691735,0.26840792,0.58006041,0.00000000
-4.76338169,2.40541288,0.77282044,0.63928909,0.14990973,0.29272868,0.58595292,0.00000000
-4.75737869,2.52952060,0.81122356,0.67785788,0.16301632,0.31736749,0.59303598,0.00000000
-4.75137569,2.65575837,0.84921690,0.71673188,0.17606184,0.34201039,0.60112712,0.00000000
-4.74537269,2.78218208,0.88607636,0.75531655,0.18885986,0.36632463,0.60997701,0.00000000
-4.73936968,2.90667742,0.92104367,0.79297864,0.20121735,0.38996611,0.61927817,0.00000000
-4.73336668,3.02702011,0.95334950,0.82906358,0.21293986,0.41258790,0.62867669,0.00000000
-4.72736368,3.14094393,0.98223836,0.86291478,0.22383713,0.43384929,0.63778621,0.00000000
-4.72136068,3.24621344,1.00699417,0.89389399,0.23372883,0.45342517,0.64620356,0.00000000
-4.71535768,3.34069830,1.02696525,0.92140194,0.24245033,0.47101533,0.65352516,0.00000000
-4.70935468,3.42244585,1.04158764,0.94489817,0.24985805,0.48635332,0.65936352,0.00000000
-4.70335168,3.48974874,1.05040555,0.96391932,0.25583439,0.49921440,0.66336292,0.00000000
-4.69734867,3.54120462,1.05308796,0.97809502,0.26029181,0.50942242,0.66521362,0.00000000
-4.69134567,3.57576539,1.04944066,0.98716058,0.26317594,0.51685516,0.66466395,0.00000000
-4.68534267,3.59277383,1.03941309,0.99096609,0.26446763,0.52144806,0.66152986,0.00000000
