energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
4.35517759,0.46875973,0.00113981,0.00000000,0.00000019,0.05064797,0.13408759,0.45235482
4.36118059,0.46401797,0.00112826,0.00000000,0.00000013,0.05013568,0.13273122,0.44777904
4.36718359,0.45602604,0.00110882,0.00000000,0.00000009,0.04927221,0.13044516,0.44006683
4.37318659,0.44495357,0.00108189,0.00000000,0.00000006,0.04807588,0.12727791,0.42938187
4.37918959,0.43103236,0.00104803,0.00000000,0.00000004,0.04657175,0.12329578,0.41594786
4.38519260,0.41454828,0.00100795,0.00000000,0.00000003,0.04479070,0.11858055,0.40004067
4.39119560,0.39583153,0.00096244,0.00000000,0.00000002,0.04276842,0.11322667,0.38197893
4.39719860,0.37524564,0.00091238,0.00000000,0.00000002,0.04054418,0.10733812,0.36211347
4.40320160,0.35317578,0.00085872,0.00000000,0.00000001,0.03815960,0.10102509,0.34081597
4.40920460,0.33001686,0.00080241,0.00000000,0.00000001,0.03565734,0.09440054,0.31846753
4.41520760,0.30616202,0.00074441,0.00000000,0.00000001,0.03307990,0.08757692,0.29544752
4.42121061,0.28199179,0.00068564,0.00000000,0.00000001,0.03046838,0.08066308,0.27212316
4.42721361,0.25786451,0.00062698,0.00000000,0.00000001,0.02786150,0.07376153,0.24884024
4.43321661,0.23410821,0.00056922,0.00000000,0.00000000,0.02529470,0.06696610,0.22591531
4.43921961,0.21101418,0.00051306,0.00000000,0.00000000,0.02279946,0.06036011,0.20362949
4.44522261,0.18883245,0.00045913,0.00000000,0.00000000,0.02040279,0.05401507,0.18222403
4.45122561,0.16776893,0.00040792,0.00000000,0.00000000,0.01812694,0.04798990,0.16189766
4.45722861,0.14798456,0.00035981,0.00000000,0.00000000,0.01598929,0.04233063,0.14280567
4.46323162,0.12959589,0.00031510,0.00000000,0.00000000,0.01400245,0.03707060,0.12506053
4.46923462,0.11267719,0.00027397,0.00000000,0.00000000,0.01217444,0.03223104,0.10873392
4.47523762,0.09726369,0.00023649,0.00000000,0.00000000,0.01050905,0.02782205,0.09385983
4.48124062,0.08335572,0.00020267,0.00000000,0.00000000,0.00900634,0.02384371,0.08043859
4.48724362,0.07092348,0.00017244,0.00000000,0.00000000,0.00766307,0.02028749,0.06844143
4.49324662,0.05991211,0.00014567,0.00000000,0.00000000,0.00647333,0.01713772,0.05781541
4.49924962,0.05024688,0.00012217,0.00000000,0.00000000,0.00542903,0.01437300,0.04848843
4.50525263,0.04183826,0.00010173,0.00000000,0.00000000,0.00452050,0.01196773,0.04037408
4.51125563,0.03458661,0.00008409,0.00000000,0.00000000,0.00373698,0.00989342,0.03337621
4.51725863,0.02838654,0.00006902,0.00000000,0.00000000,0.00306708,0.00811990,0.02739312
4.52326163,0.02313059,0.00005624,0.00000000,0.00000000,0.00249919,0.00661645,0.02232111
4.52926463,0.01871247,0.00004550,0.00000000,0.00000000,0.00202183,0.00535266,0.01805760
4.53526763,0.01502953,0.00003654,0.00000000,0.00000000,0.00162390,0.00429916,0.01450355
4.54127064,0.01198476,0.00002914,0.00000000,0.00000000,0.00129492,0.00342821,0.01156534
4.54727364,0.00948819,0.00002307,0.00000000,0.00000000,0.00102517,0.00271408,0.00915614
4.55327664,0.00745775,0.00001813,0.00000000,0.00000000,0.00080579,0.00213327,0.00719675
4.55927964,0.00581971,0.00001415,0.00000000,0.00000000,0.00062880,0.00166472,0.00561605
4.56528264,0.00450885,0.00001096,0.00000000,0.00000000,0.00048717,0.00128975,0.00435106
4.57128564,0.00346816,0.00000843,0.00000000,0.00000000,0.00037472,0.00099206,0.00334679
4.57728864,0.00264852,0.00000644,0.00000000,0.00000000,0.00028616,0.00075760,0.00255583
4.58329165,0.00200806,0.00000488,0.00000000,0.00000000,0.00021697,0.00057440,0.00193779
4.58929465,0.00151155,0.00000368,0.00000000,0.00000000,0.00016332,0.00043237,0.00145865
4.59529765,0.00112963,0.00000275,0.00000000,0.00000000,0.00012205,0.00032313,0.00109009
4.60130065,0.00083814,0.00000204,0.00000000,0.00000000,0.00009056,0.00023975,0.00080881
4.60730365,0.00061741,0.00000150,0.00000000,0.00000000,0.00006671,0.00017661,0.00059580
4.61330665,0.00045154,0.00000110,0.00000000,0.00000000,0.00004879,0.00012916,0.00043574
4.61930965,0.00032786,0.00000080,0.00000000,0.00000000,0.00003542,0.00009378,0.00031639
4.62531266,0.00023635,0.00000057,0.00000000,0.00000000,0.00002554,0.00006761,0.00022808
4.63131566,0.00016916,0.00000041,0.00000000,0.00000000,0.00001828,0.00004839,0.00016324
4.63731866,0.00012020,0.00000029,0.00000000,0.00000000,0.00001299,0.00003438,0.00011599
4.64332166,0.00008479,0.00000021,0.00000000,0.00000000,0.00000916,0.00002426,0.00008183
4.64932466,0.00005939,0.00000014,0.00000000,0.00000000,0.00000642,0.00001699,0.00005731
4.65532766,0.00004130,0.00000010,0.00000000,0.00000000,0.00000446,0.00001181,0.00003985
4.66133067,0.00002851,0.00000007,0.00000000,0.00000000,0.00000308,0.00000816,0.00002751
4.66733367,0.00001954,0.00000005,0.00000000,0.00000000,0.00000211,0.00000559,0.00001886
4.67333667,0.00001330,0.00000003,0.00000000,0.00000000,0.00000144,0.00000380,0.00001283
4.67933967,0.00000898,0.00000002,0.00000000,0.00000000,0.00000097,0.00000257,0.00000867
4.68534267,0.00000603,0.00000001,0.00000000,0.00000000,0.00000065,0.00000172,0.00000582
4.69134567,0.00000401,0.00000001,0.00000000,0.00000000,0.00000043,0.00000115,0.00000387
4.69734867,0.00000265,0.00000001,0.00000000,0.00000000,0.00000029,0.00000076,0.00000256
4.70335168,0.00000174,0.00000000,0.00000000,0.00000000,0.00000019,0.00000050,0.00000168
4.70935468,0.00000113,0.00000000,0.00000000,0.00000000,0.00000012,0.00000032,0.00000110
4.71535768,0.00000073,0.00000000,0.00000000,0.00000000,0.00000008,0.00000021,0.00000071
4.72136068,0.00000047,0.00000000,0.00000000,0.00000000,0.00000005,0.00000013,0.00000046
4.72736368,0.00000030,0.00000000,0.00000000,0.00000000,0.00000003,0.00000009,0.00000029
4.73336668,0.00000019,0.00000000,0.00000000,0.00000000,0.00000002,0.00000005,0.00000018
4.73936968,0.00000012,0.00000000,0.00000000,0.00000000,0.00000001,0.00000003,0.00000012
4.74537269,0.00000007,0.00000000,0.00000000,0.00000000,0.00000001,0.00000002,0.00000007
4.75137569,0.00000005,0.00000000,0.00000000,0.00000000,0.00000001,0.00000001,0.00000004
4.75737869,0.00000003,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000003
4.76338169,0.00000002,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002
4.76938469,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
4.77538769,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001
4.78139070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.78739370,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.79339670,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.79939970,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.80540270,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.81140570,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.81740870,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.82341171,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.82941471,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.83541771,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.84142071,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.84742371,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.85342671,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.85942971,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.86543272,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.87143572,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.87743872,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.88344172,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.88944472,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.89544772,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.90145073,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.90745373,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.91345673,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.91945973,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.92546273,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.93146573,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.93746873,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.94347174,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.94947474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.95547774,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.96148074,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.96748374,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.97348674,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.97948974,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
4.98549275,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
