energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.27548948,0.01370631,0.00000000,0.00029681,0.16232026,0.00070788,0.11030505
-5.99399700,0.27825071,0.01344606,0.00000000,0.00029257,0.16439410,0.00065488,0.11171634
-5.98799400,0.28027333,0.01309616,0.00000000,0.00028717,0.16608908,0.00061037,0.11286771
-5.98199100,0.28166843,0.01266385,0.00000000,0.00028066,0.16746931,0.00057140,0.11380323
-5.97598799,0.28255623,0.01215793,0.00000000,0.00027312,0.16860293,0.00053590,0.11456961
-5.96998499,0.28305878,0.01158844,0.00000000,0.00026468,0.16955781,0.00050247,0.11521329
-5.96398199,0.28329267,0.01096633,0.00000000,0.00025550,0.17039716,0.00047024,0.11577750
-5.95797899,0.28336209,0.01030312,0.00000000,0.00024574,0.17117558,0.00043872,0.11629957
-5.95197599,0.28335272,0.00961052,0.00000000,0.00023558,0.17193543,0.00040770,0.11680847
-5.94597299,0.28332669,0.00890011,0.00000000,0.00022520,0.17270402,0.00037714,0.11732294
-5.93996998,0.28331890,0.00818303,0.00000000,0.00021475,0.17349159,0.00034718,0.11785010
-5.93396698,0.28333496,0.00746970,0.00000000,0.00020438,0.17429028,0.00031799,0.11838477
-5.92796398,0.28335080,0.00676959,0.00000000,0.00019421,0.17507415,0.00028982,0.11890945
-5.92196098,0.28331396,0.00609106,0.00000000,0.00018435,0.17580019,0.00026294,0.11939506
-5.91595798,0.28314659,0.00544120,0.00000000,0.00017487,0.17641042,0.00023763,0.11980232
-5.90995498,0.28274979,0.00482578,0.00000000,0.00016581,0.17683472,0.00021416,0.12008371
-5.90395198,0.28200922,0.00424926,0.00000000,0.00015720,0.17699451,0.00019283,0.12018593
-5.89794897,0.28080155,0.00371479,0.00000000,0.00014904,0.17680686,0.00017395,0.12005269
-5.89194597,0.27900147,0.00322428,0.00000000,0.00014132,0.17618888,0.00015789,0.11962776
