energy_ev,total_up,Ag_p_up,Ag_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.91549379,0.84050984,1.91070579,0.19096493,0.00409196,0.18066415,0.02329850,0.47540241
-5.99399700,2.98202654,0.84732877,1.96164100,0.19479254,0.00423077,0.18354031,0.02387287,0.48374659
-5.98799400,3.05571430,0.85599372,2.01699902,0.19941721,0.00438279,0.18709579,0.02450001,0.49336874
-5.98199100,3.13629170,0.86663201,2.07650939,0.20479629,0.00454696,0.19135426,0.02517680,0.50423929
-5.97598799,3.22328397,0.87929520,2.13976796,0.21086891,0.00472210,0.19632430,0.02589868,0.51629720
-5.96998499,3.31600274,0.89395337,2.20623663,0.21755735,0.00490689,0.20199760,0.02665969,0.52944927
-5.96398199,3.41355043,0.91049270,2.27524840,0.22476898,0.00509994,0.20834761,0.02745261,0.54357053
-5.95797899,3.51483280,0.92871651,2.34601771,0.23239855,0.00529977,0.21532893,0.02826908,0.55850581
-5.95197599,3.61857925,0.94834969,2.41765536,0.24033099,0.00550487,0.22287730,0.02909983,0.57407250
-5.94597299,3.72337005,0.96904624,2.48918769,0.24844424,0.00571371,0.23091027,0.02993489,0.59006428
-5.93996998,3.82766932,0.99039986,2.55957903,0.25661241,0.00592479,0.23932840,0.03076385,0.60625578
-5.93396698,3.92986271,1.01195692,2.62775676,0.26470886,0.00613663,0.24801712,0.03157616,0.62240797
-5.92796398,4.02829836,1.03323140,2.69263798,0.27260929,0.00634778,0.25684904,0.03236138,0.63827422
-5.92196098,4.12132965,1.05372135,2.75315691,0.28019464,0.00655685,0.26568663,0.03310947,0.65360674
-5.91595798,4.20735866,1.07292597,2.80829222,0.28735381,0.00676249,0.27438540,0.03381103,0.66816328
-5.90995498,4.28487870,1.09036303,2.85709333,0.29398614,0.00696336,0.28279719,0.03445758,0.68171395
-5.90395198,4.35251495,1.10558576,2.89870511,0.30000354,0.00715815,0.29077376,0.03504176,0.69404781
-5.89794897,4.40906194,1.11819870,2.93239026,0.30533224,0.00734550,0.29817040,0.03555748,0.70497922
-5.89194597,4.45351706,1.12787208,2.95754893,0.30991427,0.00752403,0.30484959,0.03600011,0.71435367
-5.88594297,4.48510912,1.13435412,2.97373499,0.31370846,0.00769230,0.31068454,0.03636654,0.72205285
-5.87993997,4.50332148,1.13748099,2.98066891,0.31669109,0.00784876,0.31556263,0.03665523,0.72799889
-5.87393697,4.50790905,1.13718406,2.97824670,0.31885615,0.00799179,0.31938849,0.03686629,0.73215758
-5.86793397,4.49890880,1.13349427,2.96654507,0.32021517,0.00811966,0.32208688,0.03700134,0.73454033
-5.86193097,4.47664358,1.12654342,2.94582242,0.32079672,0.00823056,0.32360504,0.03706351,0.73520487
-5.85592796,4.44171898,1.11656245,2.91651589,0.32064555,0.00832262,0.32391465,0.03705730,0.73425457
-5.84992496,4.39501322,1.10387671,2.87923427,0.31982130,0.00839395,0.32301317,0.03698837,0.73183629
-5.84392196,4.33766018,1.08889823,2.83474704,0.31839699,0.00844271,0.32092459,0.03686340,0.72813679
-5.83791896,4.27102585,1.07211535,2.78396952,0.31645716,0.00846712,0.31769956,0.03668981,0.72337782
-5.83191596,4.19667842,1.05407986,2.72794448,0.31409573,0.00846561,0.31341470,0.03647554,0.71780981
-5.82591296,4.11635275,1.03539204,2.66782038,0.31141368,0.00843681,0.30817134,0.03622873,0.71170456
-5.81990995,4.03190979,1.01668388,2.60482674,0.30851654,0.00837973,0.30209343,0.03595747,0.70534693
-5.81390695,3.94529198,0.99860106,2.54024700,0.30551172,0.00829374,0.29532483,0.03566949,0.69902594
-5.80790395,3.85847551,0.98178407,2.47538956,0.30250585,0.00817868,0.28802593,0.03537193,0.69302547
-5.80190095,3.77342091,0.96684901,2.41155759,0.29960202,0.00803494,0.28036967,0.03507102,0.68761492
-5.79589795,3.69202306,0.95436871,2.35001841,0.29689714,0.00786344,0.27253716,0.03477194,0.68304027
-5.78989495,3.61606231,0.94485465,2.29197326,0.29447946,0.00766569,0.26471286,0.03447863,0.67951571
-5.78389195,3.54715797,0.93874027,2.23852825,0.29242619,0.00744377,0.25707966,0.03419362,0.67721626
-5.77788894,3.48672584,0.93636634,2.19066747,0.29080144,0.00720032,0.24981380,0.03391806,0.67627171
-5.77188594,3.43594097,0.93796875,2.14922897,0.28965449,0.00693846,0.24307994,0.03365167,0.67676202
-5.76588294,3.39570711,0.94366934,2.11488443,0.28901840,0.00666175,0.23702653,0.03339282,0.67871453
-5.75987994,3.36663371,0.95347006,2.08812321,0.28890904,0.00637410,0.23178156,0.03313867,0.68210283
-5.75387694,3.34902140,0.96725083,2.06924123,0.28932460,0.00607964,0.22744893,0.03288539,0.68684773
-5.74787394,3.34285638,0.98477122,2.05833502,0.29024553,0.00578263,0.22410554,0.03262834,0.69281983
-5.74187094,3.34781389,1.00567598,2.05530130,0.29163500,0.00548733,0.22179916,0.03236237,0.69984402
-5.73586793,3.36327071,1.02950440,2.05984179,0.29343982,0.00519788,0.22054727,0.03208213,0.70770533
-5.72986493,3.38832595,1.05570313,2.07147322,0.29559180,0.00491818,0.22033679,0.03178233,0.71615618
-5.72386193,3.42182959,1.08364212,2.08954220,0.29800957,0.00465179,0.22112481,0.03145805,0.72492460
-5.71785893,3.46241749,1.11263315,2.11324415,0.30060076,0.00440183,0.22284017,0.03110501,0.73372295
-5.71185593,3.50855164,1.14195025,2.14164591,0.30326447,0.00417090,0.22538602,0.03071975,0.74225708
-5.70585293,3.55856417,1.17085131,2.17371099,0.30589397,0.00396103,0.22864303,0.03029982,0.75023533
-5.69984992,3.61070350,1.19860006,2.20832674,0.30837963,0.00377361,0.23247334,0.02984391,0.75737700
-5.69384692,3.66318123,1.22448750,2.24433262,0.31061185,0.00360942,0.23672490,0.02935185,0.76342028
-5.68784392,3.71421798,1.24785214,2.28054857,0.31248395,0.00346861,0.24123624,0.02882460,0.76812896
-5.68184092,3.76208710,1.26809814,2.31580285,0.31389506,0.00335072,0.24584133,0.02826417,0.77129808
-5.67583792,3.80515482,1.28471080,2.34895856,0.31475269,0.00325473,0.25037440,0.02767349,0.77275817
-5.66983492,3.84191606,1.29726875,2.37893828,0.31497511,0.00317915,0.25467466,0.02705619,0.77237815
-5.66383192,3.87102507,1.30545267,2.40474641,0.31449338,0.00312202,0.25859057,0.02641645,0.77006674
-5.65782891,3.89132055,1.30905012,2.42548875,0.31325300,0.00308108,0.26198373,0.02575869,0.76577276
-5.65182591,3.90184520,1.30795669,2.44038940,0.31121511,0.00305382,0.26473214,0.02508742,0.75948409
-5.64582291,3.90185968,1.30217354,2.44880456,0.30835738,0.00303757,0.26673282,0.02440694,0.75122581
-5.63981991,3.89085138,1.29180168,2.45023361,0.30467431,0.00302962,0.26790378,0.02372125,0.74105760
-5.63381691,3.86853860,1.27703355,2.44432739,0.30017731,0.00302731,0.26818520,0.02303380,0.72907058
-5.62781391,3.83487068,1.25814246,2.43089390,0.29489427,0.00302813,0.26754007,0.02234747,0.71538406
-5.62181091,3.79002474,1.23547056,2.40990167,0.28886891,0.00302979,0.26595405,0.02166448,0.70014214
-5.61580790,3.73439982,1.20941608,2.38148097,0.28215979,0.00303034,0.26343489,0.02098644,0.68351067
-5.60980490,3.66860887,1.18042042,2.34592305,0.27483920,0.00302818,0.26001131,0.02031434,0.66567441
-5.60380190,3.59346920,1.14895584,2.30367747,0.26699178,0.00302220,0.25573148,0.01964875,0.64683472
-5.59779890,3.50999155,1.11551407,2.25534772,0.25871314,0.00301174,0.25066127,0.01898992,0.62720773
-5.59179590,3.41936803,1.08059632,2.20168492,0.25010833,0.00299669,0.24488222,0.01833796,0.60702290
-5.58579290,3.32295886,1.04470493,2.14357971,0.24129028,0.00297747,0.23848942,0.01769305,0.58652204
-5.57978989,3.22227755,1.00833661,2.08205198,0.23237828,0.00295507,0.23158934,0.01705565,0.56595844
-5.57378689,3.11897435,0.97197724,2.01823848,0.22349627,0.00293098,0.22429752,0.01642666,0.54559612
-5.56778389,3.01481725,0.93609801,1.95337788,0.21477128,0.00290722,0.21673642,0.01580762,0.52570885
-5.56178089,2.91167023,0.90115256,1.88879319,0.20633162,0.00288628,0.20903318,0.01520083,0.50657886
-5.55577789,2.81146817,0.86757473,1.82587146,0.19830515,0.00287101,0.20131735,0.01460942,0.48849486
-5.54977489,2.71618797,0.83577646,1.76604046,0.19081731,0.00286464,0.19371877,0.01403744,0.47174932
-5.54377189,2.62781581,0.80614546,1.71074265,0.18398912,0.00287060,0.18636525,0.01348978,0.45663485
-5.53776888,2.54831038,0.77904239,1.66140641,0.17793499,0.00289247,0.17938036,0.01297217,0.44343952
-5.53176588,2.47956243,0.75479710,1.61941503,0.17276046,0.00293386,0.17288112,0.01249099,0.43244121
-5.52576288,2.42335121,0.73370398,1.58607378,0.16855981,0.00299829,0.16697565,0.01205314,0.42390099
-5.51975988,2.38129871,0.71601633,1.56257604,0.16541366,0.00308905,0.16176089,0.01166578,0.41805572
-5.51375688,2.35482278,0.70193994,1.54996907,0.16338653,0.00320910,0.15732026,0.01133612,0.41511007
