energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,10.43070776,2.46093404,6.17374670,0.06146788,0.53477059,0.05695494,2.51949214,1.41943752,0.42174976
-5.99399700,10.31530376,2.42552401,6.09824719,0.06079101,0.51091231,0.05680302,2.51408484,1.40503910,0.42511980
-5.98799400,10.22862477,2.39787179,6.03652800,0.06025325,0.48801968,0.05686954,2.51941060,1.39578634,0.42999365
-5.98199100,10.17489617,2.37903296,5.99135267,0.05988355,0.46638161,0.05717497,2.53625791,1.39225892,0.43647904
-5.97598799,10.15773615,2.36987047,5.96516427,0.05970974,0.44625093,0.05773411,2.56522740,1.39496025,0.44465578
-5.96998499,10.18003702,2.37102718,5.96000879,0.05975729,0.42783834,0.05855539,2.60670795,1.40430363,0.45457197
-5.96398199,10.24387075,2.38290639,5.97747209,0.06004822,0.41130816,0.05964045,2.66085905,1.42060032,0.46624129
-5.95797899,10.35042215,2.40566101,6.01863259,0.06059999,0.39677595,0.06098385,2.72760046,1.44404974,0.47964163
-5.95197599,10.49995240,2.43919147,6.08403163,0.06142465,0.38430801,0.06257303,2.80660943,1.47473240,0.49471497
-5.94597299,10.69179385,2.48315232,6.17366237,0.06252805,0.37392253,0.06438852,2.89732570,1.51260565,0.51136863
-5.93996998,10.92437582,2.53696679,6.28697734,0.06390942,0.36559249,0.06640432,2.99896391,1.55750260,0.52947772
-5.93396698,11.19527978,2.59984847,6.42291412,0.06556104,0.35924976,0.06858851,3.11053301,1.60913417,0.54888878
-5.92796398,11.50132077,2.67082901,6.57993751,0.06746828,0.35479030,0.07090407,3.23086163,1.66709438,0.56942413
-5.92196098,11.83865129,2.74879031,6.75609619,0.06960986,0.35208016,0.07330983,3.35862837,1.73086859,0.59088706
-5.91595798,12.20288238,2.83249984,6.94909094,0.07195838,0.35096181,0.07576160,3.49239557,1.79984446,0.61306726
-5.90995498,12.58921646,2.92064737,7.15635136,0.07448102,0.35126069,0.07821330,3.63064516,1.87332524,0.63574636
-5.90395198,12.99258591,3.01188166,7.37511737,0.07714051,0.35279148,0.08061829,3.77181508,1.95054489,0.65870331
-5.89794897,13.40779131,3.10484561,7.60252208,0.07989618,0.35536399,0.08293051,3.91433470,2.03068445,0.68171927
-5.89194597,13.82963376,3.19820854,7.83567216,0.08270508,0.35878845,0.08510580,4.05665796,2.11288901,0.70458188
-5.88594297,14.25303587,3.29069460,8.07172265,0.08552329,0.36287994,0.08710294,4.19729294,2.19628461,0.72708869
