energy_ev,total_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Sn_p_up,Sn_d_up
-6.00000000,0.68690723,0.00880267,0.43085314,0.07788533,0.19224814,0.05626231,0.00000674
-5.99399700,0.70544668,0.00909194,0.44282697,0.08073673,0.19753244,0.05746126,0.00000708
-5.98799400,0.72027782,0.00933365,0.45249840,0.08324236,0.20179137,0.05831733,0.00000742
-5.98199100,0.73133656,0.00952567,0.45982429,0.08539306,0.20500819,0.05882405,0.00000775
-5.97598799,0.73866826,0.00966730,0.46483035,0.08719237,0.20719722,0.05898366,0.00000808
-5.96998499,0.74242957,0.00975934,0.46761257,0.08865699,0.20840445,0.05880714,0.00000841
-5.96398199,0.74288603,0.00980409,0.46833585,0.08981678,0.20870699,0.05831398,0.00000875
-5.95797899,0.74040554,0.00980539,0.46723015,0.09071419,0.20821134,0.05753160,0.00000910
-5.95197599,0.73544784,0.00976848,0.46458399,0.09140323,0.20705054,0.05649448,0.00000948
-5.94597299,0.72855040,0.00969989,0.46073572,0.09194797,0.20538031,0.05524307,0.00000989
-5.93996998,0.72031133,0.00960727,0.45606287,0.09242061,0.20337435,0.05382250,0.00001034
-5.93396698,0.71137003,0.00949916,0.45096996,0.09289927,0.20121892,0.05228109,0.00001085
-5.92796398,0.70238638,0.00938476,0.44587540,0.09346555,0.19910709,0.05066888,0.00001141
-5.92196098,0.69401937,0.00927368,0.44119795,0.09420204,0.19723269,0.04903603,0.00001204
-5.91595798,0.68690609,0.00917564,0.43734337,0.09518979,0.19578435,0.04743142,0.00001275
-5.90995498,0.68164200,0.00910024,0.43469176,0.09650599,0.19493990,0.04590125,0.00001355
-5.90395198,0.67876306,0.00905670,0.43358616,0.09822193,0.19486114,0.04448784,0.00001443
-5.89794897,0.67873069,0.00905363,0.43432270,0.10040124,0.19568946,0.04322868,0.00001540
-5.89194597,0.68191984,0.00909883,0.43714284,0.10309871,0.19754213,0.04215568,0.00001646
-5.88594297,0.68861054,0.00919912,0.44222772,0.10635944,0.20050965,0.04129467,0.00001761
-5.87993997,0.69898324,0.00936019,0.44969486,0.11021865,0.20465396,0.04066517,0.00001885
-5.87393697,0.71311768,0.00958654,0.45959713,0.11470194,0.21000771,0.04028037,0.00002016
-5.86793397,0.73099528,0.00988137,0.47192393,0.11982602,0.21657434,0.04014736,0.00002153
-5.86193097,0.75250458,0.01024655,0.48660433,0.12559991,0.22432912,0.04026750,0.00002296
-5.85592796,0.77744936,0.01068261,0.50351193,0.13202643,0.23322078,0.04063695,0.00002442
-5.84992496,0.80555875,0.01118874,0.52247104,0.13910397,0.24317381,0.04124725,0.00002591
-5.84392196,0.83649887,0.01176282,0.54326385,0.14682840,0.25409114,0.04208604,0.00002740
-5.83791896,0.86988525,0.01240143,0.56563822,0.15519494,0.26585717,0.04313764,0.00002887
-5.83191596,0.90529560,0.01309992,0.58931573,0.16420000,0.27834090,0.04438373,0.00003031
-5.82591296,0.94228218,0.01385244,0.61399960,0.17384273,0.29139913,0.04580387,0.00003169
-5.81990995,0.98038360,0.01465199,0.63938232,0.18412636,0.30487963,0.04737600,0.00003299
-5.81390695,1.01913544,0.01549054,0.66515267,0.19505907,0.31862413,0.04907681,0.00003420
-5.80790395,1.05807970,0.01635904,0.69100205,0.20665440,0.33247122,0.05088201,0.00003530
-5.80190095,1.09677277,0.01724759,0.71663004,0.21893129,0.34625901,0.05276654,0.00003626
