energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
2.09204602,2.42411159,0.44405468,1.52803242,0.00274257,0.06406839,0.11277824,0.55540236,0.02380240,0.15736666
2.09804902,2.36657542,0.42721351,1.47430833,0.00270763,0.06386296,0.11522519,0.55908191,0.02348933,0.15595912
2.10405203,2.30811050,0.40993864,1.41937383,0.00266910,0.06355226,0.11789469,0.56341512,0.02314934,0.15429258
2.11005503,2.25013716,0.39255549,1.36436791,0.00262923,0.06316462,0.12080371,0.56844121,0.02279513,0.15244398
2.11605803,2.19403654,0.37539186,1.31040836,0.00259026,0.06273199,0.12396542,0.57417736,0.02243908,0.15049365
2.12206103,2.14111292,0.35877046,1.25856109,0.00255438,0.06228917,0.12738836,0.58061866,0.02209281,0.14852320
2.12806403,2.09256109,0.34300218,1.20981284,0.00252368,0.06187297,0.13107574,0.58773915,0.02176683,0.14661346
2.13406703,2.04943947,0.32838011,1.16504795,0.00250009,0.06152128,0.13502512,0.59549406,0.02147027,0.14484284
2.14007004,2.01264987,0.31517457,1.12502998,0.00248533,0.06127223,0.13922842,0.60382290,0.02121077,0.14328576
2.14607304,1.98292396,0.30362899,1.09038831,0.00248089,0.06116323,0.14367224,0.61265352,0.02099433,0.14201156
2.15207604,1.96081676,0.29395694,1.06160996,0.00248802,0.06123011,0.14833844,0.62190683,0.02082541,0.14108366
2.15807904,1.94670656,0.28633998,1.03903648,0.00250772,0.06150625,0.15320503,0.63150210,0.02070698,0.14055912
2.16408204,1.94080107,0.28092652,1.02286555,0.00254078,0.06202177,0.15824725,0.64136258,0.02064074,0.14048842
2.17008504,1.94314881,0.27783145,1.01315687,0.00258776,0.06280284,0.16343876,0.65142120,0.02062733,0.14091560
2.17608804,1.95365487,0.27713649,1.00984174,0.00264909,0.06387102,0.16875290,0.66162619,0.02066662,0.14187854
2.18209105,1.97210006,0.27889125,1.01273561,0.00272508,0.06524273,0.17416398,0.67194618,0.02075798,0.14340946
2.18809405,1.99816218,0.28311462,1.02155285,0.00281602,0.06692890,0.17964836,0.68237475,0.02090058,0.14553544
2.19409705,2.03143841,0.28979665,1.03592303,0.00292223,0.06893461,0.18518544,0.69293387,0.02109361,0.14827905
