energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,9.23999195,0.11710472,0.05357695,0.16661021,0.16888339,0.03472607,0.57506853,0.45309360,7.33189358
-5.99399700,8.97316945,0.12401078,0.05534063,0.17204427,0.17318343,0.03534578,0.59023487,0.46627893,7.02266377
-5.98799400,8.75209742,0.13075843,0.05720996,0.17810853,0.17787783,0.03612142,0.60671288,0.48002047,6.75484517
-5.98199100,8.57140828,0.13726411,0.05915316,0.18465709,0.18285390,0.03702285,0.62413115,0.49406582,6.52427533
-5.97598799,8.42516581,0.14344587,0.06113455,0.19153591,0.18799307,0.03801841,0.64209540,0.50814768,6.32630922
-5.96998499,8.30707031,0.14922561,0.06311550,0.19858641,0.19317360,0.03907565,0.66019797,0.52199167,6.15598954
-5.96398199,8.21066373,0.15453124,0.06505551,0.20564937,0.19827343,0.04016215,0.67802769,0.53532448,6.00821597
-5.95797899,8.12952732,0.15929868,0.06691336,0.21256878,0.20317288,0.04124613,0.69517970,0.54788189,5.87790699
-5.95197599,8.05746476,0.16347365,0.06864836,0.21919567,0.20775729,0.04229722,0.71126499,0.55941660,5.76014878
-5.94597299,7.98866531,0.16701321,0.07022149,0.22539178,0.21191944,0.04328702,0.72591934,0.56970522,5.65032641
-5.93996998,7.91784250,0.16988688,0.07159663,0.23103273,0.21556172,0.04418970,0.73881132,0.57855441,5.54423407
-5.93396698,7.84034533,0.17207739,0.07274155,0.23601089,0.21859797,0.04498242,0.74964930,0.58580589,5.43816207
-5.92796398,7.75224028,0.17358096,0.07362883,0.24023753,0.22095499,0.04564570,0.75818709,0.59133999,5.32895950
-5.92196098,7.65036370,0.17440716,0.07423661,0.24364441,0.22257370,0.04616372,0.76422819,0.59507779,5.21407253
-5.91595798,7.53234524,0.17457821,0.07454913,0.24618457,0.22340985,0.04652443,0.76762859,0.59698168,5.09155939
-5.90995498,7.39660411,0.17412798,0.07455701,0.24783247,0.22343444,0.04671964,0.76829799,0.59705444,4.96008371
-5.90395198,7.24232074,0.17310044,0.07425740,0.24858329,0.22263366,0.04674491,0.76619955,0.59533677,4.81888867
-5.89794897,7.06938701,0.17154782,0.07365383,0.24845164,0.22100862,0.04659944,0.76134827,0.59190357,4.66775486
-5.89194597,6.87833888,0.16952858,0.07275586,0.24746955,0.21857456,0.04628584,0.75380804,0.58685906,4.50694503
-5.88594297,6.67027536,0.16710502,0.07157858,0.24568410,0.21535998,0.04580974,0.74368756,0.58033099,4.33713911
-5.87993997,6.44676800,0.16434097,0.07014190,0.24315448,0.21140541,0.04517949,0.73113541,0.57246434,4.15936281
-5.87393697,6.20976496,0.16129942,0.06846975,0.23994894,0.20676200,0.04440571,0.71633441,0.56341459,3.97491302
-5.86793397,5.96149366,0.15804025,0.06658916,0.23614165,0.20149004,0.04350084,0.69949561,0.55334121,3.78528306
-5.86193097,5.70436567,0.15461827,0.06452934,0.23180956,0.19565735,0.04247871,0.68085210,0.54240141,3.59209042
-5.85592796,5.44088697,0.15108147,0.06232070,0.22702955,0.18933772,0.04135409,0.66065296,0.53074454,3.39700930
-5.84992496,5.17357658,0.14746973,0.05999395,0.22187595,0.18260930,0.04014232,0.63915760,0.51850755,3.20170981
-5.84392196,4.90489547,0.14381396,0.05757928,0.21641848,0.17555323,0.03885890,0.61663074,0.50581147,3.00780541
-5.83791896,4.63718773,0.14013570,0.05510563,0.21072083,0.16825230,0.03751925,0.59333811,0.49275929,2.81680932
-5.83191596,4.37263470,0.13644722,0.05260009,0.20483977,0.16078987,0.03613846,0.56954315,0.47943514,2.63010070
-5.82591296,4.11322270,0.13275214,0.05008746,0.19882495,0.15324894,0.03473115,0.54550481,0.46590496,2.44890057
-5.81990995,3.86072405,0.12904635,0.04759002,0.19271929,0.14571159,0.03331135,0.52147629,0.45221833,2.27425721
-5.81390695,3.61669062,0.12531951,0.04512734,0.18655991,0.13825850,0.03189255,0.49770493,0.43841157,2.10704046
-5.80790395,3.38245875,0.12155659,0.04271635,0.18037947,0.13096883,0.03048772,0.47443301,0.42451169,1.94794394
-5.80190095,3.15916386,0.11773987,0.04037152,0.17420795,0.12392026,0.02910943,0.45189934,0.41054101,1.79749409
