energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,0.59272137,0.16137107,0.14647711,0.03298336,0.31199880,0.05963227,0.00017388
-5.99399700,0.56479949,0.15410798,0.13833151,0.03513229,0.29087616,0.05913894,0.00016647
-5.98799400,0.53642735,0.14671067,0.12994813,0.03717046,0.26931116,0.05872415,0.00015973
-5.98199100,0.50820477,0.13932934,0.12146211,0.03906607,0.24763621,0.05846444,0.00015398
-5.97598799,0.48071094,0.13210814,0.11300094,0.04078951,0.22616201,0.05843981,0.00014951
-5.96998499,0.45449323,0.12518252,0.10468192,0.04231449,0.20517101,0.05873218,0.00014664
-5.96398199,0.43005793,0.11867714,0.09661027,0.04361894,0.18491244,0.05942390,0.00014564
-5.95797899,0.40786287,0.11270435,0.08887783,0.04468594,0.16559913,0.06059598,0.00014679
-5.95197599,0.38831197,0.10736308,0.08156250,0.04550437,0.14740602,0.06232630,0.00015032
-5.94597299,0.37175144,0.10273830,0.07472824,0.04606947,0.13047010,0.06468779,0.00015646
-5.93996998,0.35846748,0.09890074,0.06842557,0.04638306,0.11489198,0.06774643,0.00016539
-5.93396698,0.34868530,0.09590701,0.06269256,0.04645365,0.10073850,0.07155924,0.00017727
-5.92796398,0.34256904,0.09379991,0.05755620,0.04629624,0.08804640,0.07617232,0.00019219
-5.92196098,0.34022269,0.09260887,0.05303388,0.04593194,0.07682664,0.08161889,0.00021021
-5.91595798,0.34169150,0.09235063,0.04913520,0.04538732,0.06706927,0.08791749,0.00023135
-5.90995498,0.34696411,0.09302989,0.04586369,0.04469372,0.05874834,0.09507038,0.00025554
-5.90395198,0.35597509,0.09464010,0.04321854,0.04388630,0.05182696,0.10306226,0.00028268
-5.89794897,0.36860812,0.09716429,0.04119629,0.04300309,0.04626196,0.11185930,0.00031260
-5.89194597,0.38469962,0.10057601,0.03979227,0.04208401,0.04200823,0.12140882,0.00034506
-5.88594297,0.40404316,0.10484029,0.03900190,0.04116989,0.03902247,0.13163935,0.00037977
-5.87993997,0.42639443,0.10991483,0.03882169,0.04030149,0.03726628,0.14246141,0.00041638
-5.87393697,0.45147709,0.11575113,0.03925004,0.03951873,0.03670854,0.15376893,0.00045449
-5.86793397,0.47898918,0.12229590,0.04028771,0.03885990,0.03732693,0.16544128,0.00049366
-5.86193097,0.50861025,0.12949241,0.04193796,0.03836108,0.03910871,0.17734599,0.00053339
-5.85592796,0.54000892,0.13728196,0.04420647,0.03805566,0.04205068,0.18934191,0.00057318
-5.84992496,0.57285070,0.14560536,0.04710089,0.03797394,0.04615830,0.20128293,0.00061252
-5.84392196,0.60680565,0.15440424,0.05063008,0.03814290,0.05144416,0.21302186,0.00065087
-5.83791896,0.64155574,0.16362227,0.05480313,0.03858597,0.05792569,0.22441455,0.00068773
-5.83191596,0.67680124,0.17320611,0.05962804,0.03932286,0.06562236,0.23532387,0.00072262
-5.82591296,0.71226607,0.18310601,0.06511019,0.04036948,0.07455228,0.24562347,0.00075510
-5.81990995,0.74770149,0.19327602,0.07125067,0.04173776,0.08472855,0.25520109,0.00078477
-5.81390695,0.78288808,0.20367371,0.07804437,0.04343548,0.09615530,0.26396129,0.00081130
-5.80790395,0.81763566,0.21425949,0.08547812,0.04546607,0.10882366,0.27182741,0.00083442
-5.80190095,0.85178127,0.22499534,0.09352878,0.04782840,0.12270787,0.27874274,0.00085395
-5.79589795,0.88518520,0.23584326,0.10216146,0.05051649,0.13776162,0.28467076,0.00086976
-5.78989495,0.91772527,0.24676325,0.11132801,0.05351923,0.15391486,0.28959459,0.00088180
-5.78389195,0.94928994,0.25771121,0.12096572,0.05682016,0.17107127,0.29351553,0.00089008
-5.77788894,0.97977045,0.26863665,0.13099657,0.06039727,0.18910653,0.29645095,0.00089467
-5.77188594,1.00905285,0.27948061,0.14132695,0.06422286,0.20786752,0.29843163,0.00089571
-5.76588294,1.03701033,0.29017378,0.15184794,0.06826362,0.22717270,0.29949868,0.00089336
-5.75987994,1.06349658,0.30063511,0.16243631,0.07248079,0.24681349,0.29970026,0.00088782
-5.75387694,1.08834076,0.31077107,0.17295615,0.07683054,0.26655700,0.29908836,0.00087931
-5.74787394,1.11134454,0.32047560,0.18326120,0.08126452,0.28614984,0.29771575,0.00086806
-5.74187094,1.13228152,0.32963089,0.19319782,0.08573062,0.30532305,0.29563334,0.00085430
-5.73586793,1.15089938,0.33810907,0.20260845,0.09017395,0.32379801,0.29288799,0.00083825
-5.72986493,1.16692461,0.34577475,0.21133561,0.09453793,0.34129309,0.28952105,0.00082013
-5.72386193,1.18006973,0.35248836,0.21922615,0.09876550,0.35753087,0.28556744,0.00080013
-5.71785893,1.19004275,0.35811012,0.22613559,0.10280041,0.37224560,0.28105549,0.00077844
-5.71185593,1.19655816,0.36250457,0.23193249,0.10658858,0.38519069,0.27600742,0.00075522
-5.70585293,1.19934908,0.36554536,0.23650255,0.11007926,0.39614580,0.27044032,0.00073061
-5.69984992,1.19817970,0.36712011,0.23975227,0.11322632,0.40492334,0.26436763,0.00070476
-5.69384692,1.19285739,0.36713510,0.24161203,0.11598914,0.41137404,0.25780091,0.00067779
-5.68784392,1.18324371,0.36551952,0.24203848,0.11833352,0.41539136,0.25075171,0.00064984
-5.68184092,1.16926374,0.36222908,0.24101600,0.12023228,0.41691464,0.24323359,0.00062102
-5.67583792,1.15091314,0.35724872,0.23855733,0.12166557,0.41593064,0.23526386,0.00059148
-5.66983492,1.12826264,0.35059443,0.23470317,0.12262113,0.41247369,0.22686510,0.00056135
-5.66383192,1.10145951,0.34231388,0.22952099,0.12309412,0.40662428,0.21806642,0.00053078
-5.65782891,1.07072633,0.33248592,0.22310280,0.12308698,0.39850615,0.20890411,0.00049993
-5.65182591,1.03635671,0.32121900,0.21556232,0.12260898,0.38828226,0.19942200,0.00046897
-5.64582291,0.99870863,0.30864850,0.20703148,0.12167577,0.37614947,0.18967120,0.00043809
-5.63981991,0.95819546,0.29493315,0.19765638,0.12030881,0.36233258,0.17970952,0.00040746
-5.63381691,0.91527548,0.28025068,0.18759313,0.11853490,0.34707767,0.16960038,0.00037727
-5.62781391,0.87044011,0.26479292,0.17700342,0.11638560,0.33064523,0.15941148,0.00034771
-5.62181091,0.82420172,0.24876057,0.16605030,0.11389680,0.31330327,0.14921320,0.00031896
-5.61580790,0.77708144,0.23235788,0.15489413,0.11110838,0.29532067,0.13907686,0.00029118
-5.60980490,0.72959753,0.21578737,0.14368897,0.10806386,0.27696111,0.12907297,0.00026455
-5.60380190,0.68225473,0.19924500,0.13257937,0.10481026,0.25847763,0.11926951,0.00023918
-5.59779890,0.63553503,0.18291575,0.12169790,0.10139787,0.24010798,0.10973038,0.00021522
-5.59179590,0.58988996,0.16696987,0.11116312,0.09788016,0.22207101,0.10051403,0.00019274
-5.58579290,0.54573466,0.15155994,0.10107837,0.09431360,0.20456393,0.09167239,0.00017184
-5.57978989,0.50344375,0.13681868,0.09153104,0.09075749,0.18776050,0.08325009,0.00015256
