energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,In_p_up,In_p_down,In_d_up,In_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.36137250,-2.36137243,1.55578630,-1.55578627,0.50765201,-0.50765199,0.14696653,-0.14696653,0.00612591,-0.00612591,0.01442841,-0.01442841,1.40668880,-1.40668875
-5.99399700,2.29376141,-2.29376134,1.51890806,-1.51890803,0.48766544,-0.48766542,0.14472815,-0.14472815,0.00600307,-0.00600307,0.01323164,-0.01323164,1.36485719,-1.36485715
-5.98799400,2.22149166,-2.22149161,1.47769048,-1.47769046,0.46705512,-0.46705511,0.14250812,-0.14250811,0.00586107,-0.00586107,0.01207863,-0.01207863,1.31948358,-1.31948354
-5.98199100,2.14584303,-2.14584298,1.43299390,-1.43299389,0.44610877,-0.44610876,0.14036455,-0.14036455,0.00570319,-0.00570319,0.01098189,-0.01098189,1.27132329,-1.27132325
-5.97598799,2.06817315,-2.06817312,1.38575687,-1.38575686,0.42512733,-0.42512732,0.13835403,-0.13835403,0.00553299,-0.00553299,0.00995182,-0.00995181,1.22118595,-1.22118592
-5.96998499,1.98986948,-1.98986945,1.33696011,-1.33696010,0.40441636,-0.40441636,0.13652890,-0.13652890,0.00535414,-0.00535414,0.00899660,-0.00899660,1.16990747,-1.16990745
-5.96398199,1.91230233,-1.91230232,1.28759036,-1.28759036,0.38427802,-0.38427802,0.13493469,-0.13493469,0.00517029,-0.00517029,0.00812222,-0.00812221,1.11832287,-1.11832285
-5.95797899,1.83678131,-1.83678130,1.23860588,-1.23860588,0.36500391,-0.36500391,0.13360773,-0.13360773,0.00498496,-0.00498496,0.00733247,-0.00733247,1.06724131,-1.06724130
-5.95197599,1.76451694,-1.76451694,1.19090510,-1.19090511,0.34686916,-0.34686916,0.13257324,-0.13257324,0.00480141,-0.00480141,0.00662912,-0.00662912,1.01742440,-1.01742439
-5.94597299,1.69658929,-1.69658930,1.14529994,-1.14529995,0.33012790,-0.33012791,0.13184382,-0.13184382,0.00462253,-0.00462253,0.00601200,-0.00601199,0.96956858,-0.96956858
-5.93996998,1.63392451,-1.63392453,1.10249462,-1.10249463,0.31501023,-0.31501023,0.13141857,-0.13141857,0.00445082,-0.00445082,0.00547925,-0.00547925,0.92429226,-0.92429226
-5.93396698,1.57728004,-1.57728007,1.06307082,-1.06307083,0.30172058,-0.30172059,0.13128282,-0.13128282,0.00428829,-0.00428829,0.00502753,-0.00502752,0.88212785,-0.88212786
-5.92796398,1.52723857,-1.52723861,1.02747938,-1.02747940,0.29043758,-0.29043760,0.13140853,-0.13140854,0.00413645,-0.00413645,0.00465223,-0.00465223,0.84351877,-0.84351878
-5.92196098,1.48421047,-1.48421052,0.99603859,-0.99603862,0.28131494,-0.28131496,0.13175528,-0.13175529,0.00399635,-0.00399635,0.00434778,-0.00434778,0.80882091,-0.80882093
-5.91595798,1.44844365,-1.44844371,0.96893862,-0.96893865,0.27448333,-0.27448335,0.13227186,-0.13227187,0.00386858,-0.00386858,0.00410780,-0.00410780,0.77830818,-0.77830821
-5.90995498,1.42003992,-1.42003999,0.94625139,-0.94625143,0.27005279,-0.27005282,0.13289837,-0.13289837,0.00375330,-0.00375330,0.00392545,-0.00392545,0.75218120,-0.75218123
-5.90395198,1.39897619,-1.39897626,0.92794500,-0.92794504,0.26811546,-0.26811550,0.13356867,-0.13356867,0.00365037,-0.00365037,0.00379356,-0.00379356,0.73057822,-0.73057826
-5.89794897,1.38512888,-1.38512896,0.91390153,-0.91390157,0.26874815,-0.26874819,0.13421317,-0.13421317,0.00355938,-0.00355938,0.00370490,-0.00370490,0.71358728,-0.71358732
-5.89194597,1.37829987,-1.37829997,0.90393705,-0.90393709,0.27201450,-0.27201454,0.13476170,-0.13476170,0.00347973,-0.00347973,0.00365233,-0.00365233,0.70125867,-0.70125872
-5.88594297,1.37824219,-1.37824230,0.89782255,-0.89782260,0.27796648,-0.27796653,0.13514640,-0.13514641,0.00341077,-0.00341077,0.00362901,-0.00362901,0.69361659,-0.69361665
-5.87993997,1.38468390,-1.38468402,0.89530455,-0.89530460,0.28664500,-0.28664505,0.13530448,-0.13530448,0.00335184,-0.00335184,0.00362850,-0.00362850,0.69066932,-0.69066939
