energy_ev,total_up,Ag_p_up,Ag_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,5.51509223,0.68016671,5.00240233,0.00235986,0.16816032,0.16040087,0.00000000
-5.99399700,5.37565229,0.67078933,4.87678898,0.00231006,0.16210920,0.15532043,0.00000000
-5.98799400,5.23241116,0.66201448,4.74700647,0.00226475,0.15631210,0.15028163,0.00000000
-5.98199100,5.08739733,0.65380035,4.61499420,0.00222319,0.15081249,0.14530084,0.00000000
-5.97598799,4.94265298,0.64607200,4.48272901,0.00218463,0.14564317,0.14038857,0.00000000
-5.96998499,4.80019774,0.63872775,4.35218753,0.00214834,0.14082661,0.13555052,0.00000000
-5.96398199,4.66199187,0.63164698,4.22530706,0.00211367,0.13637570,0.13078867,0.00000000
-5.95797899,4.52989959,0.62469864,4.10394601,0.00208001,0.13229466,0.12610260,0.00000000
-5.95197599,4.40565381,0.61775010,3.98984531,0.00204685,0.12858018,0.12149073,0.00000000
-5.94597299,4.29082326,0.61067581,3.88459205,0.00201379,0.12522262,0.11695155,0.00000000
-5.93996998,4.18678318,0.60336542,3.78958657,0.00198057,0.12220730,0.11248473,0.00000000
-5.93396698,4.09469069,0.59573086,3.70601434,0.00194702,0.11951580,0.10809200,0.00000000
-5.92796398,4.01546571,0.58771227,3.63482368,0.00191315,0.11712719,0.10377789,0.00000000
-5.92196098,3.94977806,0.57928231,3.57671004,0.00187908,0.11501926,0.09955013,0.00000000
-5.91595798,3.89804137,0.57044887,3.53210750,0.00184510,0.11316956,0.09541987,0.00000000
-5.90995498,3.86041378,0.56125617,3.50118760,0.00181161,0.11155645,0.09140154,0.00000000
-5.90395198,3.83680536,0.55178408,3.48386549,0.00177915,0.11015986,0.08751257,0.00000000
-5.89794897,3.82689167,0.54214583,3.47981278,0.00174838,0.10896209,0.08377278,0.00000000
-5.89194597,3.83013288,0.53248436,3.48847653,0.00172006,0.10794830,0.08020366,0.00000000
-5.88594297,3.84579717,0.52296732,3.50910316,0.00169505,0.10710690,0.07682746,0.00000000
-5.87993997,3.87298757,0.51378095,3.54076629,0.00167431,0.10642975,0.07366623,0.00000000
-5.87393697,3.91067073,0.50512328,3.58239702,0.00165886,0.10591222,0.07074080,0.00000000
