energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,4.26876128,0.00602542,0.33441644,0.45309393,0.44333718,0.07138738,2.19239280,1.09821006,0.52750799
-5.99399700,4.39807525,0.00623982,0.33900382,0.46602121,0.45777653,0.07282103,2.27154900,1.13519543,0.54963749
-5.98799400,4.53868806,0.00648496,0.34370751,0.48010525,0.47405830,0.07435401,2.35780160,1.17668498,0.57354249
-5.98199100,4.68981180,0.00675842,0.34847401,0.49520796,0.49211018,0.07598419,2.45070367,1.22241949,0.59903588
-5.97598799,4.85045502,0.00705731,0.35324216,0.51117537,0.51182977,0.07770811,2.54968206,1.27207552,0.62588929
-5.96998499,5.01941338,0.00737835,0.35794424,0.52783665,0.53308355,0.07952051,2.65403091,1.32526295,0.65383454
-5.96398199,5.19526393,0.00771791,0.36250722,0.54500336,0.55570624,0.08141386,2.76290745,1.38152306,0.68256630
-5.95797899,5.37636474,0.00807207,0.36685438,0.56246915,0.57950080,0.08337790,2.87533127,1.44032795,0.71174603
-5.95197599,5.56086165,0.00843670,0.37090722,0.58001019,0.60423921,0.08539924,2.99018770,1.50108158,0.74100744
-5.94597299,5.74670337,0.00880749,0.37458778,0.59738650,0.62966423,0.08746101,3.10623636,1.56312293,0.76996319
-5.93996998,5.93166586,0.00918007,0.37782117,0.61434437,0.65549212,0.08954271,3.22212513,1.62573151,0.79821309
-5.93396698,6.11338641,0.00955006,0.38053853,0.63062003,0.68141662,0.09162022,3.33640989,1.68813548,0.82535337
-5.92796398,6.28940695,0.00991314,0.38268011,0.64594431,0.70711384,0.09366603,3.44757968,1.74952233,0.85098695
-5.92196098,6.45722571,0.01026516,0.38419840,0.66004850,0.73224829,0.09564964,3.55408693,1.80905203,0.87473424
-5.91595798,6.61435572,0.01060221,0.38506129,0.67267094,0.75647976,0.09753820,3.65438166,1.86587239,0.89624418
-5.90995498,6.75838780,0.01092068,0.38525492,0.68356420,0.77947077,0.09929735,3.74694867,1.91913621,0.91520500
-5.90395198,6.88705576,0.01121736,0.38478618,0.69250254,0.80089452,0.10089221,3.83034612,1.96801965,0.93135420
-5.89794897,6.99830058,0.01148947,0.38368452,0.69928917,0.82044281,0.10228846,3.90324396,2.01174119,0.94448739
-5.89194597,7.09033092,0.01173472,0.38200313,0.70376305,0.83783379,0.10345354,3.96446059,2.04958051,0.95446533
