energy_ev,total_up,Au_p_up,Au_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,2.04493790,0.15715006,1.93760405,0.00329916,0.04191520,0.00836396,0.06611243
-5.99399700,2.20623382,0.16971633,2.09035232,0.00372009,0.04472906,0.00912071,0.07069761
-5.98799400,2.37228931,0.18237539,2.24796715,0.00416810,0.04743929,0.00988181,0.07514952
-5.98199100,2.54100593,0.19497974,2.40845498,0.00464033,0.05000402,0.01063776,0.07940465
-5.97598799,2.71011654,0.20737572,2.56965465,0.00513310,0.05238237,0.01137850,0.08340048
-5.96998499,2.87722942,0.21940618,2.72927949,0.00564196,0.05453552,0.01209362,0.08707692
-5.96398199,3.03987847,0.23091348,2.88496522,0.00616171,0.05642777,0.01277264,0.09037781
-5.95797899,3.19557824,0.24174251,3.03432282,0.00668644,0.05802755,0.01340525,0.09325238
-5.95197599,3.34188234,0.25174398,3.17499471,0.00720965,0.05930824,0.01398159,0.09565647
-5.94597299,3.47644354,0.26077758,3.30471290,0.00772436,0.06024894,0.01449246,0.09755376
-5.93996998,3.59707387,0.26871513,3.42135719,0.00822327,0.06083500,0.01492964,0.09891657
-5.93396698,3.70180264,0.27544354,3.52301169,0.00869890,0.06105835,0.01528605,0.09972665
-5.92796398,3.78893075,0.28086747,3.60801777,0.00914382,0.06091771,0.01555599,0.09997551
-5.92196098,3.85707913,0.28491178,3.67502173,0.00955082,0.06041843,0.01573524,0.09966461
-5.91595798,3.90522989,0.28752343,3.72301527,0.00991312,0.05957231,0.01582120,0.09880520
-5.90995498,3.93275837,0.28867302,3.75136753,0.01022456,0.05839712,0.01581295,0.09741795
-5.90395198,3.93945511,0.28835574,3.75984718,0.01047982,0.05691597,0.01571124,0.09553229
-5.89794897,3.92553661,0.28659180,3.74863381,0.01067456,0.05515664,0.01551848,0.09318558
-5.89194597,3.89164435,0.28342626,3.71831795,0.01080557,0.05315070,0.01523863,0.09042208
-5.88594297,3.83883210,0.27892823,3.66988953,0.01087087,0.05093268,0.01487713,0.08729180
-5.87993997,3.76854143,0.27318950,3.60471499,0.01086981,0.04853913,0.01444071,0.08384918
-5.87393697,3.68256651,0.26632257,3.52450376,0.01080308,0.04600780,0.01393722,0.08015185
-5.86793397,3.58300894,0.25845817,3.43126501,0.01067269,0.04337681,0.01337546,0.07625925
-5.86193097,3.47222432,0.24974230,3.32725622,0.01048195,0.04068385,0.01276497,0.07223130
-5.85592796,3.35276221,0.24033284,3.21492517,0.01023530,0.03796562,0.01211583,0.06812721
-5.84992496,3.22730152,0.23039593,3.09684737,0.00993828,0.03525727,0.01143846,0.06400427
-5.84392196,3.09858364,0.22010211,2.97566119,0.00959727,0.03259201,0.01074348,0.05991683
-5.83791896,2.96934553,0.20962243,2.85400269,0.00921934,0.03000086,0.01004152,0.05591539
-5.83191596,2.84225507,0.19912459,2.73444274,0.00881207,0.02751254,0.00934312,0.05204588
-5.82591296,2.71985102,0.18876935,2.61942832,0.00838328,0.02515345,0.00865864,0.04834904
-5.81990995,2.60448942,0.17870722,2.51123014,0.00794088,0.02294780,0.00799820,0.04486007
-5.81390695,2.49829835,0.16907555,2.41189824,0.00749260,0.02091785,0.00737164,0.04160838
-5.80790395,2.40314232,0.15999629,2.32322696,0.00704586,0.01908420,0.00678855,0.03861758
-5.80190095,2.32059730,0.15157427,2.24673023,0.00660759,0.01746614,0.00625831,0.03590557
-5.79589795,2.25193678,0.14389617,2.18362755,0.00618409,0.01608209,0.00579012,0.03348483
-5.78989495,2.19812895,0.13703024,2.13484081,0.00578094,0.01495001,0.00539313,0.03136287
-5.78389195,2.15984433,0.13102669,2.10100127,0.00540294,0.01408781,0.00507650,0.02954278
-5.77788894,2.13747277,0.12591865,2.08246581,0.00505404,0.01351369,0.00484949,0.02802384
-5.77188594,2.13114845,0.12172385,2.07934083,0.00473739,0.01324650,0.00472156,0.02680228
-5.76588294,2.14078085,0.11844662,2.09151220,0.00445534,0.01330592,0.00470242,0.02587202
-5.75987994,2.16608965,0.11608036,2.11867899,0.00420952,0.01371255,0.00480210,0.02522549
-5.75387694,2.20664109,0.11461010,2.16038879,0.00400086,0.01448792,0.00503089,0.02485431
-5.74787394,2.26188362,0.11401523,2.21607237,0.00382975,0.01565424,0.00539929,0.02475007
-5.74187094,2.33118046,0.11427203,2.28507553,0.00369609,0.01723411,0.00591795,0.02490496
-5.73586793,2.41383716,0.11535603,2.36668608,0.00359938,0.01924995,0.00659743,0.02531223
-5.72986493,2.50912261,0.11724397,2.46015471,0.00353887,0.02172333,0.00744799,0.02596666
-5.72386193,2.61628233,0.11991533,2.56470829,0.00351362,0.02467412,0.00847928,0.02686478
-5.71785893,2.73454358,0.12335324,2.67955556,0.00352256,0.02811949,0.00969998,0.02800501
-5.71185593,2.86311257,0.12754490,2.80388496,0.00356463,0.03207287,0.01111740,0.02938760
-5.70585293,3.00116430,0.13248139,2.93685568,0.00363879,0.03654273,0.01273702,0.03101444
-5.69984992,3.14782674,0.13815694,3.07758303,0.00374408,0.04153149,0.01456207,0.03288878
-5.69384692,3.30216111,0.14456777,3.22512024,0.00387970,0.04703435,0.01659307,0.03501479
-5.68784392,3.46314070,0.15171052,3.37843876,0.00404500,0.05303828,0.01882743,0.03739709
-5.68184092,3.62963089,0.15958053,3.53640983,0.00423955,0.05952123,0.02125911,0.04004021
-5.67583792,3.80037304,0.16817002,3.69778961,0.00446316,0.06645149,0.02387834,0.04294811
-5.66983492,3.97397489,0.17746639,3.86121073,0.00471587,0.07378739,0.02667153,0.04612361
-5.66383192,4.14890976,0.18745069,4.02518203,0.00499807,0.08147739,0.02962121,0.04956810
-5.65782891,4.32352626,0.19809657,4.18809863,0.00531043,0.08946051,0.03270622,0.05328115
-5.65182591,4.49606979,0.20936970,4.34826296,0.00565402,0.09766721,0.03590199,0.05726039
-5.64582291,4.66471601,0.22122772,4.50391738,0.00603028,0.10602067,0.03918105,0.06150154
-5.63981991,4.82761591,0.23362092,4.65328771,0.00644111,0.11443845,0.04251365,0.06599856
-5.63381691,4.98295105,0.24649344,4.79463644,0.00688885,0.12283461,0.04586852,0.07074397
-5.62781391,5.12899673,0.25978518,4.92632335,0.00737635,0.13112200,0.04921381,0.07572935
-5.62181091,5.26419032,0.27343404,5.04687091,0.00790693,0.13921480,0.05251805,0.08094590
-5.61580790,5.38720099,0.28737865,5.15503092,0.00848444,0.14703123,0.05575118,0.08638513
-5.60980490,5.49699722,0.30156120,5.24984881,0.00911317,0.15449619,0.05888555,0.09203946
