energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,1.75210906,0.00186894,0.13138743,0.38902467,0.68477182,0.14447924,0.33223314,0.00395947,0.75647032
-5.99399700,1.73965262,0.00177064,0.13242007,0.38460784,0.67903267,0.14371513,0.33224407,0.00384885,0.75078174
-5.98799400,1.72275452,0.00166554,0.13292277,0.37911645,0.67196615,0.14274548,0.33103387,0.00371816,0.74333871
-5.98199100,1.70160963,0.00155551,0.13286059,0.37263955,0.66368201,0.14159142,0.32857631,0.00357010,0.73425143
-5.97598799,1.67648216,0.00144238,0.13221173,0.36528022,0.65430682,0.14027459,0.32487121,0.00340777,0.72365206
-5.96998499,1.64770011,0.00132793,0.13096855,0.35715265,0.64398063,0.13881696,0.31994507,0.00323461,0.71169109
-5.96398199,1.61564822,0.00121384,0.12913835,0.34837904,0.63285355,0.13724079,0.31385094,0.00305430,0.69853333
-5.95797899,1.58075949,0.00110165,0.12674351,0.33908647,0.62108216,0.13556857,0.30666746,0.00287075,0.68435359
-5.95197599,1.54350551,0.00099272,0.12382119,0.32940362,0.60882590,0.13382307,0.29849700,0.00268795,0.66933201
-5.94597299,1.50438571,0.00088824,0.12042261,0.31945766,0.59624347,0.13202740,0.28946318,0.00250997,0.65364938
-5.93996998,1.46391596,0.00078916,0.11661181,0.30937127,0.58348933,0.13020504,0.27970761,0.00234083,0.63748238
-5.93396698,1.42261694,0.00069625,0.11246403,0.29925993,0.57071041,0.12837992,0.26938623,0.00218453,0.62099899
-5.92796398,1.38100247,0.00061004,0.10806385,0.28922958,0.55804306,0.12657640,0.25866523,0.00204493,0.60435423
-5.92196098,1.33956856,0.00053090,0.10350301,0.27937466,0.54561052,0.12481931,0.24771677,0.00192573,0.58768643
-5.91595798,1.29878329,0.00045899,0.09887807,0.26977673,0.53352083,0.12313393,0.23671472,0.00183048,0.57111415
-5.90995498,1.25907803,0.00039431,0.09428808,0.26050357,0.52186532,0.12154594,0.22583042,0.00176248,0.55473389
-5.90395198,1.22084032,0.00033674,0.08983211,0.25160890,0.51071771,0.12008137,0.21522880,0.00172481,0.53861881
-5.89794897,1.18440849,0.00028602,0.08560702,0.24313258,0.50013398,0.11876656,0.20506478,0.00172028,0.52281840
-5.89194597,1.15006817,0.00024181,0.08170517,0.23510144,0.49015267,0.11762801,0.19548025,0.00175140,0.50735914
-5.88594297,1.11805066,0.00020370,0.07821252,0.22753053,0.48079598,0.11669229,0.18660141,0.00182035,0.49224621
-5.87993997,1.08853303,0.00017122,0.07520669,0.22042472,0.47207117,0.11598585,0.17853681,0.00192891,0.47746610
-5.87393697,1.06163971,0.00014390,0.07275549,0.21378067,0.46397243,0.11553476,0.17137581,0.00207845,0.46298995
-5.86793397,1.03744524,0.00012122,0.07091550,0.20758888,0.45648300,0.11536440,0.16518768,0.00226984,0.44877745
-5.86193097,1.01597788,0.00010271,0.06973101,0.20183592,0.44957732,0.11549896,0.16002105,0.00250342,0.43478123
-5.85592796,0.99722374,0.00008787,0.06923311,0.19650641,0.44322316,0.11596087,0.15590389,0.00277888,0.42095126
-5.84992496,0.98113103,0.00007624,0.06943911,0.19158499,0.43738356,0.11677012,0.15284384,0.00309524,0.40723923
-5.84392196,0.96761420,0.00006740,0.07035209,0.18705789,0.43201851,0.11794331,0.15082881,0.00345078,0.39360260
-5.83791896,0.95655782,0.00006095,0.07196081,0.18291424,0.42708626,0.11949271,0.14982792,0.00384297,0.38000816
-5.83191596,0.94781994,0.00005652,0.07423975,0.17914693,0.42254431,0.12142515,0.14979272,0.00426845,0.36643491
-5.82591296,0.94123520,0.00005378,0.07714950,0.17575312,0.41834997,0.12374090,0.15065854,0.00472303,0.35287619
-5.81990995,0.93661755,0.00005243,0.08063743,0.17273433,0.41446072,0.12643254,0.15234620,0.00520170,0.33934096
-5.81390695,0.93376289,0.00005220,0.08463858,0.17009628,0.41083436,0.12948395,0.15476389,0.00569867,0.32585434
-5.80790395,0.93245190,0.00005284,0.08907701,0.16784844,0.40742911,0.13286952,0.15780930,0.00620746,0.31245722
-5.80190095,0.93245337,0.00005415,0.09386733,0.16600341,0.40420379,0.13655357,0.16137213,0.00672106,0.29920537
