energy_ev,total_up,Hf_p_up,Hf_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.85035954,1.61390375,0.52138284,0.04151716,0.00616075,0.00683792,1.08381132
-5.99399700,1.90772146,1.65099515,0.53207319,0.04174187,0.00640287,0.00721193,1.10796458
-5.98799400,1.97197851,1.69246805,0.54528274,0.04214918,0.00667111,0.00762399,1.13542445
-5.98199100,2.04189777,1.73744599,0.56065402,0.04270846,0.00696072,0.00806970,1.16542626
-5.97598799,2.11609535,1.78493501,0.57778831,0.04338632,0.00726614,0.00854313,1.19715773
-5.96998499,2.19306382,1.83384490,0.59625321,0.04414704,0.00758116,0.00903701,1.22977491
-5.96398199,2.27120655,1.88301589,0.61559192,0.04495319,0.00789903,0.00954284,1.26242086
-5.95797899,2.34887790,1.93125020,0.63533410,0.04576646,0.00821265,0.01005109,1.29424618
-5.95197599,2.42442779,1.97734702,0.65500769,0.04654850,0.00851477,0.01055150,1.32443089
-5.94597299,2.49624883,2.02013970,0.67415150,0.04726200,0.00879820,0.01103332,1.35220641
-5.93996998,2.56282392,2.05853342,0.69232773,0.04787169,0.00905601,0.01148564,1.37687695
-5.93396698,2.62277229,2.09154161,0.70913409,0.04834546,0.00928180,0.01189776,1.39783901
-5.92796398,2.67489168,2.11831962,0.72421490,0.04865529,0.00946983,0.01225950,1.41459821
-5.92196098,2.71819476,2.13819368,0.73727057,0.04877820,0.00961530,0.01256153,1.42678237
-5.91595798,2.75193787,2.15068406,0.74806510,0.04869700,0.00971445,0.01279571,1.43415036
-5.90995498,2.77564085,2.15552098,0.75643119,0.04840077,0.00976467,0.01295529,1.43659601
-5.90395198,2.78909682,2.15265275,0.76227274,0.04788530,0.00976465,0.01303521,1.43414692
-5.89794897,2.79237158,2.14224549,0.76556466,0.04715310,0.00971435,0.01303222,1.42695831
-5.89194597,2.78579276,2.12467459,0.76634998,0.04621330,0.00961503,0.01294498,1.41530204
-5.88594297,2.76992922,2.10050837,0.76473451,0.04508124,0.00946918,0.01277410,1.39955148
-5.87993997,2.74556210,2.07048465,0.76087927,0.04377785,0.00928044,0.01252211,1.38016305
