energy_ev,total_up,total_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.27460545,-1.27564703,0.17231617,-0.17257989,0.00000000,-0.00000000,0.00298649,-0.00297799,0.41602580,-0.41622085,0.43036039,-0.43036405,0.78810064,-0.78879894,0.20970369,-0.21002477,0.00000000,-0.00000000
-5.99399700,1.24047521,-1.24173773,0.16391360,-0.16419876,0.00000000,-0.00000000,0.00345629,-0.00344691,0.40881876,-0.40910168,0.42886680,-0.42897433,0.76398397,-0.76482098,0.20051122,-0.20085004,0.00000000,-0.00000000
-5.98799400,1.20134811,-1.20281608,0.15508090,-0.15538219,0.00000000,-0.00000000,0.00397203,-0.00396178,0.39954189,-0.39991058,0.42499448,-0.42520717,0.73663611,-0.73760190,0.19103727,-0.19138817,0.00000000,-0.00000000
-5.98199100,1.15777627,-1.15942969,0.14596996,-0.14628194,0.00000000,-0.00000000,0.00453261,-0.00452152,0.38830268,-0.38875312,0.41876311,-0.41907977,0.70641474,-0.70749656,0.18144762,-0.18180464,0.00000000,-0.00000000
-5.97598799,1.11040484,-1.11221995,0.13673383,-0.13705106,0.00000000,-0.00000000,0.00513576,-0.00512388,0.37524862,-0.37577515,0.41024815,-0.41066516,0.67373629,-0.67491910,0.17191259,-0.17226965,0.00000000,-0.00000000
-5.96998499,1.05994900,-1.06189913,0.12752184,-0.12783907,0.00000000,-0.00000000,0.00577790,-0.00576533,0.36056166,-0.36115709,0.39957774,-0.40008922,0.63906116,-0.64032814,0.16260137,-0.16295250,0.00000000,-0.00000000
-5.96398199,1.00717149,-1.00922786,0.11847551,-0.11878780,0.00000000,-0.00000000,0.00645413,-0.00644096,0.34445193,-0.34510785,0.38692830,-0.38752629,0.60287915,-0.60421223,0.15367726,-0.15401670,0.00000000,-0.00000000
-5.95797899,0.95286110,-0.95499363,0.10972510,-0.11002794,0.00000000,-0.00000000,0.00715817,-0.00714454,0.32715123,-0.32785827,0.37251910,-0.37319383,0.56569549,-0.56707589,0.14529377,-0.14561614,0.00000000,-0.00000000
-5.95197599,0.89781305,-0.89999111,0.10138704,-0.10167640,0.00000000,-0.00000000,0.00788240,-0.00786847,0.30890626,-0.30965434,0.35660592,-0.35734609,0.52801800,-0.52942667,0.13759201,-0.13789239,0.00000000,-0.00000000
-5.94597299,0.84281166,-0.84500474,0.09356223,-0.09383467,0.00000000,-0.00000000,0.00861796,-0.00860391,0.28997197,-0.29075059,0.33947408,-0.34026718,0.49034559,-0.49176369,0.13069915,-0.13097309,0.00000000,-0.00000000
-5.93996998,0.78861558,-0.79079393,0.08633535,-0.08658795,0.00000000,-0.00000000,0.00935487,-0.00934090,0.27060501,-0.27140355,0.32143098,-0.32226366,0.45315838,-0.45456766,0.12472808,-0.12497165,0.00000000,-0.00000000
-5.93396698,0.73594607,-0.73808119,0.07977484,-0.08000528,0.00000000,-0.00000000,0.01008224,-0.01006857,0.25105776,-0.25186569,0.30279860,-0.30365700,0.41690959,-0.41829273,0.11977813,-0.11998786,0.00000000,-0.00000000
-5.92796398,0.68547803,-0.68754311,0.07393380,-0.07414027,0.00000000,-0.00000000,0.01078852,-0.01077537,0.23157273,-0.23237992,0.28390602,-0.28477612,0.38201914,-0.38336001,0.11593667,-0.11610956,0.00000000,-0.00000000
-5.92196098,0.63783405,-0.63980430,0.06885143,-0.06903262,0.00000000,-0.00000000,0.01146179,-0.01144939,0.21237784,-0.21317472,0.26508233,-0.26595027,0.34886911,-0.35015300,0.11328153,-0.11341494,0.00000000,-0.00000000
-5.91595798,0.59358100,-0.59543385,0.06455504,-0.06471004,0.00000000,-0.00000000,0.01209009,-0.01207867,0.19368234,-0.19446010,0.24665013,-0.24750251,0.31780076,-0.31901452,0.11188381,-0.11197536,0.00000000,-0.00000000
-5.90995498,0.55322898,-0.55494425,0.06106231,-0.06119057,0.00000000,-0.00000000,0.01266176,-0.01265154,0.17567371,-0.17642446,0.22891966,-0.22974383,0.28911314,-0.29024526,0.11181091,-0.11185844,0.00000000,-0.00000000
-5.90395198,0.51723217,-0.51879210,0.05838381,-0.05848503,0.00000000,-0.00000000,0.01316586,-0.01315703,0.15851540,-0.15923226,0.21218394,-0.21296815,0.26306290,-0.26410359,0.11312960,-0.11313106,0.00000000,-0.00000000
-5.89794897,0.48599116,-0.48738041,0.05652549,-0.05659957,0.00000000,-0.00000000,0.01359243,-0.01358519,0.14234545,-0.14302262,0.19671465,-0.19744830,0.23986523,-0.24080636,0.11590868,-0.11586206,0.00000000,-0.00000000
-5.89194597,0.45985613,-0.46106171,0.05549105,-0.05553800,0.00000000,-0.00000000,0.01393294,-0.01392741,0.12727603,-0.12790882,0.18275911,-0.18343282,0.21969548,-0.22053057,0.12022115,-0.12012442,0.00000000,-0.00000000
-5.88594297,0.43913052,-0.44014172,0.05528403,-0.05530389,0.00000000,-0.00000000,0.01418048,-0.01417679,0.11339373,-0.11397856,0.17053806,-0.17114376,0.20269145,-0.20341561,0.12614557,-0.12599665,0.00000000,-0.00000000
-5.87993997,0.42407467,-0.42488290,0.05590951,-0.05590235,0.00000000,-0.00000000,0.01433011,-0.01432833,0.10076055,-0.10129488,0.16024435,-0.16077532,0.18895588,-0.18956566,0.13376655,-0.13356331,0.00000000,-0.00000000
-5.87393697,0.41490900,-0.41550765,0.05737547,-0.05734128,0.00000000,-0.00000000,0.01437896,-0.01437912,0.08941548,-0.08989780,0.15204230,-0.15249316,0.17855899,-0.17905232,0.14317419,-0.14291445,0.00000000,-0.00000000
-5.86793397,0.41181637,-0.41220070,0.05969351,-0.05963224,0.00000000,-0.00000000,0.01432639,-0.01432847,0.07937662,-0.07980629,0.14606772,-0.14643441,0.17154097,-0.17191703,0.15446245,-0.15414405,0.00000000,-0.00000000
-5.86193097,0.41494348,-0.41511049,0.06287918,-0.06279068,0.00000000,-0.00000000,0.01417401,-0.01417796,0.07064349,-0.07102070,0.14242840,-0.14270809,0.16791415,-0.16817325,0.16772655,-0.16734740,0.00000000,-0.00000000
-5.85592796,0.42440110,-0.42434943,0.06695174,-0.06683577,0.00000000,-0.00000000,0.01392566,-0.01393138,0.06319973,-0.06352534,0.14120487,-0.14139589,0.16766481,-0.16780832,0.18305938,-0.18261758,0.00000000,-0.00000000
-5.84992496,0.44026321,-0.43999305,0.07193348,-0.07178978,0.00000000,-0.00000000,0.01358725,-0.01359461,0.05701575,-0.05729118,0.14245148,-0.14255323,0.17075466,-0.17078485,0.20054718,-0.20004113,0.00000000,-0.00000000
-5.84392196,0.46256500,-0.46207806,0.07784871,-0.07767693,0.00000000,-0.00000000,0.01316661,-0.01317544,0.05205136,-0.05227849,0.14619744,-0.14621032,0.17712182,-0.17704182,0.22026471,-0.21969323,0.00000000,-0.00000000
-5.83791896,0.49130016,-0.49059962,0.08472228,-0.08452211,0.00000000,-0.00000000,0.01267324,-0.01268333,0.04825839,-0.04843942,0.15244803,-0.15237329,0.18668153,-0.18649521,0.24227007,-0.24163253,0.00000000,-0.00000000
-5.83191596,0.52641752,-0.52550800,0.09257804,-0.09234917,0.00000000,-0.00000000,0.01211798,-0.01212910,0.04558291,-0.04572026,0.16118564,-0.16102533,0.19932654,-0.19903851,0.26659958,-0.26589601,0.00000000,-0.00000000
-5.82591296,0.56781746,-0.56670504,0.10143700,-0.10117923,0.00000000,-0.00000000,0.01151271,-0.01152462,0.04396731,-0.04406354,0.17237076,-0.17212762,0.21492742,-0.21454290,0.29326290,-0.29249415,0.00000000,-0.00000000
-5.81990995,0.61534844,-0.61404067,0.11131556,-0.11102879,0.00000000,-0.00000000,0.01086999,-0.01088244,0.04335201,-0.04340973,0.18594290,-0.18562028,0.23333277,-0.23285759,0.32223881,-0.32140660,0.00000000,-0.00000000
-5.81390695,0.66880403,-0.66730989,0.12222368,-0.12190798,0.00000000,-0.00000000,0.01020274,-0.01021546,0.04367676,-0.04369859,0.20182135,-0.20142317,0.25436957,-0.25381010,0.35347176,-0.35257876,0.00000000,-0.00000000
-5.80790395,0.72792054,-0.72625049,0.13416318,-0.13381885,0.00000000,-0.00000000,0.00952383,-0.00953657,0.04488166,-0.04487015,0.21990589,-0.21943656,0.27784373,-0.27720682,0.38686946,-0.38591933,0.00000000,-0.00000000
-5.80190095,0.79237584,-0.79054173,0.14712625,-0.14675379,0.00000000,-0.00000000,0.00884584,-0.00885836,0.04690776,-0.04686537,0.24007742,-0.23954179,0.30354091,-0.30283389,0.42230170,-0.42129910,0.00000000,-0.00000000
-5.79589795,0.86178906,-0.85980418,0.16109403,-0.16069426,0.00000000,-0.00000000,0.00818075,-0.00819281,0.04969728,-0.04962640,0.26219848,-0.26160183,0.33122780,-0.33045837,0.45960041,-0.45855095,0.00000000,-0.00000000
-5.78989495,0.93572174,-0.93360069,0.17603554,-0.17560955,0.00000000,-0.00000000,0.00753969,-0.00755106,0.05319360,-0.05309652,0.28611385,-0.28546181,0.36065363,-0.35982986,0.49856093,-0.49747114,0.00000000,-0.00000000
-5.78389195,1.01367992,-1.01143858,0.19190676,-0.19145598,0.00000000,-0.00000000,0.00693276,-0.00694326,0.05734089,-0.05721981,0.31165097,-0.31094955,0.39155218,-0.39068244,0.53894450,-0.53782171,0.00000000,-0.00000000
-5.77788894,1.09511738,-1.09277283,0.20864998,-0.20817616,0.00000000,-0.00000000,0.00636892,-0.00637837,0.06208352,-0.06194059,0.33862050,-0.33787606,0.42364408,-0.42273694,0.58048178,-0.57933402,0.00000000,-0.00000000
-5.77188594,1.17943972,-1.17701014,0.22619333,-0.22569860,0.00000000,-0.00000000,0.00585586,-0.00586410,0.06736536,-0.06720270,0.36681680,-0.36603603,0.45663926,-0.45570348,0.62287708,-0.62171295,0.00000000,-0.00000000
-5.76588294,1.26600906,-1.26351364,0.24445059,-0.24393741,0.00000000,-0.00000000,0.00539997,-0.00540689,0.07312882,-0.07294857,0.39601846,-0.39520836,0.49023963,-0.48928410,0.66581330,-0.66464182,0.00000000,-0.00000000
-5.75987994,1.35414917,-1.35160800,0.26332118,-0.26279238,0.00000000,-0.00000000,0.00500638,-0.00501185,0.07931401,-0.07911834,0.42598885,-0.42515678,0.52414179,-0.52317545,0.70895706,-0.70778754,0.00000000,-0.00000000
-5.75387694,1.44315076,-1.44058473,0.28269034,-0.28214911,0.00000000,-0.00000000,0.00467890,-0.00468287,0.08585776,-0.08564896,0.45647685,-0.45563045,0.55803960,-0.55707138,0.75196392,-0.75080582,0.00000000,-0.00000000
