energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.34395970,1.01287663,1.68652419,0.03483998,0.05378120,0.99090474,0.00000000,0.76323082,0.14584739
-5.99399700,3.25851864,0.98257764,1.65739723,0.03478251,0.05240374,0.96062474,0.00000000,0.73777003,0.14017979
-5.98799400,3.17121349,0.95024146,1.62997881,0.03473841,0.05097792,0.92797000,0.00000000,0.71008986,0.13427775
-5.98199100,3.08342999,0.91635074,1.60481522,0.03469846,0.04953093,0.89342716,0.00000000,0.68064856,0.12820763
-5.97598799,2.99666416,0.88139819,1.58252407,0.03465283,0.04809082,0.85750557,0.00000000,0.64991257,0.12203998
-5.96998499,2.91249594,0.84587534,1.56378703,0.03459144,0.04668650,0.82072518,0.00000000,0.61834591,0.11584797
-5.96398199,2.83256251,0.81026257,1.54934049,0.03450442,0.04534792,0.78360531,0.00000000,0.58640092,0.10970601
-5.95797899,2.75853175,0.77502076,1.53996433,0.03438248,0.04410625,0.74665476,0.00000000,0.55451057,0.10368837
-5.95197599,2.69207649,0.74058461,1.53646854,0.03421728,0.04299430,0.71036352,0.00000000,0.52308267,0.09786809
-5.94597299,2.63484938,0.70735779,1.53967785,0.03400185,0.04204686,0.67519623,0.00000000,0.49249585,0.09231605
-5.93996998,2.58845836,0.67570961,1.55041403,0.03373083,0.04130118,0.64158736,0.00000000,0.46309731,0.08710024
-5.93396698,2.55444237,0.64597318,1.56947600,0.03340076,0.04079737,0.60993789,0.00000000,0.43520211,0.08228530
-5.92796398,2.53424668,0.61844467,1.59761767,0.03301018,0.04057871,0.58061346,0.00000000,0.40909380,0.07793216
-5.92196098,2.52919758,0.59338330,1.63552359,0.03255977,0.04069176,0.55394345,0.00000000,0.38502592,0.07409778
-5.91595798,2.54047575,0.57101174,1.68378292,0.03205224,0.04118637,0.53022070,0.00000000,0.36322401,0.07083501
