energy_ev,total_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Si_p_up,Si_d_up
-6.00000000,0.35686688,0.00376485,0.18565656,0.21290827,0.06701194,0.00163820,0.00000000
-5.99399700,0.31091558,0.00323525,0.16157779,0.18538464,0.05823608,0.00147535,0.00000000
-5.98799400,0.26950140,0.00276601,0.13995458,0.16039367,0.05039356,0.00133631,0.00000000
-5.98199100,0.23254733,0.00235383,0.12073474,0.13789675,0.04345973,0.00122293,0.00000000
-5.97598799,0.19992988,0.00199518,0.10384442,0.11782040,0.03740325,0.00113709,0.00000000
-5.96998499,0.17148848,0.00168634,0.08919304,0.10006214,0.03218795,0.00108068,0.00000000
-5.96398199,0.14703528,0.00142356,0.07667843,0.08449655,0.02777475,0.00105576,0.00000000
-5.95797899,0.12636491,0.00120317,0.06619194,0.07098148,0.02412341,0.00106456,0.00000000
-5.95197599,0.10926375,0.00102164,0.05762312,0.05936393,0.02119428,0.00110951,0.00000000
-5.94597299,0.09551843,0.00087571,0.05086406,0.04948555,0.01894976,0.00119335,0.00000000
-5.93996998,0.08492316,0.00076239,0.04581306,0.04118753,0.01735554,0.00131911,0.00000000
-5.93396698,0.07728585,0.00067909,0.04237765,0.03431487,0.01638162,0.00149011,0.00000000
-5.92796398,0.07243284,0.00062357,0.04047686,0.02871980,0.01600299,0.00170998,0.00000000
-5.92196098,0.07021219,0.00059403,0.04004272,0.02426457,0.01620011,0.00198263,0.00000000
-5.91595798,0.07049562,0.00058907,0.04102110,0.02082338,0.01695903,0.00231216,0.00000000
-5.90995498,0.07317915,0.00060774,0.04337177,0.01828371,0.01827134,0.00270286,0.00000000
-5.90395198,0.07818259,0.00064946,0.04706795,0.01654703,0.02013387,0.00315907,0.00000000
-5.89794897,0.08544803,0.00071405,0.05209527,0.01552887,0.02254819,0.00368507,0.00000000
-5.89194597,0.09493751,0.00080170,0.05845033,0.01515854,0.02551993,0.00428501,0.00000000
-5.88594297,0.10663004,0.00091289,0.06613891,0.01537840,0.02905809,0.00496275,0.00000000
-5.87993997,0.12051820,0.00104839,0.07517388,0.01614294,0.03317410,0.00572170,0.00000000
-5.87393697,0.13660444,0.00120920,0.08557308,0.01741747,0.03788096,0.00656475,0.00000000
-5.86793397,0.15489724,0.00139647,0.09735698,0.01917684,0.04319229,0.00749404,0.00000000
-5.86193097,0.17540732,0.00161146,0.11054640,0.02140393,0.04912139,0.00851089,0.00000000
-5.85592796,0.19814387,0.00185548,0.12516023,0.02408813,0.05568031,0.00961568,0.00000000
-5.84992496,0.22311098,0.00212981,0.14121320,0.02722379,0.06287894,0.01080765,0.00000000
-5.84392196,0.25030432,0.00243560,0.15871377,0.03080864,0.07072414,0.01208490,0.00000000
-5.83791896,0.27970801,0.00277385,0.17766207,0.03484230,0.07921889,0.01344425,0.00000000
-5.83191596,0.31129170,0.00314525,0.19804790,0.03932472,0.08836147,0.01488116,0.00000000
-5.82591296,0.34500787,0.00355017,0.21984885,0.04425480,0.09814463,0.01638974,0.00000000
-5.81990995,0.38078937,0.00398853,0.24302846,0.04962896,0.10855481,0.01796266,0.00000000
-5.81390695,0.41854700,0.00445975,0.26753437,0.05543988,0.11957135,0.01959119,0.00000000
-5.80790395,0.45816736,0.00496266,0.29329660,0.06167533,0.13116571,0.02126520,0.00000000
-5.80190095,0.49951075,0.00549544,0.32022583,0.06831708,0.14330066,0.02297321,0.00000000
-5.79589795,0.54240928,0.00605556,0.34821177,0.07534005,0.15592960,0.02470244,0.00000000
-5.78989495,0.58666528,0.00663978,0.37712171,0.08271163,0.16899583,0.02643893,0.00000000
-5.78389195,0.63204993,0.00724407,0.40679925,0.09039115,0.18243193,0.02816765,0.00000000
-5.77788894,0.67830246,0.00786367,0.43706334,0.09832973,0.19615936,0.02987264,0.00000000
-5.77188594,0.72512991,0.00849309,0.46770781,0.10647030,0.21008813,0.03153720,0.00000000
-5.76588294,0.77220763,0.00912616,0.49850135,0.11474801,0.22411682,0.03314410,0.00000000
-5.75987994,0.81918091,0.00975612,0.52918832,0.12309092,0.23813283,0.03467583,0.00000000
-5.75387694,0.86566754,0.01037573,0.55949028,0.13142102,0.25201312,0.03611487,0.00000000
-5.74787394,0.91126184,0.01097740,0.58910852,0.13965566,0.26562526,0.03744402,0.00000000
-5.74187094,0.95554001,0.01155334,0.61772763,0.14770916,0.27882908,0.03864670,0.00000000
-5.73586793,0.99806696,0.01209575,0.64502014,0.15549485,0.29147874,0.03970734,0.00000000
-5.72986493,1.03840457,0.01259701,0.67065231,0.16292721,0.30342534,0.04061175,0.00000000
-5.72386193,1.07612131,0.01304991,0.69429098,0.16992431,0.31452009,0.04134751,0.00000000
-5.71785893,1.11080300,0.01344782,0.71561134,0.17641028,0.32461779,0.04190434,0.00000000
-5.71185593,1.14206441,0.01378493,0.73430553,0.18231782,0.33358084,0.04227447,0.00000000
-5.70585293,1.16956139,0.01405647,0.75009183,0.18759068,0.34128337,0.04245303,0.00000000
-5.69984992,1.19300305,0.01425887,0.76272405,0.19218598,0.34761560,0.04243829,0.00000000
-5.69384692,1.21216347,0.01438995,0.77200097,0.19607625,0.35248811,0.04223198,0.00000000
-5.68784392,1.22689251,0.01444903,0.77777525,0.19925123,0.35583597,0.04183946,0.00000000
-5.68184092,1.23712503,0.01443706,0.77996167,0.20171922,0.35762243,0.04126985,0.00000000
-5.67583792,1.24288821,0.01435671,0.77854404,0.20350799,0.35784209,0.04053608,0.00000000
-5.66983492,1.24430634,0.01421232,0.77358069,0.20466523,0.35652340,0.03965481,0.00000000
-5.66383192,1.24160280,0.01400995,0.76520804,0.20525847,0.35373016,0.03864633,0.00000000
-5.65782891,1.23509904,0.01375727,0.75364202,0.20537450,0.34956214,0.03753431,0.00000000
-5.65182591,1.22521021,0.01346346,0.73917716,0.20511831,0.34415455,0.03634545,0.00000000
-5.64582291,1.21243775,0.01313906,0.72218323,0.20461156,0.33767637,0.03510903,0.00000000
-5.63981991,1.19735878,0.01279571,0.70309944,0.20399070,0.33032757,0.03385643,0.00000000
-5.63381691,1.18061281,0.01244599,0.68242617,0.20340470,0.32233517,0.03262053,0.00000000
-5.62781391,1.16288605,0.01210306,0.66071460,0.20301261,0.31394830,0.03143497,0.00000000
-5.62181091,1.14489384,0.01178040,0.63855419,0.20298090,0.30543234,0.03033350,0.00000000
-5.61580790,1.12736191,0.01149147,0.61655879,0.20348070,0.29706239,0.02934913,0.00000000
-5.60980490,1.11100693,0.01124934,0.59535130,0.20468504,0.28911613,0.02851339,0.00000000
-5.60380190,1.09651721,0.01106638,0.57554781,0.20676615,0.28186638,0.02785547,0.00000000
-5.59779890,1.08453403,0.01095389,0.55774141,0.20989272,0.27557367,0.02740143,0.00000000
-5.59179590,1.07563447,0.01092178,0.54248637,0.21422742,0.27047892,0.02717343,0.00000000
-5.58579290,1.07031596,0.01097827,0.53028313,0.21992447,0.26679660,0.02718904,0.00000000
-5.57978989,1.06898348,0.01112959,0.52156472,0.22712726,0.26470859,0.02746058,0.00000000
-5.57378689,1.07193938,0.01137982,0.51668493,0.23596624,0.26435892,0.02799464,0.00000000
-5.56778389,1.07937643,0.01173066,0.51590881,0.24655675,0.26584964,0.02879164,0.00000000
-5.56178089,1.09137410,0.01218138,0.51940575,0.25899703,0.26923798,0.02984565,0.00000000
-5.55577789,1.10789826,0.01272876,0.52724542,0.27336620,0.27453489,0.03114427,0.00000000
-5.54977489,1.12880411,0.01336717,0.53939671,0.28972238,0.28170507,0.03266882,0.00000000
-5.54377189,1.15384241,0.01408867,0.55572979,0.30810075,0.29066841,0.03439457,0.00000000
-5.53776888,1.18266853,0.01488324,0.57602116,0.32851172,0.30130295,0.03629137,0.00000000
-5.53176588,1.21485412,0.01573906,0.59996148,0.35093920,0.31344915,0.03832428,0.00000000
-5.52576288,1.24990094,0.01664285,0.62716601,0.37533893,0.32691534,0.04045446,0.00000000
-5.51975988,1.28725631,0.01758025,0.65718711,0.40163713,0.34148413,0.04264028,0.00000000
-5.51375688,1.32632970,0.01853630,0.68952841,0.42972928,0.35691950,0.04483840,0.00000000
-5.50775388,1.36650974,0.01949587,0.72366006,0.45947935,0.37297443,0.04700506,0.00000000
-5.50175088,1.40718118,0.02044413,0.75903442,0.49071946,0.38939846,0.04909735,0.00000000
-5.49574787,1.44774105,0.02136697,0.79510163,0.52325009,0.40594515,0.05107445,0.00000000
-5.48974487,1.48761354,0.02225143,0.83132434,0.55684088,0.42237898,0.05289883,0.00000000
-5.48374187,1.52626304,0.02308599,0.86719120,0.59123223,0.43848142,0.05453730,0.00000000
-5.47773887,1.56320497,0.02386088,0.90222841,0.62613756,0.45405594,0.05596191,0.00000000
-5.47173587,1.59801396,0.02456823,0.93600919,0.66124650,0.46893177,0.05715062,0.00000000
-5.46573287,1.63032942,0.02520214,0.96816073,0.69622884,0.48296639,0.05808776,0.00000000
-5.45972986,1.65985831,0.02575866,0.99836863,0.73073931,0.49604655,0.05876424,0.00000000
-5.45372686,1.68637534,0.02623570,1.02637878,0.76442323,0.50808802,0.05917744,0.00000000
-5.44772386,1.70972084,0.02663284,1.05199710,0.79692275,0.51903420,0.05933093,0.00000000
-5.44172086,1.72979679,0.02695102,1.07508709,0.82788382,0.52885371,0.05923390,0.00000000
-5.43571786,1.74656151,0.02719230,1.09556602,0.85696360,0.53753728,0.05890048,0.00000000
-5.42971486,1.76002356,0.02735947,1.11339997,0.88383819,0.54509424,0.05834884,0.00000000
-5.42371186,1.77023552,0.02745577,1.12859841,0.90821047,0.55154890,0.05760025,0.00000000
-5.41770885,1.77728819,0.02748455,1.14120869,0.92981791,0.55693716,0.05667804,0.00000000
-5.41170585,1.78130579,0.02744899,1.15131113,0.94844000,0.56130357,0.05560670,0.00000000
-5.40570285,1.78244238,0.02735193,1.15901481,0.96390512,0.56469906,0.05441089,0.00000000
-5.39969985,1.78087990,0.02719574,1.16445452,0.97609658,0.56717953,0.05311472,0.00000000
-5.39369685,1.77682780,0.02698224,1.16778884,0.98495761,0.56880533,0.05174103,0.00000000
-5.38769385,1.77052405,0.02671277,1.16919948,0.99049501,0.56964150,0.05031093,0.00000000
-5.38169085,1.76223732,0.02638825,1.16889149,0.99278129,0.56975890,0.04884349,0.00000000
-5.37568784,1.75226985,0.02600943,1.16709420,0.99195510,0.56923576,0.04735560,0.00000000
-5.36968484,1.74096033,0.02557705,1.16406246,0.98821993,0.56815958,0.04586193,0.00000000
-5.36368184,1.72868625,0.02509212,1.16007765,0.98184090,0.56662903,0.04437516,0.00000000
-5.35767884,1.71586507,0.02455617,1.15544810,0.97313973,0.56475555,0.04290612,0.00000000
-5.35167584,1.70295354,0.02397149,1.15050839,0.96248795,0.56266441,0.04146420,0.00000000
-5.34567284,1.69044473,0.02334137,1.14561722,0.95029859,0.56049488,0.04005763,0.00000000
-5.33966983,1.67886252,0.02267020,1.14115353,0.93701648,0.55839943,0.03869384,0.00000000
-5.33366683,1.66875331,0.02196363,1.13751085,0.92310753,0.55654178,0.03737975,0.00000000
-5.32766383,1.66067513,0.02122852,1.13508976,0.90904741,0.55509375,0.03612206,0.00000000
-5.32166083,1.65518437,0.02047291,1.13428882,0.89530992,0.55423109,0.03492740,0.00000000
