energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.81850675,0.00372390,0.30278546,0.67236890,0.79005818,0.00168846,0.55106364,0.25572388,0.17161572
-5.99399700,1.82460676,0.00395373,0.30739662,0.68095310,0.78965189,0.00154667,0.54938549,0.26202511,0.17131609
-5.98799400,1.83481463,0.00417440,0.31252736,0.69101837,0.79121275,0.00144405,0.54860590,0.26880005,0.17154876
-5.98199100,1.84900742,0.00438143,0.31808608,0.70237232,0.79472586,0.00138051,0.54872551,0.27602870,0.17235146
-5.97598799,1.86708516,0.00457051,0.32399899,0.71485153,0.80018307,0.00135597,0.54973602,0.28368936,0.17375956
-5.96998499,1.88896165,0.00473763,0.33020893,0.72831768,0.80757907,0.00137037,0.55161769,0.29175704,0.17580438
-5.96398199,1.91455345,0.00487922,0.33667312,0.74265230,0.81690668,0.00142372,0.55433754,0.30020192,0.17851150
-5.95797899,1.94376771,0.00499221,0.34336004,0.75775039,0.82815167,0.00151610,0.55784813,0.30898794,0.18189904
-5.95197599,1.97648950,0.00507416,0.35024567,0.77351351,0.84128738,0.00164766,0.56208705,0.31807157,0.18597617
-5.94597299,2.01256946,0.00512335,0.35730928,0.78984273,0.85626947,0.00181856,0.56697701,0.32740086,0.19074174
-5.93996998,2.05181242,0.00513878,0.36452914,0.80663190,0.87303105,0.00202896,0.57242660,0.33691477,0.19618315
-5.93396698,2.09396775,0.00512025,0.37187848,0.82376174,0.89147865,0.00227891,0.57833145,0.34654289,0.20227559
-5.92796398,2.13872202,0.00506834,0.37932175,0.84109512,0.91148901,0.00256832,0.58457598,0.35620553,0.20898158
-5.92196098,2.18569450,0.00498438,0.38681169,0.85847382,0.93290718,0.00289682,0.59103533,0.36581427,0.21625091
-5.91595798,2.23443586,0.00487040,0.39428726,0.87571703,0.95554596,0.00326370,0.59757771,0.37527300,0.22402095
-5.90995498,2.28443039,0.00472904,0.40167256,0.89262180,0.97918677,0.00366778,0.60406690,0.38447937,0.23221745
-5.90395198,2.33510170,0.00456351,0.40887695,0.90896532,1.00358198,0.00410735,0.61036480,0.39332672,0.24075559
-5.89794897,2.38582186,0.00437740,0.41579621,0.92450918,1.02845873,0.00458005,0.61633418,0.40170644,0.24954155
-5.89194597,2.43592361,0.00417463,0.42231487,0.93900522,1.05352391,0.00508281,0.62184139,0.40951066,0.25847426
-5.88594297,2.48471529,0.00395928,0.42830943,0.95220285,1.07847027,0.00561182,0.62675906,0.41663527,0.26744745
-5.87993997,2.53149775,0.00373547,0.43365249,0.96385744,1.10298330,0.00616247,0.63096871,0.42298310,0.27635198
-5.87393697,2.57558261,0.00350728,0.43821732,0.97373928,1.12674858,0.00672939,0.63436341,0.42846726,0.28507812
-5.86793397,2.61631102,0.00327858,0.44188290,0.98164279,1.14945930,0.00730646,0.63685011,0.43301431,0.29351799
-5.86193097,2.65307205,0.00305298,0.44453890,0.98739535,1.17082348,0.00788688,0.63835196,0.43656743,0.30156785
-5.85592796,2.68532001,0.00283372,0.44609059,0.99086546,1.19057077,0.00846330,0.63881036,0.43908917,0.30913033
-5.84992496,2.71258978,0.00262362,0.44646319,0.99196958,1.20845833,0.00902794,0.63818670,0.44056384,0.31611638
-5.84392196,2.73450967,0.00242507,0.44560560,0.99067750,1.22427570,0.00957276,0.63646387,0.44099934,0.32244693
-5.83791896,2.75081118,0.00223992,0.44349330,0.98701583,1.23784843,0.01008968,0.63364733,0.44042844,0.32805434
-5.83191596,2.76133539,0.00206959,0.44013021,0.98106949,1.24904041,0.01057077,0.62976576,0.43890931,0.33288329
-5.82591296,2.76603577,0.00191499,0.43554953,0.97298105,1.25775487,0.01100848,0.62487134,0.43652534,0.33689150
-5.81990995,2.76497749,0.00177656,0.42981350,0.96294803,1.26393416,0.01139588,0.61903944,0.43338420,0.34004995
-5.81390695,2.75833337,0.00165437,0.42301207,0.95121824,1.26755839,0.01172687,0.61236783,0.42961626,0.34234278
-5.80790395,2.74637675,0.00154810,0.41526064,0.93808334,1.26864321,0.01199638,0.60497536,0.42537216,0.34376692
-5.80190095,2.72947188,0.00145709,0.40669692,0.92387097,1.26723686,0.01220055,0.59700010,0.42081989,0.34433138
-5.79589795,2.70806210,0.00138047,0.39747706,0.90893566,1.26341673,0.01233687,0.58859699,0.41614119,0.34405641
-5.78989495,2.68265657,0.00131713,0.38777132,0.89364905,1.25728578,0.01240425,0.57993491,0.41152756,0.34297242
-5.78389195,2.65381591,0.00126583,0.37775925,0.87838958,1.24896885,0.01240306,0.57119337,0.40717579,0.34111890
-5.77788894,2.62213743,0.00122522,0.36762480,0.86353216,1.23860919,0.01233516,0.56255872,0.40328329,0.33854319
-5.77188594,2.58824022,0.00119394,0.35755136,0.84943802,1.22636520,0.01220379,0.55422003,0.40004319,0.33529933
-5.76588294,2.55275057,0.00117059,0.34771692,0.83644515,1.21240748,0.01201345,0.54636464,0.39763933,0.33144689
-5.75987994,2.51628800,0.00115383,0.33828958,0.82485943,1.19691627,0.01176976,0.53917353,0.39624139,0.32704983
-5.75387694,2.47945204,0.00114237,0.32942332,0.81494681,1.18007908,0.01147927,0.53281658,0.39599999,0.32217549
-5.74787394,2.44280998,0.00113501,0.32125442,0.80692653,1.16208856,0.01114917,0.52744776,0.39704218,0.31689357
-5.74187094,2.40688562,0.00113066,0.31389831,0.80096562,1.14314045,0.01078709,0.52320051,0.39946717,0.31127513
-5.73586793,2.37214914,0.00112834,0.30744706,0.79717467,1.12343147,0.01040085,0.52018336,0.40334262,0.30539174
-5.72986493,2.33900802,0.00112719,0.30196755,0.79560502,1.10315708,0.00999813,0.51847585,0.40870145,0.29931450
-5.72386193,2.30779932,0.00112646,0.29750029,0.79624732,1.08250903,0.00958632,0.51812511,0.41553941,0.29311312
-5.71785893,2.27878306,0.00112552,0.29405889,0.79903152,1.06167258,0.00917225,0.51914307,0.42381339,0.28685505
-5.71185593,2.25213715,0.00112386,0.29163024,0.80382830,1.04082354,0.00876201,0.52150450,0.43344076,0.28060446
-5.70585293,2.22795382,0.00112103,0.29017530,0.81045190,1.02012498,0.00836086,0.52514602,0.44429965,0.27442134
-5.69984992,2.20623777,0.00111670,0.28963053,0.81866435,0.99972393,0.00797305,0.52996614,0.45623033,0.26836049
-5.69384692,2.18690624,0.00111061,0.28990993,0.82818104,0.97974799,0.00760187,0.53582655,0.46903771,0.26247065
-5.68784392,2.16979109,0.00110253,0.29090756,0.83867745,0.96030225,0.00724955,0.54255440,0.48249497,0.25679358
