energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.35311376,0.04566775,0.09997970,0.00229324,0.06635846,0.01362211,0.07449648
-5.99399700,0.37295340,0.04964032,0.10611736,0.00255688,0.07049322,0.01457293,0.07802799
-5.98799400,0.39729914,0.05439887,0.11339032,0.00285630,0.07552652,0.01566545,0.08248267
-5.98199100,0.42577621,0.05988063,0.12171222,0.00318908,0.08138492,0.01689028,0.08778006
-5.97598799,0.45797328,0.06601406,0.13098526,0.00355216,0.08798695,0.01823616,0.09383374
-5.96998499,0.49343734,0.07271824,0.14109867,0.00394181,0.09524225,0.01968972,0.10055029
-5.96398199,0.53167005,0.07990264,0.15192757,0.00435359,0.10305090,0.02123529,0.10782836
-5.95797899,0.57212620,0.08746730,0.16333253,0.00478239,0.11130329,0.02285480,0.11555832
-5.95197599,0.61421502,0.09530352,0.17515993,0.00522241,0.11988053,0.02452784,0.12362227
-5.94597299,0.65730460,0.10329506,0.18724318,0.00566728,0.12865542,0.02623179,0.13189481
-5.93996998,0.70072987,0.11132001,0.19940494,0.00611011,0.13749426,0.02794214,0.14024440
-5.93396698,0.74380393,0.11925315,0.21146038,0.00654364,0.14625919,0.02963290,0.14853548
-5.92796398,0.78583260,0.12696882,0.22322122,0.00696040,0.15481122,0.03127715,0.15663119
-5.92196098,0.82613174,0.13434428,0.23450067,0.00735287,0.16301379,0.03284775,0.16439667
-5.91595798,0.86404658,0.14126325,0.24511881,0.00771370,0.17073670,0.03431805,0.17170277
-5.90995498,0.89897231,0.14761972,0.25490849,0.00803590,0.17786029,0.03566272,0.17843007
-5.90395198,0.93037480,0.15332158,0.26372112,0.00831303,0.18427955,0.03685856,0.18447293
-5.89794897,0.95781050,0.15829416,0.27143234,0.00853945,0.18990814,0.03788532,0.18974336
-5.89194597,0.98094436,0.16248327,0.27794713,0.00871044,0.19468188,0.03872643,0.19417465
-5.88594297,0.99956476,0.16585768,0.28320407,0.00882239,0.19856170,0.03936963,0.19772429
-5.87993997,1.01359450,0.16841085,0.28717856,0.00887292,0.20153574,0.03980747,0.20037627
