energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,8.44397186,0.00001299,2.57902974,3.03643794,5.19182973,0.06604115,1.04888188
-5.99399700,8.17421288,0.00001419,2.52122395,2.95431193,5.07364448,0.06011505,0.98709443
-5.98799400,7.88949695,0.00001601,2.45710875,2.86618087,4.94243038,0.05444453,0.92538391
-5.98199100,7.59275253,0.00001865,2.38724884,2.77338023,4.79929549,0.04908301,0.86451723
-5.97598799,7.28693431,0.00002231,2.31227871,2.67729327,4.64547342,0.04407565,0.80519505
-5.96998499,6.97502639,0.00002725,2.23290724,2.57934651,4.48233397,0.03945926,0.74804727
-5.96398199,6.66004621,0.00003379,2.14991970,2.48100503,4.31138969,0.03526237,0.69363190
-5.95797899,6.34504568,0.00004231,2.06417639,2.38376638,4.13429653,0.03150557,0.64243654
-5.95197599,6.03310696,0.00005323,1.97660697,2.28915173,3.95284688,0.02820197,0.59488224
-5.94597299,5.72733012,0.00006709,1.88820028,2.19869345,3.76895431,0.02535772,0.55132879
-5.93996998,5.43081131,0.00008446,1.79998940,2.11391832,3.58462938,0.02297267,0.51208096
-5.93396698,5.14661032,0.00010604,1.71303232,2.03632613,3.40194695,0.02104101,0.47739495
-5.92796398,4.87770788,0.00013259,1.62838855,1.96736352,3.22300570,0.01955189,0.44748458
-5.92196098,4.62695354,0.00016496,1.54709275,1.90839378,3.04988137,0.01849002,0.42252659
-5.91595798,4.39700609,0.00020410,1.47012630,1.86066324,2.88457559,0.01783617,0.40266484
-5.90995498,4.19026892,0.00025104,1.39838815,1.82526572,2.72896255,0.01756762,0.38801304
-5.90395198,4.00882363,0.00030686,1.33266634,1.80310624,2.58473590,0.01765853,0.37865592
-5.89794897,3.85436508,0.00037273,1.27361155,1.79486594,2.45335851,0.01808022,0.37464893
-5.89194597,3.72814147,0.00044984,1.22171406,1.80096992,2.33601745,0.01880144,0.37601648
-5.88594297,3.63090301,0.00053941,1.17728529,1.82155977,2.23358640,0.01978853,0.38274897
-5.87993997,3.56286193,0.00064264,1.14044505,1.85647256,2.14659727,0.02100567,0.39479894
-5.87393697,3.52366687,0.00076072,1.11111506,1.90522771,2.07522270,0.02241507,0.41207674
-5.86793397,3.51239324,0.00089474,1.08901938,1.96702299,2.01927002,0.02397726,0.43444593
-5.86193097,3.52755110,0.00104571,1.07369184,2.04074053,1.97818733,0.02565146,0.46171912
-5.85592796,3.56711087,0.00121451,1.06449025,2.12496310,1.95108144,0.02739594,0.49365436
-5.84992496,3.62854667,0.00140185,1.06061697,2.21800078,1.93674702,0.02916861,0.52995272
-5.84392196,3.70889600,0.00160825,1.06114498,2.31792746,1.93370584,0.03092758,0.57025719
-5.83791896,3.80483422,0.00183403,1.06504854,2.42262624,1.94025458,0.03263194,0.61415337
-5.83191596,3.91276112,0.00207929,1.07123705,2.52984226,1.95451930,0.03424243,0.66117210
-5.82591296,4.02889680,0.00234387,1.07859096,2.63724147,1.97451463,0.03572235,0.71079410
-5.81990995,4.14938353,0.00262742,1.08599809,2.74247305,1.99820527,0.03703831,0.76245677
-5.81390695,4.27038986,0.00292938,1.09238912,2.84323356,2.02356776,0.03816105,0.81556303
-5.80790395,4.38821366,0.00324899,1.09677070,2.93733030,2.04865021,0.03906616,0.86949199
-5.80190095,4.49938031,0.00358538,1.09825511,3.02274185,2.07162794,0.03973471,0.92361139
-5.79589795,4.60073284,0.00393756,1.09608531,3.09767340,2.09085334,0.04015373,0.97729110
-5.78989495,4.68951104,0.00430451,1.08965459,3.16060517,2.10489827,0.04031652,1.02991766
-5.78389195,4.76341714,0.00468522,1.07852029,3.21033213,2.11258801,0.04022277,1.08090897
-5.77788894,4.82066610,0.00507876,1.06241128,3.24599386,2.11302572,0.03987854,1.12972887
-5.77188594,4.86001928,0.00548430,1.04122926,3.26709378,2.10560724,0.03929598,1.17590087
-5.76588294,4.88080091,0.00590123,1.01504408,3.27350730,2.09002601,0.03849287,1.21902048
-5.75987994,4.88289749,0.00632911,0.98408379,3.26547907,2.06626862,0.03749203,1.25876577
-5.75387694,4.86674081,0.00676776,0.94872002,3.24360988,2.03460155,0.03632062,1.29490548
-5.74787394,4.83327601,0.00721721,0.90944964,3.20883418,1.99555022,0.03500925,1.32730452
-5.74187094,4.78391658,0.00767774,0.86687388,3.16238949,1.94987154,0.03359112,1.35592652
-5.73586793,4.72048858,0.00814979,0.82167572,3.10577941,1.89852128,0.03210110,1.38083334
-5.72986493,4.64516669,0.00863397,0.77459688,3.04073177,1.84261797,0.03057489,1.40218172
