energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.47620646,0.06185640,0.00000000,0.05488846,1.99846155,2.23513754,0.90330069
-5.99399700,3.56824018,0.06866965,0.00000000,0.05809222,2.02709496,2.20904087,0.93156075
-5.98799400,3.65796104,0.07603504,0.00000000,0.06127837,2.05276463,2.17478480,0.95907933
-5.98199100,3.74587785,0.08393032,0.00000000,0.06442200,2.07603814,2.13364589,0.98589071
-5.97598799,3.83251483,0.09232072,0.00000000,0.06749966,2.09753194,2.08700580,1.01205639
-5.96998499,3.91835639,0.10115804,0.00000000,0.07048943,2.11787407,2.03629737,1.03765481
-5.96398199,4.00379327,0.11037997,0.00000000,0.07337100,2.13766672,1.98295046,1.06277037
-5.95797899,4.08907286,0.11990993,0.00000000,0.07612554,2.15745038,1.92833994,1.08748216
-5.95197599,4.17425681,0.12965737,0.00000000,0.07873572,2.17767161,1.87373819,1.11185328
-5.94597299,4.25918834,0.13951859,0.00000000,0.08118549,2.19865598,1.82027407,1.13592124
-5.93996998,4.34347126,0.14937816,0.00000000,0.08345999,2.22058745,1.76889988,1.15968990
-5.93396698,4.42646214,0.15911086,0.00000000,0.08554544,2.24349541,1.72036761,1.18312362
-5.92796398,4.50727645,0.16858415,0.00000000,0.08742898,2.26724977,1.67521498,1.20614381
-5.92196098,4.58480843,0.17766103,0.00000000,0.08909868,2.29156443,1.63376146,1.22862813
-5.91595798,4.65776415,0.18620342,0.00000000,0.09054348,2.31600876,1.59611392,1.25041247
-5.90995498,4.72470595,0.19407564,0.00000000,0.09175332,2.34002642,1.56218116,1.27129546
-5.90395198,4.78410637,0.20114809,0.00000000,0.09271924,2.36296051,1.53169596,1.29104544
-5.89794897,4.83440871,0.20730096,0.00000000,0.09343360,2.38408355,1.50424341,1.30940932
-5.89194597,4.87409118,0.21242769,0.00000000,0.09389031,2.40263077,1.47929353,1.32612292
-5.88594297,4.90173153,0.21643821,0.00000000,0.09408511,2.41783491,1.45623665,1.34092221
-5.87993997,4.91606868,0.21926167,0.00000000,0.09401591,2.42896067,1.43441952,1.35355471
-5.87393697,4.91605836,0.22084866,0.00000000,0.09368299,2.43533727,1.41318049,1.36379057
-5.86793397,4.90092009,0.22117274,0.00000000,0.09308928,2.43638726,1.39188216,1.37143248
-5.86193097,4.87017301,0.22023124,0.00000000,0.09224055,2.43165052,1.36994019,1.37632413
-5.85592796,4.82365916,0.21804531,0.00000000,0.09114548,2.42080220,1.34684710,1.37835655
-5.84992496,4.76155301,0.21465919,0.00000000,0.08981563,2.40366403,1.32219049,1.37747216
-5.84392196,4.68435727,0.21013874,0.00000000,0.08826540,2.38020873,1.29566506,1.37366627
-5.83791896,4.59288520,0.20456934,0.00000000,0.08651171,2.35055743,1.26707853,1.36698605
-5.83191596,4.48823086,0.19805318,0.00000000,0.08457376,2.31497076,1.23635164,1.35752713
-5.82591296,4.37172885,0.19070612,0.00000000,0.08247257,2.27383420,1.20351264,1.34542796
-5.81990995,4.24490596,0.18265419,0.00000000,0.08023049,2.22763875,1.16868724,1.33086254
-5.81390695,4.10942718,0.17402997,0.00000000,0.07787065,2.17695823,1.13208470,1.31403172
-5.80790395,3.96703887,0.16496897,0.00000000,0.07541639,2.12242445,1.09398132,1.29515390
-5.80190095,3.81951197,0.15560597,0.00000000,0.07289071,2.06470163,1.05470227,1.27445550
-5.79589795,3.66858776,0.14607185,0.00000000,0.07031568,2.00446157,1.01460292,1.25216184
-5.78989495,3.51592865,0.13649054,0.00000000,0.06771199,1.94236057,0.97405067,1.22848897
-5.78389195,3.36307612,0.12697656,0.00000000,0.06509850,1.87901945,0.93340826,1.20363695
