energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,4.07047567,0.02976204,0.34570113,2.87239915,1.99091180,0.00871083,1.20429823,0.79663342,0.45595773
-5.99399700,4.21166600,0.02909495,0.35392620,2.90820239,2.07872657,0.00885596,1.24108719,0.81065749,0.47371963
-5.98799400,4.34729437,0.02837154,0.36145131,2.94246252,2.16260015,0.00902679,1.27759682,0.82394502,0.49062438
-5.98199100,4.47526985,0.02759686,0.36815552,2.97434015,2.24129789,0.00922418,1.31326437,0.83622948,0.50641786
-5.97598799,4.59353703,0.02677614,0.37392312,3.00292488,2.31363782,0.00944841,1.34750794,0.84723993,0.52085808
-5.96998499,4.70013166,0.02591471,0.37864683,3.02726263,2.37852364,0.00969912,1.37974128,0.85670887,0.53372148
-5.96398199,4.79323960,0.02501778,0.38223145,3.04638991,2.43497766,0.00997529,1.40939086,0.86438141,0.54480941
-5.95797899,4.87125674,0.02409047,0.38459750,3.05937336,2.48217234,0.01027522,1.43591452,0.87002528,0.55395420
-5.95197599,4.93284701,0.02313770,0.38568495,3.06535264,2.51945908,0.01059661,1.45882086,0.87344125,0.56102490
-5.94597299,4.97699586,0.02216425,0.38545663,3.06358425,2.54639299,0.01093656,1.47768844,0.87447337,0.56593199
-5.93996998,5.00305600,0.02117480,0.38390127,3.05348378,2.56275219,0.01129163,1.49218365,0.87301842,0.56863107
-5.93396698,5.01078308,0.02017397,0.38103591,3.03466399,2.56855078,0.01165796,1.50207631,0.86903404,0.56912519
-5.92796398,5.00035881,0.01916636,0.37690756,3.00696631,2.56404444,0.01203135,1.50725202,0.86254490,0.56746552
-5.92196098,4.97239987,0.01815663,0.37159384,2.97048372,2.54972833,0.01240730,1.50772054,0.85364654,0.56375049
-5.91595798,4.92795155,0.01714954,0.36520267,2.92557328,2.52632690,0.01278117,1.50361933,0.84250646,0.55812311
-5.90995498,4.86846575,0.01614991,0.35787078,2.87285730,2.49477589,0.01314821,1.49521224,0.82936228,0.55076682
-5.90395198,4.79576373,0.01516267,0.34976118,2.81321263,2.45619714,0.01350368,1.48288288,0.81451689,0.54189970
-5.89794897,4.71198499,0.01419281,0.34105953,2.74774840,2.41186690,0.01384290,1.46712309,0.79833072,0.53176759
-5.89194597,4.61952409,0.01324529,0.33196957,2.67777283,2.36317900,0.01416131,1.44851682,0.78121141,0.52063610
-5.88594297,4.52095794,0.01232500,0.32270772,2.60475088,2.31160425,0.01445455,1.42772013,0.76360116,0.50878216
-5.87993997,4.41896674,0.01143663,0.31349712,2.53025444,2.25864769,0.01471849,1.40543821,0.74596246,0.49648521
-5.87393697,4.31625185,0.01058465,0.30456125,2.45590752,2.20580544,0.01494927,1.38240045,0.72876276,0.48401864
-5.86793397,4.21545402,0.00977313,0.29611745,2.38332908,2.15452283,0.01514339,1.35933482,0.71245865,0.47164169
-5.86193097,4.11907557,0.00900573,0.28837055,2.31407612,2.10615540,0.01529770,1.33694255,0.69748041,0.45959222
-5.85592796,4.02940958,0.00828561,0.28150690,2.24958976,2.06193443,0.01540948,1.31587447,0.68421760,0.44808067
-5.84992496,3.94847908,0.00761538,0.27568901,2.19114681,2.02293802,0.01547645,1.29670993,0.67300618,0.43728532
-5.84392196,3.87798837,0.00699709,0.27105114,2.13981886,1.99006885,0.01549688,1.27993931,0.66411795,0.42734917
-5.83791896,3.81928819,0.00643226,0.26769580,2.09644082,1.96403918,0.01546956,1.26595075,0.65775253,0.41837834
-5.83191596,3.77335579,0.00592186,0.26569152,2.06159000,1.94536341,0.01539388,1.25502159,0.65403243,0.41044201
-5.82591296,3.74078995,0.00546640,0.26507185,2.03557653,1.93435807,0.01526988,1.24731485,0.65300113,0.40357400
-5.81990995,3.72182051,0.00506599,0.26583570,2.01844516,1.93114888,0.01509826,1.24288060,0.65462445,0.39777545
-5.81390695,3.71633130,0.00472042,0.26794892,2.00998815,1.93568413,0.01488037,1.24166199,0.65879489,0.39301882
-5.80790395,3.72389470,0.00442924,0.27134713,2.00976818,1.94775336,0.01461829,1.24350550,0.66533881,0.38925260
-5.80190095,3.74381547,0.00419186,0.27593964,2.01715002,1.96701022,0.01431473,1.24817463,0.67402596,0.38640660
-5.79589795,3.77518153,0.00400763,0.28161424,2.03133913,1.99299811,0.01397307,1.25536633,0.68458094,0.38439760
-5.78989495,3.81691874,0.00387590,0.28824280,2.05142529,2.02517728,0.01359724,1.26472907,0.69669603,0.38313480
-5.78389195,3.86784694,0.00379608,0.29568722,2.07642888,2.06295196,0.01319173,1.27588182,0.71004472,0.38252515
-5.77788894,3.92673466,0.00376767,0.30380568,2.10534792,2.10569627,0.01276145,1.28843273,0.72429532,0.38247806
-5.77188594,3.99234985,0.00379030,0.31245885,2.13720332,2.15277778,0.01231163,1.30199686,0.73912415,0.38290937
-5.76588294,4.06350479,0.00386365,0.32151575,2.17108073,2.20357780,0.01184772,1.31621199,0.75422752,0.38374453
-5.75987994,4.13909329,0.00398750,0.33085911,2.20616685,2.25750762,0.01137528,1.33075194,0.76933227,0.38492078
-5.75387694,4.21811917,0.00416158,0.34038993,2.24177910,2.31402041,0.01089985,1.34533699,0.78420420,0.38638832
-5.74787394,4.29971533,0.00438557,0.35003116,2.27738740,2.37261854,0.01042680,1.35974091,0.79865430,0.38811063
-5.74187094,4.38315343,0.00465893,0.35973020,2.31262745,2.43285650,0.00996125,1.37379471,0.81254251,0.39006377
-5.73586793,4.46784438,0.00498085,0.36946033,2.34730527,2.49433967,0.00950798,1.38738702,0.82577896,0.39223502
-5.72986493,4.55333076,0.00535010,0.37922080,2.38139324,2.55671967,0.00907126,1.40046139,0.83832279,0.39462077
-5.72386193,4.63927208,0.00576492,0.38903581,2.41501812,2.61968682,0.00865489,1.41301092,0.85017875,0.39722405
-5.71785893,4.72542453,0.00622291,0.39895221,2.44844192,2.68296068,0.00826206,1.42507059,0.86139175,0.40005170
-5.71185593,4.81161681,0.00672095,0.40903618,2.48203685,2.74627938,0.00789536,1.43670795,0.87203993,0.40311142
-5.70585293,4.89772352,0.00725512,0.41936894,2.51625567,2.80938864,0.00755674,1.44801270,0.88222647,0.40640893
-5.69984992,4.98363791,0.00782062,0.43004169,2.55159889,2.87203128,0.00724755,1.45908573,0.89207064,0.40994524
-5.69384692,5.06924535,0.00841180,0.44114990,2.58858033,2.93393772,0.00696856,1.47002827,0.90169863,0.41371435
-5.68784392,5.15439875,0.00902213,0.45278724,2.62769265,2.99481811,0.00671995,1.48093153,0.91123444,0.41770137
-5.68184092,5.23889700,0.00964428,0.46503933,2.66937407,3.05435631,0.00650143,1.49186735,0.92079144,0.42188104
-5.67583792,5.32246707,0.01027021,0.47797754,2.71397778,3.11220605,0.00631223,1.50288020,0.93046465,0.42621697
-5.66983492,5.40475035,0.01089128,0.49165301,2.76174499,3.16798913,0.00615122,1.51398069,0.94032433,0.43066126
-5.66383192,5.48529337,0.01149843,0.50609120,2.81278246,3.22129565,0.00601693,1.52514081,0.95041082,0.43515479
-5.65782891,5.56354294,0.01208238,0.52128713,2.86704544,3.27168607,0.00590762,1.53629104,0.96073091,0.43962793
-5.65182591,5.63884553,0.01263380,0.53720147,2.92432619,3.31869487,0.00582135,1.54731906,0.97125578,0.44400168
-5.64582291,5.71045081,0.01314361,0.55375770,2.98424852,3.36183550,0.00575601,1.55807037,0.98192036,0.44818918
-5.63981991,5.77751878,0.01360315,0.57084048,3.04626826,3.40060637,0.00570937,1.56835032,0.99262419,0.45209753
-5.63381691,5.83913044,0.01400447,0.58829533,3.10967978,3.43449767,0.00567910,1.57792769,1.00323364,0.45562974
-5.62781391,5.89430157,0.01434051,0.60592969,3.17362789,3.46299892,0.00566284,1.58653949,1.01358519,0.45868689
-5.62181091,5.94199939,0.01460533,0.62351547,3.23712514,3.48560701,0.00565818,1.59389690,1.02348983,0.46117023
-5.61580790,5.98116180,0.01479426,0.64079297,3.29907363,3.50183484,0.00566266,1.59969210,1.03273810,0.46298340
-5.60980490,6.01071912,0.01490404,0.65747624,3.35829086,3.51122043,0.00567386,1.60360588,1.04110589,0.46403449
-5.60380190,6.02961787,0.01493288,0.67325962,3.41353889,3.51333663,0.00568935,1.60531579,1.04836056,0.46423807
-5.59779890,6.03684644,0.01488054,0.68782546,3.46355591,3.50780124,0.00570671,1.60450478,1.05426733,0.46351708
-5.59179590,6.03146216,0.01474828,0.70085263,3.50708940,3.49428769,0.00572358,1.60086995,1.05859577,0.46180455
-5.58579290,6.01261919,0.01453881,0.71202566,3.54292985,3.47253595,0.00573765,1.59413137,1.06112610,0.45904522
-5.57978989,5.97959665,0.01425619,0.72104414,3.56994422,3.44236357,0.00574672,1.58404076,1.06165536,0.45519688
-5.57378689,5.93182603,0.01390569,0.72763207,3.58710793,3.40367639,0.00574869,1.57038965,1.06000311,0.45023162
-5.56778389,5.86891691,0.01349358,0.73154681,3.59353451,3.35647861,0.00574163,1.55301698,1.05601663,0.44413676
-5.56178089,5.79067988,0.01302699,0.73258714,3.58850188,3.30088150,0.00572378,1.53181571,1.04957545,0.43691563
-5.55577789,5.69714559,0.01251363,0.73060035,3.57147436,3.23711030,0.00569365,1.50673827,1.04059509,0.42858800
-5.54977489,5.58857860,0.01196159,0.72548775,3.54211965,3.16550863,0.00564998,1.47780064,1.02902991,0.41919021
