energy_ev,total_up,As_p_up,As_d_up,Au_p_up,Au_d_up,Se_s_up,Se_p_up
-6.00000000,2.93691385,0.05178936,0.00000000,0.19599238,2.84458803,0.00783574,0.05733048
-5.99399700,2.91915223,0.04984751,0.00000000,0.19513670,2.82881914,0.00769046,0.05541242
-5.98799400,2.89891914,0.04799749,0.00000000,0.19428365,2.81048906,0.00757586,0.05355063
-5.98199100,2.87610671,0.04627966,0.00000000,0.19345724,2.78944044,0.00750098,0.05177489
-5.97598799,2.85071075,0.04473137,0.00000000,0.19268300,2.76562118,0.00747476,0.05011380
-5.96998499,2.82285724,0.04338640,0.00000000,0.19198845,2.73911196,0.00750577,0.04859451
-5.96398199,2.79282497,0.04227435,0.00000000,0.19140333,2.71014982,0.00760197,0.04724230
-5.95797899,2.76106252,0.04142021,0.00000000,0.19095973,2.67914633,0.00777038,0.04608023
-5.95197599,2.72819835,0.04084395,0.00000000,0.19069183,2.64669869,0.00801686,0.04512875
-5.94597299,2.69504277,0.04056025,0.00000000,0.19063534,2.61359280,0.00834584,0.04440523
-5.93996998,2.66258110,0.04057817,0.00000000,0.19082656,2.58079749,0.00876005,0.04392357
-5.93396698,2.63195771,0.04090104,0.00000000,0.19130113,2.54944949,0.00926035,0.04369376
-5.92796398,2.60445110,0.04152634,0.00000000,0.19209250,2.52082935,0.00984553,0.04372148
-5.92196098,2.58144064,0.04244568,0.00000000,0.19323018,2.49632882,0.01051218,0.04400775
-5.91595798,2.56436615,0.04364487,0.00000000,0.19473797,2.47741072,0.01125466,0.04454871
-5.90995498,2.55468169,0.04510416,0.00000000,0.19663213,2.46556285,0.01206512,0.04533551
-5.90395198,2.55380566,0.04679853,0.00000000,0.19891989,2.46224755,0.01293352,0.04635433
-5.89794897,2.56306913,0.04869821,0.00000000,0.20159818,2.46884935,0.01384789,0.04758661
-5.89194597,2.58366487,0.05076929,0.00000000,0.20465289,2.48662260,0.01479450,0.04900953
-5.88594297,2.61659939,0.05297452,0.00000000,0.20805873,2.51664177,0.01575823,0.05059657
-5.87993997,2.66265025,0.05527428,0.00000000,0.21177968,2.55975652,0.01672297,0.05231844
-5.87393697,2.72233084,0.05762764,0.00000000,0.21577024,2.61655375,0.01767209,0.05414410
-5.86793397,2.79586420,0.05999364,0.00000000,0.21997735,2.68732852,0.01858899,0.05604201
-5.86193097,2.88316762,0.06233255,0.00000000,0.22434297,2.77206526,0.01945760,0.05798148
-5.85592796,2.98384850,0.06460726,0.00000000,0.22880725,2.87043032,0.02026305,0.05993415
-5.84992496,3.09721218,0.06678463,0.00000000,0.23331215,2.98177641,0.02099219,0.06187551
-5.84392196,3.22228137,0.06883683,0.00000000,0.23780533,3.10515873,0.02163417,0.06378627
-5.83791896,3.35782633,0.07074254,0.00000000,0.24224414,3.23936235,0.02218093,0.06565384
-5.83191596,3.50240470,0.07248801,0.00000000,0.24659942,3.38293949,0.02262770,0.06747342
-5.82591296,3.65440902,0.07406794,0.00000000,0.25085905,3.53425520,0.02297328,0.06924901
-5.81990995,3.81211983,0.07548604,0.00000000,0.25503089,3.69153933,0.02322036,0.07099405
-5.81390695,3.97376197,0.07675544,0.00000000,0.25914499,3.85294248,0.02337563,0.07273170
-5.80790395,4.13756155,0.07789863,0.00000000,0.26325493,4.01659341,0.02344980,0.07449484
-5.80190095,4.30180091,0.07894726,0.00000000,0.26743811,4.18065548,0.02345750,0.07632552
-5.79589795,4.46486933,0.07994153,0.00000000,0.27179504,4.34337957,0.02341703,0.07827409
-5.78989495,4.62530734,0.08092932,0.00000000,0.27644743,4.50315141,0.02335003,0.08039793
-5.78389195,4.78184286,0.08196511,0.00000000,0.28153537,4.65853153,0.02328102,0.08275983
-5.77788894,4.93341796,0.08310863,0.00000000,0.28721342,4.80828639,0.02323685,0.08542595
-5.77188594,5.07920562,0.08442339,0.00000000,0.29364599,4.95140997,0.02324603,0.08846371
-5.76588294,5.21861629,0.08597506,0.00000000,0.30100199,5.08713540,0.02333814,0.09193936
-5.75987994,5.35129471,0.08782985,0.00000000,0.30944916,5.21493706,0.02354302,0.09591555
-5.75387694,5.47710798,0.09005283,0.00000000,0.31914807,5.33452370,0.02389008,0.10044889
-5.74787394,5.59612609,0.09270632,0.00000000,0.33024629,5.44582395,0.02440754,0.10558765
-5.74187094,5.70859671,0.09584839,0.00000000,0.34287277,5.54896555,0.02512175,0.11136965
-5.73586793,5.81491592,0.09953144,0.00000000,0.35713271,5.64425003,0.02605650,0.11782038
-5.72986493,5.91559679,0.10380091,0.00000000,0.37310312,5.73212458,0.02723237,0.12495163
-5.72386193,6.01123751,0.10869423,0.00000000,0.39082915,5.81315276,0.02866618,0.13276032
-5.71785893,6.10249057,0.11423979,0.00000000,0.41032140,5.88798542,0.03037051,0.14122799
-5.71185593,6.19003417,0.12045618,0.00000000,0.43155417,5.95733316,0.03235326,0.15032060
-5.70585293,6.27454665,0.12735149,0.00000000,0.45446464,6.02194092,0.03461730,0.15998883
-5.69984992,6.35668427,0.13492272,0.00000000,0.47895303,6.08256536,0.03716023,0.17016882
-5.69384692,6.43706240,0.14315534,0.00000000,0.50488356,6.13995489,0.03997420,0.18078325
-5.68784392,6.51623970,0.15202289,0.00000000,0.53208615,6.19483215,0.04304581,0.19174276
-5.68184092,6.59470464,0.16148668,0.00000000,0.56035879,6.24787845,0.04635612,0.20294761
-5.67583792,6.67286374,0.17149554,0.00000000,0.58947025,6.29971945,0.04988070,0.21428949
-5.66983492,6.75103059,0.18198567,0.00000000,0.61916328,6.35091139,0.05358984,0.22565344
-5.66383192,6.82941513,0.19288069,0.00000000,0.64915794,6.40192734,0.05744879,0.23691983
-5.65782891,6.90811274,0.20409168,0.00000000,0.67915519,6.45314294,0.06141811,0.24796625
-5.65182591,6.98709290,0.21551761,0.00000000,0.70884055,6.50482173,0.06545414,0.25866941
-5.64582291,7.06618789,0.22704591,0.00000000,0.73788789,6.55710008,0.06950956,0.26890690
-5.63981991,7.14508192,0.23855340,0.00000000,0.76596334,6.60997249,0.07353405,0.27855887
-5.63381691,7.22330188,0.24990760,0.00000000,0.79272945,6.66327812,0.07747505,0.28750967
-5.62781391,7.30021071,0.26096847,0.00000000,0.81784955,6.71668972,0.08127864,0.29564932
-5.62181091,7.37500506,0.27159054,0.00000000,0.84099243,6.76970639,0.08489053,0.30287506
-5.61580790,7.44671840,0.28162556,0.00000000,0.86183739,6.82165156,0.08825703,0.30909277
-5.60980490,7.51423099,0.29092550,0.00000000,0.88007976,6.87167734,0.09132628,0.31421848
-5.60380190,7.57628761,0.29934600,0.00000000,0.89543661,6.91877657,0.09404929,0.31817988
-5.59779890,7.63152361,0.30675003,0.00000000,0.90765297,6.96180285,0.09638122,0.32091777
-5.59179590,7.67849926,0.31301176,0.00000000,0.91650806,6.99949903,0.09828245,0.32238758
