energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.52318201,0.24615908,2.17518842,0.01463666,0.03398159,0.25437014,0.00000000,0.19408022,0.01242430
-5.99399700,2.49565198,0.24386107,2.14857396,0.01445095,0.03301734,0.25100759,0.00000000,0.19816299,0.01257219
-5.98799400,2.46550567,0.24116136,2.12018180,0.01418682,0.03203684,0.24717776,0.00000000,0.20149060,0.01270790
-5.98199100,2.43322399,0.23816375,2.09038132,0.01385031,0.03107038,0.24296069,0.00000000,0.20406337,0.01283335
-5.97598799,2.39920277,0.23497438,2.05943953,0.01344863,0.03014857,0.23843826,0.00000000,0.20590551,0.01295103
-5.96998499,2.36376253,0.23170113,2.02753078,0.01298995,0.02930203,0.23369408,0.00000000,0.20706687,0.01306415
-5.96398199,2.32716519,0.22845339,1.99475353,0.01248314,0.02856126,0.22881367,0.00000000,0.20762402,0.01317674
-5.95797899,2.28963632,0.22534224,1.96115268,0.01193758,0.02795645,0.22388497,0.00000000,0.20768061,0.01329377
-5.95197599,2.25139089,0.22248083,1.92674570,0.01136286,0.02751741,0.21899888,0.00000000,0.20736698,0.01342123
-5.94597299,2.21266048,0.21998474,1.89155069,0.01076861,0.02727346,0.21424988,0.00000000,0.20683875,0.01356621
-5.93996998,2.17371954,0.21797224,1.85561416,0.01016424,0.02725328,0.20973648,0.00000000,0.20627454,0.01373691
-5.93396698,2.13490852,0.21656422,1.81903641,0.00955878,0.02748473,0.20556141,0.00000000,0.20587263,0.01394260
-5.92796398,2.09665164,0.21588360,1.78199272,0.00896069,0.02799451,0.20183126,0.00000000,0.20584660,0.01419353
-5.92196098,2.05946780,0.21605398,1.74474847,0.00837775,0.02880776,0.19865573,0.00000000,0.20642009,0.01450075
-5.91595798,2.02397294,0.21719768,1.70766722,0.00781693,0.02994748,0.19614611,0.00000000,0.20782058,0.01487581
-5.90995498,1.99087343,0.21943280,1.67121068,0.00728433,0.03143381,0.19441315,0.00000000,0.21027246,0.01533048
-5.90395198,1.96095006,0.22286951,1.63593045,0.00678509,0.03328324,0.19356418,0.00000000,0.21398951,0.01587628
-5.89794897,1.93503323,0.22760564,1.60245178,0.00632340,0.03550760,0.19369972,0.00000000,0.21916695,0.01652403
-5.89194597,1.91397023,0.23372168,1.57144999,0.00590243,0.03811312,0.19490944,0.00000000,0.22597343,0.01728329
-5.88594297,1.89858638,0.24127536,1.54362101,0.00552439,0.04109934,0.19726783,0.00000000,0.23454305,0.01816182
-5.87993997,1.88964188,0.25029626,1.51964747,0.00519052,0.04445821,0.20082971,0.00000000,0.24496795,0.01916498
-5.87393697,1.88778696,0.26078059,1.50016229,0.00490112,0.04817318,0.20562578,0.00000000,0.25729164,0.02029519
-5.86793397,1.89351778,0.27268659,1.48571207,0.00465563,0.05221853,0.21165853,0.00000000,0.27150344,0.02155143
-5.86193097,1.90713582,0.28593091,1.47672207,0.00445262,0.05655894,0.21889874,0.00000000,0.28753432,0.02292882
-5.85592796,1.92871329,0.30038617,1.47346526,0.00428994,0.06114940,0.22728283,0.00000000,0.30525460,0.02441833
-5.84992496,1.95806688,0.31588021,1.47603700,0.00416473,0.06593546,0.23671136,0.00000000,0.32447342,0.02600659
-5.84392196,1.99474176,0.33219706,1.48433717,0.00407355,0.07085385,0.24704875,0.00000000,0.34494057,0.02767591
-5.83791896,2.03800723,0.34907981,1.49806088,0.00401244,0.07583358,0.25812447,0.00000000,0.36635046,0.02940444
-5.83191596,2.08686483,0.36623554,1.51669849,0.00397707,0.08079737,0.26973577,0.00000000,0.38834835,0.03116654
-5.82591296,2.14006913,0.38334206,1.53954524,0.00396282,0.08566350,0.28165184,0.00000000,0.41053886,0.03293330
-5.81990995,2.19616056,0.40005644,1.56572027,0.00396493,0.09034796,0.29361949,0.00000000,0.43249632,0.03467328
-5.81390695,2.25350927,0.41602500,1.59419427,0.00397861,0.09476680,0.30537001,0.00000000,0.45377689,0.03635335
-5.80790395,2.31036814,0.43089429,1.62382453,0.00399918,0.09883868,0.31662710,0.00000000,0.47393191,0.03793969
-5.80190095,2.36493272,0.44432282,1.65339592,0.00402218,0.10248742,0.32711552,0.00000000,0.49252201,0.03939884
-5.79589795,2.41540544,0.45599278,1.68166579,0.00404354,0.10564446,0.33657007,0.00000000,0.50913151,0.04069883
-5.78989495,2.46006115,0.46562151,1.70741087,0.00405965,0.10825113,0.34474463,0.00000000,0.52338238,0.04181026
-5.78389195,2.49731113,0.47297189,1.72947391,0.00406749,0.11026066,0.35142074,0.00000000,0.53494739,0.04270736
-5.77788894,2.52576249,0.47786149,1.74680795,0.00406473,0.11163968,0.35641534,0.00000000,0.54356165,0.04336891
-5.77188594,2.54427045,0.48016974,1.75851630,0.00404977,0.11236938,0.35958751,0.00000000,0.54903223,0.04377906
-5.76588294,2.55198112,0.47984304,1.76388637,0.00402182,0.11244603,0.36084362,0.00000000,0.55124533,0.04392793
-5.75987994,2.54836301,0.47689749,1.76241615,0.00398090,0.11188100,0.36014086,0.00000000,0.55017076,0.04381199
-5.75387694,2.53322605,0.47141904,1.75383198,0.00392785,0.11070025,0.35748898,0.00000000,0.54586349,0.04343429
-5.74787394,2.50672753,0.46356122,1.73809746,0.00386431,0.10894324,0.35295012,0.00000000,0.53846231,0.04280436
-5.74187094,2.46936504,0.45354053,1.71541291,0.00379265,0.10666148,0.34663680,0.00000000,0.52818554,0.04193792
-5.73586793,2.42195696,0.44162959,1.68620603,0.00371592,0.10391664,0.33870812,0.00000000,0.51532422,0.04085644
-5.72986493,2.36561189,0.42814865,1.65111429,0.00363772,0.10077837,0.32936456,0.00000000,0.50023293,0.03958637
-5.72386193,2.30168850,0.41345553,1.61096008,0.00356208,0.09732203,0.31884135,0.00000000,0.48331875,0.03815840
-5.71785893,2.23174800,0.39793470,1.56671995,0.00349338,0.09362630,0.30740091,0.00000000,0.46502884,0.03660643
-5.71185593,2.15750123,0.38198571,1.51948951,0.00343613,0.08977083,0.29532470,0.00000000,0.44583706,0.03496659
-5.70585293,2.08075288,0.36601164,1.47044543,0.00339487,0.08583408,0.28290464,0.00000000,0.42623037,0.03327616
-5.69984992,2.00334501,0.35040778,1.42080624,0.00337399,0.08189133,0.27043464,0.00000000,0.40669527,0.03157256
-5.69384692,1.92710198,0.33555100,1.37179347,0.00337758,0.07801300,0.25820234,0.00000000,0.38770482,0.02989231
-5.68784392,1.85377866,0.32179009,1.32459449,0.00340927,0.07426328,0.24648150,0.00000000,0.36970674,0.02827012
-5.68184092,1.78501363,0.30943737,1.28032827,0.00347212,0.07069916,0.23552512,0.00000000,0.35311263,0.02673809
-5.67583792,1.72228830,0.29876155,1.24001509,0.00356845,0.06736966,0.22555950,0.00000000,0.33828887,0.02532499
-5.66983492,1.66689318,0.28998222,1.20455092,0.00369975,0.06431557,0.21677940,0.00000000,0.32554903,0.02405570
-5.66383192,1.61990149,0.28326571,1.17468702,0.00386662,0.06156933,0.20934422,0.00000000,0.31514809,0.02295076
-5.65782891,1.58215049,0.27872260,1.15101502,0.00406868,0.05915521,0.20337539,0.00000000,0.30727830,0.02202612
-5.65182591,1.55423048,0.27640667,1.13395750,0.00430451,0.05708970,0.19895483,0.00000000,0.30206682,0.02129293
-5.64582291,1.53648099,0.27631519,1.12376407,0.00457173,0.05538201,0.19612447,0.00000000,0.29957486,0.02075752
-5.63981991,1.52899385,0.27839067,1.12051256,0.00486693,0.05403468,0.19488683,0.00000000,0.29979835,0.02042144
-5.63381691,1.53162243,0.28252377,1.12411493,0.00518580,0.05304423,0.19520642,0.00000000,0.30267003,0.02028169
-5.62781391,1.54399635,0.28855735,1.13432743,0.00552318,0.05240185,0.19701207,0.00000000,0.30806272,0.02033091
