energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,5.02725142,0.02154845,0.57954036,3.42648453,0.65094774,0.07369157,2.52651733,2.13720361,0.95012494
-5.99399700,4.79962585,0.02119688,0.56149117,3.21692166,0.62195107,0.07059497,2.40359994,2.08604596,0.91621707
-5.98799400,4.57891924,0.02110528,0.54393148,3.00892477,0.59385294,0.06760792,2.28376994,2.03569506,0.88354993
-5.98199100,4.36885884,0.02128504,0.52714468,2.80490322,0.56721649,0.06478796,2.16904035,1.98742687,0.85276182
-5.97598799,4.17304260,0.02174465,0.51140843,2.60713194,0.54259127,0.06219410,2.06135872,1.94247616,0.82447457
-5.96998499,3.99487420,0.02248944,0.49698911,2.41772364,0.52050296,0.05988610,1.96257348,1.90200373,0.79927802
-5.96398199,3.83750098,0.02352127,0.48413605,2.23860616,0.50144334,0.05792359,1.87440195,1.86706496,0.77771469
-5.95797899,3.70375591,0.02483828,0.47307576,2.07150470,0.48586100,0.05636522,1.79840073,1.83858074,0.76026515
-5.95197599,3.59610499,0.02643460,0.46400643,1.91792901,0.47415270,0.05526773,1.73593890,1.81731197,0.74733445
-5.94597299,3.51660074,0.02830015,0.45709279,1.77916498,0.46665576,0.05468493,1.68817437,1.80383831,0.73924025
-5.93996998,3.46684287,0.03042051,0.45246154,1.65627013,0.46364157,0.05466667,1.65603373,1.79854204,0.73620280
-5.93396698,3.44794664,0.03277683,0.45019759,1.55007235,0.46531030,0.05525770,1.64019585,1.80159769,0.73833731
-5.92796398,3.46051936,0.03534589,0.45034117,1.46117122,0.47178684,0.05649661,1.64107936,1.81296776,0.74564880
-5.92196098,3.50464559,0.03810019,0.45288607,1.38994112,0.48311816,0.05841462,1.65883403,1.83240477,0.75802981
-5.91595798,3.57988111,0.04100824,0.45777896,1.33653559,0.49927184,0.06103443,1.69333639,1.85945977,0.77526094
-5.90995498,3.68525593,0.04403493,0.46492009,1.30089238,0.52013597,0.06436917,1.74418934,1.89349695,0.79701438
-5.90395198,3.81928657,0.04714206,0.47416509,1.28273878,0.54552026,0.06842134,1.81072606,1.93371412,0.82286034
-5.89794897,3.97999730,0.05028895,0.48532821,1.28159723,0.57515829,0.07318190,1.89201819,1.97916845,0.85227635
-5.89194597,4.16495068,0.05343319,0.49818674,1.29679093,0.60871090,0.07862954,1.98688818,2.02880666,0.88465916
-5.88594297,4.37128686,0.05653149,0.51248654,1.32744996,0.64577058,0.08473017,2.09392604,2.08149882,0.91933907
