energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Pb_p_up,Pb_p_down,Pb_d_up,Pb_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.25458459,-2.18982297,0.94631186,-2.47035900,0.33636212,-0.42726454,0.05468199,-0.07248186,0.00069746,-0.00053422,0.01672172,-0.02780951,0.74241965,-1.42904319
-5.99399700,1.22502259,-2.15655614,0.89734533,-2.43424647,0.33266880,-0.41906048,0.05614046,-0.07138303,0.00068042,-0.00054756,0.01696335,-0.02685590,0.72134981,-1.40729386
-5.98799400,1.20203464,-2.12036195,0.85530296,-2.38887932,0.33064523,-0.41133765,0.05778479,-0.07019887,0.00066567,-0.00056267,0.01729297,-0.02592608,0.70458952,-1.38324536
-5.98199100,1.18589554,-2.08187158,0.82040187,-2.33509602,0.33041527,-0.40420290,0.05958388,-0.06896504,0.00065363,-0.00057949,0.01770885,-0.02503279,0.69234037,-1.35730229
-5.97598799,1.17679861,-2.04172254,0.79280709,-2.27386716,0.33208068,-0.39774030,0.06150346,-0.06771791,0.00064466,-0.00059790,0.01820807,-0.02418761,0.68475303,-1.32988109
-5.96998499,1.17485585,-2.00053653,0.77263328,-2.20626006,0.33571853,-0.39200823,0.06350715,-0.06649375,0.00063906,-0.00061773,0.01878656,-0.02340071,0.68192668,-1.30139535
-5.96398199,1.18009765,-1.95889832,0.75994412,-2.13340152,0.34137873,-0.38703745,0.06555758,-0.06532780,0.00063705,-0.00063877,0.01943912,-0.02268068,0.68390794,-1.27224154
-5.95797899,1.19247188,-1.91733659,0.75474928,-2.05644054,0.34908166,-0.38283015,0.06761750,-0.06425337,0.00063879,-0.00066072,0.02015949,-0.02203436,0.69068938,-1.24278598
-5.95197599,1.21184203,-1.87630775,0.75699916,-1.97651270,0.35881585,-0.37936018,0.06965071,-0.06330095,0.00064436,-0.00068327,0.02094045,-0.02146671,0.70220729,-1.21335354
-5.94597299,1.23798436,-1.83618334,0.76657772,-1.89470776,0.37053583,-0.37657437,0.07162291,-0.06249733,0.00065379,-0.00070604,0.02177377,-0.02098082,0.71833908,-1.18421875
-5.93996998,1.27058450,-1.79724173,0.78329414,-1.81204166,0.38416020,-0.37439493,0.07350242,-0.06186487,0.00066700,-0.00072863,0.02265037,-0.02057781,0.73890010,-1.15559956
-5.93396698,1.30923345,-1.75966448,0.80687377,-1.72943418,0.39957017,-0.37272287,0.07526065,-0.06142085,0.00068385,-0.00075060,0.02356028,-0.02025701,0.76364054,-1.12765420
-5.92796398,1.35342394,-1.72353739,0.83694941,-1.64769277,0.41660849,-0.37144222,0.07687239,-0.06117691,0.00070414,-0.00077152,0.02449274,-0.02001594,0.79224245,-1.10048116
-5.92196098,1.40254750,-1.68885635,0.87305361,-1.56750295,0.43507928,-0.37042511,0.07831599,-0.06113870,0.00072757,-0.00079094,0.02543625,-0.01985057,0.82431761,-1.07412228
-5.91595798,1.45589321,-1.65553741,0.91461310,-1.48942534,0.45474876,-0.36953718,0.07957329,-0.06130571,0.00075378,-0.00080844,0.02637861,-0.01975544,0.85940657,-1.04856864
-5.90995498,1.51264882,-1.62343070,0.96094601,-1.41389871,0.47534708,-0.36864349,0.08062949,-0.06167130,0.00078233,-0.00082360,0.02730710,-0.01972395,0.89697946,-1.02376909
-5.90395198,1.57190519,-1.59233740,1.01126279,-1.34124873,0.49657151,-0.36761433,0.08147288,-0.06222287,0.00081274,-0.00083607,0.02820855,-0.01974858,0.93643911,-0.99964074
-5.89794897,1.63266443,-1.56202898,1.06467135,-1.27170124,0.51809105,-0.36633104,0.08209459,-0.06294230,0.00084443,-0.00084554,0.02906957,-0.01982123,0.97712668,-0.97608098
-5.89194597,1.69385260,-1.53226764,1.12018690,-1.20539904,0.53955249,-0.36469136,0.08248828,-0.06380657,0.00087680,-0.00085177,0.02987676,-0.01993348,1.01833040,-0.95298033
-5.88594297,1.75433686,-1.50282710,1.17674666,-1.14242115,0.56058787,-0.36261430,0.08264986,-0.06478858,0.00090919,-0.00085460,0.03061695,-0.02007694,1.05929719,-0.93023556
-5.87993997,1.81294731,-1.47351280,1.23322929,-1.08280317,0.58082327,-0.36004428,0.08257737,-0.06585806,0.00094090,-0.00085393,0.03127758,-0.02024354,1.09924743,-0.90776235
-5.87393697,1.86850296,-1.44418057,1.28847871,-1.02655764,0.59988862,-0.35695433,0.08227080,-0.06698271,0.00097125,-0.00084979,0.03184698,-0.02042584,1.13739230,-0.88550701
-5.86793397,1.91984128,-1.41475292,1.34133167,-0.97369343,0.61742818,-0.35334846,0.08173219,-0.06812938,0.00099951,-0.00084224,0.03231473,-0.02061732,1.17295348,-0.86345660
-5.86193097,1.96585017,-1.38523249,1.39064805,-0.92423299,0.63311138,-0.34926287,0.08096569,-0.06926530,0.00102501,-0.00083150,0.03267208,-0.02081259,1.20518433,-0.84164723
-5.85592796,2.00550119,-1.35571183,1.43534286,-0.87822701,0.64664344,-0.34476615,0.07997777,-0.07035936,0.00104709,-0.00081781,0.03291222,-0.02100764,1.23339183,-0.82016994
-5.84992496,2.03788253,-1.32637932,1.47441856,-0.83576554,0.65777527,-0.33995834,0.07877751,-0.07138326,0.00106516,-0.00080155,0.03303060,-0.02119998,1.25695826,-0.79917408
-5.84392196,2.06223018,-1.29752092,1.50699629,-0.79698555,0.66631222,-0.33496902,0.07737690,-0.07231264,0.00107870,-0.00078313,0.03302518,-0.02138871,1.27536165,-0.77886799
-5.83791896,2.07795555,-1.26951753,1.53234459,-0.76207439,0.67212105,-0.32995423,0.07579115,-0.07312801,0.00108729,-0.00076306,0.03289662,-0.02157460,1.28819393,-0.75951690
-5.83191596,2.08466826,-1.24283805,1.54990428,-0.73126934,0.67513487,-0.32509249,0.07403897,-0.07381546,0.00109060,-0.00074187,0.03264825,-0.02175998,1.29517581,-0.74143810
-5.82591296,2.08219261,-1.21802820,1.55930823,-0.70485314,0.67535560,-0.32057994,0.07214274,-0.07436717,0.00108844,-0.00072016,0.03228612,-0.02194867,1.29616761,-0.72499347
-5.81990995,2.07057681,-1.19569539,1.56039498,-0.68314592,0.67285381,-0.31662464,0.07012865,-0.07478164,0.00108074,-0.00069855,0.03181880,-0.02214575,1.29117542,-0.71057945
-5.81390695,2.05009428,-1.17648991,1.55321563,-0.66649373,0.66776590,-0.31344014,0.06802661,-0.07506352,0.00106757,-0.00067766,0.03125715,-0.02235730,1.28035203,-0.69861491
-5.80790395,2.02123686,-1.16108293,1.53803339,-0.65525413,0.66028867,-0.31123857,0.06587009,-0.07522330,0.00104913,-0.00065812,0.03061389,-0.02259002,1.26399275,-0.68952698
-5.80190095,1.98469996,-1.15014199,1.51531594,-0.64977942,0.65067154,-0.31022332,0.06369576,-0.07527657,0.00102574,-0.00064053,0.02990323,-0.02285087,1.24252596,-0.68373535
-5.79589795,1.94136057,-1.14430444,1.48572079,-0.65039808,0.63920687,-0.31058139,0.06154304,-0.07524311,0.00099786,-0.00062547,0.02914029,-0.02314662,1.21649909,-0.68163548
-5.78989495,1.89224881,-1.14414995,1.45007427,-0.65739497,0.62621872,-0.31247591,0.05945341,-0.07514570,0.00096604,-0.00061347,0.02834058,-0.02348333,1.18656047,-0.68358121
