energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,0.13531617,0.08769697,0.05339568,0.08022264,0.00000877,0.00004222,0.01569151
-5.99399700,0.14541340,0.09430675,0.05837896,0.08779011,0.00000698,0.00004626,0.01473804
-5.98799400,0.15592923,0.10117938,0.06340556,0.09541247,0.00000553,0.00005032,0.01409255
-5.98199100,0.16663480,0.10816742,0.06839945,0.10297646,0.00000435,0.00005434,0.01369829
-5.97598799,0.17729494,0.11511909,0.07327982,0.11036140,0.00000341,0.00005827,0.01350271
-5.96998499,0.18767280,0.12188131,0.07796301,0.11744210,0.00000266,0.00006203,0.01345771
-5.96398199,0.19753499,0.12830304,0.08236483,0.12409225,0.00000209,0.00006557,0.01351983
-5.95797899,0.20665712,0.13423879,0.08640297,0.13018808,0.00000165,0.00006882,0.01365027
-5.95197599,0.21482944,0.13955232,0.08999958,0.13561219,0.00000134,0.00007172,0.01381494
-5.94597299,0.22186247,0.14412021,0.09308384,0.14025735,0.00000114,0.00007422,0.01398440
-5.93996998,0.22759237,0.14783533,0.09559445,0.14403020,0.00000103,0.00007627,0.01413379
-5.93396698,0.23188583,0.15060990,0.09748191,0.14685455,0.00000103,0.00007785,0.01424274
-5.92796398,0.23464430,0.15237819,0.09871054,0.14867434,0.00000113,0.00007891,0.01429521
-5.92196098,0.23580729,0.15309847,0.09926012,0.14945590,0.00000134,0.00007947,0.01427938
-5.91595798,0.23535469,0.15275445,0.09912711,0.14918959,0.00000169,0.00007952,0.01418739
-5.90995498,0.23330802,0.15135583,0.09832539,0.14789071,0.00000220,0.00007910,0.01401516
-5.90395198,0.22973049,0.14893814,0.09688659,0.14559962,0.00000292,0.00007824,0.01376215
-5.89794897,0.22472602,0.14556183,0.09485985,0.14238112,0.00000391,0.00007700,0.01343100
-5.89194597,0.21843714,0.14131062,0.09231126,0.13832314,0.00000522,0.00007547,0.01302726
-5.88594297,0.21104212,0.13628930,0.08932289,0.13353485,0.00000695,0.00007374,0.01255904
-5.87993997,0.20275132,0.13062092,0.08599148,0.12814423,0.00000922,0.00007194,0.01203661
-5.87393697,0.19380296,0.12444377,0.08242701,0.12229531,0.00001214,0.00007020,0.01147208
-5.86793397,0.18445875,0.11790801,0.07875103,0.11614524,0.00001589,0.00006867,0.01087895
-5.86193097,0.17499920,0.11117229,0.07509499,0.10986118,0.00002064,0.00006754,0.01027183
-5.85592796,0.16571912,0.10440047,0.07159858,0.10361727,0.00002664,0.00006699,0.00966602
-5.84992496,0.15692332,0.09775842,0.06840808,0.09759180,0.00003413,0.00006725,0.00907724
-5.84392196,0.14892245,0.09141120,0.06567479,0.09196449,0.00004342,0.00006855,0.00852132
-5.83791896,0.14202932,0.08552046,0.06355351,0.08691412,0.00005483,0.00007113,0.00801396
-5.83191596,0.13655537,0.08024226,0.06220107,0.08261627,0.00006876,0.00007525,0.00757050
-5.82591296,0.13280737,0.07572517,0.06177478,0.07924143,0.00008560,0.00008121,0.00720572
-5.81990995,0.13108421,0.07210869,0.06243080,0.07695318,0.00010580,0.00008928,0.00693371
-5.81390695,0.13167346,0.06952180,0.06432227,0.07590638,0.00012982,0.00009977,0.00676766
-5.80790395,0.13484782,0.06808173,0.06759720,0.07624547,0.00015816,0.00011297,0.00671975
-5.80190095,0.14086089,0.06789274,0.07239590,0.07810245,0.00019131,0.00012919,0.00680100
-5.79589795,0.14994248,0.06904475,0.07884802,0.08159479,0.00022973,0.00014869,0.00702107
-5.78989495,0.16229310,0.07161196,0.08706902,0.08682294,0.00027390,0.00017175,0.00738813
-5.78389195,0.17807774,0.07565119,0.09715628,0.09386751,0.00032421,0.00019859,0.00790860
-5.77788894,0.19741889,0.08120002,0.10918460,0.10278616,0.00038101,0.00022941,0.00858695
-5.77188594,0.22038906,0.08827481,0.12320156,0.11361020,0.00044454,0.00026432,0.00942540
-5.76588294,0.24700292,0.09686849,0.13922252,0.12634100,0.00051494,0.00030340,0.01042372
-5.75987994,0.27720956,0.10694837,0.15722580,0.14094645,0.00059220,0.00034663,0.01157890
