energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,9.44575365,0.05980934,0.05226137,0.34692098,0.25267903,0.04944211,1.12060725,0.38866792,6.68502910
-5.99399700,9.16065879,0.06317183,0.05432093,0.36289129,0.26196734,0.05167588,1.16324261,0.40536325,6.32780211
-5.98799400,8.91174501,0.06682728,0.05642330,0.37926531,0.27121235,0.05387402,1.20628323,0.42287089,6.00379198
-5.98199100,8.69757678,0.07077302,0.05854880,0.39584134,0.28026028,0.05600216,1.24916789,0.44103454,5.71269897
-5.97598799,8.51583464,0.07499861,0.06067374,0.41239436,0.28894808,0.05802537,1.29128870,0.45967179,5.45349369
-5.96998499,8.36342026,0.07948560,0.06277071,0.42868198,0.29710718,0.05990889,1.33200629,0.47857656,5.22448900
-5.96398199,8.23658845,0.08420754,0.06480915,0.44445156,0.30456790,0.06161884,1.37066824,0.49752277,5.02343065
-5.95797899,8.13110051,0.08913032,0.06675613,0.45944849,0.31116436,0.06312316,1.40663023,0.51626918,4.84760237
-5.95197599,8.04239260,0.09421276,0.06857731,0.47342495,0.31673986,0.06439245,1.43927883,0.53456524,4.69394110
-5.94597299,7.96575257,0.09940751,0.07023806,0.48614907,0.32115243,0.06540090,1.46805518,0.55215765,4.55915782
-5.93996998,7.89649801,0.10466209,0.07170479,0.49741378,0.32428021,0.06612727,1.49247825,0.56879748,4.43985950
-5.93396698,7.83014869,0.10992025,0.07294620,0.50704514,0.32602667,0.06655567,1.51216664,0.58424751,4.33266766
-5.92796398,7.76258664,0.11512336,0.07393467,0.51490954,0.32632518,0.06667643,1.52685765,0.59828939,4.23432963
-5.92196098,7.69019788,0.12021193,0.07464758,0.52091958,0.32514282,0.06648668,1.53642274,0.61073043,4.14181879
-5.91595798,7.60999064,0.12512716,0.07506842,0.52503820,0.32248327,0.06599091,1.54087836,0.62140964,4.05242068
-5.90995498,7.51968588,0.12981249,0.07518786,0.52728090,0.31838848,0.06520128,1.54039153,0.63020277,3.96380278
-5.90395198,7.41777747,0.13421502,0.07500452,0.52771599,0.31293923,0.06413774,1.53527982,0.63702615,3.87406599
-5.89794897,7.30356062,0.13828689,0.07452552,0.52646269,0.30625430,0.06282795,1.52600545,0.64183922,3.78177717
-5.89194597,7.17712837,0.14198649,0.07376665,0.52368742,0.29848852,0.06130698,1.51316395,0.64464559,3.68598256
-5.88594297,7.03933787,0.14527944,0.07275240,0.51959823,0.28982948,0.05961680,1.49746752,0.64549277,3.58620274
-5.87993997,6.89174884,0.14813949,0.07151548,0.51443777,0.28049330,0.05780556,1.47972407,0.64447043,3.48241047
-5.87393697,6.73653813,0.15054908,0.07009623,0.50847508,0.27071948,0.05592672,1.46081269,0.64170754,3.37499350
-5.86793397,6.57639488,0.15249978,0.06854161,0.50199665,0.26076500,0.05403796,1.44165671,0.63736834,3.26470469
-5.86193097,6.41440141,0.15399244,0.06690402,0.49529704,0.25089804,0.05220000,1.42319539,0.63164750,3.15260229
-5.85592796,6.25390528,0.15503717,0.06523996,0.48866947,0.24139134,0.05047533,1.40635559,0.62476459,3.03998333
-5.84992496,6.09838790,0.15565302,0.06360840,0.48239690,0.23251570,0.04892684,1.39202427,0.61695808,2.92831307
-5.84392196,5.95133468,0.15586752,0.06206925,0.47674375,0.22453348,0.04761634,1.38102310,0.60847915,2.81915358
-5.83791896,5.81611142,0.15571586,0.06068162,0.47194865,0.21769266,0.04660323,1.37408584,0.59958533,2.71409379
-5.83191596,5.69585071,0.15524003,0.05950216,0.46821849,0.21222128,0.04594294,1.37183919,0.59053435,2.61468361
-5.82591296,5.59335152,0.15448756,0.05858347,0.46572385,0.20832268,0.04568565,1.37478769,0.58157814,2.52237390
-5.81990995,5.51099425,0.15351024,0.05797258,0.46459596,0.20617134,0.04587484,1.38330282,0.57295721,2.43846382
-5.81390695,5.45067280,0.15236254,0.05770959,0.46492533,0.20590965,0.04654610,1.39761637,0.56489542,2.36405657
-5.80790395,5.41374434,0.15109997,0.05782649,0.46676179,0.20764549,0.04772596,1.41781806,0.55759529,2.30002429
-5.80190095,5.40099698,0.14977736,0.05834622,0.47011618,0.21145057,0.04943089,1.44385720,0.55123388,2.24698228
-5.79589795,5.41263500,0.14844707,0.05928189,0.47496334,0.21735973,0.05166644,1.47554790,0.54595931,2.20527263
