energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.65546956,0.00048479,0.08818884,0.06217176,0.00505999,0.33502974,0.28632528,0.15918922
-5.99399700,0.65538110,0.00047132,0.08766255,0.05888962,0.00561074,0.33730922,0.29329289,0.15739229
-5.98799400,0.66302226,0.00046610,0.08825050,0.05637705,0.00623465,0.34350636,0.30290512,0.15756444
-5.98199100,0.67852449,0.00046981,0.08997692,0.05460767,0.00693044,0.35368470,0.31499769,0.15977569
-5.97598799,0.70190977,0.00048314,0.09284815,0.05354860,0.00769589,0.36786043,0.32936217,0.16406438
-5.96998499,0.73309558,0.00050678,0.09685267,0.05316119,0.00852784,0.38600578,0.34575153,0.17043756
-5.96398199,0.77190207,0.00054141,0.10196155,0.05340197,0.00942207,0.40805337,0.36388697,0.17887204
-5.95797899,0.81806092,0.00058772,0.10812910,0.05422376,0.01037336,0.43390113,0.38346574,0.18931588
-5.95197599,0.87122525,0.00064638,0.11529389,0.05557698,0.01137551,0.46341727,0.40416971,0.20169038
-5.94597299,0.93097998,0.00071804,0.12337992,0.05741095,0.01242139,0.49644515,0.42567428,0.21589228
-5.93996998,0.99685212,0.00080332,0.13229811,0.05967526,0.01350307,0.53280750,0.44765734,0.23179614
-5.93396698,1.06832022,0.00090279,0.14194785,0.06232112,0.01461198,0.57230972,0.46980772,0.24925685
-5.92796398,1.14482285,0.00101693,0.15221873,0.06530264,0.01573899,0.61474204,0.49183302,0.26811202
-5.92196098,1.22576536,0.00114616,0.16299244,0.06857796,0.01687469,0.65988027,0.51346614,0.28818438
-5.91595798,1.31052508,0.00129073,0.17414463,0.07211023,0.01800947,0.70748513,0.53447051,0.30928395
-5.90995498,1.39845450,0.00145076,0.18554692,0.07586840,0.01913376,0.75730027,0.55464360,0.33121002
-5.90395198,1.48888285,0.00162616,0.19706891,0.07982779,0.02023815,0.80904898,0.57381873,0.35375301
-5.89794897,1.58111617,0.00181663,0.20858017,0.08397038,0.02131359,0.86243006,0.59186499,0.37669605
-5.89194597,1.67443639,0.00202162,0.21995223,0.08828490,0.02235147,0.91711324,0.60868564,0.39981650
-5.88594297,1.76809997,0.00224030,0.23106053,0.09276663,0.02334376,0.97273461,0.62421487,0.42288735
-5.87993997,1.86133687,0.00247159,0.24178637,0.09741695,0.02428305,1.02889273,0.63841345,0.44567865
-5.87393697,1.95335056,0.00271410,0.25201867,0.10224272,0.02516265,1.08514604,0.65126365,0.46795906
-5.86793397,2.04331990,0.00296619,0.26165584,0.10725542,0.02597658,1.14101212,0.66276366,0.48949765
-5.86193097,2.13040357,0.00322597,0.27060736,0.11247013,0.02671963,1.19596946,0.67292219,0.51006596
-5.85592796,2.21374763,0.00349135,0.27879540,0.11790436,0.02738734,1.24946204,0.68175361,0.52944055
-5.84992496,2.29249664,0.00376008,0.28615627,0.12357683,0.02797606,1.30090712,0.68927394,0.54740593
-5.84392196,2.36580840,0.00402985,0.29264166,0.12950616,0.02848291,1.34970623,0.69549814,0.56375802
-5.83791896,2.43287223,0.00429834,0.29821973,0.13570952,0.02890583,1.39525920,0.70043880,0.57830803
-5.83191596,2.49293030,0.00456332,0.30287600,0.14220133,0.02924366,1.43698098,0.70410641,0.59088670
-5.82591296,2.54530111,0.00482277,0.30661386,0.14899198,0.02949612,1.47432033,0.70651108,0.60134877
-5.81990995,2.58940427,0.00507498,0.30945484,0.15608664,0.02966395,1.50677999,0.70766562,0.60957747
-5.81390695,2.62478511,0.00531863,0.31143847,0.16348412,0.02974893,1.53393690,0.70758965,0.61548878
-5.80790395,2.65113783,0.00555293,0.31262171,0.17117598,0.02975398,1.55546170,0.70631438,0.61903536
-5.80190095,2.66832557,0.00577771,0.31307791,0.17914563,0.02968324,1.57113622,0.70388764,0.62020961
-5.79589795,2.67639617,0.00599349,0.31289536,0.18736776,0.02954206,1.58086794,0.70037864,0.61904591
-5.78989495,2.67559214,0.00620156,0.31217529,0.19580790,0.02933709,1.58470042,0.69588200,0.61562162
-5.78389195,2.66635403,0.00640402,0.31102947,0.20442225,0.02907618,1.58281895,0.69052076,0.61005668
-5.77788894,2.64931634,0.00660383,0.30957740,0.21315773,0.02876839,1.57555075,0.68444782,0.60251189
-5.77188594,2.62529596,0.00680483,0.30794315,0.22195239,0.02842380,1.56335970,0.67784573,0.59318556
-5.76588294,2.59527301,0.00701167,0.30625198,0.23073600,0.02805338,1.54683540,0.67092469,0.58230881
-5.75987994,2.56036497,0.00722982,0.30462685,0.23943112,0.02766872,1.52667704,0.66391869,0.57013960
-5.75387694,2.52179494,0.00746550,0.30318491,0.24795431,0.02728180,1.50367284,0.65708005,0.55695567
-5.74787394,2.48085548,0.00772553,0.30203420,0.25621778,0.02690462,1.47867574,0.65067259,0.54304672
-5.74187094,2.43886961,0.00801729,0.30127057,0.26413122,0.02654891,1.45257670,0.64496372,0.52870619
-5.73586793,2.39715082,0.00834851,0.30097506,0.27160395,0.02622575,1.42627665,0.64021594,0.51422293
-5.72986493,2.35696396,0.00872715,0.30121187,0.27854721,0.02594524,1.40065855,0.63667833,0.49987329
-5.72386193,2.31948861,0.00916114,0.30202683,0.28487659,0.02571615,1.37656072,0.63457821,0.48591382
-5.71785893,2.28578685,0.00965825,0.30344672,0.29051448,0.02554571,1.35475264,0.63411381,0.47257497
-5.71185593,2.25677650,0.01022578,0.30547919,0.29539252,0.02543931,1.33591424,0.63544798,0.46005614
-5.70585293,2.23321093,0.01087033,0.30811350,0.29945388,0.02540042,1.32061938,0.63870355,0.44852209
-5.69984992,2.21566605,0.01159758,0.31132184,0.30265531,0.02543045,1.30932416,0.64396029,0.43810094
-5.69384692,2.20453475,0.01241195,0.31506132,0.30496892,0.02552882,1.30236018,0.65125380,0.42888371
-5.68784392,2.20002835,0.01331638,0.31927643,0.30638353,0.02569301,1.29993275,0.66057616,0.42092537
-5.68184092,2.20218463,0.01431207,0.32390185,0.30690560,0.02591875,1.30212377,0.67187821,0.41424716
-5.67583792,2.21088155,0.01539823,0.32886542,0.30655962,0.02620026,1.30889865,0.68507333,0.40884006
-5.66983492,2.22585516,0.01657191,0.33409126,0.30538803,0.02653051,1.32011673,0.70004233,0.40466899
-5.66383192,2.24672073,0.01782780,0.33950265,0.30345055,0.02690155,1.33554403,0.71663906,0.40167759
-5.65782891,2.27299532,0.01915817,0.34502471,0.30082297,0.02730487,1.35486778,0.73469642,0.39979311
-5.65182591,2.30412051,0.02055281,0.35058664,0.29759545,0.02773172,1.37771142,0.75403221,0.39893121
-5.64582291,2.33948387,0.02199910,0.35612345,0.29387035,0.02817343,1.40364944,0.77445462,0.39900031
-5.63981991,2.37843808,0.02348212,0.36157704,0.28975960,0.02862165,1.43222107,0.79576689,0.39990523
-5.63381691,2.42031671,0.02498487,0.36689670,0.28538181,0.02906861,1.46294239,0.81777083,0.40155009
-5.62781391,2.46444615,0.02648855,0.37203888,0.28085895,0.02950721,1.49531607,0.84026919,0.40384016
-5.62181091,2.51015325,0.02797298,0.37696635,0.27631300,0.02993115,1.52883888,0.86306663,0.40668275
-5.61580790,2.55676899,0.02941701,0.38164686,0.27186236,0.03033490,1.56300654,0.88596940,0.40998716
-5.60980490,2.60362831,0.03079903,0.38605129,0.26761837,0.03071363,1.59731633,0.90878385,0.41366381
-5.60380190,2.65006692,0.03209756,0.39015151,0.26368177,0.03106308,1.63126774,0.93131402,0.41762268
-5.59779890,2.69541611,0.03329173,0.39391818,0.26013956,0.03137940,1.66436156,0.95335858,0.42177134
-5.59179590,2.73899642,0.03436194,0.39731844,0.25706191,0.03165896,1.69609821,0.97470753,0.42601283
-5.58579290,2.78011163,0.03529030,0.40031399,0.25449973,0.03189812,1.72597590,0.99513909,0.43024359
-5.57978989,2.81804410,0.03606119,0.40285943,0.25248249,0.03209304,1.75348928,1.01441718,0.43435181
-5.57378689,2.85205256,0.03666162,0.40490122,0.25101686,0.03223956,1.77812932,1.03228988,0.43821635
-5.56778389,2.88137343,0.03708160,0.40637728,0.25008588,0.03233306,1.79938498,1.04848932,0.44170655
-5.56178089,2.90522615,0.03731434,0.40721732,0.24964892,0.03236843,1.81674702,1.06273304,0.44468287
-5.55577789,2.92282304,0.03735642,0.40734404,0.24964245,0.03234010,1.82971414,1.07472728,0.44699870
-5.54977489,2.93338365,0.03720777,0.40667500,0.24998162,0.03224216,1.83780169,1.08417201,0.44850310
-5.54377189,2.93615321,0.03687157,0.40512526,0.25056262,0.03206849,1.84055244,1.09076768,0.44904449
-5.53776888,2.93042455,0.03635414,0.40261065,0.25126577,0.03181309,1.83754932,1.09422360,0.44847520
-5.53176588,2.91556252,0.03566458,0.39905137,0.25195938,0.03147028,1.82842933,1.09426734,0.44665650
-5.52576288,2.89102949,0.03481452,0.39437599,0.25250409,0.03103508,1.81289800,1.09065500,0.44346400
-5.51975988,2.85641067,0.03381765,0.38852530,0.25275764,0.03050352,1.79074344,1.08318163,0.43879303
-5.51375688,2.81143769,0.03268939,0.38145616,0.25257989,0.02987298,1.76184935,1.07169133,0.43256367
-5.50775388,2.75600885,0.03144636,0.37314478,0.25183790,0.02914245,1.72620577,1.05608643,0.42472529
-5.50175088,2.69020492,0.03010601,0.36358949,0.25041084,0.02831277,1.68391717,1.03633517,0.41526004
-5.49574787,2.61429913,0.02868621,0.35281265,0.24819450,0.02738681,1.63520691,1.01247747,0.40418541
-5.48974487,2.52876073,0.02720481,0.34086169,0.24510535,0.02636952,1.58041784,0.98462830,0.39155541
-5.48374187,2.43425143,0.02567937,0.32780917,0.24108373,0.02526795,1.52000867,0.95297848,0.37746044
-5.47773887,2.33161490,0.02412682,0.31375181,0.23609633,0.02409111,1.45454613,0.91779272,0.36202581
-5.47173587,2.22185945,0.02256321,0.29880850,0.23013755,0.02284982,1.38469322,0.87940489,0.34540901
-5.46573287,2.10613470,0.02100354,0.28311751,0.22323002,0.02155642,1.31119378,0.83821084,0.32779573
-5.45972986,1.98570322,0.01946159,0.26683288,0.21542392,0.02022445,1.23485437,0.79465883,0.30939512
-5.45372686,1.86190845,0.01794983,0.25012027,0.20679552,0.01886826,1.15652394,0.74923817,0.29043417
-5.44772386,1.73614035,0.01647935,0.23315236,0.19744469,0.01750263,1.07707233,0.70246662,0.27115181
-5.44172086,1.60980031,0.01505984,0.21610419,0.18749180,0.01614239,0.99736858,0.65487684,0.25179286
-5.43571786,1.48426691,0.01369958,0.19914847,0.17707393,0.01480196,0.91825984,0.60700284,0.23260209
-5.42971486,1.36086386,0.01240546,0.18245117,0.16634077,0.01349505,0.84055190,0.55936677,0.21381871
-5.42371186,1.24083140,0.01118307,0.16616755,0.15545033,0.01223433,0.76499199,0.51246660,0.19567150
-5.41770885,1.12530229,0.01003671,0.15043875,0.14456453,0.01103116,0.69225446,0.46676532,0.17837467
-5.41170585,1.01528284,0.00896949,0.13538911,0.13384510,0.00989541,0.62292978,0.42268187,0.16212461
-5.40570285,0.91163962,0.00798342,0.12112426,0.12344968,0.00883535,0.55751711,0.38058410,0.14709755
-5.39969985,0.81509190,0.00707947,0.10772999,0.11352842,0.00785757,0.49642047,0.34078399,0.13344815
-5.39369685,0.72620946,0.00625773,0.09527191,0.10422111,0.00696698,0.43994838,0.30353511,0.12130884
-5.38769385,0.64541563,0.00551743,0.08379588,0.09565482,0.00616688,0.38831671,0.26903224,0.11078997
-5.38169085,0.57299461,0.00485712,0.07332911,0.08794217,0.00545908,0.34165435,0.23741301,0.10198048
-5.37568784,0.50910252,0.00427471,0.06388177,0.08118018,0.00484401,0.30001119,0.20876137,0.09494901
-5.36968484,0.45378125,0.00376762,0.05544919,0.07544963,0.00432091,0.26336787,0.18311259,0.08974523
-5.36368184,0.40697412,0.00333283,0.04801424,0.07081484,0.00388797,0.23164687,0.16045933,0.08640140
-5.35767884,0.36854269,0.00296702,0.04155008,0.06732391,0.00354254,0.20472419,0.14075873,0.08493373
-5.35167584,0.33828390,0.00266663,0.03602294,0.06500916,0.00328130,0.18244133,0.12393993,0.08534383
-5.34567284,0.31594675,0.00242796,0.03139489,0.06388790,0.00310040,0.16461706,0.10991184,0.08761979
-5.33966983,0.30124824,0.00224722,0.02762655,0.06396326,0.00299563,0.15105860,0.09857093,0.09173719
-5.33366683,0.29388804,0.00212065,0.02467966,0.06522519,0.00296255,0.14157201,0.08980868,0.09765988
-5.32766383,0.29356168,0.00204453,0.02251935,0.06765144,0.00299656,0.13597150,0.08351861,0.10534060
