energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.67134695,0.69446446,1.17037301,0.32463941,0.11060290,0.01916329,0.04645923,0.13518703,0.00000000
-5.99399700,1.58920841,0.65650578,1.11304347,0.31053055,0.10535160,0.01755379,0.04530728,0.12845677,0.00000000
-5.98799400,1.51622816,0.62203837,1.06237944,0.29784230,0.10069989,0.01598209,0.04449000,0.12256914,0.00000000
-5.98199100,1.45319010,0.59160256,1.01873892,0.28685287,0.09671798,0.01446611,0.04404720,0.11766575,0.00000000
-5.97598799,1.40072528,0.56566564,0.98239919,0.27779547,0.09346184,0.01302119,0.04401071,0.11387146,0.00000000
-5.96998499,1.35928882,0.54460973,0.95354191,0.27085283,0.09097161,0.01165978,0.04440344,0.11129152,0.00000000
-5.96398199,1.32914083,0.52872175,0.93223984,0.26615283,0.08927035,0.01039146,0.04523846,0.11000908,0.00000000
-5.95797899,1.31033166,0.51818559,0.91844599,0.26376569,0.08836334,0.00922289,0.04651839,0.11008309,0.00000000
-5.95197599,1.30269231,0.51307659,0.91198555,0.26370241,0.08823769,0.00815794,0.04823499,0.11154658,0.00000000
-5.94597299,1.30583030,0.51335850,0.91255123,0.26591476,0.08886250,0.00719796,0.05036907,0.11440535,0.00000000
-5.93996998,1.31913143,0.51888282,0.91970238,0.27029662,0.09018947,0.00634193,0.05289060,0.11863714,0.00000000
-5.93396698,1.34176769,0.52939063,0.93286809,0.27668671,0.09215395,0.00558686,0.05575913,0.12419130,0.00000000
-5.92796398,1.37271121,0.54451694,0.95135458,0.28487271,0.09467645,0.00492810,0.05892452,0.13098905,0.00000000
-5.92196098,1.41075441,0.56379746,0.97435677,0.29459661,0.09766451,0.00435966,0.06232792,0.13892424,0.00000000
-5.91595798,1.45453586,0.58667791,1.00097398,0.30556122,0.10101504,0.00387461,0.06590304,0.14786491,0.00000000
-5.90995498,1.50257153,0.61252561,1.03022944,0.31743778,0.10461690,0.00346537,0.06957764,0.15765547,0.00000000
-5.90395198,1.55329055,0.64064338,1.06109317,0.32987438,0.10835377,0.00312405,0.07327529,0.16811959,0.00000000
-5.89794897,1.60507492,0.67028550,1.09250752,0.34250514,0.11210719,0.00284270,0.07691728,0.17906391,0.00000000
-5.89194597,1.65630165,0.70067542,1.12341482,0.35495980,0.11575976,0.00261358,0.08042461,0.19028239,0.00000000
-5.88594297,1.70538646,0.73102489,1.15278587,0.36687359,0.11919825,0.00242936,0.08372018,0.20156129,0.00000000
-5.87993997,1.75082740,0.76055404,1.17964873,0.37789695,0.12231676,0.00228324,0.08673081,0.21268475,0.00000000
-5.87393697,1.79124699,0.78851184,1.20311632,0.38770497,0.12501955,0.00216912,0.08938939,0.22344067,0.00000000
-5.86793397,1.82543139,0.81419636,1.22241216,0.39600612,0.12722367,0.00208168,0.09163668,0.23362682,0.00000000
-5.86193097,1.85236507,0.83697408,1.23689295,0.40255007,0.12886122,0.00201640,0.09342311,0.24305697,0.00000000
-5.85592796,1.87125965,0.85629764,1.24606722,0.40713418,0.12988107,0.00196960,0.09471011,0.25156671,0.00000000
-5.84992496,1.88157579,0.87172123,1.24960924,0.40960868,0.13025015,0.00193840,0.09547127,0.25901869,0.00000000
-5.84392196,1.88303708,0.88291303,1.24736755,0.40988003,0.12995412,0.00192072,0.09569298,0.26530723,0.00000000
-5.83791896,1.87563545,0.88966419,1.23936778,0.40791259,0.12899743,0.00191522,0.09537480,0.27036180,0.00000000
-5.83191596,1.85962770,0.89189378,1.22580954,0.40372839,0.12740282,0.00192118,0.09452924,0.27414938,0.00000000
-5.82591296,1.83552327,0.88964959,1.20705761,0.39740510,0.12521020,0.00193845,0.09318125,0.27667538,0.00000000
-5.81990995,1.80406378,0.88310450,1.18362760,0.38907219,0.12247507,0.00196739,0.09136727,0.27798320,0.00000000
-5.81390695,1.76619504,0.87254869,1.15616684,0.37890549,0.11926643,0.00200868,0.08913386,0.27815229,0.00000000
-5.80790395,1.72303276,0.85837782,1.12543123,0.36712051,0.11566436,0.00206330,0.08653611,0.27729480,0.00000000
-5.80190095,1.67582328,0.84107777,1.09225893,0.35396448,0.11175733,0.00213241,0.08363576,0.27555096,0.00000000
-5.79589795,1.62590110,0.82120648,1.05754209,0.33970782,0.10763936,0.00221724,0.08049915,0.27308333,0.00000000
-5.78989495,1.57464470,0.79937380,1.02219775,0.32463514,0.10340721,0.00231904,0.07719516,0.27007030,0.00000000
-5.78389195,1.52343267,0.77622001,0.98713893,0.30903615,0.09915755,0.00243901,0.07379309,0.26669900,0.00000000
-5.77788894,1.47360172,0.75239421,0.95324726,0.29319706,0.09498449,0.00257823,0.07036071,0.26315805,0.00000000
-5.77188594,1.42640824,0.72853317,0.92134793,0.27739244,0.09097727,0.00273764,0.06696240,0.25963047,0.00000000
-5.76588294,1.38299481,0.70524187,0.89218799,0.26187823,0.08721838,0.00291804,0.06365765,0.25628706,0.00000000
-5.75987994,1.34436267,0.68307615,0.86641866,0.24688571,0.08378218,0.00312010,0.06049977,0.25328058,0.00000000
-5.75387694,1.31135116,0.66252837,0.84458203,0.23261703,0.08073382,0.00334435,0.05753495,0.25074104,0.00000000
-5.74787394,1.28462430,0.64401643,0.82710256,0.21924202,0.07812880,0.00359127,0.05480172,0.24877214,0.00000000
-5.74187094,1.26466477,0.62787641,0.81428327,0.20689654,0.07601285,0.00386133,0.05233068,0.24744920,0.00000000
-5.73586793,1.25177499,0.61435899,0.80630646,0.19568223,0.07442228,0.00415503,0.05014469,0.24681844,0.00000000
-5.72986493,1.24608454,0.60362945,0.80323864,0.18566755,0.07338462,0.00447301,0.04825919,0.24689768,0.00000000
-5.72386193,1.24756320,0.59577103,0.80503888,0.17688993,0.07291954,0.00481610,0.04668295,0.24767830,0.00000000
-5.71785893,1.25603832,0.59079112,0.81157012,0.16935886,0.07303988,0.00518538,0.04541886,0.24912826,0.00000000
-5.71185593,1.27121538,0.58862974,0.82261242,0.16305959,0.07375277,0.00558221,0.04446493,0.25119607,0.00000000
-5.70585293,1.29270022,0.58916974,0.83787747,0.15795731,0.07506068,0.00600826,0.04381528,0.25381517,0.00000000
-5.69984992,1.32002174,0.59224781,0.85702344,0.15400135,0.07696232,0.00646551,0.04346118,0.25690876,0.00000000
-5.69384692,1.35265372,0.59766587,0.87966940,0.15112937,0.07945331,0.00695619,0.04339189,0.26039452,0.00000000
-5.68784392,1.39003467,0.60520197,0.90540865,0.14927114,0.08252655,0.00748272,0.04359547,0.26418903,0.00000000
