energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.39719383,0.10884953,0.00000000,0.79271105,0.50008991,0.10523813,0.97048981
-5.99399700,2.47439188,0.11491251,0.00000000,0.81489509,0.51225101,0.10881249,0.98668209
-5.98799400,2.56015444,0.12092622,0.00000000,0.84140549,0.52712325,0.11288278,1.00853473
-5.98199100,2.65318015,0.12678517,0.00000000,0.87189551,0.54450835,0.11741174,1.03567139
-5.97598799,2.75206402,0.13238273,0.00000000,0.90598212,0.56417099,0.12235404,1.06765645
-5.96998499,2.85533325,0.13761435,0.00000000,0.94326007,0.58584292,0.12765731,1.10400511
-5.96398199,2.96148314,0.14238074,0.00000000,0.98331585,0.60922714,0.13326321,1.14419357
-5.95797899,3.06901102,0.14659094,0.00000000,1.02574091,0.63400201,0.13910839,1.18766892
-5.95197599,3.17644713,0.15016510,0.00000000,1.07014321,0.65982527,0.14512548,1.23385824
-5.94597299,3.28238123,0.15303681,0.00000000,1.11615690,0.68633788,0.15124387,1.28217677
-5.93996998,3.38548438,0.15515497,0.00000000,1.16344958,0.71316766,0.15739058,1.33203495
-5.93396698,3.48452559,0.15648507,0.00000000,1.21172685,0.73993297,0.16349094,1.38284444
-5.92796398,3.57838347,0.15700984,0.00000000,1.26073434,0.76624637,0.16946934,1.43402324
-5.92196098,3.66605320,0.15672927,0.00000000,1.31025705,0.79171858,0.17525000,1.48500009
-5.91595798,3.74664966,0.15566001,0.00000000,1.36011635,0.81596275,0.18075770,1.53521845
-5.90995498,3.81940721,0.15383425,0.00000000,1.41016488,0.83859923,0.18591872,1.58414030
-5.90395198,3.88367738,0.15129803,0.00000000,1.46027978,0.85926077,0.19066178,1.63124992
-5.89794897,3.93892487,0.14810923,0.00000000,1.51035462,0.87759841,0.19491907,1.67605788
-5.89194597,3.98472296,0.14433527,0.00000000,1.56029056,0.89328760,0.19862743,1.71810513
-5.88594297,4.02074864,0.14005061,0.00000000,1.60998704,0.90603475,0.20172957,1.75696740
-5.87993997,4.04677804,0.13533423,0.00000000,1.65933258,0.91558383,0.20417524,1.79225948
-5.87393697,4.06268217,0.13026713,0.00000000,1.70819599,0.92172264,0.20592245,1.82363948
-5.86793397,4.06842313,0.12493010,0.00000000,1.75641838,0.92428871,0.20693857,1.85081253
-5.86193097,4.06405051,0.11940155,0.00000000,1.80380635,0.92317424,0.20720124,1.87353395
-5.85592796,4.04969787,0.11375581,0.00000000,1.85012665,0.91832997,0.20669906,1.89161143
-5.84992496,4.02557891,0.10806163,0.00000000,1.89510259,0.90976754,0.20543209,1.90490617
-5.84392196,3.99198321,0.10238119,0.00000000,1.93841261,0.89756033,0.20341193,1.91333287
