energy_ev,total_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.22822373,0.01233254,0.04231833,0.06545500,0.00661118,0.78908722,0.57224661,0.25811435
-5.99399700,1.38414888,0.01331029,0.04787230,0.07232562,0.00746109,0.88942268,0.64859814,0.29224428
-5.98799400,1.55294006,0.01446100,0.05385032,0.07960117,0.00838103,0.99812573,0.73090934,0.32904305
-5.98199100,1.73409551,0.01577502,0.06023515,0.08720904,0.00936829,1.11487700,0.81897102,0.36844494
-5.97598799,1.92689369,0.01724109,0.06700144,0.09506643,0.01041885,1.23921235,0.91245785,0.41034577
-5.96998499,2.13039021,0.01884636,0.07411559,0.10308182,0.01152735,1.37051968,1.01092357,0.45460385
-5.96398199,2.34342039,0.02057645,0.08153574,0.11115683,0.01268702,1.50803929,1.11379878,0.50104235
-5.95797899,2.56460801,0.02241556,0.08921205,0.11918852,0.01388974,1.65086802,1.22039170,0.54945297
-5.95197599,2.79238036,0.02434650,0.09708723,0.12707197,0.01512604,1.79796763,1.32989222,0.59960104
-5.94597299,3.02498995,0.02635092,0.10509731,0.13470316,0.01638519,1.94817726,1.44137922,0.65123194
-5.93996998,3.26054239,0.02840948,0.11317263,0.14198205,0.01765529,2.10023018,1.55383145,0.70407854
-5.93396698,3.49703036,0.03050213,0.12123914,0.14881571,0.01892347,2.25277454,1.66614178,0.75786952
-5.92796398,3.73237272,0.03260839,0.12921987,0.15512146,0.02017603,2.40439782,1.77713487,0.81233825
-5.92196098,3.96445818,0.03470776,0.13703668,0.16082974,0.02139871,2.55365449,1.88558785,0.86723189
-5.91595798,4.19119212,0.03678013,0.14461207,0.16588688,0.02257692,2.69909631,1.99025386,0.92232010
-5.90995498,4.41054540,0.03880623,0.15187129,0.17025732,0.02369608,2.83930436,2.08988788,0.97740328
-5.90395198,4.62060353,0.04076812,0.15874437,0.17392540,0.02474190,2.97292200,2.18327432,1.03231943
-5.89794897,4.81961463,0.04264970,0.16516830,0.17689657,0.02570076,3.09868776,2.26925565,1.08694949
-5.89194597,5.00603430,0.04443719,0.17108918,0.17919789,0.02656007,3.21546685,2.34676144,1.14122064
