energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.91710058,1.05283077,0.00000000,2.37092491,1.46318749,0.01646488,0.51386470
-5.99399700,2.93252620,1.06447027,0.00000000,2.37852586,1.47458576,0.01697479,0.51432852
-5.98799400,2.93563383,1.07003475,0.00000000,2.37460787,1.47870000,0.01754259,0.51432121
-5.98199100,2.92675331,1.06958468,0.00000000,2.35945843,1.47563367,0.01817009,0.51396197
-5.97598799,2.90646166,1.06331514,0.00000000,2.33356756,1.46565496,0.01885705,0.51337109
-5.96998499,2.87556279,1.05154935,0.00000000,2.29760809,1.44918885,0.01960105,0.51266501
-5.96398199,2.83506014,1.03472764,0.00000000,2.25241042,1.42680375,0.02039757,0.51195191
-5.95797899,2.78612341,1.01339234,0.00000000,2.19893278,1.39919345,0.02124009,0.51132808
-5.95197599,2.73005086,0.98816916,0.00000000,2.13822853,1.36715494,0.02212031,0.51087499
-5.94597299,2.66822870,0.95974617,0.00000000,2.07141185,1.33156319,0.02302847,0.51065743
-5.93996998,2.60208934,0.92885112,0.00000000,1.99962374,1.29334390,0.02395370,0.51072249
-5.93396698,2.53307030,0.89622826,0.00000000,1.92399946,1.25344538,0.02488447,0.51109945
-5.92796398,2.46257530,0.86261566,0.00000000,1.84563919,1.21281078,0.02580905,0.51180061
-5.92196098,2.39193927,0.82872404,0.00000000,1.76558272,1.17235175,0.02671591,0.51282280
-5.91595798,2.32239833,0.79521794,0.00000000,1.68478933,1.13292465,0.02759426,0.51414966
-5.90995498,2.25506595,0.76269998,0.00000000,1.60412322,1.09531012,0.02843440,0.51575434
-5.90395198,2.19091584,0.73169881,0.00000000,1.52434482,1.06019680,0.02922812,0.51760271
-5.89794897,2.13077199,0.70266098,0.00000000,1.44610765,1.02816970,0.02996897,0.51965677
-5.89194597,2.07530582,0.67594694,0.00000000,1.36996058,0.99970342,0.03065254,0.52187824
-5.88594297,2.02504009,0.65183107,0.00000000,1.29635437,0.97516041,0.03127654,0.52423212
-5.87993997,1.98035887,0.63050542,0.00000000,1.22565199,0.95479387,0.03184093,0.52669018
-5.87393697,1.94152279,0.61208675,0.00000000,1.15814123,0.93875504,0.03234787,0.52923417
-5.86793397,1.90868823,0.59662625,0.00000000,1.09404886,0.92710423,0.03280165,0.53185884
-5.86193097,1.88192930,0.58412120,0.00000000,1.03355495,0.91982479,0.03320853,0.53457433
-5.85592796,1.86126118,0.57452789,0.00000000,0.97680653,0.91683910,0.03357655,0.53740825
-5.84992496,1.84666340,0.56777492,0.00000000,0.92392960,0.91802579,0.03391523,0.54040701
-5.84392196,1.83810169,0.56377616,0.00000000,0.87503886,0.92323693,0.03423533,0.54363648
-5.83791896,1.83554715,0.56244267,0.00000000,0.83024467,0.93231450,0.03454847,0.54718182
-5.83191596,1.83899163,0.56369286,0.00000000,0.78965702,0.94510504,0.03486682,0.55114650
-5.82591296,1.84845840,0.56746060,0.00000000,0.75338647,0.96147177,0.03520269,0.55565031
-5.81990995,1.86400766,0.57370068,0.00000000,0.72154231,0.98130360,0.03556817,0.56082642
-5.81390695,1.88573639,0.58239159,0.00000000,0.69422819,1.00452054,0.03597476,0.56681741
-5.80790395,1.91377270,0.59353555,0.00000000,0.67153591,1.03107536,0.03643294,0.57377051
-5.80190095,1.94826500,0.60715589,0.00000000,0.65353786,1.06095142,0.03695184,0.58183186
