energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,4.98286701,0.18520206,0.14965724,1.28981995,1.06110511,2.19651239,0.00000000,1.06430019,0.97903434
-5.99399700,4.97753807,0.18578559,0.15087138,1.29518792,1.05595457,2.19270711,0.00000000,1.05635339,0.98201269
-5.98799400,4.95888718,0.18591711,0.15175655,1.29746091,1.04816845,2.18284406,0.00000000,1.04647629,0.98190401
-5.98199100,4.92738906,0.18562665,0.15231557,1.29675321,1.03782074,2.16720289,0.00000000,1.03482191,0.97880168
-5.97598799,4.88376315,0.18495195,0.15255921,1.29322740,1.02503756,2.14616290,0.00000000,1.02156250,0.97285880
-5.96998499,4.82894682,0.18393660,0.15250534,1.28708603,1.00999169,2.12019146,0.00000000,1.00688403,0.96428428
-5.96398199,4.76406104,0.18262810,0.15217769,1.27856180,0.99289542,2.08982954,0.00000000,0.99098020,0.95333700
-5.95797899,4.69036949,0.18107565,0.15160440,1.26790670,0.97399190,2.05567483,0.00000000,0.97404597,0.94031826
-5.95197599,4.60923319,0.17932799,0.15081634,1.25538059,0.95354559,2.01836308,0.00000000,0.95627100,0.92556258
-5.94597299,4.52206221,0.17743119,0.14984535,1.24123980,0.93183223,1.97854830,0.00000000,0.93783334,0.90942736
-5.93996998,4.43026708,0.17542669,0.14872252,1.22572627,0.90912869,1.93688266,0.00000000,0.91889345,0.89228154
-5.93396698,4.33521172,0.17334952,0.14747646,1.20905792,0.88570344,1.89399691,0.00000000,0.89958924,0.87449383
-5.92796398,4.23817034,0.17122691,0.14613187,1.19142059,0.86180794,1.85048212,0.00000000,0.88003211,0.85642088
-5.92196098,4.14029017,0.16907731,0.14470833,1.17296218,0.83766945,1.80687353,0.00000000,0.86030436,0.83839599
-5.91595798,4.04256162,0.16690986,0.14321945,1.15378912,0.81348558,1.76363715,0.00000000,0.84045818,0.82071865
-5.90995498,3.94579723,0.16472436,0.14167243,1.13396546,0.78942075,1.72115970,0.00000000,0.82051624,0.80364553
-5.90395198,3.85062004,0.16251176,0.14006801,1.11351469,0.76560475,1.67974217,0.00000000,0.80047396,0.78738324
-5.89794897,3.75746173,0.16025511,0.13840089,1.09242392,0.74213328,1.63959730,0.00000000,0.78030327,0.77208308
-5.89194597,3.66657012,0.15793094,0.13666052,1.07065055,0.71907040,1.60085094,0.00000000,0.75995778,0.75783820
-5.88594297,3.57802534,0.15551097,0.13483223,1.04813062,0.69645256,1.56354704,0.00000000,0.73937905,0.74468310
-5.87993997,3.49176338,0.15296414,0.13289872,1.02478877,0.67429393,1.52765597,0.00000000,0.71850355,0.73259554
-5.87393697,3.40760543,0.15025870,0.13084167,1.00054888,0.65259259,1.49308567,0.00000000,0.69727007,0.72150077
-5.86793397,3.32529131,0.14736449,0.12864349,0.97534505,0.63133720,1.45969492,0.00000000,0.67562713,0.71127789
-5.86193097,3.24451484,0.14425502,0.12628913,0.94913226,0.61051362,1.42730807,0.00000000,0.65353990,0.70176786
-5.85592796,3.16495943,0.14090951,0.12376769,0.92189602,0.59011116,1.39573048,0.00000000,0.63099643,0.69278305
-5.84992496,3.08633182,0.13731458,0.12107396,0.89366070,0.57012812,1.36476388,0.00000000,0.60801278,0.68411754
-5.84392196,3.00839259,0.13346564,0.11820963,0.86449601,0.55057617,1.33422104,0.00000000,0.58463676,0.67555800
-5.83791896,2.93098175,0.12936795,0.11518421,0.83452138,0.53148366,1.30393894,0.00000000,0.56095024,0.66689444
-5.83191596,2.85403883,0.12503714,0.11201554,0.80390799,0.51289747,1.27379013,0.00000000,0.53706982,0.65793042
-5.82591296,2.77761633,0.12049938,0.10872994,0.77287852,0.49488353,1.24369168,0.00000000,0.51314589,0.64849233
-5.81990995,2.70188673,0.11579110,0.10536196,0.74170452,0.47752615,1.21361158,0.00000000,0.48936023,0.63843723
-5.81390695,2.62714272,0.11095826,0.10195371,0.71070170,0.46092605,1.18357235,0.00000000,0.46592212,0.62765910
-5.80790395,2.55379131,0.10605529,0.09855388,0.68022321,0.44519755,1.15365193,0.00000000,0.44306331,0.61609314
-5.80190095,2.48234223,0.10114373,0.09521646,0.65065142,0.43046493,1.12398178,0.00000000,0.42103202,0.60371806
-5.79589795,2.41339157,0.09629059,0.09199915,0.62238829,0.41685838,1.09474266,0.00000000,0.40008620,0.59055637
-5.78989495,2.34760138,0.09156650,0.08896168,0.59584488,0.40450947,1.06615805,0.00000000,0.38048626,0.57667270
-5.78389195,2.28567641,0.08704385,0.08616394,0.57143026,0.39354674,1.03848577,0.00000000,0.36248769,0.56217019
-5.77788894,2.22833873,0.08279474,0.08366410,0.54954016,0.38409119,1.01200803,0.00000000,0.34633364,0.54718545
-5.77188594,2.17630123,0.07888903,0.08151677,0.53054571,0.37625204,0.98702042,0.00000000,0.33224764,0.53188203
-5.76588294,2.13024090,0.07539240,0.07977117,0.51478251,0.37012282,0.96382008,0.00000000,0.32042685,0.51644305
-5.75987994,2.09077259,0.07236456,0.07846950,0.50254035,0.36577770,0.94269365,0.00000000,0.31103579,0.50106304
-5.75387694,2.05842389,0.06985754,0.07764549,0.49405372,0.36326834,0.92390512,0.00000000,0.30420077,0.48593963
-5.74787394,2.03361193,0.06791420,0.07732311,0.48949346,0.36262104,0.90768431,0.00000000,0.30000517,0.47126521
-5.74187094,2.01662258,0.06656693,0.07751562,0.48895965,0.36383437,0.89421597,0.00000000,0.29848554,0.45721908
-5.73586793,2.00759257,0.06583656,0.07822489,0.49247593,0.36687716,0.88363012,0.00000000,0.29962883,0.44396018
-5.72986493,2.00649524,0.06573156,0.07944105,0.49998559,0.37168708,0.87599388,0.00000000,0.30337062,0.43162099
-5.72386193,2.01313034,0.06624742,0.08114243,0.51134945,0.37816966,0.87130505,0.00000000,0.30959455,0.42030241
-5.71785893,2.02711846,0.06736643,0.08329598,0.52634583,0.38619793,0.86948778,0.00000000,0.31813302,0.41007014
-5.71185593,2.04790068,0.06905767,0.08585797,0.54467275,0.39561281,0.87039061,0.00000000,0.32876919,0.40095248
-5.70585293,2.07474368,0.07127739,0.08877510,0.56595246,0.40622430,0.87378702,0.00000000,0.34124035,0.39293961
-5.69984992,2.10675087,0.07396965,0.09198598,0.58973840,0.41781360,0.87937864,0.00000000,0.35524264,0.38598446
-5.69384692,2.14287956,0.07706739,0.09542294,0.61552466,0.43013624,0.88680124,0.00000000,0.37043720,0.38000502
-5.68784392,2.18196427,0.08049374,0.09901418,0.64275769,0.44292634,0.89563333,0.00000000,0.38645755,0.37488792
-5.68184092,2.22274576,0.08416376,0.10268621,0.67085032,0.45590188,0.90540743,0.00000000,0.40291819,0.37049335
-5.67583792,2.26390533,0.08798636,0.10636635,0.69919757,0.46877115,0.91562349,0.00000000,0.41942418,0.36666085
-5.66983492,2.30410339,0.09186659,0.10998552,0.72719392,0.48124003,0.92576432,0.00000000,0.43558151,0.36321595
-5.66383192,2.34202132,0.09570806,0.11348093,0.75425153,0.49302010,0.93531234,0.00000000,0.45100786,0.35997723
-5.65782891,2.37640486,0.09941553,0.11679866,0.77981875,0.50383717,0.94376715,0.00000000,0.46534356,0.35676367
-5.65182591,2.40610765,0.10289758,0.11989611,0.80339812,0.51344009,0.95066318,0.00000000,0.47826222,0.35340184
-5.64582291,2.43013272,0.10606915,0.12274404,0.82456328,0.52160919,0.95558670,0.00000000,0.48948064,0.34973282
-5.63981991,2.44767036,0.10885403,0.12532814,0.84297379,0.52816430,0.95819138,0.00000000,0.49876768,0.34561833
-5.63381691,2.45813022,0.11118710,0.12765015,0.85838730,0.53297154,0.95821181,0.00000000,0.50595152,0.34094610
-5.62781391,2.46116596,0.11301620,0.12972819,0.87066827,0.53594883,0.95547406,0.00000000,0.51092518,0.33563409
-5.62181091,2.45669111,0.11430360,0.13159649,0.87979282,0.53706959,0.94990293,0.00000000,0.51364977,0.32963336
-5.61580790,2.44488485,0.11502700,0.13330432,0.88584912,0.53636434,0.94152537,0.00000000,0.51415545,0.32292965
-5.60980490,2.42618719,0.11517995,0.13491422,0.88903338,0.53392010,0.93046983,0.00000000,0.51253989,0.31554352
-5.60380190,2.40128340,0.11477173,0.13649946,0.88964121,0.52987753,0.91696144,0.00000000,0.50896431,0.30752903
-5.59779890,2.37107794,0.11382664,0.13814093,0.88805477,0.52442571,0.90131328,0.00000000,0.50364709,0.29897110
-5.59179590,2.33665917,0.11238276,0.13992350,0.88472605,0.51779495,0.88391390,0.00000000,0.49685535,0.28998173
-5.58579290,2.29925582,0.11049021,0.14193203,0.88015701,0.51024764,0.86521184,0.00000000,0.48889471,0.28069518
-5.57978989,2.26018761,0.10820899,0.14424710,0.87487734,0.50206790,0.84569767,0.00000000,0.48009765,0.27126238
-5.57378689,2.22081182,0.10560652,0.14694081,0.86942099,0.49355009,0.82588438,0.00000000,0.47081102,0.26184486
-5.56778389,2.18246857,0.10275497,0.15007277,0.86430231,0.48498709,0.80628715,0.00000000,0.46138324,0.25260850
-5.56178089,2.14642714,0.09972852,0.15368643,0.85999304,0.47665862,0.78740325,0.00000000,0.45215157,0.24371727
-5.55577789,2.11383598,0.09660064,0.15780601,0.85690121,0.46882034,0.76969316,0.00000000,0.44343023,0.23532740
-5.54977489,2.08567861,0.09344157,0.16243419,0.85535289,0.46169421,0.75356351,0.00000000,0.43549967,0.22758204
-5.54377189,2.06273744,0.09031606,0.16755068,0.85557768,0.45546047,0.73935293,0.00000000,0.42859748,0.22060681
-5.53776888,2.04556712,0.08728146,0.17311175,0.85769859,0.45025173,0.72732096,0.00000000,0.42291131,0.21450622
-5.53176588,2.03447845,0.08438629,0.17905079,0.86172675,0.44614937,0.71764088,0.00000000,0.41857405,0.20936120
-5.52576288,2.02953340,0.08166922,0.18527991,0.86756128,0.44318230,0.71039627,0.00000000,0.41566132,0.20522771
-5.51975988,2.03055118,0.07915863,0.19169252,0.87499402,0.44132823,0.70558162,0.00000000,0.41419143,0.20213642
-5.51375688,2.03712477,0.07687258,0.19816673,0.88371921,0.44051717,0.70310668,0.00000000,0.41412758,0.20009353
-5.50775388,2.04864687,0.07481931,0.20456955,0.89334722,0.44063702,0.70280421,0.00000000,0.41538228,0.19908239
-5.50175088,2.06434353,0.07299806,0.21076159,0.90342193,0.44154076,0.70444063,0.00000000,0.41782350,0.19906605
-5.49574787,2.08331385,0.07140029,0.21660208,0.91344073,0.44305504,0.70772899,0.00000000,0.42128243,0.19999026
