energy_ev,total_up,Ge_p_up,Ge_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-2.12806403,2.27313992,0.10030090,0.00000000,1.08778252,1.29561759,1.28154402,0.00000000
-2.12206103,2.19923537,0.09348274,0.00000000,1.03924160,1.25972833,1.23659272,0.00000000
-2.11605803,2.14659823,0.08738623,0.00000000,0.99499463,1.23908505,1.20133702,0.00000000
-2.11005503,2.11572126,0.08204434,0.00000000,0.95567789,1.23373321,1.17621433,0.00000000
-2.10405203,2.10673712,0.07748609,0.00000000,0.92182390,1.24345391,1.16149218,0.00000000
-2.09804902,2.11941727,0.07373589,0.00000000,0.89384588,1.26777366,1.15726026,0.00000000
-2.09204602,2.15317719,0.07081287,0.00000000,0.87202632,1.30597773,1.16342644,0.00000000
-2.08604302,2.20708803,0.06873022,0.00000000,0.85651000,1.35712680,1.17971681,0.00000000
-2.08004002,2.27989436,0.06749473,0.00000000,0.84730171,1.42007667,1.20567999,0.00000000
-2.07403702,2.37003794,0.06710624,0.00000000,0.84426839,1.49350073,1.24069554,0.00000000
-2.06803402,2.47568688,0.06755726,0.00000000,0.84714552,1.57591496,1.28398611,0.00000000
-2.06203102,2.59476962,0.06883267,0.00000000,0.85554724,1.66570499,1.33463313,0.00000000
-2.05602801,2.72501290,0.07090942,0.00000000,0.86897958,1.76115498,1.39159540,0.00000000
-2.05002501,2.86398290,0.07375635,0.00000000,0.88685620,1.86047774,1.45373007,0.00000000
-2.04402201,3.00912865,0.07733406,0.00000000,0.90851582,1.96184562,1.51981550,0.00000000
-2.03801901,3.15782672,0.08159487,0.00000000,0.93324087,2.06342164,1.58857513,0.00000000
-2.03201601,3.30742628,0.08648295,0.00000000,0.96027642,2.16339031,1.65870219,0.00000000
-2.02601301,3.45529385,0.09193458,0.00000000,0.98884917,2.25998755,1.72888429,0.00000000
-2.02001001,3.59885684,0.09787860,0.00000000,1.01818573,2.35152922,1.79782783,0.00000000
-2.01400700,3.73564545,0.10423721,0.00000000,1.04753015,2.43643784,1.86428160,0.00000000
-2.00800400,3.86333234,0.11092700,0.00000000,1.07616017,2.51326687,1.92705940,0.00000000
-2.00200100,3.97976983,0.11786039,0.00000000,1.10340225,2.58072260,1.98506141,0.00000000
-1.99599800,4.08302429,0.12494741,0.00000000,1.12864519,2.63768290,2.03729424,0.00000000
-1.98999500,4.17140756,0.13209793,0.00000000,1.15135239,2.68321313,2.08288936,0.00000000
-1.98399200,4.24350510,0.13922420,0.00000000,1.17107262,2.71657874,2.12111991,0.00000000
-1.97798899,4.29820076,0.14624372,0.00000000,1.18744935,2.73725457,2.15141560,0.00000000
-1.97198599,4.33469766,0.15308239,0.00000000,1.20022863,2.74493089,2.17337556,0.00000000
-1.96598299,4.35253492,0.15967772,0.00000000,1.20926526,2.73951606,2.18677877,0.00000000
-1.95997999,4.35159954,0.16598204,0.00000000,1.21452721,2.72113566,2.19159170,0.00000000
-1.95397699,4.33213294,0.17196553,0.00000000,1.21609793,2.69012833,2.18797278,0.00000000
-1.94797399,4.29473120,0.17761886,0.00000000,1.21417642,2.64703797,2.17627318,0.00000000
-1.94197099,4.24033853,0.18295528,0.00000000,1.20907458,2.59260246,2.15703335,0.00000000
-1.93596798,4.17023307,0.18801194,0.00000000,1.20121164,2.52773878,2.13097503,0.00000000
