energy_ev,total_up,Pb_p_up,Pb_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.95045481,0.25553641,0.00338334,0.77898887,0.89081698,0.82052871,0.00000000
-5.99399700,1.90636385,0.24913316,0.00338258,0.75207492,0.87254831,0.79877804,0.00000000
-5.98799400,1.85529586,0.24162668,0.00336826,0.72312456,0.85090072,0.77462932,0.00000000
-5.98199100,1.79776133,0.23308404,0.00334085,0.69237432,0.82613072,0.74829382,0.00000000
-5.97598799,1.73441166,0.22360265,0.00330103,0.66010666,0.79855615,0.72002906,0.00000000
-5.96998499,1.66601899,0.21330741,0.00324963,0.62664352,0.76854606,0.69013151,0.00000000
-5.96398199,1.59345243,0.20234706,0.00318763,0.59233846,0.73650934,0.65892819,0.00000000
-5.95797899,1.51765225,0.19088983,0.00311614,0.55756814,0.70288250,0.62676739,0.00000000
-5.95197599,1.43960313,0.17911880,0.00303631,0.52272346,0.66811741,0.59400940,0.00000000
-5.94597299,1.36030805,0.16722713,0.00294933,0.48820090,0.63266954,0.56101738,0.00000000
-5.93996998,1.28076391,0.15541333,0.00285639,0.45439432,0.59698709,0.52814908,0.00000000
-5.93396698,1.20193993,0.14387684,0.00275866,0.42168776,0.56150169,0.49574956,0.00000000
-5.92796398,1.12475964,0.13281412,0.00265727,0.39044931,0.52662078,0.46414533,0.00000000
-5.92196098,1.05008690,0.12241521,0.00255331,0.36102629,0.49272194,0.43363997,0.00000000
-5.91595798,0.97871608,0.11286096,0.00244781,0.33374168,0.46014921,0.40451129,0.00000000
-5.90995498,0.91136640,0.10432087,0.00234173,0.30889189,0.42921123,0.37701001,0.00000000
-5.90395198,0.84867985,0.09695148,0.00223599,0.28674545,0.40018119,0.35135967,0.00000000
-5.89794897,0.79122230,0.09089519,0.00213148,0.26754262,0.37329802,0.32775764,0.00000000
-5.89194597,0.73948672,0.08627951,0.00202906,0.25149548,0.34876870,0.30637685,0.00000000
-5.88594297,0.69389796,0.08321647,0.00192957,0.23878819,0.32677112,0.28736794,0.00000000
-5.87993997,0.65481794,0.08180203,0.00183386,0.22957715,0.30745711,0.27086142,0.00000000
-5.87393697,0.62255041,0.08211547,0.00174276,0.22399066,0.29095533,0.25696958,0.00000000
-5.86793397,0.59734468,0.08421856,0.00165712,0.22212795,0.27737354,0.24578783,0.00000000
-5.86193097,0.57939757,0.08815439,0.00157781,0.22405734,0.26680010,0.23739521,0.00000000
-5.85592796,0.56885321,0.09394589,0.00150569,0.22981345,0.25930444,0.23185405,0.00000000
-5.84992496,0.56580060,0.10159405,0.00144160,0.23939357,0.25493649,0.22920857,0.00000000
-5.84392196,0.57026885,0.11107580,0.00138636,0.25275326,0.25372496,0.22948258,0.00000000
-5.83791896,0.58222065,0.12234180,0.00134076,0.26980145,0.25567479,0.23267639,0.00000000
-5.83191596,0.60154409,0.13531422,0.00130549,0.29039539,0.26076378,0.23876301,0.00000000
-5.82591296,0.62804397,0.14988467,0.00128117,0.31433593,0.26893881,0.24768416,0.00000000
-5.81990995,0.66143294,0.16591266,0.00126829,0.34136345,0.28011190,0.25934620,0.00000000
-5.81390695,0.70132377,0.18322461,0.00126719,0.37115504,0.29415656,0.27361644,0.00000000
-5.80790395,0.74722328,0.20161379,0.00127802,0.40332346,0.31090473,0.29032014,0.00000000
-5.80190095,0.79852906,0.22084129,0.00130077,0.43741806,0.33014477,0.30923867,0.00000000
-5.79589795,0.85452951,0.24063834,0.00133520,0.47292832,0.35162065,0.33010896,0.00000000
-5.78989495,0.91440791,0.26070979,0.00138085,0.50928991,0.37503280,0.35262459,0.00000000
-5.78389195,0.97725088,0.28073908,0.00143703,0.54589358,0.40004066,0.37643873,0.00000000
-5.77788894,1.04206128,0.30039445,0.00150285,0.58209675,0.42626709,0.40116885,0.00000000
-5.77188594,1.10777557,0.31933637,0.00157717,0.61723743,0.45330458,0.42640334,0.00000000
-5.76588294,1.17328522,0.33722585,0.00165867,0.65065024,0.48072320,0.45170980,0.00000000
-5.75987994,1.23746150,0.35373355,0.00174585,0.68168393,0.50808002,0.47664478,0.00000000
-5.75387694,1.29918287,0.36854909,0.00183706,0.70971967,0.53492975,0.50076469,0.00000000
-5.74787394,1.35736402,0.38139041,0.00193051,0.73418941,0.56083616,0.52363737,0.00000000
-5.74187094,1.41098525,0.39201262,0.00202436,0.75459354,0.58538390,0.54485403,0.00000000
-5.73586793,1.45912110,0.40021602,0.00211672,0.77051699,0.60819015,0.56404083,0.00000000
-5.72986493,1.50096708,0.40585287,0.00220570,0.78164307,0.62891571,0.58086982,0.00000000
-5.72386193,1.53586314,0.40883262,0.00228948,0.78776433,0.64727500,0.59506861,0.00000000
-5.71785893,1.56331309,0.40912537,0.00236631,0.78879005,0.66304452,0.60642836,0.00000000
-5.71185593,1.58299896,0.40676334,0.00243461,0.78474983,0.67606945,0.61480981,0.00000000
