energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Na_s_up,Na_s_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,0.64360145,-0.99808393,0.00152945,-0.00902364,0.04088253,-0.11087582,0.18165561,-0.17945786,0.10983587,-0.20411548,0.25810616,-0.38286023,0.00899582,-0.02019195,0.29389670,-0.41717248
-5.99399700,0.61168807,-0.94942156,0.00136562,-0.00782926,0.03636975,-0.10070568,0.17714518,-0.18188349,0.10326172,-0.18970701,0.24690117,-0.36719419,0.00798867,-0.01864215,0.28128369,-0.40016760
-5.98799400,0.58007228,-0.90404359,0.00123966,-0.00676553,0.03226820,-0.09110380,0.17165172,-0.18416840,0.09691551,-0.17674569,0.23560640,-0.35235266,0.00706398,-0.01713009,0.26852397,-0.38453397
-5.98199100,0.54887913,-0.86151783,0.00114732,-0.00582468,0.02855678,-0.08210064,0.16525301,-0.18612238,0.09077866,-0.16506179,0.22428393,-0.33822409,0.00622244,-0.01566667,0.25569851,-0.36999286
-5.97598799,0.51828854,-0.82140783,0.00108510,-0.00499815,0.02521352,-0.07371463,0.15804918,-0.18757126,0.08484663,-0.15448831,0.21302065,-0.32468549,0.00546369,-0.01426151,0.24291725,-0.35627807
-5.96998499,0.48852719,-0.78328899,0.00105020,-0.00427688,0.02221623,-0.06595303,0.15015849,-0.18836179,0.07912719,-0.14486531,0.20192473,-0.31160976,0.00478651,-0.01292283,0.23031425,-0.34314325
-5.96398199,0.45985921,-0.74676338,0.00104041,-0.00365160,0.01954306,-0.05881297,0.14171297,-0.18836569,0.07363859,-0.13604349,0.19112152,-0.29887278,0.00418909,-0.01165727,0.21804234,-0.33036845
-5.95797899,0.43257598,-0.71147299,0.00105406,-0.00311307,0.01717299,-0.05228276,0.13285370,-0.18748287,0.06840765,-0.12788714,0.18074880,-0.28636007,0.00366923,-0.01046988,0.20626745,-0.31776536
-5.95197599,0.40698573,-0.67711084,0.00108988,-0.00265225,0.01508630,-0.04634321,0.12372622,-0.18564360,0.06346784,-0.12027633,0.17095193,-0.27397260,0.00322465,-0.00936413,0.19516289,-0.30518142
-5.94597299,0.38340302,-0.64342967,0.00114693,-0.00226053,0.01326492,-0.04096909,0.11447618,-0.18280958,0.05885756,-0.11310838,0.16187890,-0.26163162,0.00285315,-0.00834197,0.18490363,-0.29250255
