energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-2.87243622,7.80071213,-7.05610353,1.90077264,-3.17458707,4.29213416,-1.77988829,0.01092415,-0.02059814,0.37835412,-0.37143047,0.11816677,-0.07420485,3.09128581,-4.62289508
-2.86643322,7.89752797,-7.28676869,1.92525592,-3.31756252,4.33082921,-1.83357944,0.01151582,-0.02062486,0.38205087,-0.37227166,0.12406016,-0.07403732,3.15098242,-4.79087054
-2.86043022,7.99474619,-7.50701396,1.95067942,-3.45161846,4.36659983,-1.88498927,0.01212409,-0.02070499,0.38569128,-0.37435093,0.13007932,-0.07373041,3.21452044,-4.95043761
-2.85442721,8.09284279,-7.71323895,1.97713803,-3.57502383,4.39989035,-1.93321252,0.01275104,-0.02082707,0.38935510,-0.37738591,0.13620805,-0.07328739,3.28179319,-5.09928610
-2.84842421,8.19259362,-7.90212712,2.00482485,-3.68624519,4.43130434,-1.97741401,0.01339934,-0.02097755,0.39313020,-0.38108057,0.14243059,-0.07271329,3.35282157,-5.23532548
-2.84242121,8.29503622,-8.07078322,2.03401810,-3.78400263,4.46158202,-2.01686369,0.01407211,-0.02114140,0.39710941,-0.38513634,0.14873233,-0.07201490,3.42774353,-5.35677341
-2.83641821,8.40141677,-8.21685471,2.06506270,-3.86731765,4.49157103,-2.05096754,0.01477282,-0.02130273,0.40138682,-0.38926271,0.15510032,-0.07120076,3.50679579,-5.46223313
-2.83041521,8.51312372,-8.33863061,2.09834722,-3.93555025,4.52219171,-2.07929256,0.01550512,-0.02144552,0.40605363,-0.39318712,0.16152360,-0.07028098,3.59028848,-5.55075529
-2.82441221,8.63161083,-8.43511224,2.13427709,-3.98842283,4.55439823,-2.10158466,0.01627268,-0.02155423,0.41119375,-0.39666360,0.16799333,-0.06926694,3.67857339,-5.62188043
-2.81840920,8.75831226,-8.50605156,2.17324519,-4.02602950,4.58913704,-2.11777828,0.01707907,-0.02161438,0.41687924,-0.39947988,0.17450250,-0.06817099,3.77200743,-5.67565951
-2.81240620,8.89455358,-8.55195462,2.21560121,-4.04882968,4.62730461,-2.12799717,0.01792753,-0.02161316,0.42316573,-0.40146287,0.18104530,-0.06700594,3.87091244,-5.71265062
-2.80640320,9.04146225,-8.57404933,2.26162105,-4.05762599,4.66970598,-2.13254620,0.01882092,-0.02153976,0.43008800,-0.40248213,0.18761624,-0.06578464,3.97553353,-5.73389150
