energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.29083286,0.00000000,0.01223675,0.12993419,0.00110008,0.16117795,0.02818873,0.03180061
-5.99399700,0.28499428,0.00000001,0.01215104,0.13002449,0.00115941,0.15746821,0.02791863,0.03120747
-5.98799400,0.27802163,0.00000001,0.01201654,0.12957398,0.00121472,0.15312038,0.02752895,0.03048521
-5.98199100,0.26997440,0.00000002,0.01183327,0.12857101,0.00126480,0.14817734,0.02702249,0.02964062
-5.97598799,0.26093453,0.00000002,0.01160220,0.12701345,0.00130856,0.14269440,0.02640416,0.02868291
-5.96998499,0.25100279,0.00000004,0.01132515,0.12490847,0.00134497,0.13673700,0.02568073,0.02762332
-5.96398199,0.24029491,0.00000006,0.01100471,0.12227219,0.00137319,0.13037825,0.02486060,0.02647467
-5.95797899,0.22893749,0.00000008,0.01064415,0.11912917,0.00139253,0.12369640,0.02395353,0.02525097
-5.95197599,0.21706396,0.00000012,0.01024732,0.11551170,0.00140248,0.11677236,0.02297037,0.02396696
-5.94597299,0.20481077,0.00000018,0.00981856,0.11145909,0.00140278,0.10968741,0.02192279,0.02263770
-5.93996998,0.19231383,0.00000026,0.00936257,0.10701670,0.00139333,0.10252111,0.02082303,0.02127820
-5.93396698,0.17970546,0.00000037,0.00888431,0.10223507,0.00137431,0.09534947,0.01968363,0.01990306
-5.92796398,0.16711176,0.00000053,0.00838888,0.09716878,0.00134607,0.08824358,0.01851727,0.01852623
-5.92196098,0.15465049,0.00000076,0.00788146,0.09187544,0.00130917,0.08126842,0.01733650,0.01716071
-5.91595798,0.14242955,0.00000107,0.00736718,0.08641456,0.00126438,0.07448210,0.01615366,0.01581846
-5.90995498,0.13054589,0.00000150,0.00685102,0.08084641,0.00121259,0.06793546,0.01498072,0.01451019
-5.90395198,0.11908491,0.00000209,0.00633778,0.07523092,0.00115482,0.06167191,0.01382920,0.01324532
-5.89794897,0.10812037,0.00000288,0.00583195,0.06962669,0.00109223,0.05572758,0.01271012,0.01203197
-5.89194597,0.09771461,0.00000396,0.00533767,0.06408999,0.00102599,0.05013170,0.01163400,0.01087691
-5.88594297,0.08791919,0.00000539,0.00485868,0.05867390,0.00095733,0.04490721,0.01061087,0.00978568
-5.87993997,0.07877577,0.00000730,0.00439829,0.05342767,0.00088750,0.04007148,0.00965041,0.00876260
-5.87393697,0.07031731,0.00000982,0.00395932,0.04839613,0.00081770,0.03563723,0.00876200,0.00781088
-5.86793397,0.06256947,0.00001313,0.00354409,0.04361939,0.00074911,0.03161354,0.00795494,0.00693278
-5.86193097,0.05555216,0.00001742,0.00315445,0.03913266,0.00068285,0.02800688,0.00723863,0.00612972
-5.85592796,0.04928137,0.00002297,0.00279176,0.03496634,0.00061997,0.02482233,0.00662287,0.00540245
-5.84992496,0.04377102,0.00003008,0.00245691,0.03114632,0.00056148,0.02206475,0.00611812,0.00475124
-5.84392196,0.03903499,0.00003915,0.00215039,0.02769439,0.00050830,0.01974002,0.00573583,0.00417604
-5.83791896,0.03508927,0.00005062,0.00187230,0.02462898,0.00046134,0.01785630,0.00548885,0.00367672
-5.83191596,0.03195412,0.00006503,0.00162243,0.02196590,0.00042147,0.01642534,0.00539174,0.00325328
-5.82591296,0.02965636,0.00008302,0.00140036,0.01971936,0.00038958,0.01546373,0.00546124,0.00290605
-5.81990995,0.02823164,0.00010532,0.00120546,0.01790295,0.00036661,0.01499427,0.00571660,0.00263597
