energy_ev,total_up,Bi_p_up,Bi_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,0.47510318,0.23950109,0.00003858,0.20912088,0.07059999,0.02685429,0.09622563
-5.99399700,0.46769916,0.23793380,0.00003443,0.20829875,0.06780798,0.02805697,0.08982322
-5.98799400,0.45944022,0.23529093,0.00003104,0.20686941,0.06496515,0.02917980,0.08391512
-5.98199100,0.45013899,0.23158712,0.00002826,0.20477039,0.06204890,0.03019788,0.07838491
-5.97598799,0.43967109,0.22685583,0.00002597,0.20195931,0.05904904,0.03108786,0.07314526
-5.96998499,0.42797157,0.22114830,0.00002404,0.19841371,0.05596637,0.03182856,0.06813491
-5.96398199,0.41503024,0.21453207,0.00002241,0.19413039,0.05281112,0.03240157,0.06331536
-5.95797899,0.40088638,0.20708904,0.00002100,0.18912434,0.04960124,0.03279178,0.05866764
-5.95197599,0.38562287,0.19891318,0.00001975,0.18342737,0.04636072,0.03298794,0.05418903
-5.94597299,0.36936015,0.19010801,0.00001864,0.17708651,0.04311792,0.03298291,0.04989015
-5.93996998,0.35225007,0.18078401,0.00001764,0.17016213,0.03990406,0.03277404,0.04579227
-5.93396698,0.33446990,0.17105596,0.00001673,0.16272589,0.03675185,0.03236321,0.04192502
-5.92796398,0.31621672,0.16104034,0.00001591,0.15485870,0.03369429,0.03175686,0.03832456
-5.92196098,0.29770218,0.15085298,0.00001518,0.14664846,0.03076383,0.03096582,0.03503224
-5.91595798,0.27914782,0.14060685,0.00001455,0.13818799,0.02799160,0.03000502,0.03209361
-5.90995498,0.26078106,0.13041013,0.00001405,0.12957290,0.02540702,0.02889312,0.02955797
-5.90395198,0.24283171,0.12036469,0.00001369,0.12089958,0.02303759,0.02765193,0.02747827
-5.89794897,0.22552921,0.11056473,0.00001351,0.11226336,0.02090888,0.02630587,0.02591128
-5.89194597,0.20910036,0.10109592,0.00001355,0.10375681,0.01904472,0.02488130,0.02491802
-5.88594297,0.19376769,0.09203477,0.00001385,0.09546830,0.01746750,0.02340583,0.02456427
-5.87993997,0.17974814,0.08344836,0.00001447,0.08748067,0.01619858,0.02190762,0.02492114
-5.87393697,0.16725218,0.07539434,0.00001547,0.07987029,0.01525872,0.02041475,0.02606541
-5.86793397,0.15648309,0.06792121,0.00001693,0.07270623,0.01466850,0.01895456,0.02807972
-5.86193097,0.14763631,0.06106886,0.00001892,0.06604971,0.01444875,0.01755307,0.03105228
-5.85592796,0.14089883,0.05486930,0.00002155,0.05995386,0.01462080,0.01623453,0.03507622
-5.84992496,0.13644834,0.04934761,0.00002492,0.05446358,0.01520666,0.01502096,0.04024821
-5.84392196,0.13445223,0.04452300,0.00002917,0.04961571,0.01622908,0.01393181,0.04666654
-5.83791896,0.13506621,0.04041010,0.00003444,0.04543929,0.01771142,0.01298373,0.05442847
-5.83191596,0.13843265,0.03702033,0.00004090,0.04195602,0.01967739,0.01219035,0.06362684
-5.82591296,0.14467860,0.03436339,0.00004876,0.03918087,0.02215063,0.01156218,0.07434614
-5.81990995,0.15391356,0.03244888,0.00005825,0.03712278,0.02515425,0.01110656,0.08665784
-5.81390695,0.16622711,0.03128810,0.00006965,0.03578542,0.02871027,0.01082759,0.10061550
-5.80790395,0.18168664,0.03089582,0.00008328,0.03516811,0.03283899,0.01072620,0.11624941
-5.80190095,0.20033538,0.03129238,0.00009953,0.03526675,0.03755857,0.01080021,0.13356142
-5.79589795,0.22219088,0.03250572,0.00011883,0.03607486,0.04288456,0.01104437,0.15251986
-5.78989495,0.24724442,0.03457366,0.00014175,0.03758469,0.04882974,0.01145052,0.17305510
-5.78389195,0.27546143,0.03754624,0.00016889,0.03978839,0.05540417,0.01200771,0.19505588
-5.77788894,0.30678328,0.04148807,0.00020100,0.04267931,0.06261554,0.01270238,0.21836686
-5.77188594,0.34113057,0.04648080,0.00023894,0.04625330,0.07046987,0.01351859,0.24278752
-5.76588294,0.37840811,0.05262542,0.00028372,0.05051017,0.07897258,0.01443827,0.26807278
-5.75987994,0.41851143,0.06004444,0.00033650,0.05545505,0.08812986,0.01544155,0.29393538
-5.75387694,0.46133484,0.06888374,0.00039859,0.06109988,0.09795042,0.01650710,0.32005022
-5.74787394,0.50678069,0.07931397,0.00047150,0.06746471,0.10844736,0.01761258,0.34606062
-5.74187094,0.55476941,0.09153126,0.00055690,0.07457897,0.11964019,0.01873509,0.37158634
-5.73586793,0.60524972,0.10575710,0.00065663,0.08248237,0.13155683,0.01985173,0.39623320
