energy_ev,total_up,Hf_p_up,Hf_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.45472401,0.29288777,0.11497720,0.02442285,0.00368746,0.11508331,0.18043340,0.00000000
-5.99399700,0.40561799,0.26046288,0.10133528,0.02117531,0.00340452,0.09994547,0.16356998,0.00000000
-5.98799400,0.36040077,0.23079373,0.08897611,0.01833926,0.00312083,0.08650872,0.14756483,0.00000000
-5.98199100,0.31888965,0.20371215,0.07781584,0.01586362,0.00284033,0.07461820,0.13244699,0.00000000
-5.97598799,0.28091594,0.17906518,0.06777451,0.01370428,0.00256658,0.06412980,0.11824511,0.00000000
-5.96998499,0.24631988,0.15671177,0.05877560,0.01182357,0.00230265,0.05490987,0.10498434,0.00000000
-5.96398199,0.21494626,0.13651964,0.05074568,0.01018977,0.00205114,0.04683493,0.09268370,0.00000000
-5.95797899,0.18664105,0.11836264,0.04361412,0.00877653,0.00181412,0.03979116,0.08135428,0.00000000
-5.95197599,0.16124911,0.10211876,0.03731301,0.00756234,0.00159316,0.03367403,0.07099811,0.00000000
-5.94597299,0.13861310,0.08766881,0.03177710,0.00653016,0.00138932,0.02838781,0.06160779,0.00000000
-5.93996998,0.11857342,0.07489569,0.02694393,0.00566705,0.00120322,0.02384524,0.05316679,0.00000000
-5.93396698,0.10096917,0.06368438,0.02275402,0.00496396,0.00103505,0.01996718,0.04565031,0.00000000
-5.92796398,0.08563987,0.05392246,0.01915122,0.00441570,0.00088469,0.01668236,0.03902668,0.00000000
-5.92196098,0.07242784,0.04550103,0.01608304,0.00402091,0.00075169,0.01392720,0.03325905,0.00000000
-5.91595798,0.06118097,0.03831601,0.01350105,0.00378230,0.00063540,0.01164568,0.02830738,0.00000000
-5.90995498,0.05175579,0.03226962,0.01136132,0.00370680,0.00053504,0.00978921,0.02413048,0.00000000
-5.90395198,0.04402047,0.02727198,0.00962477,0.00380596,0.00044970,0.00831663,0.02068815,0.00000000
-5.89794897,0.03785788,0.02324270,0.00825756,0.00409630,0.00037850,0.00719411,0.01794316,0.00000000
-5.89194597,0.03316821,0.02011238,0.00723139,0.00459970,0.00032056,0.00639517,0.01586313,0.00000000
-5.88594297,0.02987142,0.01782400,0.00652369,0.00534382,0.00027510,0.00590062,0.01442208,0.00000000
-5.87993997,0.02790908,0.01633403,0.00611777,0.00636241,0.00024150,0.00569847,0.01360185,0.00000000
-5.87393697,0.02724576,0.01561330,0.00600289,0.00769561,0.00021927,0.00578388,0.01339301,0.00000000
-5.86793397,0.02786977,0.01564756,0.00617412,0.00939003,0.00020819,0.00615892,0.01379559,0.00000000
-5.86193097,0.02979333,0.01643775,0.00663218,0.01149877,0.00020823,0.00683239,0.01481928,0.00000000
-5.85592796,0.03305194,0.01799985,0.00738310,0.01408107,0.00021964,0.00781945,0.01648333,0.00000000
-5.84992496,0.03770314,0.02036435,0.00843775,0.01720188,0.00024295,0.00914117,0.01881597,0.00000000
-5.84392196,0.04382445,0.02357534,0.00981124,0.02093093,0.00027894,0.01082397,0.02185353,0.00000000
-5.83791896,0.05151059,0.02768920,0.01152215,0.02534165,0.00032867,0.01289884,0.02563902,0.00000000
-5.83191596,0.06086994,0.03277281,0.01359165,0.03050953,0.00039347,0.01540050,0.03022041,0.00000000
-5.82591296,0.07202024,0.03890134,0.01604252,0.03651032,0.00047491,0.01836632,0.03564852,0.00000000
-5.81990995,0.08508373,0.04615567,0.01889791,0.04341766,0.00057473,0.02183510,0.04197459,0.00000000
-5.81390695,0.10018152,0.05461941,0.02218020,0.05130054,0.00069486,0.02584572,0.04924755,0.00000000
-5.80790395,0.11742772,0.06437555,0.02590967,0.06022036,0.00083731,0.03043562,0.05751114,0.00000000
-5.80190095,0.13692311,0.07550293,0.03010316,0.07022783,0.00100414,0.03563924,0.06680090,0.00000000
-5.79589795,0.15874882,0.08807252,0.03477282,0.08135976,0.00119733,0.04148640,0.07714117,0.00000000
-5.78989495,0.18296024,0.10214379,0.03992490,0.09363582,0.00141874,0.04800073,0.08854226,0.00000000
-5.78389195,0.20958131,0.11776109,0.04555868,0.10705553,0.00166998,0.05519816,0.10099783,0.00000000
-5.77788894,0.23859979,0.13495061,0.05166572,0.12159551,0.00195231,0.06308568,0.11448282,0.00000000
