energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-5.65182591,0.18063009,0.03044478,0.00041033,0.07362349,0.02019340,0.01761410,0.07720922
-5.64582291,0.20336520,0.03564570,0.00046153,0.08033385,0.02245389,0.02012993,0.08550780
-5.63981991,0.22989316,0.04182644,0.00052294,0.08870296,0.02511734,0.02296076,0.09518207
-5.63381691,0.26021486,0.04906521,0.00059485,0.09868477,0.02817446,0.02610076,0.10616546
-5.62781391,0.29429805,0.05744039,0.00067754,0.11022188,0.03161207,0.02953828,0.11837256
-5.62181091,0.33207071,0.06702821,0.00077126,0.12324305,0.03541249,0.03325511,0.13169726
-5.61580790,0.37341475,0.07790007,0.00087618,0.13766063,0.03955292,0.03722600,0.14601129
-5.60980490,0.41816062,0.09011955,0.00099237,0.15336851,0.04400504,0.04141833,0.16116354
-5.60380190,0.46608304,0.10373926,0.00111985,0.17024038,0.04873472,0.04579203,0.17698011
-5.59779890,0.51689817,0.11879753,0.00125847,0.18812882,0.05370187,0.05029981,0.19326540
-5.59179590,0.57026264,0.13531510,0.00140797,0.20686503,0.05886062,0.05488761,0.20980419
-5.58579290,0.62577436,0.15329186,0.00156793,0.22625958,0.06415964,0.05949548,0.22636480
-5.57978989,0.68297554,0.17270388,0.00173774,0.24610404,0.06954278,0.06405865,0.24270322
-5.57378689,0.74135768,0.19350071,0.00191664,0.26617354,0.07494991,0.06850893,0.25856825
-5.56778389,0.80036868,0.21560327,0.00210367,0.28623023,0.08031794,0.07277636,0.27370738
-5.56178089,0.85942177,0.23890233,0.00229769,0.30602763,0.08558215,0.07679102,0.28787320
-5.55577789,0.91790619,0.26325784,0.00249736,0.32531549,0.09067751,0.08048500,0.30083030
-5.54977489,0.97519923,0.28849911,0.00270121,0.34384530,0.09554022,0.08379433,0.31236210
-5.54377189,1.03067938,0.31442608,0.00290756,0.36137604,0.10010929,0.08666100,0.32227753
-5.53776888,1.08374012,0.34081161,0.00311465,0.37767996,0.10432806,0.08903473,0.33041724
-5.53176588,1.13380410,0.36740502,0.00332058,0.39254841,0.10814571,0.09087461,0.33665899
-5.52576288,1.18033720,0.39393668,0.00352340,0.40579711,0.11151864,0.09215041,0.34092203
-5.51975988,1.22286211,0.42012373,0.00372115,0.41727107,0.11441170,0.09284364,0.34317035
-5.51375688,1.26097101,0.44567679,0.00391188,0.42684873,0.11679920,0.09294811,0.34341444
-5.50775388,1.29433714,0.47030751,0.00409373,0.43444524,0.11866573,0.09247014,0.34171175
-5.50175088,1.32272464,0.49373670,0.00426498,0.44001482,0.12000660,0.09142837,0.33816557
-5.49574787,1.34599663,0.51570286,0.00442409,0.44355210,0.12082819,0.08985312,0.33292255
-5.48974487,1.36412114,0.53597065,0.00456977,0.44509238,0.12114783,0.08778538,0.32616886
-5.48374187,1.37717451,0.55433918,0.00470106,0.44471085,0.12099350,0.08527551,0.31812517
-5.47773887,1.38534228,0.57064947,0.00481730,0.44252078,0.12040320,0.08238158,0.30904062
