energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,V_p_up,V_d_up
-6.00000000,2.82119082,0.04092684,1.45588903,0.12246027,0.00022378,1.16864800,0.80962013
-5.99399700,2.80105280,0.03831515,1.42864970,0.11979605,0.00022917,1.18432994,0.78903476
-5.98799400,2.78243223,0.03573797,1.40348164,0.11732397,0.00023393,1.20149327,0.76923464
-5.98199100,2.76469030,0.03322371,1.38020445,0.11504715,0.00023794,1.21945303,0.75023958
-5.97598799,2.74699875,0.03079652,1.35850730,0.11295449,0.00024108,1.23743504,0.73200174
-5.96998499,2.72838180,0.02847627,1.33796932,0.11102217,0.00024327,1.25460118,0.71441452
-5.96398199,2.70776602,0.02627861,1.31808516,0.10921579,0.00024440,1.27007864,0.69732414
-5.95797899,2.68403572,0.02421531,1.29829456,0.10749302,0.00024442,1.28299191,0.68054344
-5.95197599,2.65609109,0.02229465,1.27801419,0.10580661,0.00024327,1.29249601,0.66386692
-5.94597299,2.62290593,0.02052201,1.25667023,0.10410755,0.00024094,1.29780924,0.64708637
-5.93996998,2.58358237,0.01890045,1.23372995,0.10234830,0.00023741,1.29824410,0.63000613
-5.93396698,2.53739974,0.01743138,1.20873090,0.10048579,0.00023272,1.29323470,0.61245739
-5.92796398,2.48385537,0.01611519,1.18130614,0.09848423,0.00022690,1.28235953,0.59431060
-5.92196098,2.42269537,0.01495187,1.15120449,0.09631739,0.00022001,1.26535838,0.57548570
-5.91595798,2.35393424,0.01394154,1.11830503,0.09397043,0.00021215,1.24214277,0.55595950
-5.90995498,2.27786240,0.01308493,1.08262512,0.09144105,0.00020342,1.21279948,0.53577009
-5.90395198,2.19504169,0.01238370,1.04432197,0.08874002,0.00019392,1.17758709,0.51501810
-5.89794897,2.10628935,0.01184067,1.00368776,0.08589113,0.00018380,1.13692581,0.49386490
-5.89194597,2.01265131,0.01145993,0.96113878,0.08293036,0.00017319,1.09138124,0.47252776
-5.88594297,1.91536654,0.01124682,0.91719941,0.07990463,0.00016222,1.04164303,0.45127258
-5.87993997,1.81582416,0.01120775,0.87248169,0.07686994,0.00015103,0.98849945,0.43040428
-5.87393697,1.71551543,0.01134990,0.82766164,0.07388915,0.00013977,0.93280914,0.41025550
