energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,4.51835454,1.84409694,1.46797771,0.04916829,0.40475029,0.08523345,0.16663531,2.33098234
-5.99399700,4.53233992,1.79805420,1.47407621,0.04937726,0.39960529,0.08718214,0.17013544,2.34267262
-5.98799400,4.53320310,1.74937503,1.47748185,0.04936337,0.39363490,0.08884129,0.17309435,2.34642757
-5.98199100,4.51926201,1.69747907,1.47748727,0.04911433,0.38670776,0.09015877,0.17543474,2.34146258
-5.97598799,4.48923645,1.64196296,1.47349320,0.04862308,0.37873010,0.09108931,0.17709245,2.32721059
-5.96998499,4.44227921,1.58261065,1.46502348,0.04788796,0.36964775,0.09159571,0.17801798,2.30333595
-5.96398199,4.37798950,1.51939458,1.45173461,0.04691276,0.35944638,0.09164974,0.17817737,2.26973903
-5.95797899,4.29640918,1.45246839,1.43341986,0.04570651,0.34815005,0.09123287,0.17755261,2.22655208
-5.95197599,4.19800278,1.38215203,1.41000807,0.04428315,0.33581835,0.09033662,0.17614147,2.17412670
-5.94597299,4.08362335,1.30891056,1.38155777,0.04266097,0.32254218,0.08896271,0.17395682,2.11301418
-5.93996998,3.95446650,1.23332821,1.34824697,0.04086205,0.30843869,0.08712283,0.17102554,2.04393984
-5.93396698,3.81201537,1.15607916,1.31035975,0.03891144,0.29364552,0.08483816,0.16738703,1.96777285
-5.92796398,3.65797970,1.07789683,1.26827029,0.03683643,0.27831470,0.08213863,0.16309151,1.88549324
-5.92196098,3.49423199,0.99954319,1.22242538,0.03466571,0.26260656,0.07906188,0.15819804,1.79815752
-5.91595798,3.32274359,0.92177938,1.17332621,0.03242853,0.24668392,0.07565214,0.15277253,1.70686467
-5.90995498,3.14552353,0.84533912,1.12151039,0.03015393,0.23070671,0.07195879,0.14688573,1.61272355
-5.90395198,2.96456213,0.77090554,1.06753482,0.02786998,0.21482732,0.06803501,0.14061125,1.51682324
-5.89794897,2.78178140,0.69909238,1.01196003,0.02560319,0.19918674,0.06393619,0.13402376,1.42020699
-5.89194597,2.59899316,0.63042975,0.95533641,0.02337792,0.18391158,0.05971846,0.12719739,1.32385050
-5.88594297,2.41786588,0.56535464,0.89819266,0.02121596,0.16911197,0.05543728,0.12020432,1.22864487
-5.87993997,2.23990027,0.50420601,0.84102649,0.01913620,0.15488037,0.05114607,0.11311359,1.13538433
-5.87393697,2.06641339,0.44722422,0.78429764,0.01715446,0.14129119,0.04689501,0.10599023,1.04475857
-5.86793397,1.89853072,0.39455406,0.72842303,0.01528335,0.12840103,0.04273008,0.09889451,0.95734941
-5.86193097,1.73718519,0.34625101,0.67377390,0.01353234,0.11624963,0.03869219,0.09188151,0.87363109
-5.85592796,1.58312211,0.30228985,0.62067457,0.01190782,0.10486114,0.03481661,0.08500076,0.79397393
-5.84992496,1.43690880,0.26257504,0.56940259,0.01041332,0.09424580,0.03113262,0.07829618,0.71865030
-5.84392196,1.29894757,0.22695204,0.52018992,0.00904975,0.08440178,0.02766333,0.07180599,0.64784255
-5.83791896,1.16949119,0.19521910,0.47322491,0.00781568,0.07531706,0.02442575,0.06556283,0.58165212
-5.83191596,1.04865942,0.16713890,0.42865476,0.00670767,0.06697135,0.02143096,0.05959389,0.52010930
-5.82591296,0.93645600,0.14244949,0.38658826,0.00572065,0.05933783,0.01868459,0.05392112,0.46318308
-5.81990995,0.83278536,0.12087434,0.34709870,0.00484820,0.05238482,0.01618721,0.04856145,0.41079082
-5.81390695,0.73746841,0.10213125,0.31022678,0.00408292,0.04607722,0.01393503,0.04352708,0.36280738
-5.80790395,0.65025717,0.08593977,0.27598349,0.00341676,0.04037768,0.01192047,0.03882572,0.31907347
-5.80190095,0.57084804,0.07202738,0.24435285,0.00284125,0.03524770,0.01013291,0.03446090,0.27940321
-5.79589795,0.49889366,0.06013421,0.21529469,0.00234781,0.03064837,0.00855930,0.03043228,0.24359079
-5.78989495,0.43401330,0.05001650,0.18874725,0.00192793,0.02654107,0.00718492,0.02673598,0.21141626
-5.78389195,0.37580209,0.04144891,0.16462980,0.00157338,0.02288792,0.00599389,0.02336490,0.18265055
-5.77788894,0.32383896,0.03422581,0.14284523,0.00127632,0.01965213,0.00496978,0.02030911,0.15705969
-5.77188594,0.27769373,0.02816171,0.12328260,0.00102945,0.01679825,0.00409613,0.01755618,0.13440848
-5.76588294,0.23693321,0.02309104,0.10581976,0.00082607,0.01429237,0.00335679,0.01509164,0.11446356
-5.75987994,0.20112670,0.01886740,0.09032585,0.00066011,0.01210219,0.00273632,0.01289928,0.09699607
-5.75387694,0.16985082,0.01536243,0.07666386,0.00052620,0.01019713,0.00222025,0.01096165,0.08178388
-5.74787394,0.14269377,0.01246443,0.06469306,0.00041967,0.00854836,0.00179526,0.00926035,0.06861349
-5.74187094,0.11925912,0.01007692,0.05427132,0.00033651,0.00712880,0.00144937,0.00777650,0.05728171
-5.73586793,0.09916911,0.00811703,0.04525734,0.00027341,0.00591322,0.00117196,0.00649102,0.04759701
-5.72986493,0.08206749,0.00651400,0.03751259,0.00022771,0.00487814,0.00095390,0.00538503,0.03938067
-5.72386193,0.06762186,0.00520772,0.03090313,0.00019739,0.00400191,0.00078752,0.00444008,0.03246771
-5.71785893,0.05552560,0.00414736,0.02530102,0.00018104,0.00326464,0.00066662,0.00363841,0.02670762
-5.71185593,0.04549923,0.00329012,0.02058566,0.00017784,0.00264821,0.00058644,0.00296321,0.02196483
-5.70585293,0.03729143,0.00260009,0.01664462,0.00018756,0.00213620,0.00054363,0.00239871,0.01811906
-5.69984992,0.03067948,0.00204729,0.01337435,0.00021052,0.00171388,0.00053622,0.00193035,0.01506544
-5.69384692,0.02546939,0.00160676,0.01068053,0.00024761,0.00136811,0.00056356,0.00154484,0.01271443
-5.68784392,0.02149549,0.00125782,0.00847820,0.00030026,0.00108728,0.00062631,0.00123017,0.01099162
-5.68184092,0.01861981,0.00098342,0.00669169,0.00037044,0.00086124,0.00072634,0.00097565,0.00983731
-5.67583792,0.01673095,0.00076954,0.00525430,0.00046065,0.00068118,0.00086672,0.00077186,0.00920595
-5.66983492,0.01574278,0.00060475,0.00410787,0.00057390,0.00053954,0.00105167,0.00061060,0.00906547
-5.66383192,0.01559272,0.00047980,0.00320224,0.00071372,0.00042990,0.00128643,0.00048481,0.00939637
-5.65782891,0.01623986,0.00038724,0.00249462,0.00088407,0.00034689,0.00157723,0.00038849,0.01019072
-5.65182591,0.01766279,0.00032117,0.00194887,0.00108934,0.00028605,0.00193116,0.00031661,0.01145100
-5.64582291,0.01985714,0.00027697,0.00153486,0.00133425,0.00024374,0.00235599,0.00026499,0.01318872
-5.63981991,0.02283299,0.00025114,0.00122770,0.00162377,0.00021706,0.00286005,0.00023020,0.01542297
-5.63381691,0.02661195,0.00024114,0.00100714,0.00196302,0.00020372,0.00345196,0.00020950,0.01817868
-5.62781391,0.03122411,0.00024526,0.00085693,0.00235710,0.00020195,0.00414040,0.00020068,0.02148481
-5.62181091,0.03670477,0.00026259,0.00076421,0.00281094,0.00021046,0.00493378,0.00020201,0.02537235
-5.61580790,0.04309107,0.00029296,0.00071910,0.00332911,0.00022830,0.00583997,0.00021215,0.02987220
-5.60980490,0.05041847,0.00033700,0.00071422,0.00391559,0.00025486,0.00686584,0.00023007,0.03501289
-5.60380190,0.05871728,0.00039619,0.00074437,0.00457356,0.00028976,0.00801694,0.00025496,0.04081841
-5.59779890,0.06800930,0.00047303,0.00080632,0.00530516,0.00033284,0.00929708,0.00028623,0.04730593
-5.59179590,0.07830465,0.00057127,0.00089862,0.00611125,0.00038410,0.01070790,0.00032338,0.05448372
-5.58579290,0.08959898,0.00069620,0.00102161,0.00699116,0.00044366,0.01224858,0.00036600,0.06234928
-5.57978989,0.10187132,0.00085509,0.00117748,0.00794252,0.00051179,0.01391545,0.00041376,0.07088782
-5.57378689,0.11508256,0.00105770,0.00137048,0.00896106,0.00058887,0.01570178,0.00046631,0.08007122
-5.56778389,0.12917492,0.00131706,0.00160728,0.01004050,0.00067540,0.01759763,0.00052332,0.08985760
-5.56178089,0.14407261,0.00165025,0.00189750,0.01117248,0.00077208,0.01958979,0.00058446,0.10019165
-5.55577789,0.15968365,0.00207952,0.00225441,0.01234656,0.00087979,0.02166193,0.00064939,0.11100578
-5.54977489,0.17590333,0.00263354,0.00269581,0.01355030,0.00099972,0.02379481,0.00071776,0.12222226
-5.54377189,0.19261907,0.00334894,0.00324522,0.01476944,0.00113340,0.02596670,0.00078927,0.13375640
-5.53776888,0.20971703,0.00427207,0.00393321,0.01598813,0.00128287,0.02815397,0.00086363,0.14552078
-5.53176588,0.22709033,0.00546107,0.00479910,0.01718929,0.00145080,0.03033185,0.00094066,0.15743058
-5.52576288,0.24464886,0.00698813,0.00589293,0.01835498,0.00164062,0.03247527,0.00102031,0.16940993
-5.51975988,0.26233045,0.00894208,0.00727766,0.01946694,0.00185674,0.03455989,0.00110271,0.18139915
-5.51375688,0.28011337,0.01143115,0.00903178,0.02050706,0.00210474,0.03656318,0.00118823,0.19336278
-5.50775388,0.29802967,0.01458597,0.01125217,0.02145795,0.00239154,0.03846560,0.00127754,0.20529819
-5.50175088,0.31617906,0.01856261,0.01405721,0.02230355,0.00272569,0.04025170,0.00137168,0.21724446
-5.49574787,0.33474288,0.02354568,0.01759014,0.02302965,0.00311752,0.04191127,0.00147214,0.22929122
-5.48974487,0.35399768,0.02975138,0.02202256,0.02362443,0.00357939,0.04344031,0.00158091,0.24158729
-5.48374187,0.37432775,0.03743019,0.02755804,0.02407891,0.00412587,0.04484185,0.00170053,0.25434843
-5.47773887,0.39623611,0.04686933,0.03443555,0.02438737,0.00477387,0.04612663,0.00183415,0.26786417
-5.47173587,0.42035330,0.05839450,0.04293277,0.02454756,0.00554274,0.04731345,0.00198559,0.28250305
-5.46573287,0.44744333,0.07237087,0.05336894,0.02456094,0.00645433,0.04842924,0.00215933,0.29871608
-5.45972986,0.47840628,0.08920309,0.06610704,0.02443269,0.00753296,0.04950878,0.00236053,0.31703793
-5.45372686,0.51427683,0.10933406,0.08155510,0.02417163,0.00880523,0.05059418,0.00259504,0.33808566
-5.44772386,0.55621845,0.13324224,0.10016633,0.02379001,0.01029988,0.05173386,0.00286933,0.36255461
-5.44172086,0.60551267,0.16143741,0.12243781,0.02330321,0.01204739,0.05298133,0.00319045,0.39121127
