energy_ev,total_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.58655388,0.00113604,0.06435683,0.07715752,0.00328177,0.23355217,0.01457877,0.06885250
-5.99399700,0.53423121,0.00109122,0.05885374,0.07295806,0.00308922,0.21209383,0.01363657,0.06299566
-5.98799400,0.48457178,0.00104070,0.05359318,0.06861137,0.00289269,0.19182266,0.01269691,0.05739514
-5.98199100,0.43769675,0.00098546,0.04859291,0.06416159,0.00269401,0.17277650,0.01176564,0.05206939
-5.97598799,0.39368360,0.00092650,0.04386628,0.05965465,0.00249504,0.15497464,0.01084866,0.04703233
-5.96998499,0.35257137,0.00086485,0.03942259,0.05513698,0.00229762,0.13842036,0.00995183,0.04229377
-5.96398199,0.31436544,0.00080155,0.03526746,0.05065433,0.00210350,0.12310331,0.00908087,0.03785977
-5.95797899,0.27904201,0.00073760,0.03140321,0.04625053,0.00191436,0.10900160,0.00824117,0.03373300
-5.95197599,0.24655214,0.00067392,0.02782914,0.04196645,0.00173170,0.09608382,0.00743772,0.02991306
-5.94597299,0.21682544,0.00061138,0.02454189,0.03783906,0.00155687,0.08431070,0.00667500,0.02639677
-5.93996998,0.18977343,0.00055074,0.02153569,0.03390071,0.00139101,0.07363673,0.00595692,0.02317846
-5.93396698,0.16529274,0.00049265,0.01880271,0.03017866,0.00123505,0.06401152,0.00528678,0.02025029
-5.92796398,0.14326812,0.00043767,0.01633336,0.02669477,0.00108971,0.05538111,0.00466725,0.01760257
-5.92196098,0.12357544,0.00038623,0.01411655,0.02346554,0.00095548,0.04768924,0.00410047,0.01522404
-5.91595798,0.10608464,0.00033867,0.01214013,0.02050229,0.00083266,0.04087849,0.00358812,0.01310226
-5.90995498,0.09066281,0.00029521,0.01039115,0.01781164,0.00072135,0.03489149,0.00313156,0.01122396
-5.90395198,0.07717730,0.00025603,0.00885627,0.01539611,0.00062148,0.02967216,0.00273205,0.00957546
-5.89794897,0.06549899,0.00022119,0.00752215,0.01325493,0.00053287,0.02516685,0.00239097,0.00814310
-5.89194597,0.05550566,0.00019074,0.00637584,0.01138495,0.00045523,0.02132572,0.00211017,0.00691367
-5.88594297,0.04708553,0.00016468,0.00540520,0.00978170,0.00038820,0.01810402,0.00189227,0.00587487
-5.87993997,0.04014085,0.00014302,0.00459930,0.00844042,0.00033144,0.01546350,0.00174111,0.00501582
-5.87393697,0.03459174,0.00012578,0.00394891,0.00735727,0.00028459,0.01337389,0.00166222,0.00432757
-5.86793397,0.03038007,0.00011301,0.00344687,0.00653045,0.00024737,0.01181447,0.00166331,0.00380354
-5.86193097,0.02747352,0.00010484,0.00308855,0.00596136,0.00021964,0.01077571,0.00175496,0.00344013
-5.85592796,0.02586973,0.00010149,0.00287231,0.00565573,0.00020139,0.01026096,0.00195119,0.00323716
-5.84992496,0.02560069,0.00010329,0.00279988,0.00562473,0.00019282,0.01028834,0.00227030,0.00319847
-5.84392196,0.02673710,0.00011073,0.00287686,0.00588601,0.00019437,0.01089264,0.00273565,0.00333239
-5.83791896,0.02939298,0.00012446,0.00311310,0.00646467,0.00020680,0.01212736,0.00337657,0.00365229
-5.83191596,0.03373030,0.00014531,0.00352311,0.00739414,0.00023120,0.01406676,0.00422940,0.00417709
-5.82591296,0.03996356,0.00017436,0.00412648,0.00871694,0.00026907,0.01680809,0.00533850,0.00493178
-5.81990995,0.04836445,0.00021292,0.00494823,0.01048528,0.00032234,0.02047375,0.00675739,0.00594782
-5.81390695,0.05926616,0.00026257,0.00601911,0.01276148,0.00039345,0.02521345,0.00854994,0.00726362
-5.80790395,0.07306747,0.00032520,0.00737590,0.01561816,0.00048541,0.03120628,0.01079153,0.00892489
