energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.54918694,0.00866766,2.54104988,4.48538384,3.94631647,0.10243191,1.52308655
-5.99399700,7.49641100,0.00868438,2.52558925,4.47206466,3.92123721,0.10091445,1.50884149
-5.98799400,7.42331758,0.00868935,2.50227355,4.44464060,3.88595223,0.09917773,1.49081391
-5.98199100,7.33245460,0.00868443,2.47194859,4.40440127,3.84172985,0.09727732,1.46953981
-5.97598799,7.22663734,0.00867168,2.43555936,4.35283516,3.78997036,0.09527075,1.44560905
-5.96998499,7.10887310,0.00865327,2.39412400,4.29158673,3.73216958,0.09321601,1.41964983
-5.96398199,6.98228149,0.00863144,2.34870628,4.22241069,3.66988000,0.09117000,1.39231223
-5.95797899,6.85001231,0.00860837,2.30038747,4.14712528,3.60467034,0.08918708,1.36425114
-5.95197599,6.71516339,0.00858615,2.25023828,4.06756578,3.53808478,0.08731759,1.33610916
-5.94597299,6.58070070,0.00856670,2.19929180,3.98553966,3.47160288,0.08560654,1.30849983
-5.93996998,6.44938301,0.00855170,2.14851808,3.90278467,3.40660138,0.08409247,1.28199176
-5.93396698,6.32369315,0.00854250,2.09880111,3.82093081,3.34431901,0.08280639,1.25709408
-5.92796398,6.20577810,0.00854014,2.05091895,3.74146712,3.28582542,0.08177106,1.23424362
-5.92196098,6.09739959,0.00854526,2.00552730,3.66571402,3.23199524,0.08100036,1.21379430
-5.91595798,5.99989680,0.00855808,1.96314727,3.59480165,3.18348819,0.08049904,1.19600896
-5.90995498,5.91416247,0.00857846,1.92415746,3.52965447,3.14073600,0.08026263,1.18105412
-5.90395198,5.84063316,0.00860584,1.88879071,3.47098244,3.10393665,0.08027773,1.16899762
-5.89794897,5.77929418,0.00863930,1.85713537,3.41927847,3.07305626,0.08052248,1.15980952
-5.89194597,5.72969908,0.00867763,1.82914133,3.37482209,3.04783871,0.08096735,1.15336611
-5.88594297,5.69100311,0.00871936,1.80463016,3.33768895,3.02782273,0.08157617,1.14945703
-5.87993997,5.66200964,0.00876282,1.78330935,3.30776553,3.01236587,0.08230736,1.14779524
-5.87393697,5.64122795,0.00880626,1.76478975,3.28476852,3.00067472,0.08311538,1.14802963
-5.86793397,5.62694035,0.00884789,1.74860586,3.26826798,2.99184011,0.08395229,1.14975970
-5.86193097,5.61727626,0.00888598,1.73423796,3.25771364,2.98487616,0.08476940,1.15255199
-5.85592796,5.61029047,0.00891893,1.72113532,3.25246316,2.97876164,0.08551896,1.15595749
-5.84992496,5.60404280,0.00894535,1.70873970,3.25181165,2.97248213,0.08615585,1.15952952
-5.84392196,5.59667608,0.00896413,1.69650810,3.25502136,2.96507141,0.08663910,1.16284129
-5.83791896,5.58648965,0.00897446,1.68393404,3.26135071,2.95565036,0.08693334,1.16550263
-5.83191596,5.57200561,0.00897590,1.67056660,3.27008171,2.94346221,0.08700999,1.16717507
-5.82591296,5.55202536,0.00896837,1.65602654,3.28054513,2.92790258,0.08684823,1.16758481
-5.81990995,5.52567469,0.00895220,1.64001898,3.29214260,2.90854340,0.08643567,1.16653308
-5.81390695,5.49243559,0.00892808,1.62234239,3.30436515,2.88514995,0.08576868,1.16390344
-5.80790395,5.45216413,0.00889708,1.60289362,3.31680776,2.85769040,0.08485239,1.15966585
-5.80190095,5.40509387,0.00886056,1.58166887,3.32917954,2.82633784,0.08370042,1.15387734
-5.79589795,5.35182506,0.00882021,1.55876095,3.34130939,2.79146466,0.08233423,1.14667930
-5.78989495,5.29330023,0.00877792,1.53435286,3.35314704,2.75362991,0.08078221,1.13829160
-5.78389195,5.23076761,0.00873576,1.50870822,3.36475947,2.71356004,0.07907850,1.12900376
-5.77788894,5.16573358,0.00869591,1.48215900,3.37632291,2.67212390,0.07726166,1.11916354
-5.77188594,5.09990646,0.00866059,1.45509107,3.38811043,2.63030298,0.07537316,1.10916356
-5.76588294,5.03513343,0.00863202,1.42792814,3.40047578,2.58915796,0.07345583,1.09942626
-5.75987994,4.97333303,0.00861229,1.40111473,3.41383351,2.54979268,0.07155224,1.09038802
-5.75387694,4.91642563,0.00860337,1.37509880,3.42863624,2.51331673,0.06970317,1.08248286
-5.74787394,4.86626394,0.00860702,1.35031453,3.44534940,2.48080785,0.06794620,1.07612638
-5.74187094,4.82456611,0.00862470,1.32716593,3.46442451,2.45327528,0.06631441,1.07170047
-5.73586793,4.79285338,0.00865760,1.30601163,3.48627153,2.43162523,0.06483533,1.06953940
-5.72986493,4.77239431,0.00870652,1.28715150,3.51123149,2.41662936,0.06353012,1.06991756
-5.72386193,4.76415723,0.00877191,1.27081541,3.53955036,2.40889745,0.06241300,1.07303946
-5.71785893,4.76877264,0.00885379,1.25715442,3.57135516,2.40885491,0.06149098,1.07903213
-5.71185593,4.78650647,0.00895181,1.24623484,3.60663365,2.41672592,0.06076385,1.08794030
-5.70585293,4.81724536,0.00906518,1.23803512,3.64521835,2.43252287,0.06022449,1.09972427
