energy_ev,total_up,Au_p_up,Au_d_up,B_p_up,B_d_up,Te_p_up,Te_d_up
-6.00000000,6.26837082,1.74214022,4.29543186,0.10090465,0.00000000,1.51162395,0.00000000
-5.99399700,5.98999706,1.69079330,4.06054671,0.09724701,0.00000000,1.47535082,0.00000000
-5.98799400,5.72035816,1.63738159,3.83575421,0.09353215,0.00000000,1.43850425,0.00000000
-5.98199100,5.46103148,1.58249774,3.62210439,0.08977912,0.00000000,1.40145262,0.00000000
-5.97598799,5.21352990,1.52676857,3.42055035,0.08601010,0.00000000,1.36458198,0.00000000
-5.96998499,4.97925808,1.47083162,3.23192944,0.08224950,0.00000000,1.32827959,0.00000000
-5.96398199,4.75946746,1.41531191,3.05694322,0.07852301,0.00000000,1.29291746,0.00000000
-5.95797899,4.55521253,1.36080014,2.89613737,0.07485665,0.00000000,1.25883647,0.00000000
-5.95197599,4.36731106,1.30783315,2.74988311,0.07127584,0.00000000,1.22633217,0.00000000
-5.94597299,4.19631052,1.25687741,2.61836159,0.06780454,0.00000000,1.19564256,0.00000000
-5.93996998,4.04246301,1.20831611,2.50155239,0.06446455,0.00000000,1.16693864,0.00000000
-5.93396698,3.90571006,1.16244031,2.39922756,0.06127492,0.00000000,1.14031813,0.00000000
-5.92796398,3.78567873,1.11944415,2.31095163,0.05825160,0.00000000,1.11580249,0.00000000
-5.92196098,3.68168936,1.07942422,2.23608841,0.05540716,0.00000000,1.09333749,0.00000000
-5.91595798,3.59277529,1.04238291,2.17381460,0.05275079,0.00000000,1.07279719,0.00000000
-5.90995498,3.51771378,1.00823531,2.12314007,0.05028846,0.00000000,1.05399126,0.00000000
-5.90395198,3.45506732,0.97681923,2.08293430,0.04802315,0.00000000,1.03667512,0.00000000
-5.89794897,3.40323369,0.94790782,2.05195825,0.04595532,0.00000000,1.02056264,0.00000000
-5.89194597,3.36050302,0.92122407,2.02890051,0.04408346,0.00000000,1.00534077,0.00000000
-5.88594297,3.32511961,0.89645667,2.01241651,0.04240471,0.00000000,0.99068543,0.00000000
-5.87993997,3.29534609,0.87327633,2.00116946,0.04091557,0.00000000,0.97627798,0.00000000
-5.87393697,3.26952745,0.85135209,1.99387137,0.03961259,0.00000000,0.96182167,0.00000000
-5.86793397,3.24615244,0.83036691,1.98932282,0.03849310,0.00000000,0.94705720,0.00000000
-5.86193097,3.22390973,0.81003191,1.98644978,0.03755587,0.00000000,0.93177674,0.00000000
-5.85592796,3.20173681,0.79009875,1.98433628,0.03680166,0.00000000,0.91583588,0.00000000
-5.84992496,3.17885929,0.77036987,1.98225149,0.03623375,0.00000000,0.89916283,0.00000000
-5.84392196,3.15481913,0.75070600,1.97967018,0.03585825,0.00000000,0.88176457,0.00000000
-5.83791896,3.12949042,0.73103095,1.97628570,0.03568425,0.00000000,0.86372943,0.00000000
-5.83191596,3.10308179,0.71133341,1.97201487,0.03572384,0.00000000,0.84522621,0.00000000
-5.82591296,3.07612514,0.69166583,1.96699434,0.03599186,0.00000000,0.82649952,0.00000000
-5.81990995,3.04945090,0.67214048,1.96156861,0.03650549,0.00000000,0.80786164,0.00000000
-5.81390695,3.02415030,0.65292287,1.95626968,0.03728355,0.00000000,0.78968113,0.00000000
-5.80790395,3.00152606,0.63422288,1.95178925,0.03834572,0.00000000,0.77236851,0.00000000
-5.80190095,2.98303301,0.61628399,1.94894428,0.03971145,0.00000000,0.75635968,0.00000000
-5.79589795,2.97021093,0.59937107,1.94863700,0.04139882,0.00000000,0.74209754,0.00000000
-5.78989495,2.96461216,0.58375727,1.95181124,0.04342321,0.00000000,0.73001272,0.00000000
-5.78389195,2.96772669,0.56971061,1.95940638,0.04579601,0.00000000,0.72050395,0.00000000
-5.77788894,2.98090817,0.55748078,1.97231129,0.04852327,0.00000000,0.71391917,0.00000000
-5.77188594,3.00530382,0.54728682,1.99131992,0.05160444,0.00000000,0.71053793,0.00000000
-5.76588294,3.04179148,0.53930615,2.01709080,0.05503131,0.00000000,0.71055598,0.00000000
-5.75987994,3.09092706,0.53366553,2.05011235,0.05878713,0.00000000,0.71407278,0.00000000
-5.75387694,3.15290482,0.53043441,2.09067579,0.06284605,0.00000000,0.72108252,0.00000000
-5.74787394,3.22753303,0.52962080,2.13885704,0.06717291,0.00000000,0.73146906,0.00000000
-5.74187094,3.31422637,0.53117025,2.19450892,0.07172340,0.00000000,0.74500532,0.00000000
-5.73586793,3.41201620,0.53496774,2.25726397,0.07644477,0.00000000,0.76135713,0.00000000
-5.72986493,3.51957849,0.54084254,2.32654822,0.08127679,0.00000000,0.78009159,0.00000000
-5.72386193,3.63527870,0.54857596,2.40160511,0.08615333,0.00000000,0.80068960,0.00000000
-5.71785893,3.75723164,0.55791153,2.48152859,0.09100419,0.00000000,0.82256237,0.00000000
-5.71185593,3.88337374,0.56856726,2.56530358,0.09575733,0.00000000,0.84507096,0.00000000
-5.70585293,4.01154418,0.58024933,2.65185164,0.10034131,0.00000000,0.86754834,0.00000000
-5.69984992,4.13957074,0.59266661,2.74007910,0.10468785,0.00000000,0.88932283,0.00000000
-5.69384692,4.26535600,0.60554516,2.82892497,0.10873437,0.00000000,0.90974205,0.00000000
-5.68784392,4.38695916,0.61864211,2.91740555,0.11242654,0.00000000,0.92819612,0.00000000
-5.68184092,4.50266899,0.63175797,3.00465315,0.11572037,0.00000000,0.94413923,0.00000000
-5.67583792,4.61106387,0.64474675,3.08994621,0.11858414,0.00000000,0.95710843,0.00000000
-5.66983492,4.71105560,0.65752336,3.17272918,0.12099971,0.00000000,0.96673888,0.00000000
-5.66383192,4.80191440,0.67006754,3.25262063,0.12296328,0.00000000,0.97277474,0.00000000
-5.65782891,4.88327415,0.68242429,3.32940936,0.12448563,0.00000000,0.97507539,0.00000000
-5.65182591,4.95511757,0.69470044,3.40303871,0.12559155,0.00000000,0.97361654,0.00000000
-5.64582291,5.01774290,0.70705756,3.47358052,0.12631879,0.00000000,0.96848649,0.00000000
-5.63981991,5.07171442,0.71970139,3.54120069,0.12671629,0.00000000,0.95987774,0.00000000
-5.63381691,5.11780065,0.73286837,3.60611922,0.12684195,0.00000000,0.94807443,0.00000000
-5.62781391,5.15690463,0.74680976,3.66856800,0.12676002,0.00000000,0.93343653,0.00000000
-5.62181091,5.18999141,0.76177438,3.72874985,0.12653814,0.00000000,0.91638162,0.00000000
-5.61580790,5.21801807,0.77799062,3.78680259,0.12624433,0.00000000,0.89736529,0.00000000
-5.60980490,5.24187130,0.79564890,3.84277129,0.12594395,0.00000000,0.87686124,0.00000000
-5.60380190,5.26231743,0.81488546,3.89659179,0.12569686,0.00000000,0.85534215,0.00000000
-5.59779890,5.27996831,0.83576836,3.94808743,0.12555493,0.00000000,0.83326230,0.00000000
-5.59179590,5.29526604,0.85828664,3.99698027,0.12555999,0.00000000,0.81104269,0.00000000
-5.58579290,5.30848748,0.88234320,4.04291696,0.12574234,0.00000000,0.78905935,0.00000000
-5.57978989,5.31976858,0.90775195,4.08550812,0.12611986,0.00000000,0.76763522,0.00000000
-5.57378689,5.32914673,0.93423947,4.12437936,0.12669783,0.00000000,0.74703579,0.00000000
-5.56778389,5.33661802,0.96145117,4.15923070,0.12746938,0.00000000,0.72746835,0.00000000
-5.56178089,5.34220532,0.98896188,4.18990053,0.12841654,0.00000000,0.70908468,0.00000000
-5.55577789,5.34603174,1.01629016,4.21642963,0.12951190,0.00000000,0.69198656,0.00000000
-5.54977489,5.34839395,1.04291590,4.23912056,0.13072062,0.00000000,0.67623359,0.00000000
-5.54377189,5.34982916,1.06830022,4.25858749,0.13200286,0.00000000,0.66185245,0.00000000
-5.53776888,5.35117024,1.09190666,4.27579213,0.13331629,0.00000000,0.64884678,0.00000000
-5.53176588,5.35358354,1.11322274,4.29206200,0.13461871,0.00000000,0.63720708,0.00000000
-5.52576288,5.35858549,1.13178052,4.30908807,0.13587047,0.00000000,0.62691961,0.00000000
-5.51975988,5.36803469,1.14717537,4.32890003,0.13703663,0.00000000,0.61797386,0.00000000
-5.51375688,5.38409837,1.15908182,4.35381876,0.13808880,0.00000000,0.61036789,0.00000000
-5.50775388,5.40919292,1.16726566,4.38638673,0.13900637,0.00000000,0.60411145,0.00000000
-5.50175088,5.44590052,1.17159184,4.42927875,0.13977725,0.00000000,0.59922645,0.00000000
-5.49574787,5.49686510,1.17202753,4.48519629,0.14039801,0.00000000,0.59574499,0.00000000
-5.48974487,5.56467215,1.16864053,4.55675007,0.14087339,0.00000000,0.59370509,0.00000000
-5.48374187,5.65171846,1.16159295,4.64633632,0.14121527,0.00000000,0.59314459,0.00000000
-5.47773887,5.76007824,1.15113066,4.75601265,0.14144116,0.00000000,0.59409362,0.00000000
-5.47173587,5.89137291,1.13756917,4.88737970,0.14157228,0.00000000,0.59656627,0.00000000
-5.46573287,6.04665154,1.12127679,5.04147486,0.14163145,0.00000000,0.60055225,0.00000000
-5.45972986,6.22628894,1.10265599,5.21868367,0.14164077,0.00000000,0.60600909,0.00000000
-5.45372686,6.42990735,1.08212408,5.41867389,0.14161949,0.00000000,0.61285561,0.00000000
-5.44772386,6.65632677,1.06009430,5.64035623,0.14158191,0.00000000,0.62096719,0.00000000
-5.44172086,6.90354749,1.03695831,5.88187444,0.14153575,0.00000000,0.63017332,0.00000000
-5.43571786,7.16876689,1.01307101,6.14062612,0.14148091,0.00000000,0.64025776,0.00000000
